composition,Eg (eV)
La4Cd4In2S13,2.27
CsAg2AsS3,2.7
HgSe,0.6
MnO2,1.3
CuSbSe2,1.05
Ce2Sn3Se9,0.3
Hg0.7Cd0.3Te,0.27
RuSe2,1.0
Na2Hg3Ge2S8,2.68
Hg4P2ZrCl6,3.22
Cs3Bi,0.55
RbCd4Ga5S12,3.02
GaSb,0.82
Cs4Cu3Bi9S17,0.9
SeTe,1.58
GaTe,1.8
La1.86Tb1.14Ga1.67S7,2.67
ZnSe,2.79
Na7Co2O6,0.5
In0.99Al0.01P,1.3
Cu3NbSe4,2.45
Ba4LiGa5Se12,2.65
GaSe,2.0
Ag3SbS3,2.08
Ga0.4Al0.6P,2.4
Tl2Se,0.37
RbInTe3O8,3.9
K2RbSb,1.2
Ga2Te3,1.45
CdIn2Te4,1.28
PbO2,1.45
AgFeTe2,0.3
TlCl,3.56
ZnSe,2.82
Li2WTeO6,4.0
Nd2Se3,1.75
K3B6O10Cl,6.89
ZrSe3,1.5
Rb5BS4O16,3.99
KCuThS3,2.95
InSb0.3As0.7,0.11
Cu3AsS4,1.24
Pr2Te3,1.3
Ba2V2Te2O11,3.16
Na2In2GeS6,3.17
AlSb,1.5
HgIn2Se4,0.6
Cd4V3Te3O15,2.66
AgAlS2,3.13
TlBr,3.01
TlTaS3,0.78
Cu0.35Ga1.65S2.65,2.57
CdBiO2Cl,3.08
Ga2S3,2.85
Si30P16Te8,1.24
Ga1.01Sb0.99Se0.03,0.62
EuHo2Se4,1.8
HgSe,0.1
As2Te3,1.72
GaN,3.4
CuCl,3.28
Zn0.5Hg0.5Se,0.75
Mg3Sb2,0.82
GeSe,1.28
TaGaS2,2.46
Pb0.01Sn0.99Te,0.26
Pb0.8Sn0.2Se,0.08
Ce2GeSe5,1.7
RbBiSe2,0.9
GaAs0.05Sb0.95,1.28
CrSb2,0.16
TlScTe2,0.85
GaS,2.58
CdSb,0.45
Nb2O5,3.08
In6S7,0.7
Hg4P2HfCl6,3.26
PbSe,0.27
DyN,2.6
Cu5Ta11O30,2.58
LiB3O5,7.75
LaF3,6.6
AlN,5.9
Zn2In2S5,2.5
CaS,6.0
CdSiAs2,1.5
IrP2,1.0
As2Te3,1.63
NaNO2,3.02
Cs3As,0.6
CuInS2,1.5
SnS2,2.43
RbI,6.26
PbSe0.5S0.5,0.33
Mn2P2Se6,2.5
Na2CdGe2Se6,2.37
KAg2PS4,3.02
Cu0.5Ga1.5S2.5,2.46
P2Se5,2.2
Na2BaSnS4,3.27
CsAg5Te3,0.65
GaSb,0.78
TlBr,2.63
CdS,2.58
TlPTe,0.3
Pb0.94Se0.94Ge0.06Te0.06,0.28
BiI3,1.8
BaZnGeSe4,2.46
SiP2,1.89
Sr2Bi5.42La2.58S14,1.0
YbSnTe2,0.75
BaPrO3,2.0
CaS,5.38
As2S3,1.89
Dy2O3,5.0
Ba2GaSmTe5,1.04
Zn0.7S0.7Ga0.3P0.3,2.4
Na2EuGeSe4,2.0
AlSb,1.63
Li6Rb5B11O22,6.53
K9Bi13S24,1.4
MnO,3.6
KBaB5O9,3.65
FeI2,5.15
CdS,2.53
La3LuSe6,1.26
PrF3,5.9
NdIn3S6,1.15
NaSbSe2,1.6
Mg2Sn,0.33
NdFMoO4,3.66
CdSb,0.56
Ru2Ge3,0.34
ZnAs,0.9
Bi2YVO8,2.09
LiTaO3,4.1
CsYbCoSe3,0.95
K2Hg3Sn2S8,2.4
PbSe,0.18
FeSi2,0.9
RbInSnS4,2.7
Ba2NdGaS5,2.12
Ga0.99P0.99Zn0.01Se0.01,2.24
EuLiH3,1.5
AgInSe2,1.04
Pb4Ga5GeSe12,1.91
Ba2InTaO6,4.17
Ca6Bi6O15,3.34
Pb0.99Te0.99Ge0.01S0.01,0.32
Tl2Te3,0.2
CdTe,1.5
LiNbO3,4.0
LiInTe2,1.46
PtSb2,0.1
As2S3,2.78
SbSI,1.82
GaN,3.5
As2Te3,1.64
Zr6O,0.18
K6Nb2.97Ta1.03S25,2.01
Cu2MgSiS4,3.2
InAs,0.43
UP2S9,1.41
LiInS2,3.56
Sn3As2,0.47
InP,1.5
Ga0.4As0.4Zn0.6Se0.6,1.8
GaAs0.65Sb0.35,0.68
TaGaSe2,2.23
Mn11Si19,1.0
Mg2Sn,0.22
CdSe,1.8
NaSbTe2,0.47
Pb17O8Cl18,3.44
KH2PO4,7.0
Hg3PS3,1.98
ZnS,3.69
Cu2ZnGeSe4,1.63
Tb2GeS5,2.1
CI4,2.26
ZrS3,2.17
Ag3AsSe3,2.24
KI,6.31
Mg2Sn,0.19
Ce2Te3,1.4
Cs2Bi8.81La1.19S16,1.0
Cs2Ta2P2Se12,2.29
Tl3TaS4,2.18
Rb2Zn3Se4O12,4.9
Tl2InGaTe4,0.88
Ga0.95Sb0.95Hg0.05Te0.05,0.69
SrZrS3,0.8
Cd4P2Br3,2.19
Ca3Ti2Si3O12,1.65
Bi2Mo2Se2O13,3.15
Cu2ZnSiS4,3.2
BiCuOS,1.07
CdGeAs2,0.61
Ga0.6Al0.4P,2.35
PtSb2,0.05
Cu3SbS4,1.0
Ba23Ga8Sb2S38,2.84
CdF2,6.0
Nd2YbCuS5,1.35
Ba2HgS5,2.4
Ag3AsS3,2.24
CuNbO3,2.0
In5Se6,0.14
CdIO4H,4.35
CuGa2S3.5,2.42
Ba3ThSe7,1.96
Ag3AsS3,2.0
Hg3Te2UCl6,2.6
PbGa4S7,3.08
CuTlSe2,1.07
KAsSe2,1.63
SmCuOS,2.9
CsYZnSe3,2.41
LiB3O5,7.78
BiI3,2.03
Bi0.2Te3Sb1.8,0.28
K2FeGe3Se8,1.95
GaS,2.84
Zn0.01Cd0.99Se,2.5
CuBr,3.08
KI,6.25
CuBr,2.91
Bi2Te0.6Se2.4,0.28
AlP,3.62
Bi2Te0.03Se2.97,0.27
RbCu4AsS4,2.15
ZnGeP2,2.34
YPdSb,0.27
GeSe,1.08
Pb0.94Se0.94Sn0.06Se0.06,0.22
LiNbO3,3.9
Sb2Te3,0.19
KI,6.28
Hg0.01Cd0.99Se,0.29
MnSb2O4,2.65
Cu0.2Ga1.8S2.8,2.7
Cs2Ba3P4O14,6.31
LiRbCO3,6.28
SnSe,0.88
OsP4,0.6
Sb2Se3,1.2
Eu2Se3,1.02
ZnGeP2,2.2
CdGeAs2,0.41
GaSe,2.02
As2S3,2.35
GeS,1.65
Cs3Bi2I9,1.9
Pb0.995TeGa0.005,0.37
Cd3P2,0.6
In0.9P0.9Ga0.1As0.1,1.32
As2S3,2.74
Na3Sb,1.0
Ca2SnS4,2.32
EuO,1.12
ZrO2,4.99
CsInSn2Se6,1.78
TlCl,3.75
RbGeB3O7,5.58
Cd0.01Te0.01Al0.99Sb0.99,2.21
Ag2GeTe3,0.07
KTiPO5,3.8
AsI3,2.29
As4S4,2.4
NaSbSe2,1.36
GaN,3.47
TlCr5S2Se6,0.75
K2AgIn3Se6,1.64
BaF2,9.1
ZnSnP2,2.1
Ga0.15As0.15Zn0.85Se0.85,2.25
CsGaSnSe4,1.97
Ca10Ge16B6O51,5.47
CdIn,0.6
Ba2InGdTe5,1.36
Rb3Ta2AsS11,2.21
HgIn2Te4,1.25
FeSi2,0.95
RbScSe2O6,4.9
BaIn2Se4,2.63
Ag2O,1.5
GeS,1.58
BaF2,9.21
TlBr,2.65
SrS,4.8
AsSI,2.05
CaTaO2N,2.4
Pb0.999Sn0.001Te,0.18
NaSb,0.82
NaAsSe2,1.46
AgAsS2,2.14
ErTe,0.9
LiCdBO3,4.28
Na2ZnSn2S6,2.93
Ca2Sn,0.9
GeS2,3.71
Cu2ZnSiSe4,2.33
Sm2Te3,0.7
K3Ta2AsSe11,1.45
K4Nb2S11,2.42
SnGe,0.4
Mg2Sn,0.3
Zn0.43Cd0.57Se,2.8
LaH2NO5,4.76
TlS2,1.8
Sr3BiP3O12,4.0
ZrSe2,2.0
BaIn2P4O14,3.97
La2NiVO6,0.45
Sn0.5GaZn5.5O8,2.99
CdS,2.58
Rb4GeP4Se12,2.0
CsTa3Se2O12,3.88
Hg0.01Zn0.99Te,2.3
Cd4As2Br3,1.88
PbBiO2Cl,2.45
CuInSe2,0.96
CdSe,1.67
EuBi2Te4,0.44
La4InSbS9,2.07
SbI3,2.12
YbIn3S6,1.31
GaAs,1.52
Ag8GeS6,1.18
Cs4GeP4Se12,2.0
AgN3,3.44
Sm1.82Lu2.18Se6,1.51
Si2Te3,2.03
LaMg2PdH7,1.0
CsErZnSe3,2.56
GaSb,0.7
Pb2Nb2Se4O15,2.79
RbAg5P2S8,2.4
Ba2InYTe5,1.36
LiZnN,1.98
In0.7Al0.3P,1.9
CdSe,1.84
KTa3Te2O12,4.06
KI,6.2
TlSe,0.56
Zn3Sb2,0.11
LuIn3S6,1.27
Hg8As4Bi3Cl13,2.43
AgN3,3.9
PbI2,2.53
Na2Hg3Sn2S8,2.45
AgTlTe2,0.1
Pb3BiV3O12,2.5
K2Nd2Ti3O10,3.25
Zn3As2,1.1
Na2Hg3S2.51Se1.49,2.03
Ba3GeS5,3.0
HgSe,0.32
EuSe,3.1
Tl4GaIn3S8,2.63
CaO,7.09
Li2B4O7,7.3
KI,6.17
K3CdB5O10,3.47
KSbS2,1.6
RbBr,7.2
Hg0.2Cd0.8Se,0.45
Pb0.85Sn0.15Se,0.14
Bi2Te2SO10,3.6
Hg0.06Zn0.94Te,2.12
ZnSe,2.82
KSm2CuS4,2.17
MgO,7.78
SnS0.25Se0.75,0.94
La20Mo12O63Cl4,2.4
Bi3TeBO9,2.6
AgInSe2,1.18
Li2HgGeS4,2.46
In2Se3,1.2
PtSb2,0.08
FeAsS,0.4
Bi2O2CO3,3.42
Ge0.774Si0.226,1.5
Cu2CdGeS4,2.05
Ba2V4Te3O18,2.64
CuP2,1.4
Pb0.999Sn0.001Te,0.32
TlInSe2,1.21
Mg2Sn,0.36
K2AuI5O15,2.65
CuI,3.1
NbIrSn,0.28
Pb0.85Sn0.15Te,0.13
CdIn30Te46,1.17
CoPS,0.4
CsLaHgSe3,2.51
La6Sb4S3O12,2.6
Hg0.14Zn0.86Te,1.73
As2Se3,1.85
InP,1.34
TlPS2,1.7
Bi3Se2NO11,3.59
Pb0.65Se0.65Sn0.35Te0.35,0.09
FeSi2,0.88
GaAs0.2Sb0.8,1.02
In2Se3,1.25
Ni2Te3O8,3.84
Sr4V2Se6O21,2.66
Hg7.5As4Cl6,1.73
KH2PO4,6.95
RbCdB3O6,4.2
Rb3Ag9P4S16,2.6
KZn4B3O9,2.32
AlP,3.0
CaS,5.4
InAs,0.42
Sr8Ga16Ge30,0.05
BiSBr,1.88
In2P3B1O12,5.39
InSe,1.34
Sb8O11I2,2.72
Ga0.01Sb0.01Zn0.99Te0.99,2.1
ScPdSb,0.23
Bi2Se3,0.35
RbCd4Ga5Te12,1.64
CuGaS2,2.4
InP,1.42
Ba3Nb2Se9,1.3
GaAs,1.52
Pb0.9Mn0.1Te,0.49
As2S3,2.23
InSb0.1As0.9,0.14
CdSnAs2,0.3
CdS,2.6
Tl2SeAs2Te3,0.67
LiSm3SiS7,2.83
Pb0.9Se0.9Bi0.2Te0.3,0.25
GaSb,0.81
Pt0.97S2,0.95
ThOTe,1.45
CdSb,0.43
CsInSnS4,2.9
CdTe,1.61
PbGa2S4,2.38
PbTe,0.22
Pb0.99Se0.99Ge0.01Te0.01,0.23
Cs2ZnGe3S8,3.33
CuCl,3.22
Zn2MoSeO7,4.2
Pb0.01Sn0.99Te,0.3
Ga2Se3,2.3
Tb4Al2O9,4.59
Li2HgGe,0.93
CsAu,2.3
In0.5Al0.5P,2.4
PtS,0.38
Ba2SmTaO6,3.02
CeBiW2O9,2.34
Bi9O7.5S6,1.27
Rb2Cd3B16O28,4.76
K2Ta15O32,0.33
CdSe,1.87
Hg0.14Zn0.86Te,1.66
CdSb,0.54
Li2ZnSnS4,2.87
EuYb2S4,1.6
CsB3O5,7.42
SrTiO3,3.15
Pb0.9Ge0.1Te,0.35
Cu2Se,1.23
EuBi2Se4,1.02
Rb3Nb2AsSe11,1.5
KTi2F7,6.4
TlSbS2,1.92
Mn11Si19,0.5
TlSe,0.7
Cd4LuB3O10,3.7
Cu0.8Ga1.2Se2.2,1.58
CdIn2Se4,1.72
KI,5.61
Na2Hg3Si2S8,2.86
GaS,2.6
RhSSe,0.7
SrPr2S4,2.7
CsAsSe2,1.86
GaAs0.86Sb0.14,0.66
PrFMoO4,3.64
Ge0.9355Si0.0645,1.04
PtAs2,0.5
CsYCdSe3,2.54
Cd4As2I3,1.89
AgInSe2,1.15
Ga0.4Al0.6As,2.3
Sc2S3,2.0
Zn0.85Hg0.15Se,1.8
CdIn2Te4,0.9
HgO,2.21
Zn0.01S0.01Ga0.99P0.99,2.25
Sb2S3,1.7
Tb2Mo3O12,1.6
GaSe,1.93
TaGaSe2,1.65
HfSe2,2.2
Rb3Bi2I9,2.1
CuInTe2,1.06
Cd0.55Te0.55Al0.45Sb0.45,1.93
AlSb,1.65
Hg2Cl2,2.84
Ag4Ba6Sn4S16,2.37
Nd2Te3,1.12
Ba2GaGdTe5,1.12
Mn3Ta2O8,1.89
RuSb2,0.3
Cs3Sb,1.6
Li2GaGe2Se6,2.64
GaSe,1.98
Gd2Se3,2.2
LiI,5.62
Eu3S4,1.7
ZnSe,2.87
RbBr,7.7
AlP,3.1
BaHgS2,1.93
BaB2O4,6.43
Li9Ga13Te21O66,4.45
Ag0.1Cd0.8In2.1Te4,0.29
CdTlS2,1.5
Cd3As2,0.14
InSb,0.25
Eu2O3,4.5
TlInS2,2.3
Na2PtI6O18,2.4
K6Nb1.07Ta2.93S22,1.88
OsSbTe,0.05
AlSb,1.62
SnS,1.42
InN,2.1
YVTeO10,2.2
PtSb2,0.11
SiSe2,1.74
PbTe0.05Se0.95,0.26
In4Te3,0.55
CsBiS2,1.4
Ba4CuInSe6,2.23
VO2,0.5
CuCl,3.27
Na2Be4B4O11,7.3
Ce2S3,1.12
RhP2,1.0
Ga0.99As0.99Zn0.01Se0.01,1.39
CuI,2.8
Sb2Se3,1.3
Ce2Ge2Se7,1.1
ZnAs2,0.91
NaBiS2,0.38
ZnO,3.46
Hg0.25Zn0.75Te,1.37
As2Te3,1.75
Eu7Ga6Sb8,0.6
ZnS,3.74
SmBiW2O9,3.39
CrSi2,1.3
Ga0.99Sb0.99Hg0.01Te0.01,0.72
YPtSb,0.16
ZnSe,2.71
OsSbS,1.2
CdS,2.44
Sb2S3,1.92
AgBiSe2,0.34
CsInS2,3.4
In0.3As0.3Ga0.7P0.7,2.05
TlCl,3.47
Cs2AgBiCl6,2.77
CdSnP2,1.5
CuGaS2,2.53
Ba2GaBiTe5,1.43
Ca3B2N4,4.1
BaUSe3,1.0
Sb2Se3,1.4
SmIn3S6,1.18
ZnIn2S4,2.8
Cu0.5Pb1.75GeS4,1.48
ZnTe,2.26
PAs,0.23
FeAsSe,0.6
Sb2O3,3.31
KInGeS4,3.1
Ba2SnSe5,1.8
ZrS3,2.28
Mn15Si26,0.7
Pb0.94Se0.94Sn0.06Se0.06,0.19
Hg0.9Cd0.1Se,1.3
HoN,1.9
Zn3Sb2,0.2
Cu0.2Ga1.8Se2.8,1.86
Rb2CdP2Se6,2.58
Pb0.92Se0.92Sn0.08Te0.08,0.22
Cs2Hg4.65Cd1.35S7,1.84
In0.7P0.7Ga0.3As0.3,1.58
SnI2,2.4
GaS,2.58
Bi2Te1.5Se1.5,0.29
Pb0.85Se0.85Ge0.15S0.15,0.34
NaI,5.8
OsP2,1.13
CdSiP2,1.8
Na2In4SSe6,1.92
CuAlSe2,2.7
Cu3YbS3,1.56
RbSbTe2,0.38
Pb3BiP3O12,3.7
Ce8Sb2S15,1.99
Ba2Ca2B4O10,5.6
ZnSb,1.11
K2AgVS4,1.85
BaCuSbSe3,1.6
GaHSeO4,5.51
GaSe,2.15
Ga0.75As0.75Zn0.25Se0.25,1.51
RbBiSe2,0.92
GeSe2,2.38
Cu0.4Ga1.6S2.6,2.45
ZnTe,2.37
ZnTe,2.34
Cs3Nb9Te4O32,3.22
Cd5Ga2S2Te6,1.29
AgSbS2,1.9
In0.01P0.01Ga0.99As0.99,1.43
Cu4Sn7S16,0.8
ZnTe,2.2
Ce1.3Lu0.7S3,1.25
InP,1.35
LiGaS2,3.76
Ag2.7Ba6Sn4.3S16,1.58
Sm2YbCuS5,1.28
Pb0.85Sn0.15Se,0.13
K2Hg3Ge2S8,2.64
CsScSe2O6,5.2
CdTe,1.44
La2HfS5,0.7
PbSe,0.22
Ba2B4O9H2,5.12
ZrSe3,1.6
Cu2Se,1.5
CdGa2Se4,2.75
InN,2.4
AgAsS2,2.26
SnS0.01Se0.99,0.89
Mg3Sb2,0.8
ZrC,0.6
CdSnP2,1.17
TaGaS2,2.45
CsBiS2,1.39
ZnSe,2.69
Sr2ScSbO6,3.57
CdGa2S4,3.44
KBiSe2,0.67
HgTe,0.18
La3FMo4O16,3.7
TlN3,3.58
Sb2Se3,1.13
VO2,0.4
Cs4Th2P6S18,2.8
Mg2Si,2.27
CsSbTe2,0.43
Ga0.6In0.4As,0.81
In0.99As0.99Cd0.01Te0.01,0.76
Ga0.5In0.5As,0.75
PbSe,0.29
PbCoO3,0.28
KSbSe2,1.72
RbH2I3O9,4.07
EuN,1.25
CuAlTe2,2.06
Bi2Te0.3Se2.7,0.24
La2Se3,1.97
Tl3VS4,1.7
Na2Ti3O7,3.51
Pb0.995TeIn0.005,0.43
CdSe,1.85
In0.9As0.9Ga0.1P0.1,0.45
RbCaBO3,3.67
CuInS2,1.57
Cu0.5Ga1.5Se2.5,1.76
KGaSe2,2.6
KIO3,3.83
Ga0.9Sb0.9Zn0.1Te0.1,1.0
PdTe2,1.8
Zn3B2O6,2.6
CuGaSe2,1.71
RbNb3Te2O12,3.49
Tl2S,1.0
ZnS,3.68
CdAs2,1.0
CdSe,1.86
CdIn2S4,2.7
GaAs,1.52
AlSb,1.52
Pb0.85Sn0.15Te,0.15
Pb0.77Sn0.23Te,0.04
CdSiP2,2.2
K2Se,1.8
SbSI,1.93
In6Se7,0.34
Sb2Se3,1.15
InP,1.42
GaAs0.8P0.2,1.62
Bi24BO39,2.91
Cu2MgGeS4,2.36
BaGa2GeS6,3.26
K10Co4Sn4S17,1.31
PbS,0.31
K2.15Pb1.7Sb8.15Se15,0.6
Hg6.5As4CdCl6,2.05
PbS,0.38
CdS,2.66
CsAsSe2,2.0
AgSbTe2,0.48
CdS,2.58
Pb3Cl4TeO3,3.79
LiAsS2,1.6
Cs4Ag9Sb4S12,2.0
CuGa3Se5,1.89
RuP2,1.0
InSb,0.22
ZnO,3.26
AgGaS2,2.64
CaI2,5.98
GaAs0.99P0.01,1.37
PbTe,0.22
Hg0.77Cd0.23Te,0.21
RbPbPO4,4.35
Li2MoTeO6,3.5
LiGd5P2O13,3.73
AgS,1.34
Li2HgSiS4,2.68
InN,2.21
EuTb2Se4,2.0
As2S3,2.6
GaSe,2.07
CdGa2Se4,2.41
KBiCu2S3,1.29
PbSe,0.28
ZnIn2Se4,1.95
InSe,1.29
In2Bi3Se7I,1.38
SbSBr,2.22
Pb0.99TeIn0.01,0.53
K2MnSnSe4,1.7
IrSe2,0.9
LaGaS3,2.5
CsBi2,0.55
PbSnS3,0.9
GeSe,1.38
ZnIn2Se4,2.05
RbNbSe2O7,4.1
HgIn2Te4,1.17
CdS0.55Se0.45,2.05
K2S,2.1
Zn0.99Hg0.01Se,2.6
Tl4CdI6,2.8
Cu0.1In1.9Se2.9,1.45
PbTe,0.33
BaSe,3.7
HgBr2,3.59
Cd3P2,0.53
Ga1.1Sb0.9Te0.3,0.7
Cd3Sb2,0.3
CsTm9Cd4Se18,2.16
EuTe,2.06
NaYTe4O10,3.9
K2La2Ti3O10,3.05
Pb0.99Ge0.01Se,0.27
TlInTe2,0.62
Pb0.9Se0.9Ge0.1S0.1,0.32
K2Mo2Se2O11,3.3
ZnIn2S4,2.6
LaCuOSe,2.83
NaH3Se2O6,4.9
IrSSe,1.2
GaAs,1.43
GeS,1.68
MgO,7.7
SbSI,1.95
GaN,3.5
Cu2ZnSiTe4,1.47
OsAs2,0.92
CdTeO3,3.91
Pb0.85Sn0.15Te,0.23
KIO3,4.02
Hg4As2UCl6,1.9
RhS3,1.5
AgNb2PS10,1.78
ZnS,3.56
Sm3S3BO3,2.5
GdScS3,2.1
EuIn2Se4,1.31
Pb0.9Sn0.1Se,0.17
PbS,0.39
LiGaTe2,2.31
CdSiP2,2.4
OsSb2,0.21
CeTaN2O,1.9
Ag3AsS3,2.03
Ce4InSbSe9,1.69
CdS,2.66
YN,1.9
CdSnP2,1.16
TbClWO4,4.24
CdIn2Se4,1.3
LiAsSe2,1.1
RbCl,8.5
ZnAs2,0.92
CoSb2,0.2
SnS0.99Se0.01,1.11
BaPdI4O12,1.97
Fe2O3,2.2
Hg0.2Zn0.8Te,1.4
Ge0.88Si0.12,0.84
GaSe,2.1
NaSbP2S6,2.17
K2Ge3B2O10,5.38
Bi2S3,1.4
Pr2GeSe5,1.8
SrTiO3,3.4
Ag3SbS3,2.02
As2S3,3.0
As2S3,2.06
Rb2CuVS4,1.85
Rb4Mo5P2O22,3.51
InAs,0.43
Ag3SbS3,2.33
K2CuVS4,1.82
GaAs,1.52
Cu3TbSe3,0.16
AgInS2,1.9
Cs4Cu3Bi9S17,0.6
Bi2V2Se4O16,2.2
Mg2GeSe4,2.02
CdIn2Se4,2.0
In0.99P0.99Ga0.01As0.01,1.3
CdS,2.59
NaBr,7.26
CdGeAs2,0.65
OsSb2,0.2
GaAs0.01Sb0.99,1.37
BiBr3,2.66
Ga0.99Al0.01P,2.27
CdSb,0.46
ReSe2,1.15
EuS,1.65
Pb2BO3Cl,3.99
Pb0.96TeIn0.04,0.37
CsInSe2,2.81
In0.6As0.6Ga0.4P0.4,1.25
Ga0.5As0.5Zn0.5Se0.5,1.52
Na2CsSb,0.8
TlInS2,2.2
ZnIn2Te4,1.87
K10Co4Sn4S17,1.8
CuGa1.6In0.4S3.5,2.15
Cu3SmS3,1.82
ZnGeAs2,1.1
InSb0.01As0.99,0.17
Gd2Mo3O12,4.18
PbBr2,3.5
Ba2BiInS5,1.55
BiFeSe3O9,2.54
Cu2CdSnSe4,0.96
InBi2Se4Br,1.21
GeS2,3.54
Pb0.999TeIn0.001,0.3
CuSbS2,1.38
LiMoIO6,2.8
Hg0.9Cd0.1Se,1.32
Pb0.8Ge0.2Se,0.35
TlSbS2,1.42
Cs2Hg3I8,2.56
Ba2InSmSe5,2.22
SbSeBr,1.87
K2Al2B2O7,6.89
AlSb,1.32
Zn0.9S0.9Ga0.1P0.1,2.8
Ag2O,1.4
Sb2Te3,0.3
CsHgInS3,2.3
Ge0.542Si0.458,2.24
CuInTe2,0.89
HgGa2Se4,1.95
Sr3Ti2O7,3.26
RuTe2,0.25
CdTe,1.53
CuInGeSe4,1.3
GeTe2,0.3
Zn3V2TeO10,2.96
Zn3As2,0.51
K2Hg3S1.03Se2.97,2.11
NaSbP2S6,2.25
InSb,0.24
YNiSb,0.18
NaAsSe2,1.57
PbI2,2.41
As2S3,2.1
RbMn4Ga5Te12,1.53
