"Systems
Composition","Formation
Eng. (eV)"
CH2 SnF2 GeCl2 GeCl2,-10.903
CH2 SnF2 GeCl2 SiF2,-16.602
CH2 SnF2 GeCl2 SiCl2,-12.017
CH2 SnF2 SiF2 GeF2,-20.495
CH2 SnF2 SiF2 GeCl2,-15.702
CH2 SnF2 SiF2 SiF2,-21.205
CH2 SnF2 SiF2 SiCl2,-16.750999999999998
CH2 SnF2 SiF2 SnF2,-18.597
CH2 SnF2 SiCl2 GeF2,-14.777
CH2 SnF2 SiCl2 GeCl2,-11.328
CH2 SnF2 SiCl2 SiF2,-16.878
CH2 SnF2 SnF2 GeCl2,-14.014
CH2 SnF2 SnF2 SiF2,-19.792
CH2 SnF2 SnF2 SiCl2,-15.255999999999998
CH2 SnF2 SnF2 SnF2,-17.364
CH2 SnF2 SnCl2 GeF2,-14.504
CH2 SnF2 SnCl2 GeCl2,-10.979
CH2 SnF2 SnCl2 SiF2,-16.559
CH2 SnF2 SnCl2 SiCl2,-12.015999999999998
CH2 SnF2 SnCl2 SnF2,-14.119000000000002
CH2 SnCl2 GeF2 GeCl2,-11.095
CH2 SnCl2 GeF2 SiCl2,-12.166
CH2 SnCl2 GeF2 SnF2,-14.293
CH2 SnCl2 GeF2 SnCl2,-10.984000000000002
CH2 SnCl2 GeCl2 GeCl2,-7.57
CH2 SnCl2 GeCl2 SiF2,-13.29
CH2 SnCl2 GeCl2 SiCl2,-8.654
CH2 SnCl2 GeCl2 SnF2,-10.771
CH2 SnCl2 GeCl2 SnCl2,-7.46
CH2 SnCl2 SiF2 GeF2,-16.195999999999998
CH2 SnCl2 SiF2 GeCl2,-12.59
CH2 SnCl2 SiF2 SiF2,-18.295
CH2 SnCl2 SiF2 SiCl2,-13.679
CH2 SnCl2 SiCl2 GeF2,-11.718
CH2 SnCl2 SiCl2 GeCl2,-8.183
CH2 SnCl2 SiCl2 SiF2,-13.854
CH2 SnCl2 SiCl2 SiCl2,-9.222
CH2 SnCl2 SiCl2 SnF2,-11.244000000000002
CH2 SnCl2 SiCl2 SnCl2,-7.911
CH2 SnCl2 SnF2 GeF2,-14.288
CH2 SnCl2 SnF2 GeCl2,-10.797
CH2 SnCl2 SnF2 SiF2,-16.225
CH2 SnCl2 SnF2 SiCl2,-11.752
CH2 SnCl2 SnF2 SnCl2,-10.705
CH2 SnCl2 SnCl2 GeF2,-11.11
CH2 SnCl2 SnCl2 GeCl2,-7.63
CH2 SnCl2 SnCl2 SiF2,-13.1
CH2 SnCl2 SnCl2 SiCl2,-8.642999999999999
CH2 SnCl2 SnCl2 SnF2,-10.734000000000002
CH2 SnCl2 SnCl2 SnCl2,-7.562
