k1,k2,p,k-LBM
40,1,0.123027,29.9714
40,1,0.145476,27.7498
40,1,0.14371099999999998,25.9085
40,1,0.140476,28.6395
40,1,0.137045,28.3965
40,1,0.16518,26.4277
40,1,0.172532,25.7654
40,1,0.175277,25.3612
40,1,0.160474,27.8033
40,1,0.169787,26.537
40,1,0.197628,23.1349
40,1,0.187825,25.076
40,1,0.188217,25.1241
40,1,0.189687,21.8987
40,1,0.208803,24.5315
40,1,0.213018,23.6592
40,1,0.212822,22.4853
40,1,0.216351,23.0661
40,1,0.231448,21.5528
40,1,0.25223,20.2737
40,1,0.231742,22.2726
40,1,0.233801,20.1169
40,1,0.241251,20.864
40,1,0.234977,22.9029
40,1,0.265268,19.0769
40,1,0.264778,21.1105
40,1,0.254975,23.3374
40,1,0.292716,14.9344
40,1,0.292422,17.4921
40,1,0.282227,19.3524
40,1,0.314871,15.8848
40,1,0.310656,18.9418
40,1,0.306244,19.4966
40,1,0.330556,15.4733
40,1,0.332124,16.5239
40,1,0.333595,14.4704
40,1,0.361827,14.7639
40,1,0.357612,15.0155
40,1,0.347221,13.8027
40,1,0.355063,15.6193
60,1,0.0162729,58.152
60,1,0.0125478,58.6902
60,1,0.0111754,58.8115
60,1,0.0398,54.3274
60,1,0.042348800000000006,53.9868
60,1,0.043133,54.0605
60,1,0.0427409,54.0709
60,1,0.0723458,49.0754
60,1,0.0599941,51.6631
60,1,0.0688168,49.4073
60,1,0.0633271,51.6445
60,1,0.0936183,47.9252
60,1,0.0885207,48.0075
60,1,0.0943045,46.9347
60,1,0.092638,47.2056
60,1,0.115185,43.3336
60,1,0.123909,43.4738
60,1,0.123027,43.8441
60,1,0.145476,40.2979
60,1,0.14371099999999998,37.2547
60,1,0.140476,41.6783
60,1,0.14263299999999998,40.8087
60,1,0.16518,38.3014
60,1,0.175277,36.6025
60,1,0.160474,40.3852
60,1,0.169787,38.4895
60,1,0.199,34.4016
60,1,0.187825,36.1108
60,1,0.188217,36.277
60,1,0.189687,30.8364
60,1,0.208803,35.4394
60,1,0.213018,34.0161
60,1,0.216351,33.1139
60,1,0.231448,30.664
60,1,0.25223,28.5758
60,1,0.231742,31.8682
60,1,0.233801,28.5764
60,1,0.241251,29.5371
60,1,0.234977,33.0612
60,1,0.265268,26.8354
60,1,0.254975,33.955
60,1,0.292716,20.2226
60,1,0.277718,29.8436
60,1,0.292422,24.4066
60,1,0.282227,27.4866
60,1,0.314871,21.9522
60,1,0.310656,27.0783
60,1,0.30006900000000003,29.6876
60,1,0.338104,22.6403
60,1,0.335947,16.8952
60,1,0.330556,21.4759
60,1,0.332124,23.1891
60,1,0.333595,19.7623
60,1,0.366239,17.5078
60,1,0.357612,20.8613
60,1,0.355063,21.8923
100,1,0.016567,95.7396
100,1,0.0125478,97.1756
100,1,0.0111754,97.4401
100,1,0.0111754,97.3871
100,1,0.0405843,89.1961
100,1,0.0398,88.6573
100,1,0.042348800000000006,88.3021
100,1,0.043133,88.2781
100,1,0.0427409,88.3057
100,1,0.0723458,79.4954
100,1,0.0698951,78.1151
100,1,0.0599941,84.1346
100,1,0.0688168,79.7523
100,1,0.0633271,84.2616
100,1,0.08685419999999999,78.0421
100,1,0.0885207,77.5444
100,1,0.092638,76.0052
100,1,0.115185,69.1834
100,1,0.120282,67.9007
100,1,0.115185,72.4213
100,1,0.123027,70.0295
100,1,0.145476,63.7399
100,1,0.14371099999999998,58.2171
100,1,0.140476,66.0079
100,1,0.14263299999999998,64.7297
100,1,0.137045,65.5853
100,1,0.16518,60.4887
100,1,0.175277,57.4092
100,1,0.169787,60.777
100,1,0.197628,51.5138
100,1,0.199,53.7422
100,1,0.187825,56.4748
100,1,0.188217,57.0376
100,1,0.208803,55.5512
100,1,0.216351,51.6071
100,1,0.231448,47.0691
100,1,0.25223,43.2867
100,1,0.231742,49.4428
100,1,0.233801,44.2932
100,1,0.241251,45.0975
100,1,0.234977,52.1427
100,1,0.26615,43.416
100,1,0.265268,40.8295
100,1,0.264778,46.9828
100,1,0.254975,54.2161
100,1,0.270366,41.5176
100,1,0.292716,29.3205
100,1,0.29330500000000004,36.9402
100,1,0.292422,36.7921
100,1,0.282227,42.2353
100,1,0.314871,32.5097
100,1,0.310656,42.7091
100,1,0.298598,40.649
100,1,0.306244,44.9167
100,1,0.338104,33.9804
100,1,0.335947,24.1017
100,1,0.330556,32.188
100,1,0.332124,35.0738
100,1,0.333595,28.7853
100,1,0.361827,30.446
100,1,0.366239,25.2783
100,1,0.357612,31.3722
100,1,0.347221,26.9764
100,1,0.355063,33.3593
