"Systems
Composition","Bandgap
(eV)"
CH2 SiCl2 GeF2 GeF2,3.565
CH2 SiCl2 GeF2 GeCl2,3.111
CH2 SiCl2 GeF2 SiF2,3.997
CH2 SiCl2 GeF2 SiCl2,3.642
CH2 SiCl2 GeCl2 GeF2,3.367
CH2 SiCl2 GeCl2 SiCl2,3.488
CH2 SiCl2 SiF2 GeF2,3.785
CH2 SiCl2 SiF2 GeCl2,3.4410000000000003
CH2 SiCl2 SiF2 SiCl2,3.599
CH2 SiCl2 SiCl2 GeF2,3.749
CH2 SiCl2 SiCl2 GeCl2,3.335
CH2 SiCl2 SiCl2 SiF2,3.873
CH2 SiCl2 SiCl2 SiCl2,3.5860000000000003
CH2 SiCl2 SnF2 GeF2,3.25
CH2 SiCl2 SnF2 SiF2,3.796
CH2 SiCl2 SnF2 SiCl2,3.339
CH2 SiCl2 SnCl2 SiF2,3.535
CH2 SiCl2 SnCl2 SiCl2,3.097
CH2 SnF2 GeF2 GeF2,3.068
CH2 SnF2 GeF2 GeCl2,2.84
CH2 SnF2 GeF2 SiF2,3.3960000000000004
CH2 SnF2 GeF2 SiCl2,3.202
CH2 SnF2 GeF2 SnF2,2.774
CH2 SnF2 GeCl2 GeF2,2.812
CH2 SnF2 GeCl2 GeCl2,2.636
CH2 SnF2 GeCl2 SiF2,3.108
CH2 SnF2 GeCl2 SnF2,2.531
CH2 SnF2 SiF2 GeF2,3.623
CH2 SnF2 SiF2 GeCl2,3.464
CH2 SnF2 SiF2 SiF2,3.684
CH2 SnF2 SiF2 SnF2,3.37
CH2 SnF2 SiCl2 GeF2,3.442
CH2 SnF2 SiCl2 GeCl2,3.263
CH2 SnF2 SiCl2 SiF2,3.551
CH2 SnF2 SiCl2 SiCl2,3.4160000000000004
CH2 SnF2 SiCl2 SnF2,3.144
CH2 SnF2 SnF2 GeF2,2.88
CH2 SnF2 SnF2 SiCl2,2.982
CH2 SnF2 SnF2 SnF2,2.649
CH2 SnF2 SnCl2 GeF2,2.682
CH2 SnF2 SnCl2 SiF2,2.9810000000000003
CH2 SnF2 SnCl2 SiCl2,2.762
CH2 SnF2 SnCl2 SnF2,2.479
CH2 SnCl2 CH2 SnCl2,3.542
CH2 SnCl2 GeF2 GeF2,2.86
CH2 SnCl2 GeF2 GeCl2,2.5810000000000004
CH2 SnCl2 GeF2 SiF2,3.14
CH2 SnCl2 GeF2 SiCl2,2.875
CH2 SnCl2 GeF2 SnF2,2.632
CH2 SnCl2 GeF2 SnCl2,2.4
CH2 SnCl2 GeCl2 GeF2,2.6660000000000004
CH2 SnCl2 GeCl2 SiF2,2.9
CH2 SnCl2 GeCl2 SiCl2,2.645
CH2 SnCl2 GeCl2 SnCl2,2.21
CH2 SnCl2 SiF2 GeCl2,3.138
CH2 SnCl2 SiF2 SiF2,3.488
CH2 SnCl2 SiF2 SiCl2,3.264
CH2 SnCl2 SiF2 SnF2,3.197
CH2 SnCl2 SiF2 SnCl2,2.947
CH2 SnCl2 SiCl2 GeF2,3.233
CH2 SnCl2 SiCl2 GeCl2,2.938
CH2 SnCl2 SiCl2 SiF2,3.314
CH2 SnCl2 SiCl2 SnF2,2.9810000000000003
CH2 SnCl2 SiCl2 SnCl2,2.7110000000000003
CH2 SnCl2 SnF2 GeF2,2.651
CH2 SnCl2 SnF2 GeCl2,2.359
CH2 SnCl2 SnF2 SiCl2,2.665
CH2 SnCl2 SnF2 SnF2,2.477
CH2 SnCl2 SnF2 SnCl2,2.252
CH2 SnCl2 SnCl2 GeCl2,2.191
CH2 SnCl2 SnCl2 SiF2,2.7510000000000003
CH2 SnCl2 SnCl2 SnF2,2.312
