"Systems
Composition",total Dielec. Const.
CH2 SnF2 GeF2 SnF2,21.613000000000003
CH2 SnF2 GeCl2 GeF2,14.290999999999999
CH2 SnF2 GeCl2 GeCl2,11.775
CH2 SnF2 GeCl2 SiF2,10.783
CH2 SnF2 GeCl2 SnF2,17.737000000000005
CH2 SnF2 SiF2 GeF2,10.550999999999998
CH2 SnF2 SiF2 GeCl2,9.21
CH2 SnF2 SiF2 SiF2,8.092
CH2 SnF2 SiF2 SnF2,14.685
CH2 SnF2 SiCl2 GeF2,8.929
CH2 SnF2 SiCl2 GeCl2,7.811
CH2 SnF2 SiCl2 SiF2,9.181000000000001
CH2 SnF2 SiCl2 SiCl2,7.257999999999999
CH2 SnF2 SiCl2 SnF2,12.107999999999999
CH2 SnF2 SnF2 GeF2,26.035
CH2 SnF2 SnF2 SiCl2,18.173
CH2 SnF2 SnCl2 GeF2,17.852999999999994
CH2 SnF2 SnCl2 GeCl2,14.457
CH2 SnF2 SnCl2 SiF2,16.621
CH2 SnF2 SnCl2 SiCl2,11.360999999999999
CH2 SnF2 SnCl2 SnF2,26.252
CH2 SnCl2 CH2 SnCl2,6.1
CH2 SnCl2 GeF2 GeF2,14.382
CH2 SnCl2 GeF2 GeCl2,11.044
CH2 SnCl2 GeF2 SiF2,9.317
CH2 SnCl2 GeF2 SiCl2,8.715
CH2 SnCl2 GeF2 SnF2,19.525
CH2 SnCl2 GeF2 SnCl2,13.681
CH2 SnCl2 GeCl2 GeF2,10.148
CH2 SnCl2 GeCl2 SiF2,8.006
CH2 SnCl2 GeCl2 SiCl2,8.055
CH2 SnCl2 GeCl2 SnF2,13.972999999999999
CH2 SnCl2 SiF2 GeF2,9.841000000000001
CH2 SnCl2 SiF2 SiF2,7.109
CH2 SnCl2 SiF2 SiCl2,6.879
CH2 SnCl2 SiF2 SnF2,12.59
CH2 SnCl2 SiF2 SnCl2,10.465
CH2 SnCl2 SiCl2 GeF2,7.854
CH2 SnCl2 SiCl2 GeCl2,7.05
CH2 SnCl2 SiCl2 SiF2,6.347
CH2 SnCl2 SiCl2 SnF2,10.277999999999999
CH2 SnCl2 SiCl2 SnCl2,8.899
CH2 SnCl2 SnF2 GeF2,16.44
CH2 SnCl2 SnF2 GeCl2,17.291
CH2 SnCl2 SnF2 SiCl2,15.522
CH2 SnCl2 SnF2 SnF2,26.64
CH2 SnCl2 SnF2 SnCl2,18.882
CH2 SnCl2 SnCl2 GeCl2,11.597999999999999
CH2 SnCl2 SnCl2 SiF2,10.569
CH2 SnCl2 SnCl2 SnF2,17.139
