"Systems
Composition",elec. Dielec. Const
CH2 SiCl2 SnCl2 SiCl2,3.608
CH2 SnF2 CH2 SnF2,3.439
CH2 SnF2 CH2 SnCl2,3.395
CH2 SnF2 GeF2 GeF2,4.723
CH2 SnF2 GeF2 GeCl2,4.675
CH2 SnF2 GeF2 SiF2,4.155
CH2 SnF2 GeF2 SiCl2,4.1960000000000015
CH2 SnF2 GeF2 SnF2,5.229
CH2 SnF2 GeCl2 GeF2,4.433
CH2 SnF2 GeCl2 GeCl2,4.432
CH2 SnF2 GeCl2 SiF2,3.972
CH2 SnF2 GeCl2 SiCl2,4.049
CH2 SnF2 GeCl2 SnF2,4.91
CH2 SnF2 SiF2 GeF2,3.939
CH2 SnF2 SiF2 SiCl2,3.637
CH2 SnF2 SiCl2 SiCl2,3.577
CH2 SnF2 SiCl2 SnF2,4.113
CH2 SnF2 SnF2 GeF2,4.9689999999999985
CH2 SnF2 SnF2 GeCl2,4.994
CH2 SnF2 SnF2 SiF2,4.3439999999999985
CH2 SnF2 SnF2 SiCl2,4.432
CH2 SnF2 SnCl2 GeCl2,4.831
CH2 SnF2 SnCl2 SiF2,4.158
CH2 SnF2 SnCl2 SnF2,5.099
CH2 SnCl2 CH2 SnCl2,3.52
CH2 SnCl2 GeF2 GeF2,4.54
CH2 SnCl2 GeF2 GeCl2,4.647
CH2 SnCl2 GeF2 SiF2,4.017
CH2 SnCl2 GeF2 SnF2,5.021
CH2 SnCl2 GeF2 SnCl2,5.05
CH2 SnCl2 GeCl2 GeF2,4.298
CH2 SnCl2 GeCl2 GeCl2,4.452
CH2 SnCl2 GeCl2 SiCl2,4.095
CH2 SnCl2 GeCl2 SnF2,4.78
CH2 SnCl2 GeCl2 SnCl2,4.8580000000000005
CH2 SnCl2 SiF2 GeF2,3.805
CH2 SnCl2 SiF2 GeCl2,3.927
CH2 SnCl2 SiF2 SiF2,3.539
CH2 SnCl2 SiF2 SiCl2,3.699
CH2 SnCl2 SiF2 SnF2,4.16
CH2 SnCl2 SiF2 SnCl2,4.198
CH2 SnCl2 SiCl2 GeF2,3.709
CH2 SnCl2 SiCl2 GeCl2,3.869
CH2 SnCl2 SiCl2 SiF2,3.478
CH2 SnCl2 SiCl2 SiCl2,3.681
CH2 SnCl2 SiCl2 SnF2,4.0539999999999985
CH2 SnCl2 SiCl2 SnCl2,4.164
CH2 SnCl2 SnF2 GeCl2,4.993
CH2 SnCl2 SnF2 SiF2,4.239
CH2 SnCl2 SnF2 SnF2,5.273
CH2 SnCl2 SnF2 SnCl2,5.37
CH2 SnCl2 SnCl2 GeF2,4.651
CH2 SnCl2 SnCl2 SiCl2,4.52
CH2 SnCl2 SnCl2 SnF2,5.105
CH2 SnCl2 SnCl2 SnCl2,5.367000000000001
