"Systems
Composition","Electron
Affinity (eV)"
CH2 SiCl2 SnF2 SiCl2,3.514
CH2 SiCl2 SnCl2 GeF2,3.871
CH2 SiCl2 SnCl2 GeCl2,4.221
CH2 SiCl2 SnCl2 SiF2,3.257
CH2 SiCl2 SnCl2 SiCl2,3.668
CH2 SnF2 CH2 SnF2,3.221
CH2 SnF2 CH2 SnCl2,3.117
CH2 SnF2 GeF2 GeF2,4.331
CH2 SnF2 GeF2 GeCl2,4.239
CH2 SnF2 GeF2 SiF2,3.827
CH2 SnF2 GeF2 SiCl2,3.8
CH2 SnF2 GeF2 SnF2,4.595
CH2 SnF2 GeCl2 GeF2,4.39
CH2 SnF2 GeCl2 GeCl2,4.339
CH2 SnF2 GeCl2 SiF2,3.957
CH2 SnF2 GeCl2 SiCl2,3.954
CH2 SnF2 GeCl2 SnF2,4.654
CH2 SnF2 SiF2 GeF2,3.424
CH2 SnF2 SiF2 SiCl2,3.294
CH2 SnF2 SiCl2 SiCl2,3.415
CH2 SnF2 SiCl2 SnF2,3.967
CH2 SnF2 SnF2 GeF2,4.798
CH2 SnF2 SnF2 GeCl2,4.721
CH2 SnF2 SnF2 SiF2,4.129
CH2 SnF2 SnF2 SiCl2,4.1080000000000005
CH2 SnF2 SnCl2 GeCl2,4.584
CH2 SnF2 SnCl2 SiF2,4.115
CH2 SnF2 SnCl2 SnF2,4.798
CH2 SnCl2 CH2 SnCl2,3.25
CH2 SnCl2 GeF2 GeF2,4.248
CH2 SnCl2 GeF2 GeCl2,4.341
CH2 SnCl2 GeF2 SiF2,3.878
CH2 SnCl2 GeF2 SnF2,4.462
CH2 SnCl2 GeF2 SnCl2,4.537
CH2 SnCl2 GeCl2 GeF2,4.324
CH2 SnCl2 GeCl2 GeCl2,4.471
CH2 SnCl2 GeCl2 SiCl2,4.18
CH2 SnCl2 GeCl2 SnF2,4.581
CH2 SnCl2 GeCl2 SnCl2,4.681
CH2 SnCl2 SiF2 GeF2,3.4410000000000003
CH2 SnCl2 SiF2 GeCl2,3.5410000000000004
CH2 SnCl2 SiF2 SiF2,3.2460000000000004
CH2 SnCl2 SiF2 SiCl2,3.378
CH2 SnCl2 SiF2 SnF2,3.637
CH2 SnCl2 SiF2 SnCl2,3.761
CH2 SnCl2 SiCl2 GeF2,3.584
CH2 SnCl2 SiCl2 GeCl2,3.797
CH2 SnCl2 SiCl2 SiF2,3.407
CH2 SnCl2 SiCl2 SiCl2,3.615
CH2 SnCl2 SiCl2 SnF2,3.846
CH2 SnCl2 SiCl2 SnCl2,4.027
CH2 SnCl2 SnF2 GeCl2,4.755
CH2 SnCl2 SnF2 SiF2,4.213
CH2 SnCl2 SnF2 SnF2,4.83
CH2 SnCl2 SnF2 SnCl2,4.865
CH2 SnCl2 SnCl2 GeF2,4.622
CH2 SnCl2 SnCl2 SiCl2,4.465
CH2 SnCl2 SnCl2 SnF2,4.813
CH2 SnCl2 SnCl2 SnCl2,4.909
