"Systems
Composition","Formation
Eng. (eV)"
CH2 SiCl2 GeCl2 SiCl2,-9.667
CH2 SiCl2 SiF2 GeF2,-17.301
CH2 SiCl2 SiF2 GeCl2,-13.693
CH2 SiCl2 SiF2 SiF2,-19.257
CH2 SiCl2 SiF2 SiCl2,-14.789000000000001
CH2 SiCl2 SiCl2 GeF2,-13.004000000000001
CH2 SiCl2 SiCl2 GeCl2,-9.32
CH2 SiCl2 SiCl2 SiF2,-15.057
CH2 SiCl2 SiCl2 SiCl2,-10.332
CH2 SiCl2 SnF2 GeF2,-15.620999999999999
CH2 SiCl2 SnF2 GeCl2,-11.963
CH2 SiCl2 SnF2 SiF2,-17.512
CH2 SiCl2 SnF2 SiCl2,-12.86
CH2 SiCl2 SnCl2 GeF2,-12.341
CH2 SiCl2 SnCl2 GeCl2,-8.687000000000001
CH2 SiCl2 SnCl2 SiF2,-14.272
CH2 SiCl2 SnCl2 SiCl2,-9.607000000000001
CH2 SnF2 CH2 SnF2,-11.838
CH2 SnF2 CH2 SnCl2,-8.506
CH2 SnF2 GeF2 GeF2,-17.985
CH2 SnF2 GeF2 GeCl2,-14.432
CH2 SnF2 GeF2 SiF2,-20.105999999999998
CH2 SnF2 GeF2 SiCl2,-15.525
CH2 SnF2 GeF2 SnF2,-17.547
CH2 SnF2 GeCl2 GeF2,-14.45
CH2 SnF2 GeCl2 GeCl2,-10.902999999999999
CH2 SnF2 GeCl2 SiF2,-16.602
CH2 SnF2 GeCl2 SiCl2,-12.017000000000001
CH2 SnF2 GeCl2 SnF2,-14.030999999999999
CH2 SnF2 SiF2 GeF2,-20.495
CH2 SnF2 SiF2 GeCl2,-15.702
CH2 SnF2 SiF2 SiF2,-21.205
CH2 SnF2 SiF2 SiCl2,-16.750999999999998
CH2 SnF2 SiF2 SnF2,-18.597
CH2 SnF2 SiCl2 GeF2,-14.777000000000001
CH2 SnF2 SiCl2 GeCl2,-11.328
CH2 SnF2 SiCl2 SiF2,-16.878
CH2 SnF2 SiCl2 SiCl2,-12.415
CH2 SnF2 SiCl2 SnF2,-14.257
CH2 SnF2 SnF2 GeF2,-17.442999999999998
CH2 SnF2 SnF2 GeCl2,-14.014000000000001
CH2 SnF2 SnF2 SiF2,-19.792
CH2 SnF2 SnF2 SiCl2,-15.255999999999998
CH2 SnF2 SnF2 SnF2,-17.364
CH2 SnF2 SnCl2 GeF2,-14.504000000000001
CH2 SnF2 SnCl2 GeCl2,-10.979000000000001
CH2 SnF2 SnCl2 SiF2,-16.559
CH2 SnF2 SnCl2 SiCl2,-12.015999999999998
CH2 SnF2 SnCl2 SnF2,-14.119000000000002
CH2 SnCl2 CH2 SnCl2,-5.085
CH2 SnCl2 GeF2 GeF2,-14.717
CH2 SnCl2 GeF2 GeCl2,-11.095
CH2 SnCl2 GeF2 SiF2,-16.801
CH2 SnCl2 GeF2 SiCl2,-12.165999999999999
CH2 SnCl2 GeF2 SnF2,-14.293
CH2 SnCl2 GeF2 SnCl2,-10.984000000000002
CH2 SnCl2 GeCl2 GeF2,-11.175
CH2 SnCl2 GeCl2 GeCl2,-7.57
CH2 SnCl2 GeCl2 SiF2,-13.29
CH2 SnCl2 GeCl2 SiCl2,-8.654
CH2 SnCl2 GeCl2 SnF2,-10.770999999999999
CH2 SnCl2 GeCl2 SnCl2,-7.46
CH2 SnCl2 SiF2 GeF2,-16.195999999999998
CH2 SnCl2 SiF2 GeCl2,-12.59
CH2 SnCl2 SiF2 SiF2,-18.295
CH2 SnCl2 SiF2 SiCl2,-13.679
CH2 SnCl2 SiF2 SnF2,-15.689
CH2 SnCl2 SiF2 SnCl2,-12.856
CH2 SnCl2 SiCl2 GeF2,-11.718
CH2 SnCl2 SiCl2 GeCl2,-8.183
CH2 SnCl2 SiCl2 SiF2,-13.854000000000001
CH2 SnCl2 SiCl2 SiCl2,-9.222000000000001
CH2 SnCl2 SiCl2 SnF2,-11.244000000000002
CH2 SnCl2 SiCl2 SnCl2,-7.9110000000000005
CH2 SnCl2 SnF2 GeF2,-14.288
CH2 SnCl2 SnF2 GeCl2,-10.797
CH2 SnCl2 SnF2 SiF2,-16.225
CH2 SnCl2 SnF2 SiCl2,-11.752
CH2 SnCl2 SnF2 SnF2,-13.886
CH2 SnCl2 SnF2 SnCl2,-10.705
CH2 SnCl2 SnCl2 GeF2,-11.11
CH2 SnCl2 SnCl2 GeCl2,-7.63
CH2 SnCl2 SnCl2 SiF2,-13.1
CH2 SnCl2 SnCl2 SiCl2,-8.642999999999999
CH2 SnCl2 SnCl2 SnF2,-10.734000000000002
CH2 SnCl2 SnCl2 SnCl2,-7.562
