"Systems
Composition",elec. Dielec. Const
CH2 GeCl2 CH2 SiCl2,3.1489999999999996
CH2 GeCl2 CH2 SnF2,3.2760000000000002
CH2 GeCl2 CH2 SnCl2,3.395
CH2 GeCl2 GeF2 GeF2,4.258
CH2 GeCl2 GeF2 GeCl2,4.32
CH2 GeCl2 GeCl2 GeF2,3.991
CH2 GeCl2 GeCl2 GeCl2,4.0889999999999995
CH2 GeCl2 SiF2 GeF2,3.5980000000000003
CH2 GeCl2 SiF2 GeCl2,3.69
CH2 GeCl2 SiCl2 GeF2,3.498
CH2 GeCl2 SiCl2 GeCl2,3.6069999999999998
CH2 GeCl2 SnF2 GeF2,4.671
CH2 GeCl2 SnF2 GeCl2,4.71
CH2 GeCl2 SnCl2 GeF2,4.388
CH2 GeCl2 SnCl2 GeCl2,4.494
CH2 SiF2 CH2 SiF2,2.545
CH2 SiF2 CH2 SiCl2,2.682
CH2 SiF2 CH2 SnF2,3.071
CH2 SiF2 CH2 SnCl2,3.0380000000000003
CH2 SiF2 GeF2 GeF2,3.8080000000000003
CH2 SiF2 GeF2 GeCl2,3.7119999999999997
CH2 SiF2 GeF2 SiF2,3.2510000000000003
CH2 SiF2 GeCl2 GeF2,3.613
CH2 SiF2 GeCl2 GeCl2,3.552
CH2 SiF2 GeCl2 SiF2,3.1510000000000002
CH2 SiF2 SiF2 GeF2,3.3680000000000003
CH2 SiF2 SiF2 GeCl2,3.3089999999999997
CH2 SiF2 SiF2 SiF2,3.003
CH2 SiF2 SiCl2 GeF2,3.2689999999999997
CH2 SiF2 SiCl2 GeCl2,3.233
CH2 SiF2 SiCl2 SiF2,2.9539999999999997
CH2 SiF2 SnF2 GeF2,4.061
CH2 SiF2 SnF2 GeCl2,4.002
CH2 SiF2 SnF2 SiF2,2.559
CH2 SiF2 SnCl2 GeF2,3.8710000000000004
CH2 SiF2 SnCl2 GeCl2,3.858
CH2 SiF2 SnCl2 SiF2,3.3289999999999997
CH2 SiCl2 CH2 SiCl2,2.98
CH2 SiCl2 CH2 SnF2,3.153
CH2 SiCl2 CH2 SnCl2,3.299
CH2 SiCl2 GeF2 GeF2,3.786
CH2 SiCl2 GeF2 GeCl2,3.873
CH2 SiCl2 GeF2 SiF2,3.266
CH2 SiCl2 GeF2 SiCl2,3.44
CH2 SiCl2 GeCl2 GeF2,3.63
CH2 SiCl2 GeCl2 GeCl2,3.748
CH2 SiCl2 GeCl2 SiF2,3.194
CH2 SiCl2 GeCl2 SiCl2,3.3680000000000003
CH2 SiCl2 SiF2 GeF2,3.343
CH2 SiCl2 SiF2 GeCl2,3.447
CH2 SiCl2 SiF2 SiF2,3.016
CH2 SiCl2 SiF2 SiCl2,3.18
CH2 SiCl2 SiCl2 GeF2,3.2880000000000003
CH2 SiCl2 SiCl2 GeCl2,3.412
CH2 SiCl2 SiCl2 SiF2,2.991
CH2 SiCl2 SiCl2 SiCl2,3.1689999999999996
CH2 SiCl2 SnF2 GeF2,4.096
CH2 SiCl2 SnF2 GeCl2,4.1739999999999995
CH2 SiCl2 SnF2 SiF2,3.4539999999999997
CH2 SiCl2 SnF2 SiCl2,3.628
CH2 SiCl2 SnCl2 GeF2,3.949
CH2 SiCl2 SnCl2 GeCl2,4.079
CH2 SiCl2 SnCl2 SiF2,3.395
CH2 SiCl2 SnCl2 SiCl2,3.608
CH2 SnF2 CH2 SnF2,3.4389999999999996
CH2 SnF2 CH2 SnCl2,3.395
CH2 SnF2 GeF2 GeF2,4.723
CH2 SnF2 GeF2 GeCl2,4.675
CH2 SnF2 GeF2 SiF2,4.155
CH2 SnF2 GeF2 SiCl2,4.196000000000001
CH2 SnF2 GeF2 SnF2,5.229
CH2 SnF2 GeCl2 GeF2,4.433
CH2 SnF2 GeCl2 GeCl2,4.4319999999999995
CH2 SnF2 GeCl2 SiF2,3.972
CH2 SnF2 GeCl2 SiCl2,4.0489999999999995
CH2 SnF2 GeCl2 SnF2,4.91
CH2 SnF2 SiF2 GeF2,3.9389999999999996
CH2 SnF2 SiF2 GeCl2,3.884
CH2 SnF2 SiF2 SiF2,3.65
CH2 SnF2 SiF2 SiCl2,3.637
CH2 SnF2 SiF2 SnF2,4.27
CH2 SnF2 SiCl2 GeF2,3.7939999999999996
CH2 SnF2 SiCl2 GeCl2,3.7939999999999996
CH2 SnF2 SiCl2 SiF2,3.542
CH2 SnF2 SiCl2 SiCl2,3.577
CH2 SnF2 SiCl2 SnF2,4.113
CH2 SnF2 SnF2 GeF2,4.968999999999999
CH2 SnF2 SnF2 GeCl2,4.994
CH2 SnF2 SnF2 SiF2,4.343999999999999
CH2 SnF2 SnF2 SiCl2,4.4319999999999995
CH2 SnF2 SnF2 SnF2,5.372999999999999
CH2 SnF2 SnCl2 GeF2,4.71
CH2 SnF2 SnCl2 GeCl2,4.831
CH2 SnF2 SnCl2 SiF2,4.158
CH2 SnF2 SnCl2 SiCl2,4.333
CH2 SnF2 SnCl2 SnF2,5.099
CH2 SnCl2 CH2 SnCl2,3.52
CH2 SnCl2 GeF2 GeF2,4.54
CH2 SnCl2 GeF2 GeCl2,4.647
CH2 SnCl2 GeF2 SiF2,4.0169999999999995
CH2 SnCl2 GeF2 SiCl2,4.192
CH2 SnCl2 GeF2 SnF2,5.021
CH2 SnCl2 GeF2 SnCl2,5.05
CH2 SnCl2 GeCl2 GeF2,4.298
CH2 SnCl2 GeCl2 GeCl2,4.452
CH2 SnCl2 GeCl2 SiF2,3.877
CH2 SnCl2 GeCl2 SiCl2,4.095
CH2 SnCl2 GeCl2 SnF2,4.78
CH2 SnCl2 GeCl2 SnCl2,4.8580000000000005
CH2 SnCl2 SiF2 GeF2,3.805
CH2 SnCl2 SiF2 GeCl2,3.927
CH2 SnCl2 SiF2 SiF2,3.5389999999999997
CH2 SnCl2 SiF2 SiCl2,3.699
CH2 SnCl2 SiF2 SnF2,4.16
CH2 SnCl2 SiF2 SnCl2,4.198
CH2 SnCl2 SiCl2 GeF2,3.7089999999999996
CH2 SnCl2 SiCl2 GeCl2,3.8689999999999998
CH2 SnCl2 SiCl2 SiF2,3.478
CH2 SnCl2 SiCl2 SiCl2,3.681
CH2 SnCl2 SiCl2 SnF2,4.053999999999999
CH2 SnCl2 SiCl2 SnCl2,4.164
CH2 SnCl2 SnF2 GeF2,4.814
CH2 SnCl2 SnF2 GeCl2,4.993
CH2 SnCl2 SnF2 SiF2,4.239
CH2 SnCl2 SnF2 SiCl2,4.461
CH2 SnCl2 SnF2 SnF2,5.273
CH2 SnCl2 SnF2 SnCl2,5.37
CH2 SnCl2 SnCl2 GeF2,4.651
CH2 SnCl2 SnCl2 GeCl2,4.926
CH2 SnCl2 SnCl2 SiF2,4.124
CH2 SnCl2 SnCl2 SiCl2,4.52
CH2 SnCl2 SnCl2 SnF2,5.105
CH2 SnCl2 SnCl2 SnCl2,5.367000000000001
