MP-ID,System,G_Voigt
mp-862431,Sc2AgOs,46
mp-558781,ScTaO4,75
mp-7918,HfGeS,83
mp-867137,ScVRu2,93
mp-4152,Ga2CoS4,30
mp-865866,LiZrPt2,24
mp-867274,Be2CoIr,112
mp-2831,FePd,82
mp-20935,ZrSnIr,65
mp-867156,ScGaRu2,68
mp-555064,Cd(CO2)2,29
mp-7632,NiMoP,96
mp-8150,Ba(CdSb)2,19
mp-861629,LiMnPd2,42
mp-20983,V2InC,103
mp-1682,ZrAs,71
mp-862600,Be2RhPt,117
mp-864883,MgSnPd2,38
mp-779948,ZrMnO3,67
mp-4475,Tl(CoSe)2,22
mp-10894,MnAlRh2,96
mp-20905,OsS2,144
mp-650,Be5Pd,132
mp-866062,HfSiRu2,108
mp-4864,CaMgSn,29
mp-2933,Pr2(ReB2)3,120
mp-7066,ScNiGe,64
mp-21850,Fe3SnC,64
mp-862710,Sc2CdTc,30
mp-21471,LiFeAs,42
mp-550908,SrHfO3,100
mp-772245,CrPtO2,87
mp-12623,BaPdF4,16
mp-30091,MgB9N,172
mp-6304,Sr2GaSbO6,72
mp-761310,Mn(AsO2)2,25
mp-10183,MgSbPd,29
mp-15649,As2Ir,100
mp-865131,Hf2OsRh,55
mp-7804,HfCo3B2,160
mp-4474,V4GaS8,47
mp-10469,NbSiPt,82
mp-19420,Sr2MgWO6,72
mp-567749,Y(SiOs)2,86
mp-1474,Re3P4,141
mp-2260,FePt,98
mp-2682,Sb2Rh,63
mp-559598,LiScF4,33
mp-30726,YHg3,19
mp-27757,Be4B,136
mp-4343,Sr(MnAs)2,34
mp-17518,Sr2TaN3,39
mp-22731,MnInNi2,49
mp-1009083,MgSnP2,29
mp-1001019,Mg(ScSe2)2,22
mp-864765,Na3HfF8,19
mp-28614,NaBPt3,52
mp-4175,ZnSnP2,41
mp-32407,TaVO5,45
mp-19784,In2Si2O7,98
mp-8306,Ba3FeN3,20
mp-15777,Zn(GaTe2)2,20
mp-769889,TaFeO4,84
mp-862264,Sc2ZnTc,40
mp-865803,Ti2MoPt,91
mp-30722,ScHg3,21
mp-862297,LiAlRh2,65
mp-23736,LiMgH3,33
mp-1014252,Hf3ZnN,91
mp-8630,SbIrS,88
mp-22565,MnSiRh,72
mp-570074,Sc3IrC4,122
mp-865966,BeAlIr2,126
mp-4992,ScCrC2,135
mp-22027,MnSnAu,23
mp-9225,ScSiPt,63
mp-10911,Sc2Al3Ru,68
mp-6613,Ba2YTaO6,82
mp-30151,CuAuSe4,23
mp-7090,NaMgSb,16
mp-12961,YAlPd,33
mp-12595,MoRh,136
mp-23183,NdCl3,19
mp-23179,NiBi3,10
mp-9325,Sr3MnN3,32
mp-7906,Al2HgS4,23
mp-11273,Be3Nb,126
mp-10125,SbIr,63
mp-554107,K2Na4Ge2O7,23
mp-541487,TlPt2Se3,18
mp-8608,K(Cu2As)2,25
mp-867769,ScZnRh2,63
mp-8689,V4GeSe8,36
mp-4573,TlSbTe2,21
mp-8401,CsMgF3,38
mp-11176,Ca3(SiIr)4,52
mp-10219,YOF,56
mp-774736,LiCuS,16
mp-30438,Be2Cr,158
mp-15987,Hf3(SiCu2)2,84
mp-24151,DyH2,53
mp-4247,NaZnSb,14
mp-15724,KNa2Sb,13
mp-643718,BaMgH4,30
mp-867270,Be2CoPt,110
mp-865809,TiTc2Sb,96
mp-865912,LiZn2Rh,47
mp-4593,Mn3AlC,133
mp-8732,Ta2Se,41
mp-862261,Sc2ZnRu,37
mp-570677,Ba5Al5Sn,18
mp-30774,MgNi2Sn,55
mp-769933,NiHgO2,42
mp-4091,Ni2Mo3N,142
mp-11465,Mg5Hg3,22
mp-865504,YAlAg2,20
mp-2271,NaPt2,70
mp-16719,Al12Tc,74
mp-777413,CeScO3,74
mp-22227,ZrMnSi,90
mp-10969,CdCN2,28
mp-8578,Sc3InC,82
mp-862338,Sc2CuRu,48
mp-20563,Ba(CoAs)2,38
mp-867927,LiVIr2,110
mp-867110,Sc2CoOs,63
mp-11270,MnBe2,162
mp-2894,ScSnAu,44
mp-19722,MnCu2SnS4,26
mp-10873,ScAlAu2,25
mp-12137,Ca(ZnSi)2,37
mp-867242,Sc2ZnGa,54
mp-7557,Nb5SiSn2,84
mp-30312,Ca2SiIr2,42
mp-27768,Co(BW)3,205
mp-772231,RbCrO2,71
mp-865234,TaZnRu2,88
mp-15776,Zn(GaSe2)2,25
mp-1734,CaZn5,39
mp-19405,Ni(AgO)2,33
mp-864672,NbSiTc2,87
mp-1578,V3Rh,108
mp-697030,Mg2H6Ru,53
mp-11282,Be2W,170
mp-14983,Si4P4Ru,91
mp-19734,MgPbF6,28
mp-7482,RbHgF3,17
mp-637614,Zn3(InS3)2,22
mp-22648,FeCu2SnS4,27
mp-10457,HfSiPd,94
mp-570684,ZrOs2,95
mp-553243,YBi2BrO4,40
mp-5529,MnFe2Si,117
mp-3587,Sc(SiNi)2,63
mp-764061,Na6CoO4,26
mp-2252,ScB2,196
mp-15780,MgPPt5,79
mp-20180,Mn3GeC,126
mp-867779,Ta2CrFe,104
mp-2354,Ti3Hg,69
mp-3657,TiCo2Si,91
mp-7849,AlAsO4,20
mp-601285,MnGaNi2,74
mp-21855,VCu3Se4,21
mp-862370,Sc2RuPd,54
mp-31011,Y2Si2Rh,64
mp-1102,LuN,145
mp-30661,ScGaPd2,32
mp-865793,LiSc2Rh,30
mp-4563,Ti3TlC,84
mp-865506,VSiOs2,126
mp-865869,Be2CuPt,67
mp-552934,Ba2CuBrO2,15
mp-610972,MnGePd,40
mp-8418,ZrCoP,116
mp-20557,YSiNi,64
mp-7823,V2NiSe4,44
mp-12561,TaAs2,99
mp-989512,LiTl2InCl6,11
mp-553946,CoAsS,99
mp-3299,Sr(FeP)2,62
mp-22636,TaNiGe,79
mp-582736,Eu(MgSb)2,27
mp-34467,Zn(GaS2)2,32
mp-672254,CaPdPb,26
mp-6606,SrYSi4N7,102
mp-571499,TaIr,100
mp-20354,MgMnGe,51
mp-865876,Ti2TcOs,101
mp-569628,CaCdAu,21
mp-20337,ZrPbO3,50
mp-10208,NiMoP2,107
mp-8973,NaSi2N3,119
mp-11560,TiSiRu,105
mp-5549,MgSnAu,24
mp-16905,Ba2MnTe3,16
mp-4678,Zr2AlN,94
mp-5318,MnCoSb,56
mp-505540,TiAsRh,77
mp-979435,YMg2Sc,31
mp-866173,Y2RuRh,48
mp-7429,Ca(ZnSb)2,22
mp-20618,Y2Co3Si5,66
mp-9942,Ti2FeS4,58
mp-30493,ZnCdPt2,58
mp-2695,Sb2Os,92
mp-867834,LiHfPt2,27
mp-1252,ZrBe2,97
mp-8487,CaSbPt,36
mp-30477,LiCaSn,26
mp-540719,PbWO4,28
mp-10266,ZnFe3C,109
mp-15316,SrMgF4,33
mp-11388,GaIr,68
mp-4238,MnFeAs,74
mp-31171,Zn2AgAu,35
mp-15722,Fe2B4Mo,179
mp-753798,Rb2SnO3,21
mp-557680,NbAgO3,58
mp-3216,Li2ZrN2,117
mp-9957,V2GeC,105
mp-265,TaIr3,217
mp-1890,BMo,201
mp-19210,CoPtO2,67
mp-9956,AlCr2C,134
mp-10671,Sr3(AlGe)2,30
mp-10669,Ba3(AlGe)2,22
mp-676828,ZnCuAs,26
mp-31160,CaZnSn,36
mp-864919,MgTiRh2,77
mp-571039,CaAlPd,30
mp-867761,Sc2CoRu,61
mp-13314,ScTlTe2,22
mp-10284,YSi3Ni,86
mp-29175,Ca2AuN,32
mp-21175,TaGaNi2,57
mp-6353,Y2Si4CN6,102
mp-30028,YSi2Rh3,99
mp-4079,Sc3AlC,83
mp-7908,Al2ZnTe4,20
mp-7601,NbGaO4,61
mp-865444,LiSc2Pt,37
mp-23137,Ba2YBiO6,70
mp-12972,Zr6Sb2Pt,60
mp-864940,Mg2RhPt,62
mp-862365,Sc2OsPd,61
mp-864966,MnSiRu2,124
mp-31625,Cr2ReO6,116
mp-867350,Ca2MgIn,23
mp-568992,ZrIr,68
mp-973966,LiIn(IO3)4,22
mp-10003,Nb4CoSi,97
mp-20586,VCo2Si,85
mp-12678,TaMn2,89
mp-2348,Zr2Au,49
mp-30737,YMgAg,22
mp-4056,CaSc2O4,84
mp-5387,YNbO4,56
mp-867253,LiZn2Ir,54
mp-613327,Fe(BW)2,183
mp-7080,Li5(NiN)3,60
mp-582011,CeCl3,17
mp-11283,ZrBe5,116
mp-11917,Mg(BeN)2,169
mp-4673,SrHfO3,88
mp-7443,Nb2CrSe4,48
mp-30460,YNiBi,49
mp-867821,TaTiMn2,94
mp-867846,TaTiRe2,118
mp-7251,Ba2YNbO6,79
mp-867243,Sc2ZnOs,48
mp-567276,TaV2,39
mp-731,Mg3Hg,18
mp-4492,MnCo2Si,113
mp-7559,YNi4B,75
mp-2920,LaAlO3,109
mp-570835,NiHg4,27
mp-9177,Y2Al3Si2,66
mp-839,V3Au,79
mp-22418,Sr3(SnIr)4,32
mp-8409,KYO2,53
mp-16497,ScAlCu2,50
mp-862609,ScReTc2,112
mp-10161,KZnSb,19
mp-861912,TaTiTc2,103
mp-29623,SrZnBi2,18
mp-35397,Bi2WO8,38
mp-754165,ScGaO3,84
mp-10259,Zr(NiP)2,62
mp-555307,Ba2CoF6,27
mp-644264,Ca4Mg4Fe3H22,44
mp-676058,V3NiS6,42
mp-18919,CoPdO2,51
mp-10670,Ca3(AlGe)2,34
mp-558838,NiPtF6,33
mp-19928,Hf2CuSb3,49
mp-34169,Zn(InSe2)2,19
mp-8439,Ca5(AlSb3)2,23
mp-19929,MgInNi2,52
mp-20320,InTe,12
mp-7929,Rb2PtS2,19
mp-21264,OsN2,240
mp-1006146,Eu(MgBi)2,22
mp-16363,CoAsS,107
mp-3201,Li2GaPd,35
mp-2395,Sb3Rh,52
mp-865840,Ti2TcIr,119
mp-2449,NbRh3,150
mp-28024,YSiPd2,51
mp-866143,TiBeRh2,94
mp-31120,DyScO3,83
mp-865842,Ti2RuOs,125
mp-14763,Ca3MnN3,52
mp-19968,CaIn2Cu,32
mp-11366,ZrZnCu2,47
mp-11350,CaAl9Co2,56
mp-6812,KBaPO4,26
mp-945,NiPt,95
mp-31153,CaGePt,37
mp-864684,Hf2MoIr,81
mp-1014227,Ti2ZnN,104
mp-2677,ScPd3,62
mp-31456,HfSbRu,48
mp-8188,KScO2,65
mp-8818,Ca2ZnN2,49
mp-556424,RbVF3,37
mp-19167,Rb2NiO2,12
mp-567769,Ca(SiPd)2,43
mp-864639,Ta2NbOs,105
mp-5518,GaAgSe2,19
mp-867897,ScTaRu2,104
mp-23121,Sr5P3ClO12,37
mp-25176,PbWO4,23
mp-5590,YMgGa,49
mp-5407,TiAlCo2,94
mp-22313,Na2PtO2,34
mp-865231,LiScTl2,22
mp-1545,Nb3Rh,95
mp-11277,ScBe5,107
mp-568137,Cs3Mg2Cl7,11
mp-19963,TiFe2Sn,106
mp-573119,BiRhO3,60
mp-862631,Ba2SbAu,18
mp-5478,TlPd3O4,37
mp-4276,NaSi2Pd3,46
mp-865495,V2CrTc,104
mp-569989,Nb2C,121
mp-28770,Ca2FeN2,45
mp-38394,Ba(AlTe2)2,13
mp-10180,Li2SbPd,36
mp-17695,Sc5Sn3,51
mp-27891,Bi2SO2,27
mp-864920,MgZrAu2,37
mp-31168,Li2AlAg,30
mp-27660,Ba(FeS2)2,23
mp-30365,BeAu,41
mp-754671,YScO2,54
mp-5910,CaCuSb,36
mp-16764,RbYTe2,16
mp-23034,SrZnCl4,13
mp-38194,YOF,69
mp-11169,Ba(PIr)2,57
mp-571343,Cs(CoSe)2,26
mp-867794,Sc2CuIr,46
mp-570689,CaInPt,28
mp-443,CaAu2,17
mp-30410,Mn2Au5,37
mp-22304,Cd(InSe2)2,15
mp-12723,CaAu,19
mp-867842,ScInRh2,73
mp-7909,Al2CdTe4,17
mp-5176,Y(SiNi)2,71
mp-22759,CoBW,197
mp-19247,ScVO4,42
mp-20395,VAsRh,77
mp-21236,BaPPt,32
mp-866161,VRh3,129
mp-865533,Ti2ReOs,109
mp-5920,LiAlGe,51
mp-581733,Zr4CuP,49
mp-22980,Li2CoCl4,15
mp-862657,LiCuPd2,49
mp-30461,BiPd2Pb,24
mp-29641,GeSb4Te7,17
mp-977230,Li3Tc,13
mp-4076,VCoSb,57
mp-510346,In5Se5Br,14
mp-24990,NdFeO3,80
mp-862664,Rb2Zr2O5,42
mp-2313,MgIn,16
mp-569886,KIn9Ni2,19
mp-13572,ScSiPt2,78
mp-10010,Al(CoSi)2,99
mp-4370,Sr(AsPd)2,35
mp-865664,TiRe2W,147
mp-21907,NbSiAs,105
mp-754326,NaAgO2,31
mp-19917,ZrSiTe,40
mp-19765,In2HgTe4,13
mp-865485,V2CrOs,127
mp-15236,CrSbSe3,20
mp-213,CaPd,22
mp-865587,Y2CuRh,37
mp-567462,Sc3RhC4,117
mp-3274,NiGePd,53
mp-11873,TlAsPd5,51
mp-23056,Sr2BrN,27
mp-865523,TiMnRh2,76
mp-570670,YOs2,50
mp-7798,MgGeN2,85
mp-29088,Sr3(GeN)2,31
mp-861616,LiSc2Ir,37
mp-558518,K(NiS)2,23
mp-567982,TaSn2,52
mp-7433,NaCuSe,21
mp-18468,Mn5SiC,120
mp-862316,LiBePt2,82
mp-865026,Mn2VSi,130
mp-862704,ScZn2Pt,61
mp-2728,MnIr,190
mp-566330,Sr2MnMoO6,58
mp-643945,TiFeH2,75
mp-9919,LiZnSb,27
mp-3539,NbGaNi2,51
mp-864985,MnZnIr2,101
mp-12716,LiTlPd2,38
mp-22580,ZrGaNi2,31
mp-10198,Mn3PdN,74
mp-29011,BiTePd,26
mp-13911,Ca(ZnGe)2,20
mp-16271,Li2CdSb,18
mp-865032,Mn2RhPt,82
mp-864950,MnAlIr2,112
mp-12622,SrPdF4,24
mp-12558,LiMgAs,37
mp-9987,Nb2PC,144
mp-9566,Sr(MgSb)2,26
mp-864631,LiNbRh2,66
mp-11621,ZnNiSb,36
mp-10527,Y2AlSi2,55
mp-865805,TaZnCo2,84
mp-20533,SrIn2Pt,29
mp-10155,P2Ir,134
mp-774003,VRhO4,97
mp-19845,TiPbO3,91
mp-861961,TiZnRh2,84
mp-13416,Sc2InNi2,44
mp-977463,MgMnRh2,68
mp-31502,ScCd7,21
mp-9999,Ni(BMo)2,182
mp-605034,K2NiF6,10
mp-10300,ZrMoP,115
mp-20098,Ba2PbO4,44
mp-862702,Sc2AgHg,37
mp-25730,Bi2WO6,50
mp-865147,Be2CuRu,99
mp-22701,ScFeSi,65
mp-20175,Sc2InC,55
mp-568747,K(NiSe)2,19
mp-3637,YOF,65
mp-2323,BeCu,84
mp-4472,BMo2C,186
mp-3078,CdSiAs2,33
mp-867187,ScInIr2,83
mp-755378,NaPdO2,47
mp-13944,Li3AlN2,102
mp-999198,BMo,193
mp-754515,BaMgGe,24
mp-756630,DyAlO3,115
mp-753197,HfTiO4,76
mp-20860,Mn3SnC,117
mp-22258,HfSiMo,109
mp-568974,Ca(CuSn)2,29
mp-862362,Sc2TcPt,61
mp-866033,AlZnRh2,81
mp-29026,MnWN2,113
mp-5489,LuTaO4,66
mp-13983,ZnPdF6,29
mp-11770,CoCu2SnS4,29
mp-864978,Mg2AgAu,36
mp-984718,BAs,128
mp-12571,HfBeSi,119
mp-4150,Ca(MnSb)2,18
mp-3534,Ge2Sb2Te5,16
mp-571216,Sr3(AlGe2)2,33
mp-16246,CdSbAu,14
mp-12666,Be12Pd,92
mp-12532,KAg2PS4,15
mp-11256,ScAu,39
mp-16613,AlAuO2,85
mp-5414,NaSbS2,16
mp-996995,MnAgO2,46
mp-715,ZrIr2,127
mp-10616,BaLiAs,24
mp-867699,Li4TiS4,15
mp-864798,HfZnIr2,92
mp-30842,ZrPd3,80
mp-2553,HfBe2,107
mp-16564,ZnCu2SnSe4,26
mp-861918,Sc2TlCd,33
mp-7910,Al2HgTe4,17
mp-10848,AsPdS,37
mp-27606,ZrAs2,72
mp-561475,V2MoO8,44
mp-30866,Rh3W,133
mp-1008527,B2CN,280
mp-865229,Be2NiIr,114
mp-862366,Sc2TlAg,34
mp-6326,LiAlSiO4,48
mp-10455,YTiGe,57
mp-866071,MgTaOs2,102
mp-6962,Ba(AsPd)2,35
mp-571622,Be12Pt,90
mp-10055,Co2B4Mo,179
mp-23237,BiF3,36
mp-9251,TlTe3Pt2,19
mp-865652,TiMn2Si,108
mp-571443,SrMgIn3,22
mp-867802,Sc2CuOs,54
mp-7885,AlAgS2,32
mp-600125,HfInCu2,55
mp-22079,AsRh,62
mp-865525,YCdHg2,22
mp-22315,HfCoSn,74
mp-10847,NiSbSe,48
mp-12520,SrNi2Ge,37
mp-1014257,Ti3ZnN,93
mp-12083,CrIr3,220
mp-10435,Y(AlSi)2,44
mp-4385,CdCO3,34
mp-675078,Ba(FeS2)2,23
mp-801,Mo3Os,125
mp-4656,Y(Al2Fe)4,86
mp-7928,K2PtS2,20
mp-4590,Mg(GaO2)2,83
mp-570377,Sn3As4,22
mp-21023,Ti3SnC2,112
mp-865020,HfMgIr2,99
mp-6179,KLiSO4,19
mp-31339,ScInPd2,42
mp-11947,LiAlAg2,35
mp-861910,Sc3Hg,35
mp-4586,LiAlTe2,14
mp-13160,YZnGe,56
mp-1475,Be12Mo,151
mp-20202,MgSn4Ru,50
mp-568436,Sr7GeN6,39
mp-21851,MnSiIr,78
mp-30847,TiSnPt,57
mp-541937,Zn(InS2)2,19
mp-5794,Zn(GaO2)2,83
mp-862703,Sc2AgAu,32
mp-9023,ScSiAu,64
mp-2123,Nb3Au2,62
mp-31297,ScInPt,39
mp-21508,Y2Pd2Pb,30
mp-3081,BeAl2O4,147
mp-865925,LiZrIr2,53
mp-11879,BaNiSn3,32
mp-10200,ZrBeSi,117
mp-554212,Tl2Ni3S2,23
mp-14091,AlAgSe2,19
mp-9025,YSiAu,48
mp-559264,Bi2PdO4,31
mp-5475,NaTaN2,110
mp-4789,PrRhO3,67
mp-865520,YCdPd2,29
mp-22535,HfPbO3,90
mp-3871,Ti2SnC,92
mp-3363,Sc2Ni2Sn,39
mp-31328,MnInPd2,43
mp-863744,Ca2PdAu,23
mp-1156,GaSb,31
mp-867194,Sr(MgAs)2,35
mp-866159,YZrRu2,65
mp-16043,Mg(As2Rh3)2,54
mp-4875,GdTaO4,67
mp-754363,Ba2HfO4,61
mp-865092,MgGaNi2,53
mp-867146,ScNbRu2,93
mp-7829,MnNbSi,112
mp-31496,Li2Sn2Au,23
mp-19877,ZrNi2Sn,48
mp-15778,MgNiSb,42
mp-20805,PdPbF4,19
mp-22302,ZrVP,111
mp-10271,ZnCo3C,117
mp-1008610,AuN,32
mp-11541,ZrOs,99
mp-10846,NiAsSe,55
mp-8969,Mg2Ni3P,70
mp-417,MnRh,85
mp-9961,Ti2CdC,63
mp-20146,Zr2Ni2Sn,60
mp-8281,Ba(CdAs)2,27
mp-862321,LiAsPd2,36
mp-13947,Rb2HfF6,11
mp-30836,TaPd3,94
mp-30871,Ta3Sn,28
mp-1260,SrPd5,48
mp-644229,Sr(AlH)2,38
mp-3862,Ca(AlGe)2,40
mp-540832,EuFeO3,71
mp-864916,Hf2TcRh,91
mp-11547,YTlPd,30
mp-569344,Zr(CoSi)2,109
mp-12631,SrTcO3,60
mp-31348,Sc2In,39
mp-505368,As2Pb3O8,22
mp-9958,Ti2GeC,105
mp-17481,Mg4Ta2O9,78
mp-867909,ScCdRh2,53
mp-862586,Re3Pd,174
mp-17862,Ag3Ge5P6,37
mp-2006,V3Ir,125
mp-22396,Nb4SiNi,100
mp-867896,ScZnCu2,33
mp-4488,Sr(FeAs)2,46
mp-5928,Al2CdS4,24
mp-7771,Sr(CdAs)2,28
mp-31469,Hf5CuSn3,63
mp-5166,Ca(AsPd)2,28
mp-862725,ScTc2W,87
mp-29076,FeWN2,135
mp-640024,HfInNi2,59
mp-4822,Y(SiPd)2,54
mp-9514,Mg(AlC)2,105
mp-866152,TiBeCo2,102
mp-22179,YTiSi,51
mp-30807,ZrNi4Sn,63
mp-5078,SrZnF4,22
mp-7350,Li(YSi)2,50
mp-862372,Sc2RuRh,60
mp-865807,Ti2MoIr,89
mp-9960,Y3TlC,64
mp-20708,In2Ni3S2,35
mp-5251,Ca4CN4,34
mp-560023,NiSnF6,33
mp-864976,Mg2AgIr,43
mp-7770,Sr(ZnAs)2,34
mp-754311,Mg(ReO4)2,15
mp-11269,BaSn3Pd,25
mp-10059,ZrCo3B2,138
mp-4627,CoAsS,107
mp-865500,Na2Hf2O5,28
mp-644225,Sr2MgH6,37
mp-22546,CoAsRh,63
mp-4551,SrHfO3,103
mp-11300,TiCdHg2,31
mp-569250,VIr,120
mp-5149,NbAlCo2,93
mp-8861,Rb2MgF4,22
mp-603,Be2Ag,85
mp-866171,YMgAu2,19
mp-865531,TiMn2Al,86
mp-21249,YMnSi,59
mp-867689,LiCuS,23
mp-20695,Zr3In,54
mp-13079,Mn2AlCo,111
mp-11237,ScAg,35
mp-18198,ScSnPt,57
mp-11557,ScRe2,76
mp-753722,LiCuS2,21
mp-7089,KMgSb,15
mp-999133,TaPd,83
mp-10445,Sc6FeTe2,36
mp-21029,Li2InPd,26
mp-639910,Y(Sn3Ru2)2,56
mp-31081,Sc(MnAl2)4,78
mp-36800,MgTaN2,177
mp-865591,Ti2NiMo,79
mp-20310,LiInSe2,14
mp-8621,K2PtSe2,16
mp-867120,TaMn2Al,110
mp-978290,Mg3Os,45
mp-16481,TiAlAu,59
mp-18778,Zr(WO4)2,30
mp-1677,Be2Mo,150
mp-13903,ZnSnF6,28
mp-861666,LiRu2W,85
mp-25036,YbMnO3,102
mp-29809,Ca2GeN2,54
mp-1129,ScIr,76
mp-865669,TiSiTc2,88
mp-865486,VZnRu2,87
mp-1606,NbAu2,70
mp-20791,MnVAs,26
mp-20257,AsPd3Pb2,29
mp-19809,MnCoSi,88
mp-11278,Ta2Be,118
mp-865496,VIr3,188
mp-569106,Yb2CdSb2,23
mp-865948,Ti2ReRh,102
mp-11977,LiSnAu,19
mp-10046,V2AsC,120
mp-8017,AlCuTe2,26
mp-756490,Li6MnS4,27
mp-867922,ScAlRh2,84
mp-3159,Al2CdSe4,21
mp-8547,PdPtF6,26
mp-15819,Mn3Al9Si,79
mp-819,HfCr2,68
mp-19387,CdWO4,44
mp-864654,Zn2NiRh,67
mp-12954,CuBS2,67
mp-1782,ScSe,44
mp-557686,ZrVF6,44
mp-27865,KMgCl3,16
mp-10374,Cr3PtN,161
mp-7173,ScSbPt,54
mp-570452,Y(SiAu)2,48
mp-861901,LiGaCu2,48
mp-28835,LiScI3,11
mp-16566,Cu2SnHgSe4,22
mp-22725,TiInCu2,57
mp-7650,RbScO2,59
mp-11038,Zr6Al2Fe,48
mp-867281,Tc3Pt,176
mp-867280,Be2IrPt,129
mp-2540,VTc,129
mp-12585,CrRh3,157
mp-21894,LiSn4Ir,49
mp-865795,LiSc2Ru,33
mp-861610,Tc3Pd,148
mp-29152,Zr2CoP,80
mp-756638,NbRhO4,96
mp-978534,SiGe,57
mp-865930,TiZnCu2,63
mp-862258,Sc2ZnPt,44
mp-867924,LiCdPd2,28
mp-996983,AgAuO2,23
mp-10154,MnSbIr,41
mp-966800,InP,32
mp-779517,Sr3Hf2O7,82
mp-2781,ScPd,39
mp-643009,SrMgH4,27
mp-605028,Te2Pd3Pb2,18
mp-29154,Hf2CoP,89
mp-1361,IrSe2,55
mp-754850,NaTiS2,32
mp-568809,Ba5Al5Pb,18
mp-9272,TlPt2S3,20
mp-3033,RbTaO3,30
mp-1400,HfW2,95
mp-510347,In5S5Br,17
mp-867786,ScNbOs2,115
mp-30745,Ir3W,195
mp-13272,BaAlGe,34
mp-754826,CsScO2,19
mp-703260,PbWO4,24
mp-10343,Sc2BC2,90
mp-13570,Mg(ScGa)2,52
mp-569603,BaCa4(CuN2)2,32
mp-8208,Mg(PtO2)3,79
mp-3917,Cd2GeO4,34
mp-862290,LiFeRh2,67
mp-2319,P2Os,163
mp-866121,V3Os,109
mp-22609,Eu(CdP)2,35
mp-864921,MgZrIr2,82
mp-12956,Yb(FeP3)4,108
mp-19356,YbMnO3,48
mp-13137,Hf2CS,124
mp-977580,MgSc2Al,51
mp-19713,Sc3In,39
mp-862604,Re3Ni,177
mp-11959,CaSn2Rh,35
mp-5690,GdScO3,81
mp-38605,Sn(BiTe2)2,15
mp-505822,TiSiRu,81
mp-5671,Sr(CoP)2,48
mp-625397,Nd(HO)3,26
mp-7604,Mg3NF3,81
mp-21301,ScInNi2,53
mp-12480,ScPPt,71
mp-14433,NaGe2N3,80
mp-1235,TiIr,82
mp-675163,Mn(CuCl2)2,14
mp-20325,Ti3InC,93
mp-8927,TaCuN2,90
mp-16254,BaCuP,37
mp-2142,Te2Os,90
mp-952,MoPt2,143
mp-10908,AlRe,96
mp-30423,VAu2,48
mp-22467,Sn(PbO2)2,23
mp-761842,Hf3SnO8,81
mp-16272,Ce(FeP3)4,132
mp-21199,Na3(GePt)4,26
mp-771123,ScFeO3,74
mp-8603,RbAgO,11
mp-16548,ZrTiF6,43
mp-27438,TlBiTe2,20
mp-22268,ZrPRu,109
mp-30366,Ca3Au,12
mp-865471,VGaTc2,84
mp-865472,VSiTc2,103
mp-345,HfB,96
mp-579496,Fe3PtN,101
mp-685935,CdGeO3,16
mp-30820,Li2AlRh,41
mp-29615,Ca(MnBi)2,15
mp-644389,Li2H2Pd,32
mp-510409,TiSiNi,106
mp-14092,AlAgTe2,18
mp-20424,MgCo3C,116
mp-557291,BaCoF4,25
mp-623134,ZrInCu2,55
mp-6459,CaMg(CO3)2,49
mp-27198,Cd(NO3)2,11
mp-13070,Sc2AlC,57
mp-4500,ZrNbP,102
mp-28897,BIrPd,80
mp-28896,CuBIr,72
mp-20661,Ti2PbC,73
