mpid,formula,mu_b
mp-1099040,CaMg14CoO16,2.9999691000000004
mp-862800,PrI3,3e-06
mp-1030522,MoWSe3S,-0.0024943
mp-2283,ZrCo,0.6152643
mp-705240,Cr4(PO4)3,59.99739570000001
mp-1094883,MgGa,-1.8e-05
mp-11318,CePt3,-0.2446663
mp-30059,Tl2(SbO3)3,3.9999995
mp-1098807,SrMg30FeO32,3.9999989
mp-7404,Na3SbO4,0.0
mp-561586,CsLaS2,-5e-07
mp-646192,NaCrF6,4.0002578
mp-1094902,YMg,0.3681932
mp-745120,CrH10SNO10,4.0100851
mp-1018693,Eu2H3Cl,14.000001500000002
mp-570184,ThPd3,1.4300000000000005e-05
mp-626448,H4SO5,0.0019342
mp-764573,LiFe2(BO3)2,35.9995024
mp-778703,Li4Mn3F10,29.9976344
mp-4076,VCoSb,0.9999997
mp-22230,BaPbO3,1e-07
mp-31083,PrSi2Ru,1.32e-05
mp-12487,CsDyCdTe3,-0.0007052
mp-770560,Na4Cr2C4SO16,11.9949166
mp-1018825,NdPbAu,0.0009774
mp-764164,Mn6O5F7,50.0031424
mp-1097265,Y2ZnOs,-1.58e-05
mp-1028190,CaMg14Al,-1.92e-05
mp-1093727,LiMg2Au,-0.0
mvc-9645,BiO2,1.8003928
mp-19261,Na3MnPCO7,10.000001
mp-764078,Li4TiMn3O8,39.0055361
mp-542833,Zn3(BO3)2,-2.2e-06
mp-765880,Mg3Fe2O5,7.9999852
mp-1036089,LiMg14MnO16,4.0000008000000005
mp-630875,Ca2In4Au3,0.0037839
mp-866943,Ca2SnS4,-0.0079778
mp-559849,Ca(GaO2)2,6.850000000000001e-05
mp-561190,NaAu(SO4)2,0.0013146
mp-27246,LuSBr,-2.0600000000000006e-05
mp-11646,Cd(C2N3)2,-0.0005836
mp-7938,KNbS2,-4.3e-06
mp-13002,K2SiF6,0.0
mp-974959,Rb3Li,-0.0008908
mp-776806,Li4V3Fe3(SnO8)2,17.011380300000006
mp-20672,Hf3P2,-5.700000000000001e-06
mp-3827,KFeS2,-0.0015527000000000002
mp-28617,In3Sb5O12,0.0
mp-639662,CrF5,4.0019489
mp-569052,AgSe3I,-6.409999999999999e-05
mp-775176,Li4FeTe2WO12,4.1541218
mp-697657,CaP4(HO6)2,0.008713799999999999
mp-567424,K8NbAs5Pb,0.0186173
mp-984598,AuS,-0.0028940000000000003
mp-557888,K5U2O4F9,-9.55e-05
mp-19710,Tb3Fe5O12,100.0024809
mp-754322,Sr2CuO4,-0.000126
mp-1034524,SrMg14CrO16,4.008702
mp-849504,Ta2CrNO5,6.0009431
mp-643738,Eu(MgH3)2,-6.9988503
mp-1001024,Y2MgS4,-0.0006251000000000001
mp-1080268,CeSe2,2e-07
mp-1039843,Mg30SiBiO32,0.0278141
mp-1075649,Mg5Si9,1.13e-05
mp-1097120,LiSiAg2,1.7987511000000005
mp-1093760,K2RbBi,1.5402088
mp-558958,H2O,-1.3699999999999998e-05
mp-1079517,La2MnNiO6,4.9999992
mp-32307,Sr2ReNiO6,0.9773973
mp-20840,MnCo2Sn,5.0335915999999985
mp-32472,LiV(PO4)2,0.0
mp-540570,MgVO3,2.0000012
mp-861500,PrB2HF10,-3.65e-05
mp-1106,Sr2Si,-0.0001715
mp-767190,VOF,11.9999442
mp-863674,ErMgHg2,6.2e-05
mp-776914,Li4NbFe(TeO6)2,4.9982581
mp-778279,NaLiMnP2O7,9.9976511
mp-675755,TiCu3O4,0.0008923
mp-768281,Ho2Ge2O7,0.0008420999999999999
mp-763193,Li2VO2F,10.0000793
mvc-4236,Mg3Ag2(GeO4)3,-0.00010270000000000004
mp-22735,Ca2Sn,0.0002125
mp-775035,Li2NiSnO4,2.0004626
mp-1070391,Ti2H2Pd,0.0034067
mp-553963,YbSeO3F,4.0006898999999985
mp-1073644,MgSi2,1e-05
mp-541403,Hg7(P2Br3)2,1.4e-06
mp-20542,Pr(MnGe)2,4.1021691
mp-850766,LiV2P4(HO8)2,3.0016972
mp-24982,Fe2PO5,36.00000379999999
mp-30854,UPt2,-0.034361199999999995
mp-770040,Lu2WO6,1.59e-05
mp-631462,BeTcSe,0.0001896
mp-1079608,PrFeAsO,7.7619586
mp-1500,BaS,0.0
mp-867599,Li2Cu3F9,-1e-07
mp-566599,La(IO3)3,0.0
mp-541180,Te3Pt2,0.0010765
mp-764737,Li3V2(O2F)2,11.9988699
mp-1062306,MnSiNi,2.9984408
mp-765057,Li5FeNi3O8,18.0019373
mp-973983,NiPd3,-0.0099889
mp-1033949,Mg14NbCrO16,7.210812400000001
mp-1037596,RbMg30FeO32,-3.0000002999999995
mp-13363,SiPt3,1.1e-06
mp-1025504,TmGa2Ni,-1.32e-05
mp-23933,AlH3,8.2e-06
mp-134,Al,-5e-07
mp-1030869,Mg6SiBO8,1.0175348
mp-631482,BiMoRh,0.0015094000000000002
mp-8129,NiC2(SN)2,1.9999997
mp-555240,BaVS3,1.7159082
mp-4698,K2Ge8O17,0.0
mp-23228,PCl5,0.0
mp-973890,HoHfRu2,0.0001274
mvc-1355,Ba2Co3O7,10.0083361
mp-1074891,Mg7Si4,6.03e-05
mp-585244,LiFePO4,8.000003699999999
mp-4734,NaPO3,1.8e-06
mp-976437,Gd3MnB7,42.09285379999999
mp-772089,SrLaCl5,1.12e-05
mp-685050,Nb16N9,-0.0027741
mp-12737,YB2Rh2C,-1.86e-05
mp-776148,Li20Co21O40,-1.0
mp-8876,Ca4Al6SO12,-0.0002324
mp-24362,CuH6CN2O3,4.0000014
mp-975364,RbCuO3,-2.1883016
mp-780581,Fe4O3F5,38.0000011
mp-19094,VO2,7.999996799999999
mp-752525,LiAgF2,-0.0009583
mp-698446,H24PtC8(NF3)2,-0.0004221
mp-771726,MnV4CoO12,8.001639599999999
mp-542777,CePt5,0.001695
mp-1032440,BaMg6FeO8,3.9994282
mp-569334,NdMn2,0.058852199999999986
mp-7883,Ca(GeAu)2,-1.5e-05
mp-762889,Li3Co2(CO3)4,14.0004163
mp-975663,Pr(CoB)4,0.0062438
mp-667447,TeAs(SeF3)2,0.0018989
mvc-5126,Si2MoO6,4.0
mp-1025009,CoNiSb,1.6326937
mp-556436,Sb2BrF15,-0.0211382
mp-765020,Sr24Fe16O53,69.8622864
mp-778387,Ba5Y3F19,0.0
mp-9244,LiBC,0.0
mp-1076119,La2Ag2O5,0.0001483
mp-1096716,CaYCd2,1.0
mvc-6922,CaSi2NiO6,15.921896300000002
mp-861962,BaSb2F12,0.0
mp-866137,LuSbRh2,5.13e-05
mvc-14045,Y2Co2O7,4.0133316
mp-558243,Ba2InClO3,0.0
mp-850190,Li4Ti(TeO4)3,0.000786
mp-30491,MgCd3,2.77e-05
mp-2903,UAl3Ni2,0.0016097
mp-705096,Sr3La7Mn8(FeO15)2,38.9999979
mp-558632,KNaSO4,-0.0003109
mp-770391,Li2CrO2,4.0000135000000006
mp-643896,Na2Hf(HO)6,-1.44e-05
mp-978514,SmTm3,0.0014341
mp-32532,VRe2O9,1.9999999
mp-1019083,ReN2,0.0036629
mp-562634,Na2Mn2S3,39.9969903
mp-686482,K2YTi(PO4)3,-0.0018381
mp-1018097,BaCaO2,-0.0001274
mp-766737,LiVF4,8.000705900000002
mp-1095177,SiNi,1.4800000000000002e-05
mp-1076485,Ca7MgMn8O24,24.97629
mp-620029,MoCl2,-0.00041260000000000016
mvc-2220,P4WO12,3.9996332
mp-1032818,YMg6SnO8,0.9496942
mp-1891,SmAl4,0.0022492
mp-571302,Pr3(Al2Si3)2,0.0031098
mp-779266,Li3Si2(NiO4)2,-1.9999978
mvc-15464,La2MgCoO6,5.0000004
mp-676863,Cu7PSe6,0.0
mp-569450,LiB6C,-3.1e-06
mp-997005,CaAgO2,-0.000445
mvc-10530,MgTi2Be3(SiO4)3,15.195623800000002
mp-565515,Fe2PO5,18.000061
mp-585305,Li9Bi3P8O29,-0.0005317
mp-32521,Li2V2(PO4)3,11.999999699999998
mp-770086,FeNiO3,4.0
mp-504222,MoP2O7,7.9999999000000015
mp-3441,Y(SiRh)2,0.0003526
mp-1079627,PrAlH6,2e-07
mp-850077,LiMn2(BO3)2,27.005247600000004
mp-755448,Rb2SnO3,0.0008357000000000001
mp-771284,Li24Ti7Cr5O36,9.9986673
mp-1016069,CrN2,0.0
mvc-16757,Ti2AlO4,0.0003494
mp-765933,Li2V2O5F2,-0.000401
mp-997525,Li4Co15O28,6.9999997999999986
mp-559112,K2Zn6O7,-0.0016057000000000005
mp-862914,Er2ZnTc,-1.19e-05
mp-776246,Zr2N2O,-0.0017491
mp-770914,Na3Li3Fe2P2(CO7)2,7.999585400000001
mp-1077252,Cr2Ni,6.4e-06
mp-19323,SmVO4,2.84e-05
mp-15120,RbFe2Se3,0.013124200000000004
mp-541430,BaLaCuSe3,-0.0003969
mp-616539,FeC3SeO3,0.0
mp-1100418,ScTlCd,-0.0001967
mp-1040138,LiMg30SiO32,0.0
mp-29880,Sm2SCl4,-0.00032030000000000003
mp-864892,NdAgAu2,0.0009473
mp-1096667,TaBeOs2,1.8618357
mvc-7838,MgTi4(CuO4)3,2.9794066000000003
mp-765696,Na4(NiO2)5,3.9998958
mp-867922,ScAlRh2,7.950000000000001e-05
mp-1097576,CaTlAu2,-1.3699999999999998e-05
mp-30569,Zr6Co23,26.7327592
mp-773120,Mn3CrO8,22.0007157
mp-1028105,LaMg14Mn,3.7732347
mp-1021157,CsMg6Si,0.0002389000000000001
mp-569019,Gd3Ti2MnSi3,34.33041729999999
mp-769015,DyGaO3,-0.0015006
mp-686836,MgTiNb2(PbO3)4,-0.00031919999999999995
mp-1007910,NaEuS2,6.004796
mp-1016216,Mg3Si,0.0009734
mp-505692,Np5Ge4,-0.0263129
mp-1026402,HfMg14Bi,0.0001543
mp-3731,LiNbO3,-7e-07
mp-556995,Nd2O3,-1.55e-05
mp-640791,Nd5Si4,0.0918642
mp-1026647,Mg14CdC,-0.0
mvc-12191,Y4(Cu2O5)3,3.7682686
mp-3065,Ho(FeGe)2,4.582924299999998
mp-972300,Sr3Lu,0.4437619
mp-779872,Li2V2P7HO24,-0.0006971
mp-5794,Zn(GaO2)2,-5.31e-05
mvc-776,CaFeO3,15.9862848
mp-626303,MnHO2,16.0000013
mp-510549,K3B12H12Br,0.0003903
mp-1646,Li3Hg,0.0021557
mp-11560,TiSiRu,-7.000000000000003e-06
mp-25183,Ca2PdWO6,3.9776563
mvc-12645,CaV2O4,16.0000017
mp-624009,Fe2TeWC10SeO10,-0.0013315
mp-1099885,La3SmV2Cr2O10,111.7949856
mp-673798,K3ClO,-0.0004604
mp-1077452,KMnCl,9.9209845
mvc-5121,Mg(BiO2)2,0.0007651
mp-1013702,Ca3BiP,-0.0003135
mvc-11489,Ca2FeN2,0.4117891
mp-998159,TlFeF3,4.0001347
mp-690559,NaLa2Ti2MnO9,8.0041128
mp-753260,LaAgO2,-4.2e-06
mp-1028005,Mg14ZnMo,0.000533
mp-10476,NaEr(SO4)2,0.000279
mp-21757,Eu3Al5O12,71.9999889
mp-585362,LiCoPO4,12.000134
mp-775655,Li4Mn3Cr2Sn3O16,17.0008825
mp-865232,TlPd2Au,-3e-07
mvc-10169,Ba2Co2F11,26.9972156
mp-762873,Fe3OF5,25.9999619
mp-23803,GaHO2,-6.850000000000001e-05
mp-558102,KLiSi2O5,-0.0013543
mp-1011834,Na2CoP2O7,12.0000001
mp-2948,Si2N2O,0.00019980000000000009
mp-776758,Li2Fe3F8,47.9987814
mp-560120,Na2Pd(NO3)4,0.0002568
mvc-5927,Mg2BiWO6,0.9962203000000002
mp-571478,SnHg7(As2I3)2,-0.0072276000000000016
mp-772324,Li3MgNi3O8,1.0003585
mp-771031,Lu2TiO5,0.0001831
mp-541628,CsTeF5,1.4e-06
mp-770718,Mg(IO3)2,-0.0008745
mp-755040,Cu2O3,0.9794385
mp-1028930,MoW3(SeS)4,-0.0
mp-767045,Li2MnO2F,15.999610199999998
mp-28426,B2PCl2,0.0022232
mp-853153,Li5Co2O2F5,5.9998418
mp-19409,Mn(AsO3)2,5.000000599999999
mp-639748,SiO2,0.0004678999999999999
mp-1076092,Sr7CaMn2(Fe3O10)2,151.6879784
mp-756876,K3BaPCO7,-0.0010308
mp-977426,NbCo3,0.0214531
mp-974850,Rb3Nd,2.1748919
mp-34196,Ca(Sm2Se3)4,0.0015015
mp-14526,Na4Hf2(GeO4)3,0.0
mp-850168,Li5Mn6(BO3)6,58.0180696
mp-722790,CeP2(HO4)2,7.9392076
mp-980001,YbPr3,-0.0009398
mp-669377,Ba2CaWN4,0.0003237
mp-11248,LiAu3,-3.89e-05
mp-1022736,YMg6Nb,3.7346315
mp-9577,Ca3(AlSi)2,3.6000000000000007e-06
mp-18247,Sr3ScRhO6,-6.670000000000001e-05
mp-673848,Ce2Dy2O7,-0.0030633
mp-555618,Na2MnF5,16.0000521
mp-1033938,CsKMg14O15,-0.0
mp-29186,La(SiP3)2,0.0
mp-770586,Li3AlCrO5,7.9995300999999985
mvc-2904,Ca4Sn5(TeO6)3,-0.0
mp-997052,RbAgO2,-0.000667
mp-532427,Li47Mn5As19,4.9530768
mp-8230,Zn(PO3)2,0.0
mp-1038048,BaMg30MnO32,5.0000003
mp-542441,V3O5,9.9999996
mp-545481,Ca2Cu(BrO)2,-9.1e-05
mvc-16045,Sr4CaCr2(SO3)2,5.9847782999999986
mp-696618,CaB2(H2O3)2,-0.0003241
mp-1076584,La6Sm2V3Cr5O24,20.9999959
mp-21813,U2Nb3Ge4,0.0164961
mp-27578,As(S2F3)2,1e-07
mvc-8288,Ca3Fe4(MoO4)6,18.0032484
mp-1026356,Te4W3Se2,-0.0010769
mp-18983,ErNiO3,4.0000005
mp-771594,Na3VPCO7,6.0010105000000005
mvc-641,AlAg(WO4)2,0.0
mp-540574,Cs2Hg3I8,-6.900000000000003e-06
mvc-4678,Mg(SbO2)2,-0.0
mp-775353,Li5Mn(SiO3)4,24.0073048
mp-555487,SnO2,0.0002222
mp-743987,Ti3V2O9,8.0014025
mp-19265,DyNiO3,3.9998227
mp-1036862,Mg30NiBiO32,0.9999984
mp-773983,Li2MgCr3Se3(SO8)3,10.0002524
mp-24946,CaFeO2,8.0002385
mp-669355,Fe2Mo4C,-5.202956
mp-670,NbCo2,0.8414421999999999
mp-1025102,CeAl3Pt2,0.4161857
mp-756276,CeHfO4,-0.0001249
mp-40573,FeCu2H21(O5F4)2,7.0013819
mvc-7964,CrAs2O7,7.9999955
mp-1098181,Mg30BCO32,0.9999999
mp-12613,LaNiSn,-1.9e-06
mp-1098944,BaMg30NiO32,1.9998533
mvc-3999,Ca2Mo2O5,0.0
mp-850,ScNi2,-5.11e-05
mp-21949,K4PbO3,-0.0025173
mp-20476,In2CuO4,0.0002372
mp-766754,Li2NiP2O7,8.0001617
mp-767775,Li6MnCr3(PO4)6,12.9991216
mp-1095587,LaGaPt,-2.2e-06
mp-31573,Co(PO3)4,19.9999998
mp-672306,Ba6In5N,-0.0021625
mp-23750,SiH9C4F3,0.0
mp-771206,Li4FeCo5O12,3.051943
mp-1095831,InCuAu2,-0.0
mp-1066136,YPd,-3.8e-06
mp-556769,K2CoS2,5.9999999000000015
mp-1006226,ZnBi,0.010053200000000002
mp-23521,Rb2CrCl4,3.9999999
mp-21037,U2FeS5,11.3712666
mp-1959,PuO2,4.0000001
mp-767942,Li3Fe3CoO8,13.9998327
mp-759928,K3TbSi3(HO5)2,0.017407699999999998
mp-13139,SrLiGe2,0.0
mp-6245,K5Nb4O12F,3.65e-05
mp-1031754,CaHfMg6O8,0.0960795
mp-932,ScGa3,-2.6e-06
mp-1097211,TiV2Os,4.0000003
mp-763391,Li2Co(SiO3)2,6.004306099999999
mp-19389,Ba2NdMoO6,1.0000001
mvc-9356,PrZn(BiO3)2,-1.46e-05
mp-973815,Pa3Ta,0.004734899999999999
mp-764905,Li2Mn3F8,29.9996814
mp-782635,Fe3(O2F)2,27.982555800000004
mp-974770,NdZn2Cd,0.0003218
mp-565829,Cr2HgO7,0.0031839000000000004
mp-1021320,Mg6TiBi,3.109195
mp-1008556,AlGaN2,0.00012450000000000002
mp-864965,Mg2RhAu,0.0001006
mp-756821,LiAgF3,4.0034396
mp-770264,Li4Cr3CoO8,25.9984384
mp-624299,Cu7S4,0.0003448
mp-12572,CaPd3C,-2.12e-05
mp-1026762,LaMg14Ga,1.5e-06
mp-550925,NaScAs2O7,-1.22e-05
mp-1032516,Mg6TiFeO8,5.7168984000000025
mp-6178,Cs2KTiF6,1.0
mp-771447,Na3Li3Fe2P2(CO7)2,8.0002409
mp-979948,SmNiB4,-0.0023996
mp-554532,K2TeClF5,-0.001172
mp-607721,NdZnRh,0.0007111000000000001
mp-554873,Ag2B8O13,-0.0019751
mp-1026806,LiMg14B,7.57e-05
mp-7471,Li3AuO3,2.2e-06
mp-706228,K4Ti3Co(PO4)6,5.9988857000000015
mvc-3030,Ba2Tl2Co3O10,10.4285828
mp-764924,Mn6OF11,58.0016356
mp-608655,Mn5Si2,35.72457650000001
mp-1097469,SrLaPt2,0.35077
mp-19328,NaWO3,1.0000001
mp-542432,Sr2MnGaO5,7.9971017999999985
mp-1022242,NaMg6Fe,4.9806733
mp-1033973,KNaMg14O15,-0.0
mp-984550,CsGaH4,0.0
mp-15820,LiHoGe,-1.25e-05
mp-1093645,Ti2AlW,3.8610792
mp-569026,Nb10Se40I3,0.012718
mp-780392,Li5Cu(PO4)2,0.007688600000000001
mp-561388,FeBiO3,5.000000599999999
mp-756853,LiBSbO3,0.0001338
mvc-5774,CrWO6,0.0
mvc-12566,ZnNi2O5,7.998750999999999
mp-542939,Ba3ZnIr2O9,-0.0039795
mp-770976,Li3Mn(CoO2)4,15.168230599999998
mp-771603,Mn5Te3O16,21.0033551
mvc-477,BaTi4ZnO8,2.0149358
mp-865608,LuPaOs2,0.0010365
mvc-8582,MgMn(GeO3)2,9.9990216
mp-28754,Nb3GeTe6,6.840000000000001e-05
mp-1079386,TbZnPd,-8.03e-05
mp-1023254,CaMg6V,7.1754258
mp-24030,ZrP2(HO3)2,0.0003352
mp-6709,Ca3La3(BO3)5,-8.35e-05
mp-1094579,LiMg2,-0.0007708999999999999
mp-1028,V3Te4,6.9783913
mp-3633,Er(Al2Fe)4,5.067031
mp-21032,BaIn2Pt,-3.6000000000000007e-06
mp-989572,Cs2NaCaF6,1.0007089
mp-1093599,SiTc2Mo,2.6479558
mp-8348,TlSbF6,0.0
mp-971844,Tm6GaCo2,-0.0025946
mp-557319,InH8C4NO10,0.0023155000000000003
mp-19542,Na3Cr2(AsO4)3,24.0000029
mp-973141,ScCdCu2,0.000484
mp-20637,SmCuPb,7.9e-06
mp-532423,Li18Fe5N12,-0.1040032
mp-30584,HoCu2,-1.22e-05
mp-698312,K4H4PtC6S2(NO6)2,4.0092525000000006
mp-21089,Ce(MnGe)2,4.1354908
mp-19262,Cr2CdO4,12.0000098
mp-7642,K2AgAs,-1.35e-05
mp-672212,NaNb13O33,0.0003556
mp-14088,Rb2PdF6,-8.340000000000001e-05
mp-19064,Yb2Fe3O7,28.0858693
mp-20363,LiGa2Pt,8.31e-05
mp-571513,Rb2NbCl6,1.0004505
mp-1094937,MgCd3,-6.8e-06
mp-562504,Cs2GaP3O10,0.0015095
mvc-11547,NiO2,0.0
mp-775568,Na3Ni2P2(CO7)2,1.9122838
mp-1095601,YbCo3,12.7094086
mp-1098728,Mg30MnZnO32,5.0000021
mp-763100,LiMnF4,16.0029897
mvc-4074,SiBiO4,0.0207351
mp-542480,Na9Co2O7,28.07085
mp-975057,Rb3Dy,0.6821228
mp-1094609,LiMg5,0.0003369
mp-733853,K2HI2ClO6,0.0001758
mp-1035509,SrMg14FeO16,3.9924286
mp-554238,CuBiSCl2,4.2e-06
mp-1080347,CeSe2,-0.0
mp-1079747,Sr2Ti2As2OF2,0.0202101
mp-625924,H5NO,0.0033451
mp-31769,Sr(FeO2)2,80.0011507
mp-614981,Ba2Nd(CuO2)3,-0.0141257
mp-1019724,LiEuO2,23.9987753
mp-762924,Li4Ti2Ni3O10,7.9991692
mp-31709,Li6Cr9(PO4)8,35.9999999
mp-571094,Th7Ir3,0.0001798
mp-780745,Co3OF5,14.0000001
mp-31268,AlBiBr6,0.0
mvc-8553,MgTi2(PO5)2,-0.0
mp-25907,LiSn(PO3)4,2.4530785
mp-699370,Nb2CoO6,5.9994513
mp-10386,Sm3CrSe6,12.0000004
mp-662714,GdAs2Pd3,-6.8802607
mp-1096539,ZnCu2Au,-2.2e-06
mvc-11948,LaTiCrO6,2.0000001
mp-17682,Zr2Fe,-0.0240847
mp-646295,La8Al4I7,1.0046514000000002
mp-864654,Zn2NiRh,3.15e-05
mp-560498,H10C3NClO4,-0.0005015
mp-28034,Cu2P7,0.0001574
mp-24508,ZrH3NF4,0.0
mp-1017481,LaMg6Cr,8.2407384
mp-1009876,TcC,-0.0100231
mp-752546,LiTi4O8,-8.759999999999999e-05
mp-1014168,CsPbBr3,0.0006977999999999999
mp-1077299,ReN2,-6.2e-06
mp-39226,SrLa4TiAl4O15,6.330000000000001e-05
mp-1032929,CaMg6FeO8,3.9957892
mp-1914,YGa2,9.22e-05
mp-759870,BiOF,0.0004621000000000001
mp-1018892,PrCoSi,-0.6222654000000001
mp-755703,LiSbO2,-6.620000000000001e-05
mp-769865,VCr2O4,17.9999721
mvc-13107,VO2,1.0
mp-762693,Li3TiFe3O8,29.997388399999995
mp-762003,Li2Fe2C2O7,32.0002336
mp-9548,GeAs,0.0
mp-22344,Sn7Ru3,0.0005301
mp-758229,TiCu3O4,2.0000001
mp-27489,Ba6Fe8S15,25.2565322
mp-865558,AcTe3,0.002053
mp-983458,Tl3Cl,7.5e-05
mp-1028771,Te2W2SeS,-0.0
mp-849391,InH9(NCl)3,0.0019366
mvc-11096,MoO3,1.2549617
mp-973881,PmDy3,-0.000977
mp-19558,KFePO4F,39.99999260000001
mp-1096829,BPt,-2.9e-06
mp-600561,LiRh,0.2657948
mp-1035982,YMg14VO16,2.8371729
mp-21906,U20Si16C3,-0.1831718
mp-29000,Na3B5S9,-0.0038338
mp-554783,KUN3O11,0.0014581
mp-554171,Mg3(PO4)2,0.0
mp-676313,RbMo3Br7,-0.0165585
mp-765687,VOF,15.9999153
mp-20662,Sn4Pt,-6.47e-05
mp-704511,U(MoO4)2,16.0017801
mp-5126,ZnSO4,-0.0003153
mp-13501,ErCoC2,-1.6e-06
mp-780153,Li8FeO5F,4.9994497
mp-561397,SO3,-0.0002591
mp-6475,NaZr2(PO4)3,1.33e-05
mp-865894,YbPmAu2,-4.51e-05
mp-690674,NdAsSe,0.000904
mp-616059,K4MnMo4O15,10.0026546
mp-1096922,CrN2,-0.0008894
mp-696735,H2O,-0.000109
mp-781628,Li7Mn8(BO3)8,38.9970199
mp-849399,Mn2OF3,45.0067632
mp-1028134,CaMg14Cd,-1.82e-05
mp-781601,Mn8O13F3,26.9969403
mp-540467,Co(PO3)4,10.0240825
mp-1023130,Cu4O3,-0.0001756
mp-580562,BaGd2Mn2O7,55.99999939999999
mp-1094567,LiMg3,0.0001104
mp-25762,LaFeGe2O7,19.9995705
mp-1072041,GdCu4Au,7.059358500000001
mp-1028401,CeMg14V,-0.2970139
mp-866020,YbSmHg2,-4.120000000000001e-05
mp-25155,CsV3(SeO6)2,0.0
mp-1074792,Mg7Si4,9.000000000000002e-07
mp-566621,Li2U4W4O25,0.0059152
mp-865240,Lu2MgIn,-2.89e-05
mp-1072824,DyCuSn,-1.7e-05
mp-1096439,LiZn2Ru,2.9868133
mp-559498,K9Bi5O13,0.0003178
mp-570966,ZrP2NCl11,0.005197600000000001
mp-763126,Li4Mn2Co3Cu3O16,8.7443874
mp-772327,Mn5Cr(PO4)6,22.9992595
mp-722963,CuH20S2(NO7)2,4.3462236
mvc-6325,Zn(SbO2)2,0.0
mp-558347,K4Ba(SiO3)3,0.0
mp-631387,SnRuW,-0.0001219
mvc-13958,SbF5,0.0
mp-762885,Na5CrHO4,23.994864
mp-13001,Ba2HoTaO6,-5.5e-06
mp-556834,RuCl(OF3)2,5.9823254
mp-1033568,CsMg6SbO8,-0.0
mp-743675,Ca2Fe2Si5HO15,18.0000005
mp-13803,Nb2Hg2O7,0.0001851
mp-560660,Ba4Eu4Zn3PtO15,48.0000006
mp-1094100,Nb4CoS8,2.0232482
mp-12885,BaAl2Sb2O7,0.0
mp-991652,VCu3Te4,-0.0002692
mp-675068,Nd2Zr8O19,0.0038195
mp-19151,BaYCo4O7,25.9999998
mp-860971,ErH(SO4)2,-0.0016034000000000005
mp-560847,Nb2TlPS10,0.0017429
mp-781070,LiV2P4(HO8)2,2.0002528
mp-5546,Cu8GeS6,0.0007589
