4-BLOCK POLYMER,Electronic Dielectric Constant
C6H4-C4H2S-O-CS,3.962
CH2-C4H2S-C4H2S-CS,4.385
CH2-CO-CH2-O,2.65
CH2-C4H2S-NH-O,3.267
CH2-CO-C6H4-C4H2S,3.508
CH2-C4H2S-CO-O,3.092
CO-O-C6H4-CS,3.48
NH-CO-C4H2S-CS,3.897
NH-CO-O-CS,3.112
CH2-NH-CS-CO,3.397
CH2-CO-C4H2S-O,3.201
CH2-CH2-C6H4-O,2.979
CH2-C6H4-CS-C6H4,3.468
CO-C6H4-CO-C6H4,3.551
CH2-C4H2S-CH2-O,3.102
CH2-NH-C4H2S-CO,3.692
CH2-NH-C6H4-NH,3.087
NH-CS-O-CS,3.697
CH2-C6H4-O-CS,3.034
NH-CS-C4H2S-O,4.189
CO-C6H4-C6H4-O,3.241
CH2-NH-CH2-C4H2S,2.945
C4H2S-CS-O-CS,4.574
CO-C4H2S-C6H4-C4H2S,5.667000000000002
CO-C4H2S-C4H2S-C4H2S,6.738
CH2-NH-CS-C4H2S,3.605
NH-O-CS-O,3.198
CH2-NH-CH2-NH,2.787
C6H4-CS-C4H2S-C4H2S,6.4220000000000015
NH-CO-C6H4-CS,3.545
NH-CO-NH-CO,3.117
C4H2S-C4H2S-O-CS,4.472
NH-CS-NH-O,3.88
CO-O-C4H2S-O,3.0980000000000003
CH2-O-C4H2S-O,2.893
NH-O-CO-O,2.682
CH2-CO-O-CS,2.777
CH2-O-C6H4-O,2.923
NH-C6H4-NH-O,3.302
CH2-CH2-C6H4-C4H2S,3.429
NH-C4H2S-CS-O,4.274
NH-C4H2S-C6H4-C4H2S,5.3279999999999985
CO-C4H2S-C4H2S-O,3.78
NH-C4H2S-CO-CS,5.329
NH-C4H2S-C4H2S-C4H2S,5.7570000000000014
CH2-NH-CS-O,3.225
CH2-CO-O-C4H2S,3.072
CO-C6H4-CS-C6H4,3.9
NH-CS-C4H2S-CS,5.082
NH-CO-C6H4-C4H2S,3.995
C6H4-C4H2S-O-C4H2S,4.257
CH2-C4H2S-CH2-C4H2S,3.175
CO-CS-CO-O,3.618
CO-C6H4-C4H2S-C6H4,4.615
CH2-NH-CH2-C6H4,2.937
CH2-C6H4-CO-C4H2S,3.289
CH2-O-CH2-O,2.584
CO-C6H4-C4H2S-C4H2S,4.175
CH2-CO-CS-O,3.2430000000000003
NH-CO-CS-O,3.567
CH2-CO-CS-CO,4.12
CH2-NH-C6H4-C4H2S,3.475
NH-CS-C6H4-CS,4.128
NH-C6H4-C6H4-CH2,3.4760000000000004
NH-CO-NH-CS,3.922
NH-C4H2S-C4H2S-CS,7.0779999999999985
NH-C6H4-NH-C6H4,3.877
NH-C6H4-NH-C4H2S,3.583
CH2-C6H4-C6H4-C4H2S,3.731
CH2-C4H2S-CS-C4H2S,3.779
CO-NH-CO-C6H4,3.633
CH2-CS-CO-CS,4.466
CH2-CH2-NH-CS,3.199
CH2-C4H2S-C4H2S-O,3.529
CH2-CO-NH-C4H2S,3.233
CH2-CH2-CO-CS,3.281
CH2-C6H4-C4H2S-CS,3.988
CH2-O-NH-CO,2.8310000000000004
NH-C6H4-C4H2S-C6H4,5.032
C6H4-O-C4H2S-O,3.006
NH-C6H4-O-C4H2S,3.305
CH2-NH-CO-CS,3.244
C6H4-C6H4-C6H4-C6H4,4.105
CH2-CO-NH-C6H4,3.094
CH2-CH2-CH2-CH2,2.59
NH-CO-C6H4-C6H4,4.327
NH-CO-CS-C6H4,4.0760000000000005
CO-C6H4-CS-C4H2S,4.004
CH2-CO-CH2-CO,2.8310000000000004
CO-O-C6H4-O,2.833
CH2-C6H4-C4H2S-C4H2S,3.608
CO-C6H4-CO-C4H2S,3.571
CH2-CH2-C6H4-CS,3.407
NH-C4H2S-C6H4-CS,3.892
CH2-NH-O-C6H4,3.092
CH2-C6H4-C6H4-C6H4,3.325
CH2-O-NH-O,2.834
CH2-CH2-C4H2S-CS,3.529
NH-CO-NH-C4H2S,3.67
CH2-C4H2S-CH2-CS,3.145
NH-CO-NH-O,3.147
CO-C6H4-CS-O,3.513
CH2-CO-CH2-C4H2S,2.967
C6H4-O-C6H4-O,3.266
CH2-O-CS-O,2.982
NH-CO-C6H4-O,3.339
CH2-NH-CO-C6H4,3.069
CH2-C4H2S-O-C4H2S,3.1
CH2-CO-O-CO,2.631
CH2-CO-C4H2S-C6H4,3.5010000000000003
CH2-CO-C6H4-CO,3.154
NH-C4H2S-C4H2S-O,4.052
CH2-CH2-C4H2S-C4H2S,3.408
CH2-NH-CH2-O,2.577
NH-C6H4-C6H4-C6H4,4.011
NH-C6H4-C4H2S-C4H2S,3.944
CH2-CH2-CH2-NH,2.643
CH2-CO-NH-CO,2.818
NH-CS-C6H4-O,3.626
CO-C4H2S-CO-C4H2S,3.933
NH-C6H4-O-CS,3.418
CH2-C4H2S-CO-CS,3.491
CH2-CO-O-C6H4,2.781
C4H2S-C4H2S-C4H2S-C4H2S,8.798
CO-C6H4-O-C6H4,3.267
CH2-CH2-CH2-C4H2S,2.853
NH-CO-O-C6H4,3.234
CO-C4H2S-O-CS,4.444
C6H4-C4H2S-C4H2S-O,4.057
CH2-CO-C4H2S-C4H2S,3.971
NH-C6H4-C4H2S-CS,5.528
CH2-C4H2S-C4H2S-C4H2S,3.926
NH-C6H4-CS-O,5.334
NH-C6H4-CO-C4H2S,4.188
CO-C4H2S-CO-CS,4.481
NH-CS-CO-O,3.505
CH2-CS-NH-CS,3.818
C6H4-C6H4-C4H2S-O,4.239
CH2-CO-C4H2S-CO,3.22
CH2-NH-CO-C4H2S,3.185
CH2-C6H4-C6H4-CS,3.88
C6H4-C4H2S-C6H4-CS,4.867
CH2-C6H4-CS-C4H2S,3.504
C6H4-C4H2S-CS-C4H2S,6.61
C4H2S-O-CS-O,3.315
CH2-CS-NH-O,3.2430000000000003
CH2-C6H4-CH2-C4H2S,3.1010000000000004
CO-O-CS-O,2.654
NH-C6H4-O-C6H4,3.399
CH2-C6H4-CO-C6H4,3.329
NH-CO-O-CO,2.656
CO-C4H2S-CS-C4H2S,4.812
CH2-CS-O-CS,3.424
C4H2S-CS-C4H2S-O,3.873
C6H4-CS-C6H4-O,3.698
NH-O-C6H4-O,3.253
CH2-CO-CH2-C6H4,2.888
CH2-NH-O-CS,3.175
CH2-NH-C4H2S-O,3.147
CH2-CS-C4H2S-CS,5.645
CO-C6H4-CO-CS,3.743
CH2-CH2-CH2-CO,2.543
CH2-CO-C6H4-C6H4,3.33
CH2-CH2-CS-O,3.022
NH-C4H2S-CS-C6H4,4.698
C6H4-C6H4-C6H4-O,3.369
NH-C6H4-CO-CS,4.18
CH2-CH2-C6H4-C6H4,3.2960000000000003
CH2-CS-CH2-CS,3.485
NH-C6H4-C6H4-CS,4.043
CH2-NH-O-NH,2.747
