SMILES,GAP
s1c(ccc1C)-c1ccc(cc1)-c1ccccc1,2.59
s1c(ccc1C)-c1ccc(cc1)-c1sccc1,2.43
s1c(ccc1C)-c1sc(N)cc1,2.39
s1c(ccc1C=O)-c1sc(cc1)C,2.15
s1c(ccc1-c1sc(cc1)C)-c1ccccc1,2.32
s1c(ccc1-c1sccc1)-c1sc(cc1)C,2.08
O=CNNN,3.44
C(CCC)(C)C,5.98
N(NN)c1ccccc1,2.72
s1cccc1NNN,2.77
O=C(NN)C=O,2.96
O=C(NN)c1ccccc1,3.04
s1cccc1C(=O)NN,2.45
O=Cc1ccc(NN)cc1,3.3
N(N)c1ccc(cc1)-c1ccccc1,2.37
s1cccc1-c1ccc(NN)cc1,2.62
s1c(ccc1NN)C=O,2.38
s1c(ccc1NN)-c1ccccc1,2.16
O(C(=O)c1ccc(cc1)C(O)=O)CC,3.53
O=C(NC=O)N,2.77
O=C(Nc1ccccc1)N,3.1
s1cccc1NC(=O)N,2.67
O=C(C(=O)N)c1ccccc1,2.01
s1cccc1C(=O)C(=O)N,1.98
O=C(N)c1ccc(cc1)C=O,3.11
O=C(N)c1ccc(cc1)-c1ccccc1,2.49
s1cccc1-c1ccc(cc1)C(=O)N,2.46
O(C(=O)CC[C@H](C(OC)=O)C)C,5.04
s1c(ccc1C=O)C(=O)N,2.01
s1c(ccc1C(=O)N)-c1ccccc1,2.14
s1c(ccc1C(=O)N)-c1sccc1,1.84
O(c1cc2c(cc1)C(=O)NC2=O)c1cc2c(cc1)C (=O)NC2=O,2.7
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)NC 2=O)c1cc2c(cc1)C(=O)NC2=O,2.74
ClCC[C@@H](Cl)C,2.89
O(C(=O)CC[C@@H](C(OCCO)=O)C)C CO,4.68
O=C(NCCC)CCCCC(=O)NCCC,4.67
OCCCC,5.2
s1c(ccc1C(C)C)-c1sccc1,3.06
c1ccccc1-c1ccccc1,2.23
n1ccccc1-c1ncccc1,2.3
[nH]1cccc1-c1[nH]ccc1,1.84
