SMILES,GAP
s1cccc1C(=O)NN,2.45
O=Cc1ccc(NN)cc1,3.3
N(N)c1ccc(cc1)-c1ccccc1,2.37
s1cccc1-c1ccc(NN)cc1,2.62
s1c(ccc1NN)C=O,2.38
s1c(ccc1NN)-c1ccccc1,2.16
O(C(=O)c1ccc(cc1)C(O)=O)CC,3.53
s1c(ccc1NN)-c1sccc1,2.19
O=C(NC=O)N,2.77
O=C(Nc1ccccc1)N,3.1
s1cccc1NC(=O)N,2.67
O=C(C(=O)N)c1ccccc1,2.01
s1cccc1C(=O)C(=O)N,1.98
O=C(N)c1ccc(cc1)C=O,3.11
O=C(N)c1ccc(cc1)-c1ccccc1,2.49
s1cccc1-c1ccc(cc1)C(=O)N,2.46
O(C(=O)CC[C@H](C(OC)=O)C)C,5.04
s1c(ccc1C=O)C(=O)N,2.01
s1c(ccc1C(=O)N)-c1ccccc1,2.14
s1c(ccc1C(=O)N)-c1sccc1,1.84
O(c1cc2c(cc1)C(=O)NC2=O)c1cc2c(cc1)C (=O)NC2=O,2.7
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)NC 2=O)c1cc2c(cc1)C(=O)NC2=O,2.74
ClCC[C@@H](Cl)C,2.89
Cl[C@@](F)(C(F)(F)[C@@H](Cl)F)C(F)F,3.17
O(C(=O)CC[C@@H](C(OCCO)=O)C)C CO,4.68
O=C(NCCC)CCCCC(=O)NCCC,4.67
OCCCC,5.2
s1c(ccc1C)-c1sccc1,2.52
c1ccccc1-c1ccccc1,3.31
n1ccccc1-c1ncccc1,2.3
[nH]1cccc1-c1[nH]ccc1,1.84
