SMILES,GAP
s1c(ccc1N)-c1ccc(cc1)C,2.57
s1c(ccc1C=O)-c1ccc(cc1)C,2.49
s1c(ccc1-c1ccccc1)-c1ccc(cc1)C,2.57
N#CCC[C@@H](C#N)C,4.26
"O(C(=O)CC[C@H](C(OCCCC)=O)C)C
CCC",4.22
s1c(ccc1-c1sccc1)-c1ccc(cc1)C,2.29
s1c(ccc1C)Cc1sccc1,3.66
s1c(ccc1NN)C,3.19
s1c(ccc1NC=O)C,3.21
s1c(ccc1Nc1ccccc1)C,3.29
s1c(ccc1Nc1sccc1)C,2.78
s1c(ccc1C)C(=O)N,3.41
s1c(ccc1C)C(=O)C=O,1.89
s1c(ccc1C)C(=O)c1ccccc1,2.68
s1c(ccc1C)C(=O)c1sccc1,2.61
O(C(=O)CC[C@@H](C(OCC)=O)C)CC,4.75
s1c(ccc1C)-c1ccc(N)cc1,2.76
s1c(ccc1C)-c1ccc(cc1)C=O,2.56
s1c(ccc1C)-c1ccc(cc1)-c1sccc1,2.43
s1c(ccc1C)-c1sc(N)cc1,2.39
s1c(ccc1C=O)-c1sc(cc1)C,2.15
s1c(ccc1-c1sc(cc1)C)-c1ccccc1,2.32
s1c(ccc1-c1sccc1)-c1sc(cc1)C,2.08
N(NN)N,3.55
O=CNNN,3.44
C(CCC)(C)C,5.98
N(NN)c1ccccc1,2.72
s1cccc1NNN,2.77
O=C(NN)C=O,2.96
O=C(NN)c1ccccc1,3.04
O=Cc1ccc(NN)cc1,3.3
s1cccc1-c1ccc(NN)cc1,2.62
s1c(ccc1NN)C=O,2.38
s1c(ccc1NN)-c1ccccc1,2.16
O(C(=O)c1ccc(cc1)C(O)=O)CC,3.53
s1c(ccc1NN)-c1sccc1,2.19
O=C(NC=O)N,2.77
O=C(Nc1ccccc1)N,3.1
s1cccc1NC(=O)N,2.67
s1cccc1C(=O)C(=O)N,1.98
O=C(N)c1ccc(cc1)C=O,3.11
O=C(N)c1ccc(cc1)-c1ccccc1,2.49
s1cccc1-c1ccc(cc1)C(=O)N,2.46
O(C(=O)CC[C@H](C(OC)=O)C)C,5.04
s1c(ccc1C=O)C(=O)N,2.01
s1c(ccc1C(=O)N)-c1ccccc1,2.14
O(c1cc2c(cc1)C(=O)NC2=O)c1cc2c(cc1)C (=O)NC2=O,2.7
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)NC 2=O)c1cc2c(cc1)C(=O)NC2=O,2.74
ClCC[C@@H](Cl)C,2.89
Cl[C@@](F)(C(F)(F)[C@@H](Cl)F)C(F)F,3.17
O(C(=O)CC[C@@H](C(OCCO)=O)C)C CO,4.68
O=C(NCCC)CCCCC(=O)NCCC,4.67
OCCCC,5.2
s1c(ccc1C)-c1sccc1,2.52
s1c(ccc1C(C)C)-c1sccc1,3.06
c1ccccc1-c1ccccc1,2.23
c1ccccc1-c1ccccc1,3.31
n1ccccc1-c1ncccc1,2.3
[nH]1cccc1-c1[nH]ccc1,1.84
