Sr.No.,MXene,Eg(GW; eV),Eg(PBE; eV),"phi(L)
(eV)","phi(U)
(eV)","d
(angstrom)","delta(d)
(angstrom)","V
(angstrom^3/atom)",APF,"EV
(eV)","EC
(eV)","phi(N)
(eV)","a
(angstrom)",c,"Hf
(eV)"
20,Y-Y-C-O-O,2.5547,1.3781,1.4774,3.114,2.5706,-0.1108,51.1219,0.2705,-3.8273,-2.4492,2.2957,3.7323,0,-9.0946
21,Sc-Sc-C-NCO-OCN,2.551,0.7887,2.7923,5.6971,2.3097,0.2351,33.5411,0.4273,-8.4716,-7.6829,4.245,3.3608,1,-16.6708
22,Sc-Sc-C-F-OCN,2.5516,0.8776,0.7105,5.8826,2.2973,0.2476,43.1242,0.3266,-7.6261,-6.7485,3.297,3.3274,1,-13.8241
23,Sc-Sc-C-OCN-OCN,2.5339,0.7024,4.6033,4.6033,2.3101,0.2348,33.5411,0.4271,-9.7649,-9.0625,4.6031,3.3616,1,-15.4334
24,Sc-Sc-C-CN-CN,2.5263,1.2592,3.4288,3.4288,2.3298,0.2151,43.1242,0.3171,-8.7583,-7.4991,3.4274,3.4132,1,-10.3606
25,Y-Y-C-SCN-OH,2.5011,1.0429,0.2737,8.3334,2.5362,-0.0763,31.9512,0.464,-6.0625,-5.0196,4.3038,3.7128,0,-12.5211
26,Sc-Sc-C-CN-Br,2.4884,0.9262,1.8425,4.5778,2.3515,0.1934,50.3116,0.2692,-7.1331,-6.2069,3.2102,3.4735,1,-8.3987
27,Sc-Sc-C-CN-Cl,2.4866,1.0424,1.8632,4.4578,2.3365,0.2084,50.3116,0.269,-7.4028,-6.3604,3.1605,3.4332,1,-9.0535
28,Y-Sc-C-NCO-OCN,2.4567,0.8512,3.4256,6.4349,2.4158,-0.0368,29.6856,0.4837,-5.9212,-5.07,4.9302,3.5099,1,-16.349
29,Y-Sc-C-Cl-Br,2.4517,0.8732,3.1674,3.2956,2.4558,-0.0768,56.8957,0.2546,-3.9647,-3.0915,3.2315,3.6267,1,-7.0017
30,Sc-Sc-C-Br-OCN,2.4290000000000003,0.7184,1.7101,5.9787,2.3408,0.204,43.1242,0.3216,-7.7459,-7.0275,3.8444,3.4461,1,-10.8933
31,Sc-Sc-C-CN-H,2.425,1.1042,0.6299,4.3632,2.3052,0.2396,50.3116,0.2746,-7.0386,-5.9344,2.4965,3.3548,1,-8.6551
32,Sc-Sc-C-Cl-Cl,2.4206,1.0115,2.8531,2.8531,2.3424,0.2025,60.3739,0.2222,-5.9733,-4.9618,2.8523,3.4502,1,-7.7255
33,Sc-Sc-C-CN-NCO,2.4183,1.021,2.9410000000000003,4.367,2.3189,0.2259,37.7337,0.3715,-7.9627,-6.9417,3.654,3.385,1,-14.1302
34,Sc-Sc-C-CN-NCS,2.4112,0.8239,1.4953,5.5741,2.336,0.2088,38.125,0.3775,-6.3148,-5.4909,3.5347,3.4263,1,-11.9829
35,Sc-Sc-C-Cl-H,2.4105,1.0334,1.6572,2.7267,2.3117,0.2331,60.3739,0.2264,-5.5769,-4.5435,2.192,3.3754,1,-7.3221
36,Y-Y-C-SCN-H,2.392,1.0028,1.5756,7.1547,2.5347,-0.0748,36.5156,0.4026,-7.1885,-6.1857,4.3651,3.7185,0,-8.5272
37,Y-Sc-C-CN-Cl,2.392,1.048,2.4162,4.9424,2.4416,-0.0626,55.5433,0.3066,-5.4428,-4.3948,3.6793,3.5815,1,-8.8926
38,Sc-Sc-C-H-H,2.3779,1.0307,1.5546,1.5546,2.2806,0.2643,60.3739,0.2316,-5.1028,-4.0721,1.5544,3.2937,1,-7.0143
39,Y-Sc-C-NCS-OCN,2.3691,0.752,1.7631,7.5205,2.4323,-0.0533,30.3151,0.4894,-4.3242,-3.5722,4.6418,3.5408,1,-14.2635
41,Sc-Sc-C-Cl-Br,2.3553,0.8072,2.8085,2.9925,2.357,0.1879,60.3739,0.2226,-5.7611,-4.9539,2.9005,3.4895,1,-7.1016
42,Sc-Sc-C-Br-Br,2.3537,0.7523,2.9504,2.9504,2.3702,0.1747,60.3739,0.2233,-5.6160000000000005,-4.8637,2.9503,3.5256,1,-6.4854
43,Sc-Y-C-CN-Br,2.3493,1.028,2.3625,4.9329,2.4523,-0.0733,56.459,0.3076,-5.2151,-4.1871,3.6477,3.6109,1,-8.2225
44,Sc-Y-C-Cl-OH,2.3449,0.8981,0.4122,4.7798,2.4223,-0.0434,45.00899999999999,0.3113,-2.7664,-1.8683,2.596,3.5318,1,-11.0999
45,Sc-Sc-C-Br-H,2.3368,0.8909,1.8022,2.6655,2.3275,0.2174,60.3739,0.2262,-5.2978,-4.4069,2.2346,3.4191,1,-6.6218
46,Y-Sc-C-NCO-NCS,2.3367,0.7528,3.1819,5.8591,2.424,-0.045,30.0594,0.4936,-3.6134,-2.8606,4.5205,3.535,1,-15.5058
47,Sc-Y-C-NCO-NCS,2.3317,0.79,3.1326,5.8906,2.4253,-0.0463,30.0753,0.4933,-3.6592,-2.8692,4.5116,3.5358,1,-15.5024
48,Y-Sc-C-CN-NCO,2.3178,1.017,3.6819,5.0224,2.4225,-0.0435,40.4694,0.4231,-5.7934,-4.776,4.3521,3.5301,1,-13.8442
49,Sc-Y-C-Br-H,2.2946,0.9262,1.9165,3.2721,2.4316,-0.0526,54.9916,0.2582,-3.9051,-2.9789,2.5943,3.563,1,-6.4954
50,Sc-Y-C-CN-NCO,2.2938,1.057,3.6393,5.0062,2.4244,-0.0455,40.6216,0.4215,-5.7805,-4.7235,4.3228,3.5367,1,-13.8827
51,Sc-Y-C-Cl-Br,2.2863,0.8938,3.2009,3.2717,2.4553,-0.0763,56.789,0.2551,-3.9975,-3.1037,3.2363,3.6216,1,-6.9571
52,Y-Y-C-F-H,2.2844,1.1194,1.8186,1.8893,2.4873,-0.0274,60.3739,0.2921,-4.4988,-3.3794,1.8545,3.5917,1,-9.2104
53,Sc-Y-C-Cl-H,2.2826,1.0053,1.8786,3.3522,2.4187,-0.0397,64.6445,0.2583,-4.1775,-3.1722,2.6154,3.5272,1,-7.0927
54,Sc-Y-C-Cl-Cl,2.2819,0.9419,3.2238,3.2459,2.4438,-0.0648,67.0229,0.2543,-4.2016,-3.2597,3.2348,3.5915,1,-7.5609
55,Y-Sc-C-Br-H,2.276,1.0204,2.0916,3.1686,2.4273,-0.0483,65.7179,0.2593,-4.1314,-3.111,2.6301,3.5563,1,-6.3118
56,Y-Sc-C-Cl-H,2.274,1.0744,2.0453,3.2415,2.415,-0.036000000000000004,64.4722,0.259,-4.3653,-3.2909,2.6434,3.5225,1,-6.9516
57,Sc-Y-C-Br-Br,2.1992,0.8421,3.2119,3.2525,2.4671,-0.0881,69.3866,0.2554,-3.7928,-2.9507,3.2322,3.6542,1,-6.414
58,Y-Sc-C-CN-OH,2.1945,1.039,-0.2694,6.5913,2.4156,-0.0366,45.7244,0.3673,-4.2928,-3.2538,3.1609,3.5099,1,-12.3105
59,Y-Y-C-NCO-NCO,2.1406,0.9237,4.2489,4.2489,2.507,-0.0471,33.5411,0.5371,-6.994,-6.0703,4.2488,3.639,1,-17.5949
60,Y-Y-C-Cl-Cl,2.1242,0.9648,3.1195,3.1195,2.5379,-0.078,60.3739,0.2823,-5.7981,-4.8333,3.1195,3.7238,1,-7.66
61,Y-Y-C-Br-Br,2.0275,0.8943,3.2331,3.2331,2.5568,-0.097,60.3739,0.2839,-5.6758,-4.7815,3.2331,3.7748,1,-16.0562
62,Y-Sc-C-Cl-OH,2.0114,0.9195,0.5124,4.7867,2.4174,-0.0384,44.6901,0.3135,-2.8827,-1.9632,2.6495,3.5177,1,-10.9679
63,Y-Sc-C-Br-OH,1.9891,0.8708,0.5764,4.6679,2.4285,-0.0496,45.4632,0.3143,-2.6963,-1.8255,2.6229,3.5491,1,-10.325
64,Sc-Sc-C-CN-OH,1.9271,1.0067,-1.0978,5.8986,2.309,0.2351,43.1242,0.3221,-5.2973,-4.2906,2.4003,3.3594,1,-12.6746
65,Y-Sc-C-H-OH,1.8966,0.9658,0.4702,3.4435,2.3922,-0.0132,43.0269,0.3189,-2.6538,-1.6880000000000002,1.9569,3.454,1,-10.5869
66,Y-Sc-C-F-OH,1.8565,0.9421,0.6179,3.7123,2.3915,-0.0125,42.9717,0.3179,-2.4807,-1.5386,2.1651,3.451,1,-13.2859
67,Sc-Y-C-Br-OH,1.8312,0.8316,0.4785,4.6437,2.4349,-0.0559,45.8995,0.3113,-2.5465,-1.7149,2.5612,3.5643,1,-10.5032
68,Sc-Y-C-Cl-OH,1.7317,0.8981,0.4122,4.7798,2.4223,-0.0434,54.0109,0.3113,-2.7664,-1.8683,2.596,3.5318,1,-11.0999
69,Sc-Sc-C-Br-OH,1.6075,0.7363,-0.7587,4.1474,2.3315,0.2134,50.3116,0.2734,-3.1444,-2.4081,1.6943,3.4202,1,-10.6379
70,Sc-Sc-C-Cl-OH,1.5867,0.8588,-0.0658,4.2462,2.3164,0.2285,50.3116,0.2732,-3.7941,-2.9353,2.0902,3.3794,1,-11.3372
