k1,k2,porosity,k-LBM
1,10,0.0943045,1.2120799999999998
1,10,0.115185,1.27126
1,10,0.115185,1.2833
1,10,0.120282,1.27163
1,10,0.123909,1.29482
1,10,0.137045,1.33461
1,10,0.14263299999999998,1.352
1,10,0.14371099999999998,1.3126799999999998
1,10,0.145476,1.31316
1,10,0.160474,1.41014
1,10,0.16518,1.41032
1,10,0.172532,1.41883
1,10,0.175277,1.42567
1,10,0.189687,1.42838
1,10,0.197628,1.4771299999999998
1,10,0.199,1.54599
1,10,0.208803,1.56263
1,10,0.212822,1.55851
1,10,0.216351,1.59487
1,10,0.231448,1.59972
1,10,0.231742,1.6748299999999998
1,10,0.233801,1.57273
1,10,0.234977,1.64693
1,10,0.241251,1.71185
1,10,0.25223,1.7777900000000002
1,10,0.264778,1.83482
1,10,0.265268,1.7476900000000002
1,10,0.26615,1.82264
1,10,0.270366,1.76197
1,10,0.277718,1.9041
1,10,0.282227,1.80079
1,10,0.292716,1.84473
1,10,0.298598,1.88207
1,10,0.306244,2.02211
1,10,0.310656,2.1
1,10,0.314871,1.93019
1,10,0.330556,2.1207
1,10,0.332124,2.02925
1,10,0.333595,2.04925
1,10,0.357612,2.34413
1,10,0.361827,2.28301
1,10,0.366239,2.14061
1,10,0.0405843,1.09539
1,10,0.042348800000000006,1.0932
1,10,0.140476,1.35032
1,10,0.187825,1.4872
1,10,0.188217,1.50312
1,10,0.254975,1.79476
1,20,0.0111754,1.04056
1,20,0.0111754,1.03786
1,20,0.0125478,1.04083
1,20,0.0162729,1.05541
1,20,0.016567,1.04748
1,20,0.0405843,1.11116
1,20,0.042348800000000006,1.10664
1,20,0.043133,1.11844
1,20,0.0633271,1.20126
1,20,0.0698951,1.17382
1,20,0.08685419999999999,1.2465
1,20,0.0885207,1.2503799999999998
1,20,0.0936183,1.26422
1,20,0.0943045,1.2503
1,20,0.115185,1.32518
1,20,0.115185,1.34
1,20,0.120282,1.32245
1,20,0.123027,1.38274
1,20,0.14263299999999998,1.42907
1,20,0.145476,1.3645
1,20,0.160474,1.50014
1,20,0.169787,1.5385799999999998
1,20,0.172532,1.5085
1,20,0.175277,1.51567
1,20,0.187825,1.6004
1,20,0.188217,1.63261
1,20,0.189687,1.51684
1,20,0.197628,1.58413
1,20,0.208803,1.71097
1,20,0.212822,1.6911
1,20,0.213018,1.66418
1,20,0.216351,1.7489
1,20,0.231742,1.88987
1,20,0.241251,1.92098
1,20,0.254975,2.03388
1,20,0.264778,2.10128
1,20,0.26615,2.10043
1,20,0.270366,1.97169
1,20,0.282227,2.02237
1,20,0.298598,2.15818
1,20,0.306244,2.3849400000000003
1,20,0.330556,2.54991
1,20,0.333595,2.40882
1,20,0.335947,2.48248
1,20,0.347221,2.59055
1,20,0.357612,2.92891
1,20,0.361827,2.79239
1,20,0.366239,2.5040400000000003
1,20,0.0162729,1.05541
1,20,0.0688168,1.19271
1,20,0.123909,1.35428
1,20,0.16518,1.5042
1,20,0.199,1.6876400000000005
1,20,0.25223,2.05187
1,20,0.332124,2.36124
1,20,0.292716,2.10149
1,40,0.0111754,1.04098
1,40,0.0125478,1.0446799999999998
1,40,0.0162729,1.06109
1,40,0.016567,1.05066
1,40,0.0427409,1.13305
1,40,0.0633271,1.23438
1,40,0.0688168,1.2118799999999998
1,40,0.0723458,1.20325
1,40,0.08685419999999999,1.2714
1,40,0.0885207,1.28708
1,40,0.092638,1.29208
1,40,0.0936183,1.29356
1,40,0.0943045,1.276
1,40,0.115185,1.37722
1,40,0.123027,1.43939
1,40,0.123909,1.39654
1,40,0.137045,1.45855
1,40,0.14371099999999998,1.40284
1,40,0.145476,1.3956
1,40,0.160474,1.5566799999999998
1,40,0.16518,1.57357
1,40,0.169787,1.61723
1,40,0.172532,1.5713
1,40,0.187825,1.6825
1,40,0.188217,1.73225
1,40,0.189687,1.58557
1,40,0.199,1.79267
1,40,0.208803,1.82935
1,40,0.212822,1.7861200000000002
1,40,0.213018,1.74622
1,40,0.216351,1.85857
1,40,0.233801,1.77046
1,40,0.241251,2.0833
1,40,0.25223,2.30688
1,40,0.264778,2.32213
1,40,0.270366,2.13658
1,40,0.282227,2.20489
1,40,0.292716,2.31138
1,40,0.298598,2.39271
1,40,0.306244,2.7103
1,40,0.310656,2.87602
1,40,0.333595,2.72185
1,40,0.338104,2.90763
1,40,0.347221,3.00338
1,40,0.355063,3.22583
1,40,0.357612,3.51188
1,40,0.0398,1.11084
1,40,0.0405843,1.12201
1,40,0.115185,1.36186
1,40,0.197628,1.66223
1,40,0.234977,1.94656
1,40,0.314871,2.4719
1,40,0.330556,2.94501
1,60,0.0111754,1.04237
1,60,0.016567,1.05188
1,60,0.0398,1.11378
1,60,0.042348800000000006,1.11814
1,60,0.0427409,1.13708
1,60,0.0599941,1.15701
1,60,0.0633271,1.25364
1,60,0.0723458,1.20933
1,60,0.0885207,1.30739
1,60,0.0936183,1.30533
1,60,0.0943045,1.28588
1,60,0.115185,1.3766
1,60,0.115185,1.39146
1,60,0.123027,1.46766
1,60,0.140476,1.50431
1,60,0.14263299999999998,1.5059
1,60,0.14371099999999998,1.41582
1,60,0.16518,1.60315
1,60,0.169787,1.65075
1,60,0.172532,1.59649
1,60,0.175277,1.60246
1,60,0.187825,1.71667
1,60,0.188217,1.7751099999999995
1,60,0.199,1.83562
1,60,0.208803,1.88248
1,60,0.213018,1.78119
1,60,0.216351,1.89897
1,60,0.231448,1.91088
1,60,0.234977,2.0166
1,60,0.241251,2.15128
1,60,0.25223,2.43088
1,60,0.254975,2.30974
1,60,0.264778,2.4229700000000003
1,60,0.265268,2.1593
1,60,0.26615,2.44945
1,60,0.270366,2.21191
1,60,0.277718,2.59256
1,60,0.306244,2.86898
1,60,0.310656,3.05519
1,60,0.314871,2.58985
1,60,0.332124,2.76831
1,60,0.333595,2.8661
1,60,0.335947,3.1850400000000003
1,60,0.338104,3.06232
1,60,0.347221,3.21787
1,60,0.355063,3.49565
1,60,0.357612,3.816230000000001
1,60,0.361827,3.53735
1,60,0.0125478,1.04653
1,60,0.0162729,1.06321
1,60,0.120282,1.36888
1,60,0.160474,1.5729
1,60,0.189687,1.61968
1,60,0.197628,1.69498
1,60,0.282227,2.29672
1,60,0.292716,2.4041200000000003
1,80,0.0111754,1.04679
1,80,0.0125478,1.0477
1,80,0.0162729,1.06424
1,80,0.016567,1.05252
1,80,0.0398,1.11522
1,80,0.042348800000000006,1.11989
1,80,0.0427409,1.13902
1,80,0.0599941,1.15927
1,80,0.0688168,1.22243
1,80,0.0698951,1.19499
1,80,0.0723458,1.21226
1,80,0.08685419999999999,1.28587
1,80,0.0885207,1.32019
1,80,0.0943045,1.2908
1,80,0.115185,1.39886
1,80,0.120282,1.37553
1,80,0.123027,1.48789
1,80,0.137045,1.48985
1,80,0.140476,1.51548
1,80,0.14263299999999998,1.5177200000000002
1,80,0.14371099999999998,1.42231
1,80,0.16518,1.6194
1,80,0.169787,1.66894
1,80,0.175277,1.6156
1,80,0.187825,1.73511
1,80,0.199,1.85857
1,80,0.208803,1.91163
1,80,0.212822,1.84587
1,80,0.216351,1.91803
1,80,0.233801,1.80744
1,80,0.241251,2.1876
1,80,0.25223,2.50259
1,80,0.254975,2.35541
1,80,0.264778,2.4807900000000003
1,80,0.270366,2.25657
1,80,0.277718,2.68228
1,80,0.292716,2.45531
1,80,0.298598,2.55177
1,80,0.306244,2.96418
1,80,0.310656,3.16253
1,80,0.330556,3.24968
1,80,0.332124,2.8414
1,80,0.333595,2.94698
1,80,0.335947,3.3558
1,80,0.357612,4.00387
1,80,0.366239,3.03392
1,80,0.092638,1.30864
1,80,0.172532,1.60981
1,80,0.231448,1.94895
1,80,0.282227,2.35946
1,100,0.0111754,1.04734
1,100,0.0162729,1.06481
1,100,0.016567,1.05292
1,100,0.0398,1.11603
1,100,0.042348800000000006,1.121
1,100,0.0599941,1.1607
1,100,0.0633271,1.27815
1,100,0.0688168,1.22463
1,100,0.0698951,1.19626
1,100,0.0723458,1.21384
1,100,0.08685419999999999,1.28884
1,100,0.0885207,1.3282
1,100,0.115185,1.38986
1,100,0.120282,1.3794799999999998
1,100,0.123027,1.5049
1,100,0.123909,1.42973
1,100,0.140476,1.52194
1,100,0.14263299999999998,1.52461
1,100,0.14371099999999998,1.42601
1,100,0.145476,1.41537
1,100,0.160474,1.5768799999999998
1,100,0.16518,1.62935
1,100,0.172532,1.6178
1,100,0.175277,1.62358
1,100,0.188217,1.81332
1,100,0.208803,1.92896
1,100,0.213018,1.82185
1,100,0.216351,1.92839
1,100,0.231448,1.98777
1,100,0.231742,2.29285
1,100,0.233801,1.81271
1,100,0.234977,2.13749
1,100,0.241251,2.20952
1,100,0.264778,2.51768
1,100,0.277718,2.75693
1,100,0.282227,2.41183
1,100,0.292716,2.48675
1,100,0.298598,2.58412
1,100,0.306244,3.02752
1,100,0.310656,3.23402
1,100,0.314871,2.70304
1,100,0.330556,3.32453
1,100,0.333595,2.9968
1,100,0.335947,3.4771400000000003
1,100,0.338104,3.18526
1,100,0.361827,3.08245
1,100,0.366239,4.1292
1,100,0.0111754,1.04377
1,100,0.0125478,1.04855
1,100,0.0936183,1.31541
1,100,0.0943045,1.29354
1,100,0.189687,1.65745
1,100,0.265268,2.2131
1,100,0.26615,2.55022
1,100,0.332124,2.8881900000000003
1,100,0.347221,3.78857
