mpid,formula,e_form
mp-16092,Tm3Co29(Si2B5)2,-0.42036645057970895
mp-1018693,Eu2H3Cl,-1.2001772548533332
mp-776597,NaCu(PO3)4,-2.3448305259656075
mp-777896,Li2V3NiO8,-2.253752084642857
mp-764543,LiFe2(BO3)2,-2.3591941868939386
mp-772428,LiV(SO4)3,-2.0419308495404427
mp-4076,VCoSb,-0.18248806499999995
mp-761652,Mn3Co(PO4)4,-2.362009950219207
mp-31083,PrSi2Ru,-0.8272373099999992
mp-714931,VO2,-2.0026199108333342
mp-780144,Li4MnP6(H4O11)2,-2.271295409902229
mp-1018825,NdPbAu,-0.5719377725000001
mp-764091,NaNi2P3O10,-2.2926455669866064
mp-1097265,Y2ZnOs,2.43254063125
mp-850193,HoBO3,-3.5438079025833344
mp-1093727,LiMg2Au,0.76873166
mp-766641,Li3Fe(CO3)3,-2.0257114714843745
mp-561051,Rb2Sb4S7,-0.9143946718028853
mp-707339,AsH6NO4,-1.196629853675
mp-769953,Tb2Ti2O7,-3.7844190921590912
mp-765880,Mg3Fe2O5,-2.5068769196250003
mp-765242,V2F7,-3.0225052273144435
mp-676467,Na3Al2P2O8F3,-3.0894763424866927
mp-767032,Li2Mn4O5F3,-2.3906794899042856
mvc-10460,MgCu2(WO4)2,-1.849451898846154
mp-19692,Mn3V2O8,-2.2973540513753834
mp-27246,LuSBr,-2.2348435296875
mp-10299,Ca4PdO6,-2.6815387365909094
mp-7938,KNbS2,-1.4969045295312506
mp-754444,Zn(AgO2)2,-0.7030198857142855
mp-974959,Rb3Li,0.134595185
mp-42298,Na6Al4Fe(Si4O13)2,-3.0740293336111115
mp-762392,Li2Cr2Si2O7,-2.6035700843269227
mp-3827,KFeS2,-1.0834146482812503
mvc-331,Sr2TiAlCu2O7,-2.5899919961858977
mp-540813,K3ReC4(N2O)2,-0.7596700126442855
mp-555735,CaIrO3,-2.07939592225
mp-675278,Cu11S16,-0.3088423335185184
mp-554040,CuSeO4,-1.0090257910156246
mp-600515,Mo2H26C8N2O5F6,-0.9432731937708152
mp-984598,AuS,-0.11826144953124995
mvc-10887,CaV2O4,-2.77117402
mvc-12574,NiO2,-0.4738110825000004
mp-754322,Sr2CuO4,-2.197640647857143
mp-1098695,BaMg30MnO32,-2.941239928139998
mp-1034061,Mg14TiBiO16,-2.7309943784895827
mp-643738,Eu(MgH3)2,-0.4244977851911105
mp-690534,K3FeF3,-2.02956549051
mp-743870,MgCoH16(ClO2)4,-1.455658849365333
mp-9228,HgSeO3,-1.0578783144687498
mp-1028380,CsMg14Ni,0.1945933912500002
mp-1097120,LiSiAg2,1.51248715
mp-1093760,K2RbBi,0.58364530875
mp-757219,LiSiBiO4,-2.466630956071429
mp-1079517,La2MnNiO6,-2.724924036846
mp-32307,Sr2ReNiO6,-2.4297770662500007
mp-20840,MnCo2Sn,-0.1042423137499986
mp-29911,Ba3Sb2O,-1.6133496702083334
mp-696155,Na4P2H4CO9,-1.9911087007210242
mp-762294,Mn2V3Fe(PO4)6,-2.5974967697358724
mp-676536,KBiO3,-1.5602005571944442
mp-770751,CrPO5,-2.1883850749064626
mp-863674,ErMgHg2,-0.4432421062500001
mp-776201,Zr2N2O,-2.262142334201998
mp-676818,Sr8(TiS3)7,-2.0727015032031257
mp-675755,TiCu3O4,-1.7203524889583337
mp-23615,Si2Bi14IrI12,-0.12656951999999946
mp-779231,Gd2W4O15,-2.5485606816071424
mp-37520,Ca(PrTe2)2,-1.4951776007142854
mp-4406,CaSO4,-2.794158568177083
mp-775035,Li2NiSnO4,-1.8984980675
mp-1070391,Ti2H2Pd,-0.5392927881146669
mp-18327,Ba2Tl2O5,-1.9783261679166668
mp-763125,Li4V2Co3Ni3O16,-1.6598822210714286
mvc-4454,Ti2AlO4,-2.849635331904761
mp-20542,Pr(MnGe)2,-0.4512255580000002
mp-707218,Ba3AlHO4,-2.767865894568889
mp-1076137,Ba3Sr5Co2(CuO4)6,-1.7851210744999997
mp-30854,UPt2,-0.7005030766666659
mp-772228,CdP4O11,-2.4778572713206843
mp-631462,BeTcSe,0.5714791021354166
mp-1079608,PrFeAsO,-1.7445489415625
mp-1500,BaS,-2.41173967703125
mp-764442,Li3V2(O2F)2,-2.6916082264284844
mp-677520,KBa6Zn4(GaO3)7,-2.4822724741346147
mp-541180,Te3Pt2,-0.3896892439999995
mp-510486,Ta3Al2CoC,-0.5767691135714281
mp-1062306,MnSiNi,-0.25105611666666644
mp-697948,Cs4Mg3H10,-0.3251815291882352
mp-973983,NiPd3,0.088884395
mp-686208,Li5SiN3,-0.8772909092655554
mp-558557,BaLa4Cu5O12,-2.452116667500001
mp-13363,SiPt3,-0.5183041600000005
mp-1025504,TmGa2Ni,-0.6463133262499996
mp-23933,AlH3,-0.1116995239649996
mp-134,Al,0.0
mvc-2646,MgNiO2,-1.7437530575000002
mp-631482,BiMoRh,0.5465774883333339
mp-8129,NiC2(SN)2,-0.06645768684071486
mp-555240,BaVS3,-1.7541214184375007
mp-6760,Na3La9B8O27,-3.4021459647251766
mvc-8397,ZnCr(GeO3)2,-1.995984763749999
mp-973890,HoHfRu2,-0.5777290424999997
mp-862802,CsNpCuS3,-1.5081776068229178
mp-1094455,Mg2Zn,-0.008018497499999869
mvc-16304,CaTiF5,-3.910310916088096
mp-1028210,Mg14AlSi,0.022584249375000358
mp-25656,Li3PWCO7,-2.1040492691804045
mvc-4919,Mg(AgO2)2,-1.0399737394642854
mp-4667,ZrSnRh,-0.7736745761111108
mp-12737,YB2Rh2C,-0.5902240788888898
mp-768154,Na3MgPCO7,-2.5503276599496334
mp-626297,Ba(H8O5)2,-1.4662494540896291
mp-24001,NaZn2P2HO8,-2.3818326589150343
mp-975364,RbCuO3,-0.6735135327500004
mp-762550,CsMnH4(OF2)2,-2.180627987725
mp-1080327,CeSe2,-1.4803740173958329
mp-5408,Ag3AsO4,-0.9809815593749996
mvc-10213,Zn(CoO2)2,-1.3844280635714281
mp-770762,La7(FeO8)2,-3.0070806784
mp-542777,CePt5,-0.7058708233333336
mp-569630,NdOs2,-0.11532859333333315
mp-1038946,CaMg2,0.0048348875000000895
mp-7883,Ca(GeAu)2,-0.4356797620000002
mp-29457,Ba2Cu5F14,-2.508975152221905
mp-570690,SiC,-0.1740754670833332
mp-662789,Te3As2(SF4)3,-1.9114263123233743
mp-773698,Li4V3Cr3(FeO8)2,-2.3140119742857146
mp-1025009,CoNiSb,0.0394320316666672
mp-556122,BaCa(PO3)4,-3.00941282832672
mp-675564,La2Th8O19,-4.278602919784482
mp-559955,Pr6Si4S17,-1.887492969780092
mp-9244,LiBC,-0.3844550613888889
mp-777030,Li6Mn3P8O29,-2.5246685455193902
mp-1096716,CaYCd2,1.5298691343750002
mp-861906,BaNa2Mg(PO4)2,-2.97970988329932
mp-762329,Li7Sb2P7O24,-2.5543452325416682
mp-866137,LuSbRh2,-0.7704853162500003
mp-768658,La(HO)3,-2.225705309944286
mp-775182,Li3Mn4(BO3)4,-2.4794289050220297
mp-1079286,IrC4,1.5063110639999993
mp-30491,MgCd3,-0.06435178499999994
mp-2903,UAl3Ni2,-0.4007041233333339
mp-763236,Co6O5F7,-1.7788020499766664
mp-1016063,CrN2,-0.034358869086665564
mp-770391,Li2CrO2,-2.0225706904999994
mp-1037137,Mg30CoSiO32,-2.9347259467187503
mp-978514,SmTm3,0.02780096937499988
mp-764188,NaV5O10,-2.4146033892187493
mp-1019083,ReN2,0.13022877341333347
mp-25798,VBP2H5NO9,-2.123319139583532
mp-997586,La7YAl8O24,-3.7132144475625
mp-1018097,BaCaO2,-2.8735353706249995
mvc-8020,ZnCu(GeO3)2,-1.7561755490000004
mp-1095177,SiNi,-0.4005928387500006
mp-765319,LiMnOF2,-2.6125482924180004
mp-984698,Ca3Pt2,-0.8489531793333337
mp-690568,V2Bi4O11,-1.9382779402205887
mp-626755,SrH4O3,-1.8314663922787504
mp-1891,SmAl4,-0.2688997464999993
mp-695308,CaGdTh(PO4)3,-3.433170264265873
mp-767206,Li2V2FeO6,-2.1712081475
mvc-15464,La2MgCoO6,-2.8726741037500005
mp-760080,CeTh9O20,-4.3404049275
mp-561397,SO3,-1.756827808203126
mp-997005,CaAgO2,-1.900025645625
mp-754308,Li3Cu3(PO4)2,-2.0815938360119044
mp-625812,Sr(H2O3)2,-1.085799473816364
mp-773162,Li3Fe2SnO6,-2.042227223541667
mp-767868,Li3NiPCO7,-2.244897158218864
mp-770086,FeNiO3,-1.2666714237500003
mp-773206,Li3CrSiBO7,-2.5881397111858964
mp-3441,Y(SiRh)2,-1.1250478564999995
mp-1079627,PrAlH6,-0.3917123014650001
mp-570655,Tb10B7C10,-0.4059419701851855
mp-764745,Fe4OF7,-2.5744344028816677
mp-744929,Li2Cr2H4O9,-1.660433620337059
mp-8058,YAsO4,-2.8460069645833332
mvc-16646,Ca(CrS2)2,-1.2448080258928569
mp-32580,Ga2Te3,-0.18695007399999994
mp-777686,Li9Mn3(WO4)7,-2.2442044525080846
mp-27812,RbTiI3,-0.9983130890000004
mp-862914,Er2ZnTc,-0.17926040374999985
mp-558949,K2MoP2O9,-2.5465560569600334
mp-21521,Cs2PbO3,-1.5636899447916666
mp-1077252,Cr2Ni,0.2583532433333341
mp-30558,HoCo3,-0.19108896958333213
mp-771751,Na3CoBPO7,-2.3507313871932234
mp-6606,SrYSi4N7,-1.4597990233969222
mp-770795,Na3CuBSO7,-2.1148244745753195
mp-1100418,ScTlCd,0.11622093666666684
mp-697563,Ca4MgB4H6(CO9)2,-2.5214934390253343
mp-755417,Ba3(BO3)2,-3.163744958712121
mp-864892,NdAgAu2,-0.5688856843749996
mp-1096667,TaBeOs2,3.910707296250002
mvc-8160,CaTi(GeO3)2,-2.6592873284166663
mp-850108,Na3CoO3,-1.5192608176785725
mp-867922,ScAlRh2,-1.0945870600000005
mp-1097576,CaTlAu2,0.6111915137499997
mvc-8643,CaFe(GeO3)2,-2.3961929812500005
mp-758974,FeB18H32(C4S)2,-0.2348079876059838
mp-15994,Hg(PO3)2,-2.2177800165211647
mp-1021157,CsMg6Si,0.16394823625
mp-505467,YSiPd,-1.011669200416667
mp-754598,Hg3SeO6,-0.8906146862760418
mp-622190,Er2Mn3Si5,-0.6276116867500001
mp-1007910,NaEuS2,-1.87451377203125
mp-1016216,Mg3Si,0.07146948749999993
mp-2160,Sb2Se3,-0.2592055371562495
mp-1027718,LiMg14Co,0.06708307375000032
mp-570460,LaCo5,-0.014460763333333425
mp-765069,TiV15O24,-2.572394187416667
mp-984586,Nb4Co4Si7,-0.6806379286666668
mp-759759,NaGa3P2(HO3)4,-2.21964059741684
mp-29510,Hg2TeO3,-0.9890957997916672
mp-3065,Ho(FeGe)2,-0.4434972250000008
mp-972300,Sr3Lu,0.2379073224999999
mp-622602,NaMoAsO6,-1.9728694413888888
mp-9655,Na4SnO4,-1.8835373288888881
mp-17867,Mn2NbP12,-0.3840838411428573
mp-673671,U11O5,-1.4299048785156234
mp-555823,SiO2,-2.4985368500000007
mp-1646,Li3Hg,-0.2794043674999997
mp-31907,Mn(ReO4)2,-1.9274357391781805
mp-769729,Li5Fe2Co3O10,-1.8196326876250013
mp-559235,BH11C4NClF4,-1.024334329403939
mp-19455,MnMoO4,-2.135138274326668
mp-1100068,BaSr7Co5Cu3O20,-2.0667484229166666
mp-673798,K3ClO,-1.6484927679020005
mp-1077452,KMnCl,-0.36595034108666624
mp-39866,BaSm4Si3SeO12,-3.4906867915997024
mp-1013702,Ca3BiP,-0.11498187861904725
mvc-11489,Ca2FeN2,-0.8570144239519989
mp-998159,TlFeF3,-2.4528800687139998
mp-5056,Mn2SiS4,-0.9616236012500008
mp-753260,LaAgO2,-2.579629363125
mp-757349,LiSiBiO4,-2.467491170357143
mp-679999,Re3(SeCl)7,-0.7102518260574266
mp-25689,FeBPbO4,-2.170022139880953
mp-763042,Mn6O5F7,-2.450235846407777
mp-758497,LiCuPO4,-2.16794303079932
mp-865232,TlPd2Au,-0.1677784662500006
mp-556902,KLi4NbO5,-2.5118106069318173
mp-1072989,Mg2Si3,0.14419471699999914
mp-23803,GaHO2,-1.93272476153
mp-9625,LiMgPO4,-2.9666007607993197
mp-860957,Zr5Ti7O24,-3.6095751932407407
mp-643056,MnBiO3,-1.748326986192
mp-555617,Ce10Si8O3,-1.390071441607143
mp-752671,Ba2SrI6,-1.7526624622222218
mvc-5927,Mg2BiWO6,-2.300346350250001
mp-762826,Li3Fe2(PO4)3,-2.5681396723392864
mp-19406,La2MgMnO6,-3.1984856378460003
mp-38090,Fe2CuO4,-1.5316044849999992
mp-763512,Li2CoSiO4,-2.5166313515625003
mp-558154,Ag3PO4,-0.2039036191369048
mp-621943,Re2C3I4O3,-0.6138037107291675
mp-865198,LiCoPO4,-2.3848827805215422
mp-1030963,KMg6SbO8,-2.4366165771875
mp-29204,P4(S2O)3,-1.2191048100389206
mp-764054,Mn3O5F,-1.959916907257778
mp-19409,Mn(AsO3)2,-1.8515906053844449
mp-27749,K2Sb4S7,-0.9111061656490383
mp-1028300,HfMg14V,0.1086145571874999
mp-763384,Li2Co(Si2O5)2,-2.8419314761764705
mp-977426,NbCo3,-0.1477905374999997
mp-974850,Rb3Nd,0.602922985625
mp-767773,Li4V3Fe3(TeO8)2,-2.0952151053571435
mp-849429,Li3Co2OF5,-2.5326021083818184
mp-29423,TlFeBr4,-0.6762635233333341
mp-571336,La4Pb3,-0.6168526499999994
mp-980001,YbPr3,0.0461555149999997
mp-773007,LiCu5(PO4)2,-1.6364579813244051
mp-11248,LiAu3,-0.3591073800000002
mp-1022736,YMg6Nb,0.17960962968750005
mp-9577,Ca3(AlSi)2,-0.4225434685714288
mp-19710,Tb3Fe5O12,-2.6830064360000008
mp-607712,Lu2(CN2)3,-1.0436400687981815
mp-32409,LiVPO5,-2.6742970961681545
mp-644802,C17F5,-0.3274466091909083
mvc-9357,W3O7,-1.994475560625
mvc-6893,VZn(SiO3)2,-2.7095124422500008
mp-861585,LiCr(SO4)2,-2.1962535217881936
mp-997052,RbAgO2,-1.025108645625
mp-559706,Li3Gd(BO3)2,-2.9713371627777785
mvc-3982,Ca2Cr2O5,-2.6653306401388868
mp-1037887,Mg30MnBO32,-2.9082097819941666
mp-769256,Li4Cu4Cl10O,-1.3369213802026318
mp-545481,Ca2Cu(BrO)2,-2.112641918928571
mp-626553,Ca(H8O5)2,-1.4515953731637037
mp-720283,K2H6PtC4N4O3,-0.7836519999994997
mp-763829,Ba5Mn5O14,-2.5008012132208326
mp-17770,CsPr(PO3)4,-2.9424101742989435
mp-756868,Rb3DyO3,-2.221357945059524
mvc-8032,Zn3Fe4(MoO4)6,-1.9368028322972977
mp-1026356,Te4W3Se2,-0.21216100746527802
mp-707276,TeH9SN2O5F3,-1.4783978369629758
mp-768383,SmBiO4,-2.44941989875
mp-762049,LiCu2PO4,-1.8530478497619047
mp-18997,LiMnPO4,-2.6501582270078923
mp-697853,Ba3WO6,-2.76716365025
mp-555941,AlPO4,-3.1275349452380947
mp-571302,Pr3(Al2Si3)2,-0.4412666223076918
mp-640889,Tm(CuTe)3,-0.5259016260714284
mp-19324,Ca2MgWO6,-2.9997240402500016
mp-558528,La2TiZnO6,-3.411145525416667
mp-972387,Sr2MgGe2O7,-2.829728849895833
mp-24946,CaFeO2,-2.4154946356250004
mp-567091,W18O49,-2.1514961701679107
mp-670,NbCo2,-0.1374445316666678
mp-1025102,CeAl3Pt2,-0.969390926666667
mp-775343,LiCoPO4,-2.376782149727892
mp-568064,Dy2Sn5,-0.5121805911904757
mvc-1057,Ba2YV3O8,-2.9158154166071424
mvc-8510,Ti(Si2O5)2,-3.148782618277778
mp-572674,ReC2(IO)2,-0.7109545960714294
mp-510593,Dy5CoSb2,-0.7110926854166673
mp-655448,Dy3Ge4,-0.7879771371428573
mp-850,ScNi2,-0.5215297266666674
mp-570166,Zr6Si7Ni16,-0.7647245131034487
mp-20476,In2CuO4,-1.4741617935714284
mp-677305,Li17Ti20O40,-2.9702616545887435
mp-562072,Cs3SbO3,-1.7990000044642858
mvc-10896,Ti2AlO4,-3.1848263397619028
mp-779903,Fe4O3F5,-2.3050112566416683
mp-669434,BiTeIO3,-1.2307805247916666
mp-699257,CaAl2Si2(H2O5)2,-2.5716588548410524
mp-1029542,Na6MoN4,-0.3687677072290909
mp-1095831,InCuAu2,1.0761806975
mp-1066136,YPd,-0.9078043212500004
mp-23029,Cs3Sb2I9,-0.9189914903571428
mp-6716,Ba4Zr(RuO4)3,-2.5722221590000003
mp-23521,Rb2CrCl4,-1.43031025472
mp-861293,Li8Ni(O2F)2,-2.1394432771586667
mp-1959,PuO2,-3.623460259791668
mp-1100680,Li9Mn2Co5O16,-1.8583470100599992
mp-772658,Li9Mn7V12O48,-2.2162263998252643
mp-556065,Li2MoF6,-3.031756606904444
mp-1029448,Li5OsN4,-0.5470193469519998
mp-558456,Hg3Se4O5,-0.8331727421354161
mp-932,ScGa3,-0.4873722699999998
mp-1097211,TiV2Os,3.821455749583333
mp-703253,RbFeSe2O7,-1.5752121873579548
mvc-3993,Ca2W2O5,-2.1982666829166657
mp-770277,Li4Cr3GaO8,-2.3804127487499995
mp-973815,Pa3Ta,0.19897579374999985
mp-767728,Li6Mn(OF)3,-2.5213980348676914
mp-554236,Ca5P3ClO12,-3.3219819451212245
mp-974770,NdZn2Cd,-0.3218992306249997
mvc-12113,Mn2Nb2Zn2O9,-2.4543438495446672
mp-1021320,Mg6TiBi,0.052668699791666995
mp-1008556,AlGaN2,-1.1131028136899994
mp-864965,Mg2RhAu,-0.5487628900000003
mp-760697,GaH7(NF2)2,-1.5369372764185714
mp-1028396,KMg14Ni,0.12979517375000027
mp-11666,Pr2(Zn2Ge)3,-0.4178922259090912
mp-12572,CaPd3C,-0.18781103950000005
mp-9512,SrAl2P2(O4F)2,-3.3535619972380317
mp-30997,ZrTlF5,-3.510768068707143
mvc-3005,SrZnCr(PO4)2,-2.729970453937729
mp-6178,Cs2KTiF6,-3.338749277380667
mp-771436,Li3MnBAsO7,-2.2498512962597443
mp-779364,Li2CoBO4,-2.204061236770833
mp-554732,RbSbS(O2F)2,-2.381258811826944
mp-764682,LiVOF3,-2.917561201636666
mp-722237,Be(B3H8)2,-0.07607719512695672
mp-616668,Na2AlNiF7,-3.127897144393636
mp-547237,Co(PO3)2,-2.417232252632276
mp-20364,K3Rh(NO2)6,0.6113561213963641
mp-16430,Pr(FeP3)4,-0.5963069721848735
mp-761368,Mn2FeO6,-1.62511889299111
mp-729903,ZnInH14O7F5,-1.735296721977857
mp-1097469,SrLaPt2,0.6844652600000005
mp-19328,NaWO3,-2.1158247057500006
mvc-8096,Ge2BiO6,-1.8407871969444445
mp-1022242,NaMg6Fe,0.22930141687499986
mp-19669,Dy4Mo4O11,-2.7941178097587724
mp-5558,NaReO4,-2.289872286666666
mp-15820,LiHoGe,-0.7154619522222221
mp-1093645,Ti2AlW,3.5965724491666653
mp-762754,Li2Fe2NiO6,-1.537551441893939
mp-767860,Li2SiNiO4,-2.364460095625
mp-561388,FeBiO3,-1.530625229750001
mp-19014,Sr2CdWO6,-2.6318504207499998
mvc-5774,CrWO6,-1.6971565946874998
mp-7137,LiTbO2,-3.2864912920833333
mp-1028542,TeW2SeS2,-0.7356520519531257
mp-676802,K2HfF6,-3.61557646708963
mp-780635,Li4MnFe3(BO3)4,-2.4364815426094446
mp-18883,YVO3,-3.2802082022500016
mp-865608,LuPaOs2,-0.2996078649999987
mp-777499,MnOF,-2.336917491549999
mp-555078,Ba3SrSb2O9,-2.7392188140833342
mp-1079386,TbZnPd,-0.7435220249999995
mp-1023254,CaMg6V,0.19762312250000005
mp-19647,SrNi2(PO4)2,-2.4495022354761904
mp-562572,CsU2O6,-3.5119846438888893
mp-1094609,LiMg5,-0.020492695000000026
mp-1028,V3Te4,-0.31407519
mp-753846,Mg(GaO2)2,-2.5274037599999994
mp-21032,BaIn2Pt,-0.6424210112499997
mp-989572,Cs2NaCaF6,-3.0804139952139997
mp-1093599,SiTc2Mo,3.466329050000001
mp-8348,TlSbF6,-2.6478300583925
mp-774832,Ba10Li2Bi4O21,-2.3818790617905403
mp-557562,TiH8C4NO10,-1.5303224902988883
mp-29629,Be3P2,-0.14951370786309467
mp-973141,ScCdCu2,-0.19940191625000026
mp-20637,SmCuPb,-0.4050458341666665
mp-770580,LiCr2O3,-2.159119068124999
mp-30584,HoCu2,-0.28073033333333325
mp-6578,Ba3B(PO4)3,-3.1930586664974947
mp-21089,Ce(MnGe)2,-0.44542220399999904
mp-781955,Li2Mn3(BO3)3,-2.4608867502429406
mp-7642,K2AgAs,-0.4018364800000001
mp-976187,Pr(Al2Fe)4,-0.3918417753846156
mp-14088,Rb2PdF6,-2.4190586107933334
mp-556761,Ba5As3ClO12,-2.7536268449171435
mp-20363,LiGa2Pt,-0.6158073725
mp-571513,Rb2NbCl6,-2.0092480555066663
mp-1094937,MgCd3,-0.05014869500000008
mp-1028288,Mg14VW,0.20195236187499965
mvc-11547,NiO2,-0.5471253552777774
mp-652786,Ba2Ni7F18,-2.5958353737562962
mp-16834,Zn3(AsO4)2,-1.784897275384615
mp-769448,Li4Ti4Mn4NiO18,-2.537724742032473
mp-753342,LiCuF4,-2.15485868996
mp-866506,CaSn2S5,-1.0679657944140637
mp-769946,Li4Mn(BO3)2,-2.5371925262917947
mp-975057,Rb3Dy,0.6300953508333333
mp-1094635,Mg2Ga,-0.0861106575000002
mp-680111,CdI2,-0.5903879516666667
mvc-6917,Ca(CoO2)2,-1.7405211121428559
mp-554238,CuBiSCl2,-0.9387168691165002
mp-1028286,Mg14VCd,0.06280248656250009
mp-1079747,Sr2Ti2As2OF2,-2.56160985632926
mp-17167,Be3Cd4Si3TeO12,-2.561942190434784
mp-1026720,CeMg14Bi,-0.018421260937500072
mp-36890,TaBi3O7,-2.088377952159091
mp-505090,Na(CuO)2,-1.13062926
mp-31423,Ho3(CuSi)4,-0.6399769713636361
mp-541742,Cs3Mo2Cl9,-1.8004803606671425
mp-566001,CrHg(PbO3)2,-1.51781145375
mp-782704,Ni3OF5,-1.8112441158000008
mp-1033565,RbMg6CO8,-1.8986226110937496
mp-775168,MnCu3(PO4)4,-2.0001909847225394
mp-27094,LiSn2(PO4)3,-2.54457934718254
mp-16857,LaMn3Ni2,-0.01470230944444495
mp-554899,CsAlF4,-3.66083372246
mp-8313,Cs2Li2GeO4,-2.1246479888888894
mp-1096539,ZnCu2Au,1.3394602987500004
mp-23230,PCl3,-1.1444696694688101
mp-773229,Mn3FeO8,-1.6910501381566678
mp-757883,LiSiBiO4,-2.5001300292857143
mp-864654,Zn2NiRh,-0.33712433
mp-771179,Li4Nb5Cr3O16,-2.593951983214286
mp-1679,La2Ni7,-0.3108025666666663
mp-779092,Li24Ti11CrO36,-2.9312585227546304
mp-1017481,LaMg6Cr,0.1829349962500002
mp-1009876,TcC,0.6487355212499999
mp-1035800,Mg14ZnCuO16,-2.8288842332812503
mp-1014168,CsPbBr3,-1.3191834830000002
mp-1077299,ReN2,0.00460169174666684
mp-684641,Fe2S,-0.260419183735119
mp-565979,MnBiAsO5,-1.8882269159012504
mp-1914,YGa2,-0.6606463941666677
mp-540686,CsPr(SO4)2,-2.6810269121354167
mp-1018892,PrCoSi,-0.6660028266666664
mp-755703,LiSbO2,-1.9719442681249992
mp-772563,Li2VO2F3,-2.752506593883749
mvc-13107,VO2,-2.2269482019444444
mp-571578,CdI2,-0.5912121333333331
mvc-15159,MgCoO2,-2.1796957837500006
