6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"Interfacial Energy
(eV/angstrom^2)"
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,0.15
AlP-AlP-GaP-GaP-GaP-GaP,0.001
AlP-AlP-ZnS-ZnS-GaP-GaP,0.109
AlP-AlP-ZnS-ZnS-ZnS-GaP,0.114
AlP-AlP-ZnS-ZnS-ZnS-ZnS,0.102
AlP-AlP-ZnSe-GaP-GaP-GaP,0.075
AlP-AlP-ZnSe-ZnSe-GaP-GaP,0.1
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,0.104
AlP-CuBr-CuBr-CuBr-CuBr-CuBr,0.136
AlP-CuBr-CuBr-CuBr-GaP-GaP,0.14800000000000002
AlP-CuBr-CuBr-CuBr-ZnSe-ZnSe,0.132
AlP-CuBr-CuBr-GaP-GaP-GaP,0.15
AlP-CuBr-CuBr-ZnSe-GaP-GaP,0.17
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,0.106
AlP-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.083
AlP-CuBr-GaP-GaP-GaP-GaP,0.14800000000000002
AlP-CuBr-ZnSe-GaP-GaP-GaP,0.161
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,0.155
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,0.135
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,0.108
AlP-GaP-GaP-GaP-GaP-GaP,0.001
AlP-ZnS-GaP-GaP-GaP-GaP,0.08800000000000001
AlP-ZnS-ZnS-GaP-GaP-GaP,0.108
AlP-ZnS-ZnS-ZnS-GaP-GaP,0.113
AlP-ZnS-ZnS-ZnS-ZnS-GaP,0.107
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,0.07400000000000001
AlP-ZnSe-GaP-GaP-GaP-GaP,0.075
AlP-ZnSe-ZnSe-GaP-GaP-GaP,0.099
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,0.103
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.092
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.064
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,0.0
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,0.059
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,0.001
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,0.004
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,0.043
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,0.062
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,0.051
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,0.06
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,0.001
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,0.005
AlSb-AlSb-AlSb-AlSb-InAs-InAs,0.001
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,0.06
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,0.047
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,0.036000000000000004
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,0.056
AlSb-AlSb-AlSb-CdSe-CdSe-InAs,0.099
AlSb-AlSb-AlSb-CdSe-InAs-InAs,0.048
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,0.063
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,0.001
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,0.005
AlSb-AlSb-AlSb-GaSb-InAs-InAs,0.002
AlSb-AlSb-AlSb-InAs-InAs-InAs,-0.002
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,0.061
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,0.052000000000000005
AlSb-AlSb-AlSb-ZnTe-GaSb-CdSe,0.097
AlSb-AlSb-AlSb-ZnTe-GaSb-GaSb,0.047
AlSb-AlSb-AlSb-ZnTe-GaSb-InAs,0.052000000000000005
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,0.063
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,0.056
AlSb-AlSb-AlSb-ZnTe-ZnTe-InAs,0.05
AlSb-AlSb-AlSb-ZnTe-ZnTe-ZnTe,0.06
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,0.061
AlSb-AlSb-CdSe-CdSe-InAs-InAs,0.052000000000000005
AlSb-AlSb-CdSe-InAs-InAs-InAs,0.045
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,0.063
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,0.055
AlSb-AlSb-GaSb-CdSe-InAs-InAs,0.049
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,0.062
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,0.059
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,0.001
AlSb-AlSb-GaSb-GaSb-GaSb-InAs,0.005
AlSb-AlSb-GaSb-GaSb-InAs-InAs,0.002
AlSb-AlSb-GaSb-InAs-InAs-InAs,-0.002
AlSb-AlSb-InAs-InAs-InAs-InAs,-0.006
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,0.098
AlSb-AlSb-ZnTe-GaSb-GaSb-CdSe,0.098
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,0.052000000000000005
AlSb-AlSb-ZnTe-GaSb-InAs-InAs,0.049
AlSb-AlSb-ZnTe-InAs-InAs-InAs,0.03
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,0.061
AlSb-AlSb-ZnTe-ZnTe-CdSe-InAs,0.054000000000000006
AlSb-AlSb-ZnTe-ZnTe-GaSb-CdSe,0.103
AlSb-AlSb-ZnTe-ZnTe-GaSb-GaSb,0.056
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,0.062
AlSb-AlSb-ZnTe-ZnTe-ZnTe-CdSe,0.061
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,0.058
AlSb-AlSb-ZnTe-ZnTe-ZnTe-ZnTe,0.057
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,0.056
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,0.053
AlSb-CdSe-CdSe-CdSe-InAs-InAs,0.053
AlSb-CdSe-InAs-InAs-InAs-InAs,0.042
AlSb-GaSb-CdSe-CdSe-CdSe-CdSe,0.062
AlSb-GaSb-CdSe-CdSe-CdSe-InAs,0.055
AlSb-GaSb-CdSe-CdSe-InAs-InAs,0.052000000000000005
AlSb-GaSb-CdSe-InAs-InAs-InAs,0.046
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,0.054000000000000006
AlSb-GaSb-GaSb-GaSb-CdSe-CdSe,0.062
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,0.051
AlSb-GaSb-GaSb-GaSb-GaSb-GaSb,0.001
AlSb-GaSb-GaSb-GaSb-GaSb-InAs,0.005
AlSb-GaSb-GaSb-GaSb-InAs-InAs,0.001
AlSb-GaSb-GaSb-InAs-InAs-InAs,0.008
AlSb-GaSb-InAs-InAs-InAs-InAs,-0.005
AlSb-InAs-InAs-InAs-InAs-InAs,-0.009000000000000001
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,0.048
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,0.049
AlSb-ZnTe-CdSe-CdSe-InAs-InAs,0.051
AlSb-ZnTe-CdSe-InAs-InAs-InAs,0.048
AlSb-ZnTe-GaSb-CdSe-CdSe-CdSe,0.09
AlSb-ZnTe-GaSb-CdSe-CdSe-InAs,0.08900000000000001
AlSb-ZnTe-GaSb-GaSb-CdSe-CdSe,0.094
AlSb-ZnTe-GaSb-GaSb-GaSb-CdSe,0.093
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,0.046
AlSb-ZnTe-GaSb-GaSb-GaSb-InAs,0.052000000000000005
AlSb-ZnTe-ZnTe-CdSe-CdSe-CdSe,0.049
AlSb-ZnTe-ZnTe-CdSe-InAs-InAs,0.052000000000000005
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,0.096
AlSb-ZnTe-ZnTe-GaSb-CdSe-InAs,0.093
AlSb-ZnTe-ZnTe-GaSb-GaSb-GaSb,0.056
AlSb-ZnTe-ZnTe-GaSb-GaSb-InAs,0.062
AlSb-ZnTe-ZnTe-GaSb-InAs-InAs,0.059
AlSb-ZnTe-ZnTe-InAs-InAs-InAs,0.044
AlSb-ZnTe-ZnTe-ZnTe-CdSe-CdSe,0.05
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,0.051
AlSb-ZnTe-ZnTe-ZnTe-GaSb-InAs,0.063
AlSb-ZnTe-ZnTe-ZnTe-InAs-InAs,0.05
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,0.051
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,0.055
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,0.049
BAs-BAs-BAs-BAs-BAs-BAs,0.0
BeO-BeO-BeO-BeO-BeO-BeO,0.0
BeS-BAs-BAs-BAs-BAs-BAs,0.271
BeS-BeS-BAs-BAs-BAs-BAs,0.277
BeS-BeS-BeS-BAs-BAs-BAs,0.275
BeS-BeS-BeS-BeS-BAs-BAs,0.271
BeS-BeS-BeS-BeS-BeS-BAs,0.253
BeS-BeS-BeS-BeS-BeS-BeS,0.0
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,0.0
BeSe-BeSe-BeSe-BeSe-BeSe-CuCl,0.14400000000000002
BeSe-BeSe-BeSe-BeSe-InN-InN,0.239
BeSe-BeSe-BeSe-CuCl-CuCl-CuCl,0.151
BeSe-BeSe-BeSe-InN-InN-InN,0.265
BeSe-BeSe-CuCl-CuCl-CuCl-CuCl,0.136
BeSe-BeSe-InN-InN-InN-InN,0.097
BeSe-CuCl-CuCl-CuCl-CuCl-CuCl,0.099
BeTe-AlAs-AlAs-AlAs-AlAs-AlAs,0.071
BeTe-AlAs-AlAs-AlAs-AlAs-CuBr,0.193
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,0.073
BeTe-AlAs-AlAs-AlAs-CuBr-CuBr,0.17
BeTe-AlAs-AlAs-AlAs-CuBr-GaAs,0.173
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,0.073
BeTe-AlAs-AlAs-AlAs-ZnSe-GaAs,0.119
BeTe-AlAs-AlAs-AlAs-ZnSe-ZnSe,0.112
BeTe-AlAs-AlAs-CuBr-CuBr-ZnSe,0.139
BeTe-AlAs-AlAs-CuBr-GaAs-GaAs,0.177
BeTe-AlAs-AlAs-CuBr-ZnSe-ZnSe,0.15
BeTe-AlAs-AlAs-ZnSe-GaAs-GaAs,0.12
BeTe-AlAs-CuBr-CuBr-CuBr-CuBr,0.159
BeTe-AlAs-CuBr-CuBr-CuBr-ZnSe,0.13699999999999998
BeTe-AlAs-CuBr-CuBr-ZnSe-GaAs,0.138
BeTe-AlAs-CuBr-GaAs-GaAs-GaAs,0.16899999999999998
BeTe-AlAs-CuBr-ZnSe-GaAs-GaAs,0.172
BeTe-AlAs-CuBr-ZnSe-ZnSe-ZnSe,0.114
BeTe-AlAs-GaAs-GaAs-GaAs-GaAs,0.071
BeTe-AlAs-ZnSe-GaAs-GaAs-GaAs,0.116
BeTe-AlAs-ZnSe-ZnSe-ZnSe-GaAs,0.106
BeTe-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,0.077
BeTe-AlP-AlP-AlP-AlP-AlP,0.085
BeTe-AlP-AlP-AlP-AlP-GaP,0.08800000000000001
BeTe-AlP-AlP-AlP-AlP-ZnSe,0.085
BeTe-AlP-AlP-AlP-CuBr-GaP,0.21
BeTe-AlP-AlP-AlP-CuBr-ZnSe,0.193
BeTe-AlP-AlP-AlP-GaP-GaP,0.08800000000000001
BeTe-AlP-AlP-AlP-ZnSe-GaP,0.135
BeTe-AlP-AlP-AlP-ZnSe-ZnSe,0.128
BeTe-AlP-AlP-CuBr-CuBr-CuBr,0.223
BeTe-AlP-AlP-CuBr-CuBr-GaP,0.208
BeTe-AlP-AlP-CuBr-CuBr-ZnSe,0.19
BeTe-AlP-AlP-CuBr-GaP-GaP,0.214
BeTe-AlP-AlP-CuBr-ZnSe-GaP,0.204
BeTe-AlP-AlP-ZnSe-GaP-GaP,0.135
BeTe-AlP-AlP-ZnSe-ZnSe-GaP,0.14400000000000002
BeTe-AlP-CuBr-CuBr-CuBr-CuBr,0.175
BeTe-AlP-CuBr-CuBr-CuBr-GaP,0.18
BeTe-AlP-CuBr-CuBr-CuBr-ZnSe,0.149
BeTe-AlP-CuBr-CuBr-ZnSe-ZnSe,0.139
BeTe-AlP-CuBr-GaP-GaP-GaP,0.207
BeTe-AlP-CuBr-ZnSe-ZnSe-GaP,0.172
BeTe-AlP-CuBr-ZnSe-ZnSe-ZnSe,0.124
BeTe-AlP-GaP-GaP-GaP-GaP,0.086
BeTe-AlP-ZnSe-GaP-GaP-GaP,0.131
BeTe-AlP-ZnSe-ZnSe-GaP-GaP,0.141
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,0.123
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,0.081
BeTe-BeTe-AlAs-AlAs-AlAs-CuBr,0.188
BeTe-BeTe-AlAs-AlAs-AlAs-GaAs,0.108
BeTe-BeTe-AlAs-AlAs-AlAs-ZnSe,0.115
BeTe-BeTe-AlAs-AlAs-CuBr-CuBr,0.156
BeTe-BeTe-AlAs-AlAs-CuBr-GaAs,0.17800000000000002
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,0.132
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,0.106
BeTe-BeTe-AlAs-CuBr-CuBr-CuBr,0.122
BeTe-BeTe-AlAs-CuBr-CuBr-ZnSe,0.122
BeTe-BeTe-AlAs-CuBr-GaAs-GaAs,0.174
BeTe-BeTe-AlAs-CuBr-ZnSe-GaAs,0.157
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,0.115
BeTe-BeTe-AlAs-GaAs-GaAs-GaAs,0.104
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,0.128
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,0.113
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,0.079
BeTe-BeTe-AlP-AlP-AlP-AlP,0.13
BeTe-BeTe-AlP-AlP-AlP-CuBr,0.21600000000000005
BeTe-BeTe-AlP-AlP-AlP-GaP,0.131
BeTe-BeTe-AlP-AlP-AlP-ZnSe,0.13
BeTe-BeTe-AlP-AlP-CuBr-CuBr,0.205
BeTe-BeTe-AlP-AlP-CuBr-GaP,0.212
BeTe-BeTe-AlP-AlP-CuBr-ZnSe,0.174
BeTe-BeTe-AlP-AlP-GaP-GaP,0.13
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,0.12
BeTe-BeTe-AlP-CuBr-CuBr-CuBr,0.16899999999999998
BeTe-BeTe-AlP-CuBr-CuBr-GaP,0.182
BeTe-BeTe-AlP-CuBr-CuBr-ZnSe,0.14300000000000002
BeTe-BeTe-AlP-CuBr-GaP-GaP,0.207
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,0.179
BeTe-BeTe-AlP-CuBr-ZnSe-ZnSe,0.125
BeTe-BeTe-AlP-GaP-GaP-GaP,0.128
BeTe-BeTe-AlP-ZnSe-GaP-GaP,0.14400000000000002
BeTe-BeTe-AlP-ZnSe-ZnSe-GaP,0.127
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,0.08199999999999999
BeTe-BeTe-BeTe-AlAs-AlAs-CuBr,0.171
BeTe-BeTe-BeTe-AlAs-AlAs-GaAs,0.115
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,0.109
BeTe-BeTe-BeTe-AlAs-CuBr-CuBr,0.125
BeTe-BeTe-BeTe-AlAs-CuBr-GaAs,0.15
BeTe-BeTe-BeTe-AlAs-CuBr-ZnSe,0.119
BeTe-BeTe-BeTe-AlAs-GaAs-GaAs,0.112
BeTe-BeTe-BeTe-AlAs-ZnSe-GaAs,0.116
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,0.08
BeTe-BeTe-BeTe-AlP-AlP-AlP,0.14400000000000002
BeTe-BeTe-BeTe-AlP-AlP-CuBr,0.191
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,0.121
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,0.121
BeTe-BeTe-BeTe-AlP-CuBr-GaP,0.173
BeTe-BeTe-BeTe-AlP-CuBr-ZnSe,0.127
BeTe-BeTe-BeTe-AlP-GaP-GaP,0.138
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,0.135
BeTe-BeTe-BeTe-BeTe-AlP-AlP,0.13
BeTe-BeTe-BeTe-BeTe-AlP-CuBr,0.14400000000000002
BeTe-BeTe-BeTe-BeTe-AlP-GaP,0.124
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,0.083
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,0.07
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,0.0
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,0.096
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,0.057
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,0.067
BeTe-BeTe-BeTe-BeTe-BeTe-ZnSe,0.02
BeTe-BeTe-BeTe-BeTe-CuBr-CuBr,0.103
BeTe-BeTe-BeTe-BeTe-CuBr-GaAs,0.114
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,0.078
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,0.08900000000000001
BeTe-BeTe-BeTe-BeTe-GaP-GaP,0.106
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,0.071
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,0.08199999999999999
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,0.02
BeTe-BeTe-BeTe-CuBr-CuBr-CuBr,0.103
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,0.115
BeTe-BeTe-BeTe-CuBr-CuBr-GaP,0.13
BeTe-BeTe-BeTe-CuBr-CuBr-ZnSe,0.083
BeTe-BeTe-BeTe-CuBr-GaP-GaP,0.17
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,0.129
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,0.14300000000000002
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,0.076
BeTe-BeTe-BeTe-GaAs-GaAs-GaAs,0.099
BeTe-BeTe-BeTe-GaP-GaP-GaP,0.12
BeTe-BeTe-BeTe-ZnSe-GaAs-GaAs,0.101
BeTe-BeTe-BeTe-ZnSe-GaP-GaP,0.122
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,0.07
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,0.08199999999999999
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,0.02
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,0.098
BeTe-BeTe-CuBr-CuBr-CuBr-GaAs,0.113
BeTe-BeTe-CuBr-CuBr-CuBr-GaP,0.13
BeTe-BeTe-CuBr-CuBr-CuBr-ZnSe,0.083
BeTe-BeTe-CuBr-CuBr-GaAs-GaAs,0.141
BeTe-BeTe-CuBr-CuBr-GaP-GaP,0.17
BeTe-BeTe-CuBr-CuBr-ZnSe-GaAs,0.134
BeTe-BeTe-CuBr-CuBr-ZnSe-GaP,0.14800000000000002
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,0.081
BeTe-BeTe-CuBr-GaAs-GaAs-GaAs,0.14800000000000002
BeTe-BeTe-CuBr-GaP-GaP-GaP,0.181
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaAs,0.127
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,0.14300000000000002
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,0.075
BeTe-BeTe-GaAs-GaAs-GaAs-GaAs,0.094
BeTe-BeTe-GaP-GaP-GaP-GaP,0.114
BeTe-BeTe-ZnSe-GaAs-GaAs-GaAs,0.11
BeTe-BeTe-ZnSe-GaP-GaP-GaP,0.13699999999999998
BeTe-BeTe-ZnSe-ZnSe-GaAs-GaAs,0.1
BeTe-BeTe-ZnSe-ZnSe-GaP-GaP,0.121
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,0.069
BeTe-CuBr-CuBr-CuBr-CuBr-CuBr,0.076
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,0.108
BeTe-CuBr-CuBr-CuBr-CuBr-GaP,0.126
BeTe-CuBr-CuBr-CuBr-CuBr-ZnSe,0.077
BeTe-CuBr-CuBr-CuBr-GaAs-GaAs,0.138
BeTe-CuBr-CuBr-CuBr-GaP-GaP,0.16699999999999998
