4-BLOCK POLYMER,HSE Band Gap (eV)
NH-C4H2S-O-C4H2S,3.9810000000000003
CH2-NH-CH2-CO,3.986
NH-CO-NH-C6H4,3.609
CH2-C6H4-NH-CS,3.8280000000000003
CH2-CH2-CH2-O,7.187
CH2-CS-CH2-O,2.6660000000000004
NH-C6H4-C6H4-O,3.498
CH2-C4H2S-NH-CS,3.0039999999999996
CH2-C6H4-O-C4H2S,4.298
CH2-CH2-CO-C6H4,3.8930000000000002
CO-C4H2S-C4H2S-CS,1.7280000000000002
CH2-C6H4-O-C6H4,4.416
CO-C4H2S-C6H4-O,2.323
CO-C4H2S-CO-O,3.471
CH2-CS-C4H2S-O,2.103
CH2-O-C4H2S-C6H4,3.574
CH2-C4H2S-CO-C4H2S,2.891
CO-C6H4-CO-O,3.676
CH2-CH2-CO-C4H2S,3.446
CH2-CO-CS-C6H4,2.526
CH2-CS-CO-O,2.388
NH-C4H2S-NH-C4H2S,3.6060000000000003
C6H4-CS-C6H4-CS,2.041
CH2-C6H4-CH2-C6H4,4.782
CH2-C4H2S-O-CS,3.267
CO-C6H4-C6H4-C4H2S,1.9409999999999998
CH2-CH2-NH-C4H2S,3.83
CH2-CH2-CO-O,6.837999999999999
CH2-CO-CS-C4H2S,2.385
CH2-C6H4-CH2-CS,3.0780000000000003
CH2-C6H4-NH-C6H4,3.908
C6H4-C4H2S-C6H4-O,2.267
C6H4-C4H2S-O-CS,2.376
CH2-C4H2S-C4H2S-CS,1.9969999999999999
CH2-CO-CH2-O,5.013999999999999
C6H4-C4H2S-C4H2S-C4H2S,1.2890000000000001
CH2-C4H2S-NH-O,3.9989999999999997
CH2-CO-C6H4-C4H2S,2.9389999999999996
NH-CO-O-C4H2S,3.488
CH2-C4H2S-CO-O,3.9130000000000003
CH2-CS-C6H4-NH,2.248
CO-O-C6H4-CS,2.526
NH-CO-C4H2S-CS,2.3369999999999997
NH-CO-O-CS,2.833
CH2-NH-CS-CO,2.287
CH2-CO-C4H2S-O,3.279
CH2-CH2-C6H4-O,4.275
CH2-C6H4-CS-C6H4,2.576
CO-C6H4-CO-C6H4,3.3080000000000003
CH2-C4H2S-CH2-O,2.9330000000000003
CH2-NH-C4H2S-CO,2.721
CH2-NH-C6H4-NH,3.6630000000000003
NH-CS-O-CS,2.9989999999999997
CH2-C6H4-O-CS,3.891
NH-CS-C4H2S-O,2.443
CO-C6H4-C6H4-O,3.3369999999999997
CH2-NH-CH2-C4H2S,4.236000000000001
C4H2S-CS-O-CS,1.9169999999999998
CO-C4H2S-C6H4-C4H2S,1.732
CO-C4H2S-C4H2S-C4H2S,1.264
CH2-NH-CS-C4H2S,3.071
NH-O-CS-O,4.235
CH2-NH-CH2-NH,6.12
C6H4-CS-C4H2S-C4H2S,1.39
NH-CO-C6H4-CS,2.5660000000000003
NH-CO-NH-CO,4.17
C4H2S-C4H2S-O-CS,2.1
NH-CS-NH-O,3.091
CO-O-C4H2S-O,3.9210000000000003
CH2-O-C4H2S-O,4.494
NH-O-CO-O,5.547999999999999
CH2-CO-O-CS,3.792
CH2-O-C6H4-O,4.25
NH-C6H4-NH-O,3.6510000000000002
CH2-CH2-C6H4-C4H2S,3.076
NH-C4H2S-CS-O,2.674
C6H4-C6H4-C4H2S-C4H2S,1.507
NH-C4H2S-C6H4-C4H2S,1.886
CO-C4H2S-C4H2S-O,2.423
NH-C4H2S-CO-CS,1.744
NH-C4H2S-C4H2S-C4H2S,1.754
CH2-CH2-CH2-C6H4,4.907
NH-C4H2S-O-CS,2.678
CH2-NH-CS-O,4.13
CH2-CO-O-C4H2S,4.409
CO-C6H4-CS-C6H4,1.9869999999999999
NH-CS-C4H2S-CS,1.834
NH-CO-C6H4-C4H2S,2.391
NH-C4H2S-CS-C4H2S,1.966
C6H4-C4H2S-O-C4H2S,2.339
C6H4-C6H4-C6H4-CS,2.037
CH2-C4H2S-CH2-C4H2S,4.288
CO-CS-CO-O,1.798
CO-C6H4-C4H2S-C6H4,2.0380000000000003
CH2-NH-CH2-C6H4,4.627
CH2-C6H4-CO-C4H2S,3.634
CH2-O-CH2-O,7.127000000000001
CO-C6H4-C4H2S-C4H2S,2.262
CH2-CO-CS-O,2.245
NH-CO-CS-O,2.4659999999999997
CH2-CO-CS-CO,1.67
CH2-NH-C6H4-C4H2S,3.263
NH-CS-C6H4-CS,1.9280000000000002
NH-C6H4-C6H4-CH2,3.488
NH-CO-NH-CS,2.298
NH-C4H2S-C4H2S-CS,1.681
NH-C6H4-NH-C6H4,2.5180000000000002
NH-C6H4-NH-C4H2S,2.885
CH2-C6H4-C6H4-C4H2S,3.025
CH2-C4H2S-CS-C4H2S,2.3480000000000003
CO-NH-CO-C6H4,2.1630000000000003
CH2-CS-CO-CS,1.276
CH2-CH2-NH-CS,3.8989999999999996
CH2-C4H2S-C4H2S-O,3.012
CH2-CO-NH-C4H2S,4.115
CH2-CH2-CO-CS,1.993
NH-C6H4-C6H4-C4H2S,2.023
CH2-C6H4-C4H2S-CS,2.19
C6H4-O-CS-O,4.322
CH2-O-NH-CO,5.702000000000001
NH-C6H4-C4H2S-C6H4,1.8419999999999999
C6H4-O-C4H2S-O,4.31
NH-C6H4-O-C4H2S,3.555
CH2-NH-CO-CS,2.6260000000000003
CH2-NH-C6H4-O,3.9010000000000002
C6H4-C6H4-C6H4-C6H4,2.753
CH2-CO-NH-C6H4,4.099
CH2-CH2-CH2-CH2,8.606
NH-CO-C6H4-C6H4,2.593
NH-CO-CS-C6H4,1.989
CO-C6H4-CS-C4H2S,2.048
CH2-CO-CH2-CO,4.941
CO-O-C6H4-O,4.662
NH-CO-C4H2S-CO,3.022
CH2-C6H4-C4H2S-C4H2S,2.8169999999999997
CO-C6H4-CO-C4H2S,2.889
CH2-C6H4-CO-CS,2.705
CH2-CH2-C6H4-CS,2.81
NH-C4H2S-C6H4-CS,2.524
CH2-NH-O-C6H4,4.369
CH2-C6H4-C6H4-C6H4,3.591
CH2-O-NH-O,5.688
CH2-CH2-C4H2S-CS,2.492
NH-CO-NH-C4H2S,3.321
CH2-C4H2S-CH2-CS,2.694
NH-CO-NH-O,5.1370000000000005
CO-C6H4-CS-O,2.86
CH2-CH2-O-NH,6.013
CH2-CO-CH2-C4H2S,3.997
C6H4-O-C6H4-O,3.911
CH2-O-CS-O,4.104
NH-CO-C6H4-O,3.985
C4H2S-O-C4H2S-O,4.185
CH2-NH-CO-C6H4,4.496
CH2-C4H2S-O-C4H2S,4.357
CH2-CO-O-CO,6.032
CH2-CO-C4H2S-C6H4,3.1
CH2-CO-C6H4-CO,3.49
NH-C4H2S-C4H2S-O,2.012
CH2-CH2-C4H2S-C4H2S,2.79
CH2-NH-CH2-O,6.63
NH-C6H4-C6H4-C6H4,2.8289999999999997
C6H4-CS-O-CS,2.511
CO-C4H2S-CS-O,2.6239999999999997
NH-C6H4-C4H2S-C4H2S,1.8030000000000002
CH2-CH2-CH2-NH,6.165
CH2-CO-NH-CO,4.993
NH-CS-C6H4-O,2.884
CO-C4H2S-CO-C4H2S,2.303
NH-C6H4-O-CS,3.625
CH2-C4H2S-CO-CS,2.801
CH2-CO-O-C6H4,4.907
C4H2S-C4H2S-C4H2S-C4H2S,1.023
CO-C6H4-O-C6H4,3.45
CH2-CH2-CH2-C4H2S,4.257
NH-CO-O-C6H4,3.81
CO-C4H2S-O-CS,1.996
C6H4-C4H2S-C4H2S-O,2.234
CH2-CO-C4H2S-C4H2S,2.4330000000000003
CH2-CO-CH2-CS,3.159
NH-C6H4-C4H2S-CS,1.939
CH2-C4H2S-C4H2S-C4H2S,2.2969999999999997
NH-C6H4-CS-O,1.401
NH-C6H4-CO-C4H2S,2.569
CO-C4H2S-CO-CS,1.535
NH-CS-CO-O,2.218
CH2-CS-NH-CS,1.85
C6H4-C6H4-C4H2S-O,2.516
CH2-CO-C4H2S-CO,3.342
CH2-NH-CO-C4H2S,4.027
CH2-C6H4-C6H4-CS,2.574
CH2-C6H4-NH-C4H2S,3.5589999999999997
C6H4-C4H2S-C6H4-CS,1.975
CH2-C6H4-CS-C4H2S,2.556
C6H4-C4H2S-CS-C4H2S,1.26
C4H2S-O-CS-O,3.1319999999999997
CH2-CS-NH-O,4.301
CH2-C6H4-CH2-C4H2S,4.155
CO-O-CS-O,4.0089999999999995
NH-C6H4-O-C6H4,3.4330000000000003
CH2-C6H4-CO-C6H4,4.044
NH-CO-O-CO,5.306
CO-C4H2S-CS-C4H2S,1.7269999999999999
CH2-CS-O-CS,3.032
C4H2S-CS-C4H2S-O,2.33
CO-C4H2S-O-C4H2S,2.928
C6H4-CS-C6H4-O,2.21
NH-O-C6H4-O,4.1339999999999995
CH2-CO-CH2-C6H4,3.997
CH2-NH-O-CS,3.8489999999999998
CH2-NH-C4H2S-O,3.722
CH2-CS-C4H2S-CS,1.835
CO-C6H4-CO-CS,1.976
CH2-CH2-CH2-CO,5.321000000000001
CH2-CO-C6H4-C6H4,3.3689999999999998
CH2-CH2-CS-O,3.7680000000000002
NH-C4H2S-CS-C6H4,1.895
CH2-NH-O-C4H2S,4.1339999999999995
C6H4-C6H4-C6H4-O,3.592
NH-C6H4-CO-CS,2.1109999999999998
CH2-CH2-C6H4-C6H4,3.8569999999999998
CH2-CS-CH2-CS,2.708
NH-C6H4-C6H4-CS,2.6910000000000003
CH2-NH-O-NH,5.3
