SMILES,epsilon_i
O=C(C=O)c1ccc(cc1)C,0.91
O=C(c1ccc(cc1)C)c1ccccc1,0.35
s1cccc1C(=O)c1ccc(cc1)C,0.43
Nc1ccc(cc1)-c1ccc(cc1)C,1.23
O=Cc1ccc(cc1)-c1ccc(cc1)C,0.44
c1cc(ccc1-c1ccc(cc1)C)-c1ccccc1,0.07
s1cccc1-c1ccc(cc1)-c1ccc(cc1)C,0.19
s1c(ccc1N)-c1ccc(cc1)C,1.49
s1c(ccc1C=O)-c1ccc(cc1)C,0.5
s1c(ccc1-c1ccccc1)-c1ccc(cc1)C,0.14
"O(C(=O)CC[C@H](C(OCCCC)=O)C)C
CCC",0.52
s1c(ccc1-c1sccc1)-c1ccc(cc1)C,0.43
s1c(ccc1C)Cc1sccc1,0.11
s1c(ccc1NN)C,0.35
s1c(ccc1NC=O)C,0.57
s1c(ccc1Nc1ccccc1)C,0.65
s1c(ccc1Nc1sccc1)C,0.4
s1c(ccc1C)C(=O)N,2.1
s1c(ccc1C)C(=O)C=O,0.91
s1c(ccc1C)C(=O)c1ccccc1,0.45
O(C(=O)CC[C@@H](C(OCC)=O)C)CC,0.58
s1c(ccc1C)-c1ccc(N)cc1,0.55
s1c(ccc1C)-c1ccc(cc1)C=O,0.68
s1c(ccc1C)-c1ccc(cc1)-c1ccccc1,0.41
s1c(ccc1C)-c1ccc(cc1)-c1sccc1,0.14
s1c(ccc1C=O)-c1sc(cc1)C,0.73
s1c(ccc1-c1sc(cc1)C)-c1ccccc1,0.21
N(NN)N,0.05
O=CNNN,2.24
C(CCC)(C)C,0.03
N(NN)c1ccccc1,0.69
s1cccc1NNN,0.52
O=C(NN)C=O,1.84
O=C(NN)c1ccccc1,0.97
s1cccc1C(=O)NN,2.61
O=Cc1ccc(NN)cc1,0.97
N(N)c1ccc(cc1)-c1ccccc1,1.38
s1c(ccc1NN)C=O,2.83
O(C(=O)c1ccc(cc1)C(O)=O)CC,0.57
s1c(ccc1NN)-c1sccc1,2.18
O=C(NC=O)N,2.19
O=C(Nc1ccccc1)N,1.39
s1cccc1NC(=O)N,3.63
O=C(C(=O)N)c1ccccc1,2.25
s1cccc1C(=O)C(=O)N,2.27
O=C(N)c1ccc(cc1)C=O,2.89
s1cccc1-c1ccc(cc1)C(=O)N,1.28
O(C(=O)CC[C@H](C(OC)=O)C)C,0.5
s1c(ccc1C=O)C(=O)N,1.81
s1c(ccc1C(=O)N)-c1ccccc1,1.18
s1c(ccc1C(=O)N)-c1sccc1,1.4
O(c1cc2c(cc1)C(=O)NC2=O)c1cc2c(cc1)C (=O)NC2=O,0.85
FC(F)(F)C(C(F)(F)F)(c1cc2c(cc1)C(=O)NC 2=O)c1cc2c(cc1)C(=O)NC2=O,0.39
ClCC[C@@H](Cl)C,0.15
Cl[C@@](F)(C(F)(F)[C@@H](Cl)F)C(F)F,0.26
O(C(=O)CC[C@@H](C(OCCO)=O)C)C CO,0.61
O=C(NCCC)CCCCC(=O)NCCC,0.54
s1c(ccc1C)-c1sccc1,0.1
s1c(ccc1C(C)C)-c1sccc1,0.12
c1ccccc1-c1ccccc1,0.03
c1ccccc1-c1ccccc1,0.1
n1ccccc1-c1ncccc1,0.13
[nH]1cccc1-c1[nH]ccc1,0.18
