mpid,formula,e_hull
mp-540008,NiPO4,0.10350920260415997
mp-19658,Rb2Cr2O7,0.0009567715909097883
mp-781690,Li4Cu2Ni3Sb3O16,0.07427573265625043
mp-1018088,C,1.2981273874999992
mp-555118,NaPO3,0.0
mp-15588,Ce(BRu)2,0.0
mp-1017484,LaMg6Nb,0.27378074329545266
mp-1062141,SrF2,0.001367716666666574
mp-865656,TiMn2W,0.0
mp-540620,Mn2Mo3O8,0.12105456538461645
mp-558432,Na3P(SO)2,0.0
mp-37923,Sm5AgS8,0.02195439232142781
mp-570354,CuBr,0.1786250749999998
mp-1078379,FeBiS2Br,0.2899812749999997
mp-21496,LiLa4CuO8,0.014529465714285372
mp-26742,Cu4(PO4)3,0.01820092328947176
mp-1069825,PrAl3Cu,0.0
mp-773469,Li4Mn5Te3O16,0.11185036452380803
mp-1096189,LiInCu2,1.43201938875
mp-754,Te2Rh,0.0
mp-853271,Li5Mn2(PO4)3,0.0383887930681901
mp-567124,Fe3O4,0.057726553571429313
mp-542013,Rb4Zr3Se14,0.0
mp-21339,CeCoGe,0.0
mp-25025,YMnO3,0.0231630146666646
mp-768482,Bi2(SO4)3,0.010661733529412132
mp-1078114,ReCl6,0.0
mp-21482,NpIn3,0.0
mp-6273,Ba4Na(SbO4)3,0.0
mp-1040126,LiLaMg30O32,0.0467702833593755
mp-23536,SbI3Cl8,0.0
mp-862800,PrI3,0.0
mp-1030508,Te2MoWSe2,0.05046839500000111
mp-2283,ZrCo,0.0
mp-769762,Li2AlNiO4,0.07207320187499988
mp-1094883,MgGa,0.020300054374999817
mp-11318,CePt3,0.0
mp-33461,Li3Mn3O8,0.04458006263392544
mp-764197,Mn12O7F17,0.07285912274306039
mp-1028951,Te2MoW3(Se2S)2,0.06397016916666765
mp-561586,CsLaS2,0.0
mp-1035533,Mg14FeBiO16,0.17029088608073015
mp-1094902,YMg,1.3298293650000002
mp-16092,Tm3Co29(Si2B5)2,0.0
mp-1018693,Eu2H3Cl,0.0
mp-18614,In3Rh,0.0
mp-758688,Li2CuF4,0.05790098214285778
mp-764543,LiFe2(BO3)2,0.05688914971593473
mp-851005,Li2Mn3(BO3)3,0.04623790465684508
mp-4076,VCoSb,0.0051754328472215505
mp-753610,BaCaI4,0.07764417854166705
mp-31083,PrSi2Ru,0.0
mp-1030667,NaMg6CO8,0.6167126487890613
mp-685079,Nb32N27,0.20457005129943795
mp-1018825,NdPbAu,0.03276836165277697
mp-850762,Fe5O7F3,0.09477661824999917
mp-1097265,Y2ZnOs,2.7307016678125
mp-510568,V2O5,0.022725519285712537
mp-1093727,LiMg2Au,1.1747989883333354
mp-777978,BaYF5,0.0974196712500035
mp-771240,La2P4O13,0.003464012763155111
mp-707339,AsH6NO4,0.08182798872594342
mp-557264,SiO2,0.005491019375000406
mp-765880,Mg3Fe2O5,1.5921000008134456e-05
mp-744927,Na5CaAl5Fe(SiO3)12,0.034274449140624164
mp-705094,Co2As2O5,0.0
mp-866695,ReTeSeCl4,0.0
mvc-10460,MgCu2(WO4)2,0.15857120999999808
mp-1087478,DyNiGe3,0.0
mp-27246,LuSBr,0.0
mp-16432,Sr3(BO3)2,0.0
mp-7938,KNbS2,0.0
mp-743835,MnH4(SO6)2,0.2291035760635953
mp-974959,Rb3Li,0.134595185
mvc-12661,Zn(FeO2)2,0.32825721928571383
mp-29172,SeF4,0.0
mp-3827,KFeS2,0.0
mp-28491,Cu2SO4,0.020446099642842164
mp-569876,LiMgVO4,0.0
mp-780711,Li4Mn3O8,0.027593082055552998
mp-555644,Al2Tl3(PO4)3,0.003323585374999993
mp-22074,CeTaO4,0.0005039500000307839
mp-6476,Ag3SeNO3,0.2955179556400003
mp-984598,AuS,0.10096940148437517
mvc-10887,CaV2O4,0.031152695357139493
mvc-3453,SbF5,0.0
mp-754322,Sr2CuO4,0.0
mp-642938,RbCr4BiO14,0.0
mp-763190,Li2VO2F,0.10734698291666334
mp-643738,Eu(MgH3)2,0.0
mp-15107,KSnAsO5,0.0
mp-25789,Ba5V3ClO12,0.0
mp-566756,Ba4Fe3(S3F2)2,0.06470077676470343
mp-1027845,Mg14ZrSi,0.12951784437500002
mp-1097120,LiSiAg2,1.640060827604166
mp-1093760,K2RbBi,0.9387136283333328
mp-572271,Cs3P7Pb2O21,0.0
mp-1079517,La2MnNiO6,0.0
mp-32307,Sr2ReNiO6,0.05924569160000104
mp-20840,MnCo2Sn,0.0
mp-555268,K2Sm2IrO7,0.0
mp-776724,Li4Fe2OF8,0.05746976129629821
mp-1027878,Mg14TiFe,0.18186656250000025
mp-24566,MgH8(IO5)2,0.011648284761904826
mvc-11254,Ca(FeS2)2,0.3747144607142845
mp-863674,ErMgHg2,0.0
mp-762556,Li4Ti3(NiO4)3,0.06869331511857446
mp-17063,BaLaCuTe3,0.0
mp-675755,TiCu3O4,0.08102501218750824
mp-771214,Rb2S2O7,0.0053448913636353615
mp-612740,In2Se3,0.0
mp-20804,Rb(InAu2)2,0.0
mp-769943,LiSbTe2WO12,0.03868769411764728
mp-775035,Li2NiSnO4,0.0030228259374940336
mp-1070391,Ti2H2Pd,0.029796077999999507
mp-554057,KPr(SO4)2,0.0
mp-756919,Mg3(AsO4)2,0.0
mvc-4454,Ti2AlO4,0.3994761671428595
mp-20542,Pr(MnGe)2,0.0
mp-849704,LiFe4(BO3)4,0.0692499384523817
mp-629476,RuC3SeO3,0.14911358484375015
mp-30854,UPt2,0.0
mp-605047,P2H6C5N2Cl4O,0.40160066670205197
mp-631462,BeTcSe,1.1009273466666665
mp-1079608,PrFeAsO,0.13385776291666662
mp-1500,BaS,0.0
mp-5662,Ce2Fe17N3,0.05858850818181693
mp-677520,KBa6Zn4(GaO3)7,0.0
mp-541180,Te3Pt2,0.0
mp-761722,LiVCoO4,0.03424774940475395
mp-1062306,MnSiNi,0.2394535808333327
mvc-3251,ZnCrPO5,0.06184040578125671
mp-973983,NiPd3,0.088884395
mp-1033911,KMg14SiO16,0.2416093442578129
mp-866869,Ca3Sn2S7,0.1004690730208324
mp-13363,SiPt3,0.02352213249999924
mp-1025504,TmGa2Ni,0.0
mp-23933,AlH3,0.0
mp-134,Al,0.0
mvc-2646,MgNiO2,0.2404000089583312
mp-631482,BiMoRh,0.7027630474999995
mp-8129,NiC2(SN)2,0.23931659797646265
mp-555240,BaVS3,0.01426648100000261
mp-6760,Na3La9B8O27,0.0
mp-540503,Li6V3P8O29,0.018931551974652017
mp-973890,HoHfRu2,0.0
mp-762483,LiFe(PO3)4,0.06990127763886189
mp-867713,Eu2SiO5,0.08810076562498814
mvc-9992,Zn(NiO2)2,0.10171987071428212
mp-643629,Sr2YCu3(PbO4)2,0.0224777707812498
mp-31535,LiCoP2O7,0.0
mp-555105,Ta9Pb12O20F29,0.0
mp-6663,NaLiGe4O9,0.0
mp-12737,YB2Rh2C,0.00739382152778134
mp-775986,NaNiBO3,0.04229474750000328
mvc-11164,Ca11(FeN5)2,0.03987426347825007
mp-861583,Nb3Fe(PO4)6,0.0
mp-975364,RbCuO3,0.41925492174999857
mp-651772,UTe5,0.003267502499999964
mvc-8403,Ge2MoO6,0.08972288638888326
mp-767325,MnOF2,0.13989562184027982
mp-25165,NaVP2O7,0.0
mp-8202,CsRb2PdF5,0.0
mp-542777,CePt5,0.0
mp-7275,BaSi2,0.014214596666666248
mp-1038946,CaMg2,0.11309175583333285
mp-7883,Ca(GeAu)2,0.012131718250000034
mp-542386,CoNiH24(SO10)2,0.005752706666672935
mp-774418,TiV3(PO4)6,0.01458579404411786
mp-662789,Te3As2(SF4)3,0.08594642062500046
mp-850229,LiV2P4(HO8)2,0.05534345320000611
mp-1025009,CoNiSb,0.21698214333333246
mp-556122,BaCa(PO3)4,0.0
mp-21587,Mg6Ni16As7,0.0
mp-559955,Pr6Si4S17,0.0
mp-9244,LiBC,0.0
mp-1076438,La2Co2O5,0.054388881666668
mp-1096716,CaYCd2,1.888293245
mvc-2487,Sr2Mn2AlTlO7,0.3253939847542835
mp-769527,Li2MgCo13O28,0.039904109204539566
mp-866137,LuSbRh2,0.0
mp-764791,Li2Mn(SiO3)2,0.039544567727264564
mp-560941,SiO2,0.01119791666666714
mp-850028,Li2Mn3(BO3)3,0.047350997303903235
mp-30491,MgCd3,0.0
mp-2903,UAl3Ni2,0.10786304833333203
mp-653981,Zr6NiCl15,0.0
mp-1100522,Li9Mn7O16,0.022745666562518533
mp-770391,Li2CrO2,0.08591249533333213
mp-850480,Li3CrCo3O8,0.06924030494444099
mp-978514,SmTm3,0.02780096937499988
mp-22337,Hf5Ga3,0.0
mp-1019083,ReN2,0.2245175514288924
mp-2406,Mg5Pd2,0.0
mp-697820,BaLaMnInO6,0.07058202258333246
mp-1018097,BaCaO2,0.19927488500000035
mp-773610,Na2FeAsCO7,0.0
mp-1095177,SiNi,0.10137265624999968
mp-782693,Li2CoOF3,0.07195696696428655
mp-3928,Na5P3O10,0.0
mp-1016106,HfZn16,0.0
mp-607711,NdNO4,0.0
mp-1891,SmAl4,0.08404421600000145
mp-772664,Na2CoAsCO7,0.0
mp-1078995,Sr2MgTeO6,0.0
mvc-15464,La2MgCoO6,0.03465462193750035
mp-780908,Na3FeO4,0.06661781645833198
mp-755491,Sr2Ti6N2O11,0.027446171907618225
mp-997005,CaAgO2,0.01189295499999954
mp-754297,TiPHO5,0.023559981875003192
mp-861293,Li8Ni(O2F)2,0.07536507499999877
mp-769930,CoBiO4,0.052755559513887995
mp-637255,Ti2Sn3,0.0
mp-770086,FeNiO3,0.08612583591666922
mp-675555,Na3Nd5Cl18,0.01561759692307696
mp-3441,Y(SiRh)2,0.0
mp-1079627,PrAlH6,0.0
mp-644264,Ca4Mg4Fe3H22,0.0
mp-542313,Ce2O3,0.0
mp-667294,Ca5(PPd)6,0.0
mp-765191,LiAgF4,0.0637998687499981
mvc-16784,Zn(CoS2)2,0.19407568464285685
mp-770673,V5Sb(PO4)6,0.09049121319444707
mp-777686,Li9Mn3(WO4)7,0.054404011737588576
mp-540498,Fe2P3O10,0.0376696601666584
mp-862914,Er2ZnTc,0.07689488031250136
mvc-10167,V2Zn(PO4)2,0.07803330589743407
mp-28567,LiBiF4,0.0
mp-1077252,Cr2Ni,0.26885158000000153
mp-777919,Na3CoO3,0.01778609678571019
mp-3255,SrCu2O3,0.016744449166667508
mp-776640,Ti5Cr(PO4)6,0.08500475867558066
mp-755537,Y2HfO5,0.0006946740624993453
mp-1100418,ScTlCd,0.3303602643333328
mp-769851,ScCrO4,0.07313647854166838
mp-775984,TiFe3Ni2(PO4)6,0.01924084116319413
mp-864892,NdAgAu2,0.014967959937500552
mp-1096667,TaBeOs2,4.0010959059375
mvc-8151,MgSn(GeO3)2,0.08101688941666563
mp-769844,La3Ti3CrO12,0.04495187960526259
mp-867922,ScAlRh2,0.0
mp-1097576,CaTlAu2,1.1408616262500004
mvc-8670,ZnFe(GeO3)2,0.0211713843333321
mp-540221,LiMnP2O7,0.02480753568181804
mp-579665,CeTl5Fe2(NO2)12,0.2183487691140149
mp-1021157,CsMg6Si,0.20421211512499984
mp-1355,Y6Mn23,0.04837294362068967
mp-705713,Bi14WO24,0.008431915384614186
mp-777394,Sn2N2O,0.03611413254799967
mp-1007910,NaEuS2,0.0
mp-1016216,Mg3Si,0.15199724525000224
mvc-10461,MgCo2(CuO4)2,0.11758607067307825
mp-1026656,NaMg14Cr,0.1077945834375007
mp-1035175,Mg14ZnNiO16,0.0062894714062498025
mp-776321,WN2,0.11412652291666525
mp-4165,TaNO,0.0
mp-1028079,CeMg14Zn,0.0669682893750001
mp-29510,Hg2TeO3,0.008646472812499972
mp-3065,Ho(FeGe)2,0.0
mp-972300,Sr3Lu,0.2379073224999999
mp-622602,NaMoAsO6,0.0
mp-23961,Na3AsH18Se4O9,0.01007744363095142
mp-4445,Hg3AsO4,0.005375815781250459
mp-1005755,SmGe2Pt,0.0
mp-677714,K2YbSn(PO4)3,0.016874081447400442
mp-1646,Li3Hg,0.0
mp-540776,RbCr2FeO8,0.0
mvc-6877,ZnCr(SiO3)2,0.08410150925000702
mp-562207,VCdAgO4,0.003253256428576989
mp-4807,AgAsF7,0.0
mp-1100068,BaSr7Co5Cu3O20,0.055042852560750255
mp-673798,K3ClO,0.007858944999990847
mp-1077452,KMnCl,1.134610253333333
mp-721564,Na3SiH5O6,0.010737508111109406
mp-1013702,Ca3BiP,0.8410195599999977
mvc-11489,Ca2FeN2,0.007055536333333556
mp-998159,TlFeF3,0.0
mp-3138,Na8SnSb4,0.0
mp-753260,LaAgO2,0.0002310537500003207
mp-547168,Rb2Co2O3,0.0
mp-1244,SrGe2,0.010268695416667306
mp-4876,Tl3SbSe3,0.0
mp-763042,Mn6O5F7,0.046777849791679316
mp-696221,KAl(H2N)4,0.5766552689285707
mp-865232,TlPd2Au,0.0006287137499985107
mp-567080,V4O7,0.019360092500008363
mp-756394,Li2V2S5,0.09041143685185826
mp-23803,GaHO2,0.015278565624999631
mp-25605,Li2NiPO4F,0.03940652472222528
mp-568090,LaBC,0.0
mp-555273,Ca3Ge(ClO2)2,0.012891690749994744
mp-1001012,Sc2ZnS4,0.009157033928570256
mp-696078,K3ZrH2S(OF)5,0.0
mvc-5927,Mg2BiWO6,0.13403678066666647
mp-770010,LiCrB2O5,0.08403387817459951
mp-505281,CsSbS6(O3F)6,0.0
mp-1034741,BaMg14SiO16,0.3385589413437522
mp-775660,Li4V5(Fe2O9)2,0.08212043494621657
mp-27791,SrBe3O4,0.0
mp-18134,Sr3YbRhO6,0.0
mp-1030462,Te2Mo3W(SeS2)2,0.05405438499999882
mp-541479,NaCo3As3(HO6)2,0.0
mp-695020,Na4Ga3Si3NO14,0.7149486491752546
mp-762578,LiFe(PO3)4,0.07239785611110516
mp-19409,Mn(AsO3)2,0.0
mp-13748,Cs3SiF7,0.003033225909090831
mp-504290,MoP2O7,0.0019881437499993373
mvc-9189,ZnFe3O7,0.3065732536931813
mp-977426,NbCo3,0.0
mp-974850,Rb3Nd,0.602922985625
mp-772358,Li4Fe3Ni3(WO8)2,0.042514972321431976
mp-11207,Pr3ReO7,0.030240381136357183
mp-27944,TlAgSe2,0.25282911930989593
mp-39770,Zr2P3H4NO12,0.0
mp-980001,YbPr3,0.0461555149999997
mp-769611,Li4V3CrO8,0.006498208124998682
mp-11248,LiAu3,0.0
mp-1022736,YMg6Nb,0.22212932374999905
mp-9577,Ca3(AlSi)2,0.017327725714288974
mp-38418,Tm2Ti2O7,0.021225282045453042
mp-772413,Al8SiO14,0.05626284163043405
mp-560128,EuHSO5,0.0
mp-570929,SnH46C18(Br2N)2,0.09314833015845014
mp-641651,U2(Al3Co)3,0.05378350410714283
mp-638048,Mo9Se11,0.0681586366250011
mp-771415,Li3CoSiCO7,0.06796917726923367
mp-997052,RbAgO2,0.0
mp-559706,Li3Gd(BO3)2,0.0
mp-1003641,MgMn2O4,0.15709625267858396
mp-1037887,Mg30MnBO32,0.11512806260968755
mp-566471,LiFeMoClO4,0.0
mp-545481,Ca2Cu(BrO)2,0.0
mp-568468,Yb5(AlSb3)2,0.0
mp-780630,LiVP2HO8,0.03301891201925766
mp-14175,K3NbO8,0.0
mp-28857,Pb(IO3)2,0.0
mp-772320,Li2CoSiO4,0.06987809124999345
mvc-8026,Ca3Cr6(FeO6)4,0.1444847089189265
mp-1026356,Te4W3Se2,0.04480397333333386
mp-770087,LiAlNiO3,0.06928527208333167
mvc-765,YTa(WO4)2,0.09119725375000164
mp-571579,CdI2,9.70658888888032e-05
mp-558480,K2P2O5F2,0.0
mvc-4842,Zn(WO2)2,0.2838723117857178
mp-1094014,Zn(GaS2)2,0.3096927828571401
mp-571302,Pr3(Al2Si3)2,0.0005907238461544394
mp-771074,Li7CrO6,0.057334280357143726
mp-21876,Ba3NaIr2O9,0.0
mp-24446,LiH2SO4,0.044587369921875286
mp-1040127,NaLiMg30O31,0.047001792777777496
mp-24946,CaFeO2,0.07505221625000047
mp-601696,Fe(SbO2)2,0.1188817192857119
mp-670,NbCo2,0.013481186515150512
mp-1025102,CeAl3Pt2,0.04664295854166589
mp-765277,LiSnPO4,0.07441077023809672
mp-552,Th3Sb4,0.0
mp-695992,LiH2BrO5,0.07099785486111099
mp-738618,NdH32C8N4Cl7,0.06868649663461568
mvc-14113,MgVBiO6,0.16018411965277668
mp-1094285,Sr2Mg,0.05585681291666656
mvc-5491,Mg(SnO2)2,0.2918812028571436
mp-850,ScNi2,0.0
mp-22302,ZrVP,0.0
mp-20476,In2CuO4,0.2441407314285735
mp-773605,Na3Mn(BO3)2,0.03160473354167248
mp-772085,LiNb10O18,0.01904772873563409
mp-22451,MoPRu,0.00022031833333358009
mvc-7372,MgMo2O7,0.1130608104999986
mp-615550,BaMo2(PO6)2,0.0
mp-540424,Cr(PO3)4,0.051706748051486784
mp-771222,Hg2W2O7,0.04163641272727592
mp-1095831,InCuAu2,1.2009138137500002
mp-1066136,YPd,0.0
mp-754153,LiH2BrO,0.0
mp-18556,Rb2Cd3S4,0.0
mp-23521,Rb2CrCl4,0.46599496500000104
mp-675600,Hf6PbO18,0.4084785735999965
mp-1959,PuO2,0.0
mp-510002,K2Sn(HO)6,0.0
mp-772658,Li9Mn7V12O48,0.04306171495065492
mp-1034790,Mg14CrNiO16,0.06074366609375038
mp-568887,RbCrCl3,0.025057665944441254
mp-669328,ReTe3Br5,0.043139046898148514
mp-932,ScGa3,0.0
mp-1097211,TiV2Os,4.177895042499999
mp-756781,Sr3Li2Nb4O13,0.018020551401500384
mp-7806,Cr3P,0.0
mp-757514,Li4Cu2Si3O10,0.07660553289473881
mp-973815,Pa3Ta,0.19897579374999985
mp-767295,Li3ZnPCO7,0.05401222932692118
mp-557537,Zn4P6N12O,0.0
mp-974770,NdZn2Cd,0.0014795508333329546
mp-566643,TmMnO3,0.0
mp-1021320,Mg6TiBi,0.11352030291666625
mp-1008556,AlGaN2,0.015513250000000587
mp-864965,Mg2RhAu,0.0
mp-676800,Ti7Ni3N10,0.25602485126200136
mp-1026702,Mg14SiMo,0.1738889099107146
mp-20250,PdS,0.0
mp-12572,CaPd3C,0.23781714516666602
mp-3817,La2Au5F21,0.0
mp-569565,La3(CrN3)2,0.0
mp-540455,Li3V2(PO4)3,0.0397768732500019
mp-6178,Cs2KTiF6,0.0
mp-771435,Na3CrSiCO7,0.004474577307692407
mp-1097975,NaEuGeO4,0.0
mp-541352,P4S3I2,0.0
mp-772096,TmTe3O8,0.07533781560763941
mp-722237,Be(B3H8)2,0.11731219417984652
mp-1026803,LiMg14Cd,0.010516324687499969
mp-755352,Li2HfO3,0.0
mp-560402,U3O8,0.005993959545454786
mp-1034357,NaMg14BiO16,0.10672140500000003
mp-764664,Mn12O5F19,0.09306121156251113
mp-729903,ZnInH14O7F5,0.0
mp-1097469,SrLaPt2,1.6546202116477269
mp-19328,NaWO3,0.05230107349995538
mp-31597,Co3(P3O10)2,0.03164199230604048
mp-1022242,NaMg6Fe,0.22930141687499986
mp-22693,Te2W,0.0
mp-35320,Ag3(AsO4)2,0.01869221865384052
mp-15820,LiHoGe,0.0
mp-1093645,Ti2AlW,3.834840313125
mp-853229,Li2Co(SO4)2,0.006814622788461122
mp-780195,LiVP3HO10,0.0938955376171844
mp-561388,FeBiO3,0.2392752652499989
mp-556246,La3Si2S8Cl,0.0
mvc-5774,CrWO6,0.1799240154687478
mp-771615,Li2TiVO4,0.02714731656250536
mp-676666,Rb2CeO3,0.0
mp-7596,NbNO,0.0
mp-18104,Na2Si2S5,0.0
mp-1037676,Mg30FeSiO32,0.10022997933593647
mp-865608,LuPaOs2,0.0
mp-780823,Mn3(O2F)2,0.08368135500000308
mp-557038,MnAs2F12,0.0
mp-1079386,TbZnPd,0.0
mp-1023254,CaMg6V,0.2382194481250001
mp-759334,LiCuPO4,0.10943142476191704
mp-721584,B5H8NO12,0.2740770596909643
mp-1094609,LiMg5,0.006134833333332646
mp-1028,V3Te4,0.0
mp-735602,NiH10(SeO5)2,0.16013530817028965
mp-21032,BaIn2Pt,0.0
mp-989572,Cs2NaCaF6,0.007618961749999542
mp-1093599,SiTc2Mo,3.7397732508333337
mp-8348,TlSbF6,0.0
mp-775962,Na4V2O5,0.08936498863636455
mp-557562,TiH8C4NO10,0.0785813724305564
mp-29629,Be3P2,0.08402122437500115
mp-973141,ScCdCu2,0.0016118049999995776
mp-20637,SmCuPb,0.0
mp-505662,Cs2KCo(CN)6,0.02648585770833467
mp-30584,HoCu2,0.0
mp-764181,Li2Co3OF6,0.10156913145833446
mp-21089,Ce(MnGe)2,0.0
mp-24308,AlSiH9C3Cl2O,0.0
mp-7642,K2AgAs,0.0
mp-28676,S2O5F2,2.3277962962531266e-05
mp-14088,Rb2PdF6,0.0
mp-619545,CuMoO4,0.025099980763866547
mp-20363,LiGa2Pt,0.0
mp-571513,Rb2NbCl6,0.0
mp-1094937,MgCd3,0.014203089999999863
mvc-1379,Ba2Mo3O7,0.3015369687499927
mvc-11547,NiO2,0.09238906694444536
mp-998428,CsCaI3,0.0
mp-780926,Li2VPO5,0.08264255449073588
mp-769448,Li4Ti4Mn4NiO18,0.0723188405645061
mp-753425,LiCuCO3,0.04708405562500051
mp-756768,Li3BePCO7,0.07992380019230882
mp-675710,K2U2O7,0.005004157272745502
mp-975057,Rb3Dy,0.6300953508333333
mp-763842,Na3LiMnBPO7,0.07773453083333504
mp-654105,RhC2ClO2,0.1352963963888918
mp-772048,Na2BiBSO7,0.08961062499998107
mp-554238,CuBiSCl2,0.03718448162499932
mvc-16517,Ca3MnNiO6,0.0
mp-1079747,Sr2Ti2As2OF2,0.0
mp-849485,Mn12O7F17,0.06982269302083742
mp-1028356,Mg14SiNi,0.11785482707031256
mp-765120,Li2Mn2OF6,0.0811707546590883
mp-1030870,HfMg6SiO8,0.5046851989062535
mp-863293,KFe3(PO6)2,0.21531020254630384
mp-540575,ZnHg2H14C4N6O13,0.3149036153870002
mp-600218,SbH12C4NF4,0.16768061113636354
mp-542150,Fe2Mo4O7,0.3175846901923069
mp-34787,Ag7NO11,0.00532180473684285
mp-775167,FeCu(PO4)2,0.037361961640623775
mp-27094,LiSn2(PO4)3,0.002812647499999877
mp-638687,Ce2(SeO3)3,0.11121510000558033
mp-605935,K5Eu2Si4O13F,0.0
mp-8313,Cs2Li2GeO4,0.0
mp-1096539,ZnCu2Au,1.4403141000000002
mp-19428,K2RbTbV2O8,0.0
mp-541300,CoH4SeO5,0.05818524174242424
mp-998746,TlGeBr3,0.0
mp-864654,Zn2NiRh,0.0
mp-542138,Ca3Si2Ni3,0.0
mp-24646,NaAlBP2H3O10,0.0035927967534723493
mp-630852,Sr2Co(PO4)2,0.0
mp-1017481,LaMg6Cr,0.2569928607954579
mp-1009876,TcC,0.6487355212499999
mp-570695,CdI2,0.0010726974444446038
mp-1014168,CsPbBr3,0.0086554879999996
mp-1077299,ReN2,0.09889046976222636
mp-776985,MnV3O8,0.057233234999999986
mp-644742,Ni2Mo4N,0.03474962357142708
mp-1914,YGa2,0.0
mp-540686,CsPr(SO4)2,0.0
mp-1018892,PrCoSi,0.0
mp-755703,LiSbO2,0.0033848277777766
mp-761817,LiNbVO4,0.03708239116071788
mvc-13107,VO2,0.2573260322222186
mp-555094,PrPH5CO7,0.11342770358333533
mp-6478,LiTaGeO5,0.0029380337500040103
mp-29416,Pr5C2Br9,0.010969896383927313
mp-1037958,BaMg30AlO32,0.10675783104492176
mp-559119,IN2O4F5,0.04928007397222167
mp-744637,Ba2V3P6HO22,0.0
mp-865558,AcTe3,0.0
mp-983458,Tl3Cl,0.1766904237500002
mp-704636,Li3V3(PO4)4,0.031159268269234094
mp-770734,Mg3(AsO4)2,0.04265384673077044
mvc-11096,MoO3,0.9659559428125002
mp-973881,PmDy3,0.016781208124998948
mp-9515,Al2SiO5,0.09982171468750067
mp-1096829,BPt,0.1944372933333333
mp-600561,LiRh,0.0
mvc-9533,Zn(SnO2)2,0.2452457634523855
mp-35801,U12Ir4Se31,0.0
mp-1073586,MgSi2,0.3415833859259285
mp-541568,Sr2Li3NbN4,0.0
mp-555311,ZnS,0.0005760088461532753
mp-984605,Ca3SnH2,0.0
mp-720263,CuH4SeO5,0.011866554659091477
mp-20662,Sn4Pt,0.0
mp-32736,Er2Se3,0.07384199749999976
mp-990440,Na2ZrO3,0.0
mp-13501,ErCoC2,0.0
mp-690120,La3(MoO5)2,0.10729910399999908
mp-1033383,Mg6NbCO8,0.6369474801927089
mp-851001,Li3Mn2Cr2O8,0.05210905754540463
mp-865894,YbPmAu2,0.0
mp-707879,K2Cu5H8(Cl4O3)2,0.036449847931034896
mp-778304,Mn3NiO8,0.071302542395828
mp-556036,Ba3Al2Cu2F16,0.0014473055869528295
mp-769612,Li6Mn3P6WO24,0.07924193971875759
mp-31430,Na2In,0.0
mp-696066,Ba2Zn(HO)6,0.7422160610833313
mp-1076459,La7SmCrFe7O20,0.0918680949131936
mp-770038,Li2VBO4,0.09963897781249996
mp-6813,KCa10(PO4)7,0.0
mp-21371,VCoSi,0.0
mp-605108,Al2P3H11O13,0.012529689440885505
mp-1094567,LiMg3,0.011837617499997677
mp-505775,V13O16,0.6785932552873533
mp-1072041,GdCu4Au,0.0
mp-863011,Na3H7Os,0.0
mp-866020,YbSmHg2,0.0
mp-771543,LiMnH4(SO5)2,0.02709930168561403
mp-19057,CaNiP2O7,0.00565367522727378
mp-31481,Ca3Ga3Ir2,0.0
mp-865240,Lu2MgIn,0.0
mp-1072824,DyCuSn,0.042980586666666376
mp-1096439,LiZn2Ru,1.9488781066666665
mp-774039,LiMn(SO4)2,0.01644990260416179
mp-566676,KMn5(SeO3)6,0.0
mp-694940,MnAl2Sb2(PO4)6,0.007898446857094399
