"Systems
Composition","Atomization
Eng. (eV)"
CH2 SiCl2 SnCl2 GeF2,-12.874
CH2 SiCl2 SnCl2 GeCl2,-11.994000000000002
CH2 SiCl2 SnCl2 SiF2,-13.588
CH2 SiCl2 SnCl2 SiCl2,-12.455
CH2 SnF2 CH2 SnF2,-14.28
CH2 SnF2 CH2 SnCl2,-13.48
CH2 SnF2 GeF2 GeF2,-13.986
CH2 SnF2 GeF2 GeCl2,-13.130999999999998
CH2 SnF2 GeF2 SiF2,-14.748
CH2 SnF2 GeF2 SiCl2,-13.636
CH2 SnF2 GeF2 SnF2,-13.713
CH2 SnF2 GeCl2 GeF2,-13.136
CH2 SnF2 GeCl2 GeCl2,-12.282
CH2 SnF2 GeCl2 SiF2,-13.905
CH2 SnF2 GeCl2 SiCl2,-12.793
CH2 SnF2 GeCl2 SnF2,-12.868
CH2 SnF2 SiF2 GeF2,-14.845
CH2 SnF2 SiF2 SiCl2,-14.174
CH2 SnF2 SiCl2 SiCl2,-13.124
CH2 SnF2 SiCl2 SnF2,-13.156
CH2 SnF2 SnF2 GeF2,-13.687
CH2 SnF2 SnF2 GeCl2,-12.864
CH2 SnF2 SnF2 SiF2,-14.505999999999998
CH2 SnF2 SnF2 SiCl2,-13.406
CH2 SnF2 SnCl2 GeCl2,-12.138
CH2 SnF2 SnCl2 SiF2,-13.732
CH2 SnF2 SnCl2 SnF2,-12.727
CH2 SnCl2 CH2 SnCl2,-12.658
CH2 SnCl2 GeF2 GeF2,-13.202
CH2 SnCl2 GeF2 GeCl2,-12.33
CH2 SnCl2 GeF2 SiF2,-13.955
CH2 SnCl2 GeF2 SnF2,-12.933
CH2 SnCl2 GeF2 SnCl2,-12.139
CH2 SnCl2 GeCl2 GeF2,-12.35
CH2 SnCl2 GeCl2 GeCl2,-11.482
CH2 SnCl2 GeCl2 SiCl2,-11.985
CH2 SnCl2 GeCl2 SnF2,-12.086
CH2 SnCl2 GeCl2 SnCl2,-11.292
CH2 SnCl2 SiF2 GeF2,-13.804
CH2 SnCl2 SiF2 GeCl2,-12.936
CH2 SnCl2 SiF2 SiF2,-14.561
CH2 SnCl2 SiF2 SiCl2,-13.44
CH2 SnCl2 SiF2 SnF2,-13.514
CH2 SnCl2 SiF2 SnCl2,-12.839
CH2 SnCl2 SiCl2 GeF2,-12.718
CH2 SnCl2 SiCl2 GeCl2,-11.868
CH2 SnCl2 SiCl2 SiF2,-13.484000000000002
CH2 SnCl2 SiCl2 SiCl2,-12.359000000000002
CH2 SnCl2 SiCl2 SnF2,-12.436
CH2 SnCl2 SiCl2 SnCl2,-11.637
CH2 SnCl2 SnF2 GeCl2,-12.093
CH2 SnCl2 SnF2 SiF2,-13.648
CH2 SnCl2 SnF2 SnF2,-12.669
CH2 SnCl2 SnF2 SnCl2,-11.907
CH2 SnCl2 SnCl2 GeF2,-12.171
CH2 SnCl2 SnCl2 SiCl2,-11.819
CH2 SnCl2 SnCl2 SnF2,-11.914
CH2 SnCl2 SnCl2 SnCl2,-11.154000000000002
