mpid,formula,gap pbe
mp-867927,LiVIr2,0.0
mp-1097401,Mg2CdPd,0.3687999999999998
mp-766365,BaCaI4,3.5357000000000003
mp-733489,SbHC2NCl11,1.9922
mvc-11742,Zn(FeS2)4,0.0
mp-5256,KCuC2,2.2588
mp-21873,NiAs2,0.0
mp-647243,Tm2Ga10Os3,0.0
mp-777394,Sn2N2O,0.7619000000000007
mp-11358,TaCo3,0.0
mp-1065309,ZrAl3,0.0
mvc-7383,ZnCr2O7,2.4293
mp-1028346,Mg14NiW,0.0
mp-781504,Li2CrP2O7,2.5196
mp-1028194,LiCaMg14,0.0
mvc-2341,Ba2MgCuMo2F14,0.8327999999999999
mp-1099083,Mg14FeSi,0.0
mp-755998,Zr3N2O3,2.6600999999999995
mp-5898,La(SiNi)2,0.0
mp-971712,ZnCdS2,1.3684000000000005
mp-622602,NaMoAsO6,2.6293
mp-767282,Li2MnSi3O8,2.6554
mp-998430,CsInI3,1.4545
mp-605437,FeHO2,1.9678000000000004
mp-767979,Li2MnOF2,1.5452
mp-11947,LiAlAg2,0.0
mp-583645,BaCaSn3,0.0
mp-867741,LiCuF4,0.0
mp-762521,LiMn3Al2(HO2)6,0.2887
mp-766784,V3CoO8,1.1212
mp-1100068,BaSr7Co5Cu3O20,0.0
mp-22209,Cr3AsN,0.0
mp-1077210,LuGa2,0.0
mp-39866,BaSm4Si3SeO12,2.5404
mp-22343,Ce(GeRu)2,0.003499999999999837
mp-504838,CsPS3,1.9592
mp-753940,KLiMnS2,0.5546000000000002
mp-554116,BaPb2BrF5,3.2598
mp-753226,SmAgO2,2.4833
mp-540256,NiPO4,1.3
mp-1244,SrGe2,0.4211999999999998
mp-656859,FePH5CO8,1.2004
mp-638374,BaNdFe2O5,0.0
mp-696221,KAl(H2N)4,0.20340000000000005
mp-865234,TaZnRu2,0.0
mp-773516,Li3NiO3,1.4144
mp-849653,Na3(CoO2)2,0.01360000000000028
mp-35388,LiSmSe2,1.6051
mp-2034,W2C,0.0
mp-770858,V5Cr(PO4)6,0.0
mp-738714,LiHCO2,5.0243
mp-783905,NaV2O4,0.9135999999999996
mp-680417,CeSb(SBr)2,0.0
mvc-5921,Mg2SnWO6,2.2892
mp-770010,LiCrB2O5,2.1903000000000006
mp-777008,LiFeF4,3.6188
mp-1034741,BaMg14SiO16,0.0
mp-541738,Cs3Cr2I9,1.1206999999999998
mp-21455,EuAlO3,0.010900000000000354
mp-637926,LaGaNi,0.0
mp-19649,Sr4MoN4O,2.2746
mp-25785,CaVNiP2O9,1.9736
mp-31418,La(SbO3)3,1.4863999999999995
mp-766806,LiMn2F9,2.2679
mvc-10012,LaCrSbO6,0.3176999999999994
mp-13748,Cs3SiF7,5.8325000000000005
mp-757571,Ba13Nb14O42,0.0
mp-765555,Li2Mn(PO4)2,0.2862
mp-775531,LiMnO2,0.9007000000000001
mp-629015,BN,3.9689
mp-764855,Na2Fe2O5,0.0
mp-775116,MnCr3(PO4)4,1.0877000000000003
mp-771643,Sr2CaI6,3.0769999999999995
mvc-16773,Li(MnS2)2,0.0
mp-979984,YbP3,0.0
mp-769611,Li4V3CrO8,1.9372
mp-13085,Mn2CoSb,0.0
mp-1022711,Mg6ZrFe,0.0
mp-8129,NiC2(SN)2,0.3355999999999999
mp-865564,Tl2CoP4(HO2)8,3.2759000000000005
mp-775539,K11Mn4O16,0.0
mp-560128,EuHSO5,0.0
mp-559889,CSNCl,2.7545
mp-23517,RbPbI3,2.4562
mp-638048,Mo9Se11,0.0
mp-763740,LiFeSiO4,2.9769
mp-9967,NdSi,0.0
mp-559706,Li3Gd(BO3)2,3.1614
mp-762985,LiMn2(CO4)2,0.4692000000000001
mp-1037887,Mg30MnBO32,0.5030000000000001
mp-561153,XeF3,2.481
mp-546679,Nd2AlNO3,1.0619999999999994
mp-766505,RbH2O2F,4.0153
mp-696683,K3SnHF8,5.1576
mp-768572,YAl3O6,4.122
mp-680401,U2Zn17,0.0
mp-778585,Li5Mn8(BO3)8,0.1867000000000001
mvc-8026,Ca3Cr6(FeO6)4,0.01100000000000012
mp-1026349,Te2W3Se4,0.23000000000000045
mp-770314,BaLaI5,2.6983
mvc-9980,MgMn2O4,0.0
mp-35493,Zn2SnO4,1.2180999999999995
mp-554623,Sm2Ta2Cl2O7,3.1249
mvc-483,BaMgTi4O8,0.0
mp-1096958,DyMn2O4,0.0
mp-23966,MgH2SeO5,3.4068
mp-771074,Li7CrO6,0.8718
mp-675858,Lu2FeS4,0.0
mp-568796,RbYbI3,3.6053
mp-14298,Zr6Ni20P13,0.0
mp-631399,OsPtCl2,0.0
mp-540302,Ni4(PO4)3,3.602
mp-1018802,MnGaGe,0.0
mp-1025079,EuAsPd,0.0
mp-505483,SmGePt,0.0
mvc-3948,Mg2Cr2O5,0.9376000000000002
mp-695927,Ca2AlH10ClO8,3.3211
mp-642234,NaEu(PO3)4,0.0
mp-3076,LaSnPt,0.0
mp-30714,Tm2Zn17,0.0
mvc-16740,Li(CoS2)2,0.0
mp-1077316,CO2,7.641300000000001
mp-29721,B3H5,3.8726
mp-1025351,Sr4Bi2O,1.4893999999999994
mp-773605,Na3Mn(BO3)2,1.4053000000000002
mp-540855,Rb6O,0.0
mp-708184,H10C5S2N2(O2F3)2,5.8112
mvc-7372,MgMo2O7,3.6859
mp-1098497,NaMg30CO32,0.4545999999999992
mp-540424,Cr(PO3)4,0.3509
mp-771222,Hg2W2O7,2.3998000000000004
mp-1095856,Ta2IrW,0.0
mp-999047,Ti2MnSi,0.0
mp-27255,Ga2TeS2,1.1978
mp-40630,CaPrMn2O6,0.07220000000000049
mp-1025172,Ho(TiGa2)2,0.0
mp-771432,V4CrCoO12,0.09199999999999964
mp-1062597,HoPd2,0.0
mp-1030743,NaMg6BO7,0.0
mp-772658,Li9Mn7V12O48,0.15759999999999996
mp-27391,Na5Zr2F13,5.5807
mp-20452,Ba(MgPb)2,0.0
mp-771212,Li3Mn(BO3)2,1.4308
mp-981545,Ho3Zr,0.0
mp-2806,YbSn,0.0
mp-756781,Sr3Li2Nb4O13,0.0
mp-605091,VSnH9(CO)3,2.5258000000000003
mp-1031359,HfMg6TiO8,0.0
mp-975821,K3Ir,0.0
mp-767295,Li3ZnPCO7,4.3098
mp-1026829,KMg14Cd,0.0
mp-976863,NaTm3,0.0
mp-566643,TmMnO3,0.0
mp-1021316,LiMg6Nb,0.0
mp-1018076,Ga2BiAs,0.0
mp-864975,Mg2PdPt,0.0
mp-676800,Ti7Ni3N10,0.0
mp-997527,La11V12O36,0.7995999999999999
mp-556468,ZnS,2.0329
mp-10866,Np(GePd)2,0.0
mp-581217,Cs2Nb4O11,2.9879
mp-1016048,CrN2,0.1477999999999997
mp-769659,Li2TiFeO4,0.0
mp-861979,Ir2S3,1.1241999999999992
mp-771435,Na3CrSiCO7,2.6464000000000003
mvc-11646,BaCo4O7,9.9999999999989e-05
mp-24308,AlSiH9C3Cl2O,5.4030000000000005
mp-30269,HfGa2Ni,0.002299999999999969
mp-722237,Be(B3H8)2,3.4994
mp-696805,H2S,4.3246
mp-971678,Na3Ni2SbO6,2.3299
mp-560402,U3O8,0.03739999999999988
mp-16544,Mg4As6Ir7,0.0
mp-764664,Mn12O5F19,0.10699999999999996
mp-1037957,SrMg30AlO32,0.4625000000000004
mp-1097353,YBiAu2,0.0
mp-21028,Er3TlC,0.0
mp-540639,FeH8C4(S2N3)2,0.5768
mp-1022216,Mg6GaFe,0.0
mp-778653,LiLa3Ti3CrO12,0.0
mp-694855,Li2MoO3,1.3572000000000006
mp-15963,HfPRu,0.0
mp-1093655,Y2CuNi,0.0
mp-773782,Li2Mn2(SiO3)3,2.6146000000000003
mp-771402,Li5FeO4,2.7818
mp-568021,Er3AlC,0.0
mp-559203,CdSeO3,3.4047
mvc-5693,MoWO6,1.5686
mp-771614,LiVO2,1.3702
mp-29922,Sb5PO10,3.1373
mp-767184,Ca5Mn4O9,2.0514
mvc-5659,SnO2,1.7606000000000002
mvc-5884,Mg(CuO2)2,0.5301999999999998
mp-865592,Y2ZnRu,0.0
mp-763573,Li5V(P2O7)2,2.6612000000000005
mp-557038,MnAs2F12,3.9706
mp-1079408,Li5In4,0.0
mp-1023252,CaMg6V,0.0
mp-685194,Li4Ti5O12,2.6703
mp-721584,B5H8NO12,0.0
mp-1094613,Mg2Ga,0.0
mp-656045,Rb2MnCl4,1.2907
mp-853229,Li2Co(SO4)2,2.9451
mp-21048,CrP,0.0
mp-989567,Cs2RbTlF6,3.7422
mp-1093603,Ba2ZnIn,0.0
mp-973465,Ho3In,0.0
mp-31887,Li3Fe(PO3)8,0.0
mp-557562,TiH8C4NO10,0.01889999999999992
mp-29629,Be3P2,0.14510000000000026
mp-981548,YErTl2,0.0
mp-36248,H4BrN,4.0509
mp-770578,GeWO4,1.4061999999999997
mp-1039462,Ca2Mg,0.0
mvc-9096,Y4Si2Sn13(SbO14)2,1.6018999999999997
mp-21113,Y(FeGe)2,0.0028000000000005802
mp-19344,Cr2NiO4,2.3040000000000003
mp-7611,Li2CaGeO4,4.1135
mp-542443,TlCr3S5,0.0
mp-24853,BaNdCo2O5,0.13560000000000014
mp-541894,Pr2Co3Ge5,0.0
mp-1094949,CeMg3,0.0
mp-557036,BaPrMn2O5,0.0
mp-611031,SrCrF6,0.02439999999999997
mp-627684,VHO3,0.3165000000000001
mp-1079585,Nb2N,0.0
mp-763510,LiFe2(CO3)3,1.6004
mp-1095614,ErAsS,0.34080000000000066
mp-769448,Li4Ti4Mn4NiO18,0.9712
mp-765995,Ba(WO3)6,0.0
mp-756768,Li3BePCO7,5.242999999999999
mp-21243,TlHg(NO2)3,0.5218
mp-978548,SmEr3,0.0
mp-31760,Sr2TaFeO6,2.2417
mp-30320,RbHfF5,6.797999999999999
mvc-6926,Mg(WO2)2,0.3282999999999996
mp-573947,Cs2MnSe2,1.2429999999999999
mp-17525,Nb5Pt3O,0.0
mp-1079790,TbSnPt,0.0
mp-561,Nb3Se4,0.0
mp-780890,LiMn2P4H11O18,4.4277
mp-765965,LiNi(PO3)4,1.0499
mp-19587,UCrO4,0.3386999999999993
mvc-6898,CaCuMo2O7,0.0
mp-662558,Ce3Sb5Pd6,0.0
mp-850412,Li7TiCr3(PO4)6,0.0
mp-556784,ZnS,2.0208
mp-849977,Mn2O3F,0.0
mp-775167,FeCu(PO4)2,0.0
mp-27094,LiSn2(PO4)3,3.394
mvc-2969,Ba2TlW2O7,0.0
mp-11084,EuCdAu,0.035699999999999836
mp-8294,Cs2Li2TiO4,4.074
mp-1095917,AlGaPd2,0.0
mp-763221,FeOF,0.8539999999999999
mp-19676,K9Ni2O7,2.1161
mp-579071,BaEu2Mn2O7,0.0
mp-864668,NdSnAu2,0.0
mp-768361,Li2Fe2S3,0.05370000000000008
mvc-4333,Y2Si3(NiO4)3,2.7573
mp-21160,Er2Cu2O5,0.5267
mp-1017367,Mg6SiW,0.0
mp-1000,BaTe,1.5930000000000002
mp-705014,Ni2P4C11S2(OF8)3,2.5554
mp-995393,LiS4,2.1585
mp-1077301,EuC2,0.0
mp-667448,SiO2,0.9566
mp-851064,Li5V3P8O29,0.3732000000000001
mp-2082,PIr2,0.0
mp-540686,CsPr(SO4)2,5.4136000000000015
mp-1018828,NpSeO,0.0
mp-775052,Li2CoCuO4,0.0
mp-756317,Al2HgO4,1.3461
mp-568269,TmNiBi,0.15039999999999942
mp-555094,PrPH5CO7,3.7298
mp-767986,Li4V2Cr3Co3O16,0.0
mp-694857,Sr3Cr2O7,0.0
mp-770487,Li3V3(BO5)2,0.4739
mp-13348,CsUCuS3,0.0
mp-570480,TcBr4,0.6025
mp-865577,Li2CdAu,0.0
mp-983407,HPd3,0.0
mp-1027106,TeMoWSeS2,0.0
mp-866032,Dy(Ni2P)2,0.0
mp-978525,Si3Mo,0.0
mp-977558,MgPaRu2,0.0
mp-568130,NdAlPt,0.0
mp-1094905,MgTi3,0.0
mp-23152,Bi,0.0
mp-1100672,Li9Mn2Co5O16,0.0
mp-574085,Dy5Sn13,0.0
mp-780618,Na2BiO3,0.0
mp-558165,SbC(Cl2O)2,2.1067
mp-555311,ZnS,2.0318000000000005
mp-754845,La3Ti2N3O4,1.3748000000000005
mp-769866,Ti2Ni3Te3O16,0.5627999999999997
mp-505515,Sr(CuSb)2,0.0
mp-27672,Nb2P5,0.0
mp-990440,Na2ZrO3,4.350999999999999
mp-16238,Li2AgSb,0.14290000000000005
mp-27184,B10(Pb2O7)3,3.259
mp-707822,H26Os2N12Cl4O9,2.4036
mp-556389,UTl2(TeO4)2,1.842
mp-865904,BeSiIr2,0.0
mp-572604,Eu2Re6S11,0.0
mp-778304,Mn3NiO8,1.1403
mp-556036,Ba3Al2Cu2F16,0.5436000000000001
mp-504908,In2TeO6,1.0047000000000006
mp-31430,Na2In,0.007400000000000073
mp-780362,La(ClO4)3,4.4896
mp-743608,Ca3YMn3B4O15,1.379
mp-22225,CeSiBO5,0.001100000000000101
mp-685320,Li20B54O,0.0
mp-553970,CsGeBiS4,2.0122
mp-27918,Sc3Si4Ni11,0.0
mp-1094598,Li3Mg,0.0
mp-24922,KCrP2O7,2.8756
mp-1018657,CaBiAu,0.0
mp-608031,NaNpCO5,0.058300000000000025
mp-866031,Al2FeIr,0.0
mp-770366,Li24Mn7Cr5O36,1.119
mp-19057,CaNiP2O7,3.907
mp-565485,Sr6Li2Cr2N8O,1.8288
mp-865252,TmSnRh2,0.0
mp-1077016,MgIn2,0.0
mp-1096103,Ca2HgPt,0.33299999999999996
mp-1040082,LiMg30WO32,3.3633999999999995
mp-566676,KMn5(SeO3)6,0.4048000000000001
mp-1029077,MoW(SeS)2,0.7818
mp-567511,H8PtCN8,1.9094
mp-762941,Li6Cr5(P2O7)4,2.2840000000000003
mp-651582,Mn(InTe2)2,0.12929999999999975
mp-677572,Na8Al11Si13(AgO16)3,2.167
mp-631373,TiVW,0.0
mp-974768,Rb2Mg,0.0
mp-707169,CuH4C3ClO2,2.5729
mp-20650,CeCrGe3,0.0014000000000002901
mvc-612,YTa(WO4)2,1.2026000000000003
mvc-6961,MgFeP2O7,4.082
mp-1028096,Mg14MnSi,0.0
mp-694538,MnPO4,0.3679000000000001
mp-625860,Sr(H8O5)2,3.4038
mp-2310,CdO2,1.2535000000000005
mp-12923,SrPIr,0.0
mp-15702,MgCN2,3.8457
mp-673092,Li4Sn(PO3)6,4.4967
mp-777424,LiFe4OF7,2.5323
mp-763890,Li2VCrP2(O4F)2,1.8744
mp-764811,Co6O7F5,0.0
mp-764637,Li3Fe8O3F13,2.254
mp-558121,K4Ba(VS4)2,1.5514
mp-558022,SrBPO5,5.3836
mp-762403,Li2Cr2SiO6,2.847
mp-977385,NpH3,0.0
mp-766248,Al11InO17,3.720999999999999
mp-614792,CsNiF3,5.3618
mp-1079276,LiAsSe2,0.6960999999999999
mp-560407,KNbSi2O7,3.431
mp-762841,Li3Mn4P3H12O19,2.5572
mp-763264,Li2FeSiO4,2.9670999999999994
mvc-10172,CaV2O4,0.002100000000000436
mp-984357,CsKO3,0.0
mp-5594,Sc2Si2O7,4.2797
mvc-6811,Mg(AgO2)2,0.0
mp-972692,SnPb,0.0
mp-5677,Tb(MnSi)2,0.0
mp-32537,Ag2W2O7,1.9576
mp-989538,Cs2InBiF6,2.2862
mp-2828,HfN,0.0
mp-27819,Ag3O,0.0
mp-761379,Li3V(PO4)2,1.7241000000000004
mp-24522,CuH2SO5,0.375
mp-11521,ScNi,0.0
mp-1027984,Mg14VZn,0.0
mp-24288,LuH2,0.0
mvc-9760,MgTi2P2O9,0.0
mp-21117,FeGe2,0.0
mp-707508,Na2H5RuN5O12,2.0897
mp-32791,Ag2S,0.0
mp-8818,Ca2ZnN2,0.7618
mp-616463,C2SN2,3.718
mp-762170,Li2NiP2O7,4.3009
mvc-13223,VO2,1.1606
mp-532384,Dy2Ti2O7,2.5119
mvc-4854,MgCrO2,1.3697
mp-961694,TiNiGe,0.0
mp-540221,LiMnP2O7,1.2485999999999997
mp-617257,WO2,1.7426000000000004
mp-700156,Eu4Mo4O11,0.0
