Unnamed: 0,Material Composition,A site #1,A site #2,A site #3,B site #1,B site #2,B site #3,X site,Number of elements,energy_above_hull (meV/atom),formation_energy (eV/atom)
231,Ba5Bi2La1Fe8O24,Ba,Bi,La,Fe,,,O,5,127.3781892,-1.358503661
232,Ba5Cd2La1Fe8O24,Ba,Cd,La,Fe,,,O,5,166.1874289,-1.260805286
233,Ba5Sn2La1Fe8O24,Ba,Sn,La,Fe,,,O,5,276.02872080000003,-1.29794037
234,Ba6Bi1La1Fe8O24,Ba,Bi,La,Fe,,,O,5,93.42580713,-1.443668329
235,Ba6Bi2Fe8O24,Ba,Bi,,Fe,,,O,4,129.3236717,-1.27956302
236,Ba6Bi2Zr7Fe1O24,Ba,Bi,,Zr,Fe,,O,5,0.202289181,-2.532279186
237,Ba6Ca2Fe8O24,Ba,Ca,,Fe,,,O,4,118.3037635,-1.421432245
238,Ba6Cd1La1Fe8O24,Ba,Cd,La,Fe,,,O,5,114.5546445,-1.390930141
239,Ba6Cd2Fe8O24,Ba,Cd,,Fe,,,O,4,175.5795965,-1.170088395
240,Ba6Cd2Hf1Zr6Fe1O24,Ba,Cd,,Zr,Fe,Hf,O,6,0.0,-2.536790687
241,Ba6Cd2Zr7Fe1O24,Ba,Cd,,Zr,Fe,,O,5,59.18382389999999,-2.456707811
243,Ba6Dy2Fe8O24,Ba,Dy,,Fe,,,O,4,121.3684215,-1.556909467
244,Ba6Gd2Fe8O24,Ba,Gd,,Fe,,,O,4,98.51156618,-1.5643527380000002
245,Ba6Hf2Mn6Zn2O24,Ba,Zn,,Mn,Hf,,O,5,219.4705308,-1.6540044530000002
246,Ba6Hf2Zn2Co6O24,Ba,Zn,,Co,Hf,,O,5,245.6479886,-1.35564614
247,Ba6Hf2Zn2Fe6O24,Ba,Zn,,Fe,Hf,,O,5,229.7901283,-1.5355313519999998
248,Ba6Hf2Zn2Ni6O24,Ba,Zn,,Ni,Hf,,O,5,396.8833354,-1.010474046
249,Ba6Ho2Fe8O24,Ba,Ho,,Fe,,,O,4,129.1284141,-1.551884538
250,Ba6La2Fe4Co4O24,Ba,La,,Fe,Co,,O,5,100.9711205,-1.469495996
251,Ba6La2Fe6Co2O24,Ba,La,,Fe,Co,,O,5,89.72129861,-1.5405733169999998
252,Ba6La2Fe7Co1O24,Ba,La,,Fe,Co,,O,5,73.01999556,-1.5747781019999998
253,Ba6La2Fe8O24,Ba,La,,Fe,,,O,4,60.35669252,-1.604944888
254,Ba6La2Mn2Fe6O24,Ba,La,,Mn,Fe,,O,5,69.97238548,-1.6476528380000002
255,Ba6Mg2Fe8O24,Ba,Mg,,Fe,,,O,4,236.664682,-1.277804499
256,Ba6Mn6Nb2Zn2O24,Ba,Zn,,Mn,Nb,,O,5,193.7216936,-1.599268589
257,Ba6Mn8Zn2O24,Ba,Zn,,Mn,,,O,4,276.2173687,-1.266850675
259,Ba6Nb2Zn2Fe6O24,Ba,Zn,,Fe,Nb,,O,5,214.1857524,-1.505804989
261,Ba6Nd2Fe8O24,Ba,Nd,,Fe,,,O,4,73.92834539,-1.578761707
262,Ba6Pr2Fe8O24,Ba,Pr,,Fe,,,O,4,67.13987502,-1.581496905
263,Ba6Sm2Fe8O24,Ba,Sm,,Fe,,,O,4,88.11493139,-1.571391817
264,Ba6Sn1La1Fe8O24,Ba,Sn,La,Fe,,,O,5,158.4270431,-1.429086308
265,Ba6Sn2Fe8O24,Ba,Sn,,Fe,,,O,4,283.9064534,-1.213067479
266,Ba6Sn2Hf1Zr6Fe1O24,Ba,Sn,,Zr,Fe,Hf,O,6,3.509828563,-2.581108771
267,Ba6Sn2Zr7Fe1O24,Ba,Sn,,Zr,Fe,,O,5,52.48224456,-2.513603395
268,Ba6Sr2Fe8O24,Ba,Sr,,Fe,,,O,4,84.20250562,-1.4404781619999998
269,Ba6Ta2Mn6Zn2O24,Ba,Zn,,Mn,Ta,,O,5,193.037892,-1.651939435
270,Ba6Ta2Zn2Co6O24,Ba,Zn,,Co,Ta,,O,5,200.2688814,-1.3771826230000002
271,Ba6Ta2Zn2Fe6O24,Ba,Zn,,Fe,Ta,,O,5,182.12903290000003,-1.563465835
272,Ba6Ta2Zn2Ni6O24,Ba,Zn,,Ni,Ta,,O,5,340.48947410000005,-1.063905279
273,Ba6Ti2Mn6Zn2O24,Ba,Zn,,Mn,Ti,,O,5,209.6344128,-1.589827507
274,Ba6Ti2Zn2Co6O24,Ba,Zn,,Co,Ti,,O,5,222.9273207,-1.310175945
275,Ba6Ti2Zn2Fe6O24,Ba,Zn,,Fe,Ti,,O,5,241.5377029,-1.468941407
276,Ba6Ti2Zn2Ni6O24,Ba,Zn,,Ni,Ti,,O,5,388.3951794,-0.970351601
277,Ba6Zn2Co8O24,Ba,Zn,,Co,,,O,4,249.5494434,-0.922120842
278,Ba6Zn2Fe8O24,Ba,Zn,,Fe,,,O,4,239.2147742,-1.147953875
279,Ba6Zn2Ni8O24,Ba,Zn,,Ni,,,O,4,407.1471861,-0.488125467
280,Ba6Zr2Mn6Zn2O24,Ba,Zn,,Mn,Zr,,O,5,201.4021128,-1.635006951
281,Ba6Zr2Zn2Co6O24,Ba,Zn,,Co,Zr,,O,5,218.8005706,-1.345427638
282,Ba6Zr2Zn2Fe6O24,Ba,Zn,,Fe,Zr,,O,5,296.5012103,-1.431754351
283,Ba6Zr2Zn2Ni6O24,Ba,Zn,,Ni,Zr,,O,5,344.7992754,-1.025327295
284,Ba7Bi1Fe8O24,Ba,Bi,,Fe,,,O,4,100.9492247,-1.354820188
285,Ba7Bi1Zr7Fe1O24,Ba,Bi,,Zr,Fe,,O,5,0.0,-2.660210354
286,Ba7Ca1Fe8O24,Ba,Ca,,Fe,,,O,4,97.86627057,-1.4233278
287,Ba7Cd1Fe8O24,Ba,Cd,,Fe,,,O,4,126.8863121,-1.29727375
288,Ba7Cd1Hf1Zr6Fe1O24,Ba,Cd,,Zr,Fe,Hf,O,6,0.0,-2.672813042
289,Ba7Cd1Zr7Fe1O24,Ba,Cd,,Zr,Fe,,O,5,22.47840028,-2.593572416
291,Ba7Dy1Fe8O24,Ba,Dy,,Fe,,,O,4,95.14422461,-1.495320786
292,Ba7Gd1Fe8O24,Ba,Gd,,Fe,,,O,4,83.92079694,-1.4988374219999998
293,Ba7Ho1Fe8O24,Ba,Ho,,Fe,,,O,4,99.06622089,-1.4927663219999998
