"Systems
Composition","Spring
Const. (N/m)"
CH2 SiCl2 GeF2 GeF2,49.523999999999994
CH2 SiCl2 GeF2 SiF2,54.608999999999995
CH2 SiCl2 GeF2 SiCl2,46.081
CH2 SiCl2 GeCl2 GeCl2,29.96
CH2 SiCl2 GeCl2 SiF2,42.525
CH2 SiCl2 GeCl2 SiCl2,34.373000000000005
CH2 SiCl2 SiF2 GeF2,53.413999999999994
CH2 SiCl2 SiF2 SiF2,57.956
CH2 SiCl2 SiF2 SiCl2,50.879
CH2 SiCl2 SiCl2 GeCl2,34.23
CH2 SiCl2 SiCl2 SiF2,46.128
CH2 SiCl2 SnF2 SiF2,44.023999999999994
CH2 SiCl2 SnF2 SiCl2,36.483000000000004
CH2 SiCl2 SnCl2 GeF2,31.461
CH2 SiCl2 SnCl2 GeCl2,23.154
CH2 SiCl2 SnCl2 SiF2,33.607
CH2 SnF2 CH2 SnF2,59.06800000000001
CH2 SnF2 CH2 SnCl2,47.802
CH2 SnF2 GeF2 GeF2,35.519
CH2 SnF2 GeF2 SiF2,40.149
CH2 SnF2 GeF2 SiCl2,36.393
CH2 SnF2 GeF2 SnF2,43.442
CH2 SnF2 GeCl2 GeF2,36.547
CH2 SnF2 GeCl2 GeCl2,28.675
CH2 SnF2 GeCl2 SiF2,33.652
CH2 SnF2 GeCl2 SnF2,35.57
CH2 SnF2 SiF2 GeF2,41.216
CH2 SnF2 SiF2 SiF2,43.901
CH2 SnF2 SiF2 SiCl2,42.412
CH2 SnF2 SiF2 SnF2,47.277
CH2 SnF2 SiCl2 GeF2,39.62
CH2 SnF2 SiCl2 GeCl2,32.494
CH2 SnF2 SiCl2 SiF2,40.966
CH2 SnF2 SiCl2 SiCl2,33.954
CH2 SnF2 SiCl2 SnF2,38.008
CH2 SnF2 SnF2 GeF2,36.344
CH2 SnF2 SnF2 GeCl2,30.29300000000001
CH2 SnF2 SnF2 SiF2,34.048
CH2 SnF2 SnF2 SiCl2,31.695999999999998
CH2 SnF2 SnF2 SnF2,37.711
CH2 SnF2 SnCl2 GeF2,30.581
CH2 SnF2 SnCl2 GeCl2,25.579
CH2 SnF2 SnCl2 SiF2,29.954
CH2 SnF2 SnCl2 SiCl2,25.607
CH2 SnF2 SnCl2 SnF2,31.3
CH2 SnCl2 CH2 SnCl2,39.872
CH2 SnCl2 GeF2 GeF2,32.37
CH2 SnCl2 GeF2 SiF2,35.79
CH2 SnCl2 GeF2 SiCl2,31.611
CH2 SnCl2 GeCl2 GeF2,28.921999999999997
CH2 SnCl2 GeCl2 GeCl2,22.235
CH2 SnCl2 GeCl2 SiF2,31.090999999999998
CH2 SnCl2 GeCl2 SnCl2,19.323
CH2 SnCl2 SiF2 GeCl2,33.107
CH2 SnCl2 SiF2 SiF2,38.884
CH2 SnCl2 SiF2 SiCl2,32.313
CH2 SnCl2 SiF2 SnF2,34.977
CH2 SnCl2 SiF2 SnCl2,30.235
CH2 SnCl2 SiCl2 GeF2,31.893
CH2 SnCl2 SiCl2 GeCl2,24.802
CH2 SnCl2 SiCl2 SiF2,33.5
CH2 SnCl2 SiCl2 SiCl2,25.568
CH2 SnCl2 SiCl2 SnCl2,21.925
CH2 SnCl2 SnF2 GeF2,30.773000000000003
CH2 SnCl2 SnF2 SiF2,30.2
CH2 SnCl2 SnF2 SiCl2,24.735
CH2 SnCl2 SnF2 SnF2,27.824
CH2 SnCl2 SnCl2 GeF2,23.148000000000003
CH2 SnCl2 SnCl2 GeCl2,17.000999999999998
CH2 SnCl2 SnCl2 SiF2,25.628
CH2 SnCl2 SnCl2 SiCl2,17.942999999999994
CH2 SnCl2 SnCl2 SnF2,22.3
CH2 SnCl2 SnCl2 SnCl2,15.242
