"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c44 (GPa)
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,17.28
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,14.69
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,17.49
AlSb-AlSb-AlSb-CdSe-CdSe-CdSe,14.38
AlSb-AlSb-AlSb-CdSe-CdSe-InAs,7.19
AlSb-AlSb-AlSb-CdSe-InAs-InAs,12.88
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,16.23
AlSb-AlSb-AlSb-GaSb-CdSe-InAs,15.07
AlSb-AlSb-AlSb-GaSb-GaSb-CdSe,15.04
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,23.28
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,22.53
AlSb-AlSb-AlSb-GaSb-InAs-InAs,22.34
AlSb-AlSb-AlSb-InAs-InAs-InAs,21.58
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,14.86
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,13.37
AlSb-AlSb-AlSb-ZnTe-GaSb-CdSe,12.54
AlSb-AlSb-AlSb-ZnTe-GaSb-GaSb,16.89
AlSb-AlSb-AlSb-ZnTe-GaSb-InAs,16.26
AlSb-AlSb-AlSb-ZnTe-InAs-InAs,5.48
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,16.09
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,17.5
AlSb-AlSb-AlSb-ZnTe-ZnTe-InAs,14.47
AlSb-AlSb-AlSb-ZnTe-ZnTe-ZnTe,17.04
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,12.53
AlSb-AlSb-CdSe-CdSe-CdSe-InAs,10.08
AlSb-AlSb-CdSe-CdSe-InAs-InAs,9.53
AlSb-AlSb-CdSe-InAs-InAs-InAs,12.96
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,14.7
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,13.46
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,16.64
AlSb-AlSb-GaSb-GaSb-CdSe-InAs,16.86
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,12.79
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,23.51
AlSb-AlSb-GaSb-GaSb-GaSb-InAs,22.97
AlSb-AlSb-GaSb-GaSb-InAs-InAs,22.4
AlSb-AlSb-GaSb-InAs-InAs-InAs,21.99
AlSb-AlSb-InAs-InAs-InAs-InAs,20.74
AlSb-AlSb-ZnTe-CdSe-CdSe-CdSe,14.01
AlSb-AlSb-ZnTe-CdSe-CdSe-InAs,14.11
AlSb-AlSb-ZnTe-CdSe-InAs-InAs,13.78
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,12.96
AlSb-AlSb-ZnTe-GaSb-CdSe-InAs,12.47
AlSb-AlSb-ZnTe-GaSb-GaSb-GaSb,17.54
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,17.23
AlSb-AlSb-ZnTe-GaSb-InAs-InAs,16.57
AlSb-AlSb-ZnTe-InAs-InAs-InAs,13.9
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,14.97
AlSb-AlSb-ZnTe-ZnTe-CdSe-InAs,13.89
AlSb-AlSb-ZnTe-ZnTe-GaSb-CdSe,12.25
AlSb-AlSb-ZnTe-ZnTe-GaSb-GaSb,17.36
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,17.33
AlSb-AlSb-ZnTe-ZnTe-InAs-InAs,13.0
AlSb-AlSb-ZnTe-ZnTe-ZnTe-CdSe,15.57
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,17.53
AlSb-AlSb-ZnTe-ZnTe-ZnTe-ZnTe,17.01
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,11.97
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,11.76
AlSb-CdSe-CdSe-CdSe-InAs-InAs,12.57
AlSb-CdSe-InAs-InAs-InAs-InAs,6.01
AlSb-GaSb-CdSe-CdSe-CdSe-CdSe,13.39
AlSb-GaSb-CdSe-CdSe-CdSe-InAs,13.18
AlSb-GaSb-CdSe-CdSe-InAs-InAs,1.83
AlSb-GaSb-CdSe-InAs-InAs-InAs,10.74
AlSb-GaSb-GaSb-CdSe-CdSe-CdSe,15.04
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,12.59
AlSb-GaSb-GaSb-GaSb-CdSe-CdSe,16.3
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,13.52
AlSb-GaSb-GaSb-GaSb-GaSb-CdSe,7.01
AlSb-GaSb-GaSb-GaSb-GaSb-GaSb,23.67
AlSb-GaSb-GaSb-GaSb-GaSb-InAs,23.15
AlSb-GaSb-GaSb-GaSb-InAs-InAs,22.47
AlSb-GaSb-GaSb-InAs-InAs-InAs,20.99
AlSb-GaSb-InAs-InAs-InAs-InAs,20.83
AlSb-InAs-InAs-InAs-InAs-InAs,20.16
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,12.57
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,12.47
AlSb-ZnTe-CdSe-CdSe-InAs-InAs,11.63
AlSb-ZnTe-CdSe-InAs-InAs-InAs,10.74
AlSb-ZnTe-GaSb-CdSe-CdSe-CdSe,12.89
AlSb-ZnTe-GaSb-CdSe-CdSe-InAs,12.42
AlSb-ZnTe-GaSb-CdSe-InAs-InAs,7.17
AlSb-ZnTe-GaSb-GaSb-CdSe-CdSe,13.65
AlSb-ZnTe-GaSb-GaSb-CdSe-InAs,12.91
AlSb-ZnTe-GaSb-GaSb-GaSb-CdSe,14.11
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,16.84
AlSb-ZnTe-GaSb-GaSb-GaSb-InAs,16.87
AlSb-ZnTe-GaSb-GaSb-InAs-InAs,16.25
AlSb-ZnTe-GaSb-InAs-InAs-InAs,15.69
AlSb-ZnTe-ZnTe-CdSe-CdSe-CdSe,13.72
AlSb-ZnTe-ZnTe-CdSe-CdSe-InAs,13.63
AlSb-ZnTe-ZnTe-CdSe-InAs-InAs,11.31
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,13.08
AlSb-ZnTe-ZnTe-GaSb-CdSe-InAs,12.93
AlSb-ZnTe-ZnTe-GaSb-GaSb-CdSe,12.85
AlSb-ZnTe-ZnTe-GaSb-GaSb-GaSb,16.89
AlSb-ZnTe-ZnTe-GaSb-GaSb-InAs,16.66
AlSb-ZnTe-ZnTe-GaSb-InAs-InAs,16.8
AlSb-ZnTe-ZnTe-InAs-InAs-InAs,13.27
AlSb-ZnTe-ZnTe-ZnTe-CdSe-CdSe,14.39
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,14.38
AlSb-ZnTe-ZnTe-ZnTe-GaSb-CdSe,13.79
AlSb-ZnTe-ZnTe-ZnTe-GaSb-GaSb,16.74
AlSb-ZnTe-ZnTe-ZnTe-GaSb-InAs,16.35
AlSb-ZnTe-ZnTe-ZnTe-InAs-InAs,11.18
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,15.33
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,16.65
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,14.11
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,16.79
BAs-BAs-BAs-BAs-BAs-BAs,105.49
BeO-BeO-BeO-BeO-BeO-BeO,139.82
BeS-BAs-BAs-BAs-BAs-BAs,60.36
BeS-BeS-BAs-BAs-BAs-BAs,72.48
BeS-BeS-BeS-BAs-BAs-BAs,65.35
BeS-BeS-BeS-BeS-BAs-BAs,53.95
BeS-BeS-BeS-BeS-BeS-BAs,46.21
BeS-BeS-BeS-BeS-BeS-BeS,55.56
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,43.97
BeSe-BeSe-BeSe-BeSe-BeSe-InN,34.82
BeSe-BeSe-BeSe-BeSe-CuCl-CuCl,8.77
BeSe-BeSe-BeSe-BeSe-InN-InN,31.32
BeSe-BeSe-BeSe-InN-InN-InN,28.52
BeSe-BeSe-InN-InN-InN-InN,6.34
BeSe-CuCl-CuCl-CuCl-CuCl-CuCl,5.71
BeSe-InN-InN-InN-InN-InN,18.44
BeTe-AlAs-AlAs-AlAs-AlAs-AlAs,8.54
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,6.98
BeTe-AlAs-AlAs-AlAs-CuBr-ZnSe,3.01
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,10.62
BeTe-AlAs-AlAs-AlAs-ZnSe-GaAs,16.34
BeTe-AlAs-AlAs-AlAs-ZnSe-ZnSe,22.29
BeTe-AlAs-AlAs-CuBr-CuBr-CuBr,8.57
BeTe-AlAs-AlAs-CuBr-CuBr-GaAs,7.33
BeTe-AlAs-AlAs-CuBr-CuBr-ZnSe,5.28
BeTe-AlAs-AlAs-GaAs-GaAs-GaAs,11.0
BeTe-AlAs-AlAs-ZnSe-GaAs-GaAs,14.12
BeTe-AlAs-AlAs-ZnSe-ZnSe-GaAs,18.21
BeTe-AlAs-AlAs-ZnSe-ZnSe-ZnSe,21.51
BeTe-AlAs-CuBr-CuBr-GaAs-GaAs,4.37
BeTe-AlAs-CuBr-CuBr-ZnSe-ZnSe,3.09
BeTe-AlAs-CuBr-GaAs-GaAs-GaAs,7.2
BeTe-AlAs-GaAs-GaAs-GaAs-GaAs,14.95
BeTe-AlAs-ZnSe-GaAs-GaAs-GaAs,17.43
BeTe-AlAs-ZnSe-ZnSe-GaAs-GaAs,19.89
BeTe-AlAs-ZnSe-ZnSe-ZnSe-GaAs,21.62
BeTe-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,21.54
BeTe-AlP-AlP-AlP-AlP-AlP,16.23
BeTe-AlP-AlP-AlP-AlP-GaP,15.08
BeTe-AlP-AlP-AlP-CuBr-ZnSe,0.19
BeTe-AlP-AlP-AlP-GaP-GaP,13.4
BeTe-AlP-AlP-AlP-ZnSe-ZnSe,21.78
BeTe-AlP-AlP-CuBr-CuBr-ZnSe,6.58
BeTe-AlP-AlP-GaP-GaP-GaP,16.94
BeTe-AlP-AlP-ZnSe-GaP-GaP,15.06
BeTe-AlP-AlP-ZnSe-ZnSe-GaP,20.94
BeTe-AlP-AlP-ZnSe-ZnSe-ZnSe,22.23
BeTe-AlP-CuBr-CuBr-CuBr-GaP,1.93
BeTe-AlP-CuBr-CuBr-CuBr-ZnSe,5.4
BeTe-AlP-CuBr-CuBr-ZnSe-GaP,4.71
BeTe-AlP-CuBr-ZnSe-ZnSe-ZnSe,1.43
BeTe-AlP-GaP-GaP-GaP-GaP,18.04
BeTe-AlP-ZnSe-GaP-GaP-GaP,16.07
BeTe-AlP-ZnSe-ZnSe-GaP-GaP,20.73
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,21.96
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,22.63
BeTe-BeTe-AlAs-AlAs-AlAs-AlAs,21.06
BeTe-BeTe-AlAs-AlAs-AlAs-CuBr,5.84
BeTe-BeTe-AlAs-AlAs-AlAs-GaAs,23.2
BeTe-BeTe-AlAs-AlAs-AlAs-ZnSe,23.67
BeTe-BeTe-AlAs-AlAs-CuBr-CuBr,6.88
BeTe-BeTe-AlAs-AlAs-GaAs-GaAs,22.84
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,22.14
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,23.49
BeTe-BeTe-AlAs-CuBr-CuBr-CuBr,6.17
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,3.99
BeTe-BeTe-AlAs-GaAs-GaAs-GaAs,23.47
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,21.57
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,22.21
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,23.22
BeTe-BeTe-AlP-AlP-AlP-GaP,17.82
BeTe-BeTe-AlP-AlP-AlP-ZnSe,23.91
BeTe-BeTe-AlP-AlP-GaP-GaP,18.43
BeTe-BeTe-AlP-AlP-ZnSe-GaP,21.58
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,23.48
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,6.32
BeTe-BeTe-AlP-GaP-GaP-GaP,21.25
BeTe-BeTe-AlP-ZnSe-GaP-GaP,21.9
BeTe-BeTe-AlP-ZnSe-ZnSe-GaP,22.65
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,23.22
BeTe-BeTe-BeTe-AlAs-AlAs-AlAs,24.62
BeTe-BeTe-BeTe-AlAs-AlAs-GaAs,25.29
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,24.53
BeTe-BeTe-BeTe-AlAs-CuBr-CuBr,3.52
BeTe-BeTe-BeTe-AlAs-GaAs-GaAs,25.24
BeTe-BeTe-BeTe-AlAs-ZnSe-GaAs,24.16
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,24.07
BeTe-BeTe-BeTe-AlP-AlP-AlP,25.33
BeTe-BeTe-BeTe-AlP-AlP-CuBr,10.74
BeTe-BeTe-BeTe-AlP-AlP-GaP,26.56
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,26.18
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,7.65
BeTe-BeTe-BeTe-AlP-CuBr-GaP,9.41
BeTe-BeTe-BeTe-AlP-GaP-GaP,26.79
BeTe-BeTe-BeTe-AlP-ZnSe-GaP,26.24
BeTe-BeTe-BeTe-AlP-ZnSe-ZnSe,25.66
BeTe-BeTe-BeTe-BeTe-AlAs-AlAs,26.12
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,6.62
BeTe-BeTe-BeTe-BeTe-AlAs-GaAs,26.52
BeTe-BeTe-BeTe-BeTe-AlAs-ZnSe,26.09
BeTe-BeTe-BeTe-BeTe-AlP-AlP,26.07
BeTe-BeTe-BeTe-BeTe-AlP-CuBr,0.24
BeTe-BeTe-BeTe-BeTe-AlP-GaP,27.4
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,27.05
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,29.56
BeTe-BeTe-BeTe-BeTe-BeTe-AlP,29.05
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,31.88
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,13.96
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,30.91
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,30.65
BeTe-BeTe-BeTe-BeTe-BeTe-ZnSe,31.06
BeTe-BeTe-BeTe-BeTe-CuBr-GaAs,15.47
BeTe-BeTe-BeTe-BeTe-CuBr-GaP,5.31
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,17.4
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,27.95
BeTe-BeTe-BeTe-BeTe-GaP-GaP,28.89
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,27.37
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,26.75
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,28.63
BeTe-BeTe-BeTe-CuBr-CuBr-CuBr,14.44
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,13.21
BeTe-BeTe-BeTe-CuBr-CuBr-ZnSe,15.5
BeTe-BeTe-BeTe-CuBr-GaAs-GaAs,7.67
BeTe-BeTe-BeTe-CuBr-GaP-GaP,5.98
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,12.72
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,13.52
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,13.93
BeTe-BeTe-BeTe-GaAs-GaAs-GaAs,26.06
BeTe-BeTe-BeTe-GaP-GaP-GaP,28.14
BeTe-BeTe-BeTe-ZnSe-GaAs-GaAs,24.3
BeTe-BeTe-BeTe-ZnSe-GaP-GaP,25.97
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,25.06
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,25.97
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,26.48
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,11.91
BeTe-BeTe-CuBr-CuBr-CuBr-GaAs,10.57
BeTe-BeTe-CuBr-CuBr-CuBr-ZnSe,10.29
BeTe-BeTe-CuBr-CuBr-GaAs-GaAs,2.65
BeTe-BeTe-CuBr-CuBr-GaP-GaP,4.11
BeTe-BeTe-CuBr-CuBr-ZnSe-GaP,8.2
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,14.9
BeTe-BeTe-CuBr-GaAs-GaAs-GaAs,8.73
BeTe-BeTe-CuBr-GaP-GaP-GaP,0.56
BeTe-BeTe-CuBr-ZnSe-GaAs-GaAs,2.19
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaAs,15.83
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,17.22
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,15.99
BeTe-BeTe-GaAs-GaAs-GaAs-GaAs,21.64
BeTe-BeTe-GaP-GaP-GaP-GaP,24.96
BeTe-BeTe-ZnSe-GaAs-GaAs-GaAs,22.81
BeTe-BeTe-ZnSe-GaP-GaP-GaP,25.71
BeTe-BeTe-ZnSe-ZnSe-GaAs-GaAs,23.17
BeTe-BeTe-ZnSe-ZnSe-GaP-GaP,23.1
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,23.6
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaP,24.2
BeTe-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,24.61
BeTe-CuBr-CuBr-CuBr-CuBr-CuBr,7.11
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,7.66
BeTe-CuBr-CuBr-CuBr-CuBr-GaP,6.71
BeTe-CuBr-CuBr-CuBr-CuBr-ZnSe,10.34
BeTe-CuBr-CuBr-CuBr-GaAs-GaAs,2.62
BeTe-CuBr-CuBr-CuBr-GaP-GaP,2.64
BeTe-CuBr-CuBr-CuBr-ZnSe-GaAs,3.03
BeTe-CuBr-CuBr-CuBr-ZnSe-GaP,1.1
BeTe-CuBr-CuBr-CuBr-ZnSe-ZnSe,13.41
BeTe-CuBr-CuBr-GaAs-GaAs-GaAs,5.06
BeTe-CuBr-CuBr-GaP-GaP-GaP,4.03
BeTe-CuBr-CuBr-ZnSe-GaAs-GaAs,0.39
BeTe-CuBr-CuBr-ZnSe-GaP-GaP,9.81
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaP,14.52
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,12.89
BeTe-CuBr-GaAs-GaAs-GaAs-GaAs,6.73
BeTe-CuBr-GaP-GaP-GaP-GaP,6.03
BeTe-CuBr-ZnSe-GaP-GaP-GaP,7.52
BeTe-CuBr-ZnSe-ZnSe-GaAs-GaAs,13.91
BeTe-CuBr-ZnSe-ZnSe-GaP-GaP,15.31
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaAs,13.52
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaP,14.82
BeTe-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,12.63
BeTe-GaAs-GaAs-GaAs-GaAs-GaAs,19.09
