"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c13 (GPa)
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,22.75
AlSb-AlSb-AlSb-AlSb-InAs-InAs,24.63
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,15.68
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,21.44
AlSb-AlSb-AlSb-CdSe-CdSe-CdSe,27.34
AlSb-AlSb-AlSb-CdSe-CdSe-InAs,25.71
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,24.37
AlSb-AlSb-AlSb-GaSb-CdSe-InAs,27.45
AlSb-AlSb-AlSb-GaSb-GaSb-CdSe,21.86
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,21.52
AlSb-AlSb-AlSb-GaSb-InAs-InAs,23.42
AlSb-AlSb-AlSb-InAs-InAs-InAs,24.7
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,25.28
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,26.3
AlSb-AlSb-AlSb-ZnTe-GaSb-CdSe,19.67
AlSb-AlSb-AlSb-ZnTe-GaSb-GaSb,14.88
AlSb-AlSb-AlSb-ZnTe-GaSb-InAs,20.49
AlSb-AlSb-AlSb-ZnTe-InAs-InAs,26.42
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,24.01
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,21.87
AlSb-AlSb-AlSb-ZnTe-ZnTe-InAs,23.66
AlSb-AlSb-AlSb-ZnTe-ZnTe-ZnTe,22.47
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,28.63
AlSb-AlSb-CdSe-CdSe-CdSe-InAs,30.93
AlSb-AlSb-CdSe-CdSe-InAs-InAs,29.88
AlSb-AlSb-CdSe-InAs-InAs-InAs,28.53
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,29.06
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,24.51
AlSb-AlSb-GaSb-GaSb-GaSb-InAs,19.66
AlSb-AlSb-GaSb-GaSb-InAs-InAs,21.25
AlSb-AlSb-GaSb-InAs-InAs-InAs,23.22
AlSb-AlSb-InAs-InAs-InAs-InAs,24.76
AlSb-AlSb-ZnTe-CdSe-CdSe-InAs,22.9
AlSb-AlSb-ZnTe-CdSe-InAs-InAs,26.12
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,21.51
AlSb-AlSb-ZnTe-GaSb-GaSb-GaSb,12.19
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,19.46
AlSb-AlSb-ZnTe-GaSb-InAs-InAs,19.4
AlSb-AlSb-ZnTe-InAs-InAs-InAs,19.29
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,25.53
AlSb-AlSb-ZnTe-ZnTe-CdSe-InAs,26.69
AlSb-AlSb-ZnTe-ZnTe-GaSb-CdSe,22.22
AlSb-AlSb-ZnTe-ZnTe-GaSb-GaSb,21.14
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,23.36
AlSb-AlSb-ZnTe-ZnTe-InAs-InAs,24.33
AlSb-AlSb-ZnTe-ZnTe-ZnTe-CdSe,24.03
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,22.28
AlSb-AlSb-ZnTe-ZnTe-ZnTe-ZnTe,20.76
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,30.29
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,31.74
AlSb-CdSe-CdSe-CdSe-InAs-InAs,31.68
AlSb-GaSb-CdSe-CdSe-CdSe-CdSe,27.14
AlSb-GaSb-CdSe-CdSe-InAs-InAs,28.96
AlSb-GaSb-GaSb-CdSe-CdSe-CdSe,24.64
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,28.41
AlSb-GaSb-GaSb-GaSb-CdSe-CdSe,22.51
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,25.35
AlSb-GaSb-GaSb-GaSb-GaSb-CdSe,20.81
AlSb-GaSb-GaSb-GaSb-GaSb-GaSb,18.7
AlSb-GaSb-GaSb-GaSb-GaSb-InAs,20.31
AlSb-GaSb-GaSb-GaSb-InAs-InAs,21.2
AlSb-InAs-InAs-InAs-InAs-InAs,24.92
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,27.1
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,29.17
AlSb-ZnTe-GaSb-CdSe-CdSe-CdSe,23.37
AlSb-ZnTe-GaSb-CdSe-CdSe-InAs,26.13
AlSb-ZnTe-GaSb-CdSe-InAs-InAs,15.37
AlSb-ZnTe-GaSb-GaSb-CdSe-CdSe,20.9
AlSb-ZnTe-GaSb-GaSb-CdSe-InAs,22.82
AlSb-ZnTe-GaSb-GaSb-GaSb-CdSe,17.89
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,19.94
AlSb-ZnTe-GaSb-GaSb-InAs-InAs,22.18
AlSb-ZnTe-ZnTe-CdSe-CdSe-InAs,22.94
AlSb-ZnTe-ZnTe-CdSe-InAs-InAs,27.27
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,23.43
AlSb-ZnTe-ZnTe-GaSb-CdSe-InAs,24.09
AlSb-ZnTe-ZnTe-GaSb-GaSb-CdSe,20.21
AlSb-ZnTe-ZnTe-GaSb-GaSb-GaSb,19.09
AlSb-ZnTe-ZnTe-GaSb-GaSb-InAs,19.5
AlSb-ZnTe-ZnTe-GaSb-InAs-InAs,22.88
AlSb-ZnTe-ZnTe-InAs-InAs-InAs,24.23
AlSb-ZnTe-ZnTe-ZnTe-CdSe-CdSe,24.68
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,25.32
AlSb-ZnTe-ZnTe-ZnTe-GaSb-CdSe,23.15
AlSb-ZnTe-ZnTe-ZnTe-GaSb-InAs,22.36
AlSb-ZnTe-ZnTe-ZnTe-InAs-InAs,24.89
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,22.86
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,23.03
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,23.17
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,20.27
BAs-BAs-BAs-BAs-BAs-BAs,23.98
BeO-BeO-BeO-BeO-BeO-BeO,87.55
BeS-BAs-BAs-BAs-BAs-BAs,30.05
BeS-BeS-BeS-BeS-BeS-BeS,35.68
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,29.04
BeSe-BeSe-BeSe-BeSe-BeSe-InN,29.7
BeSe-BeSe-BeSe-BeSe-CuCl-CuCl,27.11
BeSe-BeSe-BeSe-BeSe-InN-InN,35.03
BeSe-BeSe-BeSe-InN-InN-InN,33.88
BeSe-BeSe-InN-InN-InN-InN,6.66
BeTe-AlAs-AlAs-AlAs-AlAs-AlAs,11.99
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,12.05
BeTe-AlAs-AlAs-AlAs-CuBr-ZnSe,9.49
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,8.62
BeTe-AlAs-AlAs-AlAs-ZnSe-GaAs,7.67
BeTe-AlAs-AlAs-AlAs-ZnSe-ZnSe,29.26
BeTe-AlAs-AlAs-CuBr-CuBr-CuBr,12.93
BeTe-AlAs-AlAs-CuBr-CuBr-GaAs,6.37
BeTe-AlAs-AlAs-CuBr-CuBr-ZnSe,4.38
BeTe-AlAs-AlAs-GaAs-GaAs-GaAs,6.3
BeTe-AlAs-AlAs-ZnSe-GaAs-GaAs,13.07
BeTe-AlAs-AlAs-ZnSe-ZnSe-GaAs,19.27
BeTe-AlAs-AlAs-ZnSe-ZnSe-ZnSe,28.9
BeTe-AlAs-CuBr-CuBr-GaAs-GaAs,10.29
BeTe-AlAs-CuBr-CuBr-ZnSe-ZnSe,12.07
BeTe-AlAs-CuBr-GaAs-GaAs-GaAs,23.73
BeTe-AlAs-ZnSe-ZnSe-GaAs-GaAs,23.88
BeTe-AlAs-ZnSe-ZnSe-ZnSe-GaAs,25.66
BeTe-AlP-AlP-AlP-AlP-AlP,15.79
BeTe-AlP-AlP-AlP-AlP-GaP,12.81
BeTe-AlP-AlP-AlP-GaP-GaP,12.67
BeTe-AlP-AlP-AlP-ZnSe-ZnSe,27.81
BeTe-AlP-AlP-CuBr-CuBr-ZnSe,27.13
BeTe-AlP-AlP-GaP-GaP-GaP,9.45
BeTe-AlP-AlP-ZnSe-GaP-GaP,11.8
BeTe-AlP-AlP-ZnSe-ZnSe-GaP,19.98
BeTe-AlP-AlP-ZnSe-ZnSe-ZnSe,28.36
BeTe-AlP-CuBr-CuBr-CuBr-GaP,14.91
BeTe-AlP-CuBr-CuBr-CuBr-ZnSe,14.45
BeTe-AlP-CuBr-CuBr-ZnSe-GaP,9.28
BeTe-AlP-CuBr-ZnSe-ZnSe-ZnSe,11.36
BeTe-AlP-ZnSe-GaP-GaP-GaP,12.32
BeTe-AlP-ZnSe-ZnSe-GaP-GaP,21.39
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,25.8
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,29.51
BeTe-BeTe-AlAs-AlAs-AlAs-AlAs,15.8
BeTe-BeTe-AlAs-AlAs-AlAs-CuBr,1.4
BeTe-BeTe-AlAs-AlAs-AlAs-ZnSe,29.01
BeTe-BeTe-AlAs-AlAs-CuBr-CuBr,19.1
BeTe-BeTe-AlAs-AlAs-GaAs-GaAs,22.89
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,22.28
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,28.28
BeTe-BeTe-AlAs-CuBr-CuBr-CuBr,20.68
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,5.65
BeTe-BeTe-AlAs-GaAs-GaAs-GaAs,21.39
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,22.31
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,24.16
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,28.04
BeTe-BeTe-AlP-AlP-AlP-GaP,6.19
BeTe-BeTe-AlP-AlP-GaP-GaP,6.42
BeTe-BeTe-AlP-AlP-ZnSe-GaP,19.52
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,26.03
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,8.68
BeTe-BeTe-AlP-ZnSe-GaP-GaP,19.84
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,27.32
BeTe-BeTe-BeTe-AlAs-AlAs-AlAs,22.6
BeTe-BeTe-BeTe-AlAs-AlAs-GaAs,23.4
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,26.37
BeTe-BeTe-BeTe-AlAs-CuBr-CuBr,7.31
BeTe-BeTe-BeTe-AlAs-GaAs-GaAs,26.13
BeTe-BeTe-BeTe-AlAs-ZnSe-GaAs,22.67
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,24.32
BeTe-BeTe-BeTe-AlP-AlP-AlP,24.72
BeTe-BeTe-BeTe-AlP-AlP-CuBr,9.74
BeTe-BeTe-BeTe-AlP-AlP-GaP,24.74
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,21.53
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,11.89
BeTe-BeTe-BeTe-AlP-CuBr-GaP,3.35
BeTe-BeTe-BeTe-AlP-ZnSe-GaP,22.8
BeTe-BeTe-BeTe-AlP-ZnSe-ZnSe,24.51
BeTe-BeTe-BeTe-BeTe-AlAs-AlAs,23.22
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,4.61
BeTe-BeTe-BeTe-BeTe-AlAs-GaAs,22.94
BeTe-BeTe-BeTe-BeTe-AlAs-ZnSe,24.16
BeTe-BeTe-BeTe-BeTe-AlP-CuBr,10.86
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,23.65
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,21.74
BeTe-BeTe-BeTe-BeTe-BeTe-AlP,21.55
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,13.31
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,20.55
BeTe-BeTe-BeTe-BeTe-BeTe-ZnSe,24.14
BeTe-BeTe-BeTe-BeTe-CuBr-GaAs,26.29
BeTe-BeTe-BeTe-BeTe-CuBr-GaP,26.46
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,26.1
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,23.32
BeTe-BeTe-BeTe-BeTe-GaP-GaP,23.09
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,24.31
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,24.85
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,24.06
BeTe-BeTe-BeTe-CuBr-CuBr-CuBr,12.55
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,18.01
BeTe-BeTe-BeTe-CuBr-CuBr-ZnSe,30.32
BeTe-BeTe-BeTe-CuBr-GaAs-GaAs,26.06
BeTe-BeTe-BeTe-CuBr-GaP-GaP,29.02
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,25.12
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,33.3
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,22.55
BeTe-BeTe-BeTe-GaAs-GaAs-GaAs,23.83
BeTe-BeTe-BeTe-GaP-GaP-GaP,24.07
BeTe-BeTe-BeTe-ZnSe-GaP-GaP,26.89
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,24.17
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,26.29
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,27.37
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,9.02
BeTe-BeTe-CuBr-CuBr-CuBr-ZnSe,30.84
BeTe-BeTe-CuBr-CuBr-GaAs-GaAs,20.2
BeTe-BeTe-CuBr-CuBr-GaP-GaP,24.14
BeTe-BeTe-CuBr-CuBr-ZnSe-GaP,29.36
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,20.19
BeTe-BeTe-CuBr-ZnSe-GaAs-GaAs,17.28
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaAs,23.41
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,31.4
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,18.61
BeTe-BeTe-GaAs-GaAs-GaAs-GaAs,23.14
BeTe-BeTe-ZnSe-GaAs-GaAs-GaAs,26.26
BeTe-BeTe-ZnSe-ZnSe-GaAs-GaAs,26.97
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,26.99
BeTe-CuBr-CuBr-CuBr-CuBr-CuBr,4.87
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,26.4
BeTe-CuBr-CuBr-CuBr-CuBr-GaP,27.95
BeTe-CuBr-CuBr-CuBr-CuBr-ZnSe,29.79
BeTe-CuBr-CuBr-CuBr-GaP-GaP,22.32
BeTe-CuBr-CuBr-CuBr-ZnSe-GaAs,24.21
BeTe-CuBr-CuBr-CuBr-ZnSe-GaP,32.89
BeTe-CuBr-CuBr-GaAs-GaAs-GaAs,27.23
BeTe-CuBr-CuBr-GaP-GaP-GaP,28.08
BeTe-CuBr-CuBr-ZnSe-GaAs-GaAs,31.45
BeTe-CuBr-CuBr-ZnSe-GaP-GaP,15.49
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,25.46
BeTe-CuBr-GaAs-GaAs-GaAs-GaAs,34.81
BeTe-CuBr-GaP-GaP-GaP-GaP,30.31
BeTe-CuBr-ZnSe-GaP-GaP-GaP,17.44
BeTe-CuBr-ZnSe-ZnSe-GaAs-GaAs,16.28
BeTe-CuBr-ZnSe-ZnSe-GaP-GaP,26.05
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaP,19.45
BeTe-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,25.11
BeTe-GaAs-GaAs-GaAs-GaAs-GaAs,13.8
BeTe-GaP-GaP-GaP-GaP-GaP,13.06
BeTe-ZnSe-GaP-GaP-GaP-GaP,28.42
BeTe-ZnSe-ZnSe-GaAs-GaAs-GaAs,26.45
BeTe-ZnSe-ZnSe-GaP-GaP-GaP,30.16
BeTe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,28.61
BeTe-ZnSe-ZnSe-ZnSe-GaP-GaP,29.92
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,30.01
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,30.95
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,32.59
BP-BP-BP-BP-BP-BP,23.76
BP-BP-BP-BP-BP-GaN,50.24
BP-BP-BP-BP-ZnO-ZnO,71.82
BP-BP-BP-ZnO-ZnO-ZnO,83.54
BP-BP-ZnO-ZnO-ZnO-ZnO,89.52
BP-GaN-GaN-GaN-GaN-GaN,88.31
CdS-CdS-CdS-CdS-CdS-CdS,38.44
CdS-CdS-CdS-CdS-InP-InP,34.54
CdS-CdS-CdS-InP-InP-InP,33.24
CdS-CdS-InP-InP-InP-InP,30.46
CdSe-CdSe-CdSe-CdSe-CdSe-CdSe,31.01
CdSe-CdSe-CdSe-CdSe-CdSe-InAs,23.43
CdSe-CdSe-CdSe-CdSe-CdSe-InP,28.61
CdSe-CdSe-CdSe-CdSe-InAs-InAs,28.7
CdSe-CdSe-CdSe-CdSe-InP-InP,28.64
CdSe-CdSe-CdSe-InAs-InAs-InAs,16.57
CdSe-CdSe-CdSe-InP-InP-InP,28.15
CdSe-CdSe-InAs-InAs-InAs-InAs,25.94
CdSe-CdSe-InP-InP-InP-InP,25.14
CdSe-InAs-InAs-InAs-InAs-InAs,20.69
CdSe-InP-InP-InP-InP-InP,19.19
CdS-InP-InP-InP-InP-InP,24.42
CdTe-CdTe-CdTe-CdTe-CdTe-CdTe,21.82
CdTe-CdTe-CdTe-CdTe-InSb-InSb,20.38
CdTe-CdTe-CdTe-InSb-InSb-InSb,20.15
CuBr-CuBr-CuBr-CuBr-CuBr-CuBr,35.92
CuBr-CuBr-CuBr-CuBr-CuBr-ZnSe,6.54
CuBr-CuBr-GaAs-GaAs-GaAs-GaAs,32.46
CuBr-CuBr-GaP-GaP-GaP-GaP,25.97
CuBr-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,24.84
CuBr-GaAs-GaAs-GaAs-GaAs-GaAs,36.48
CuBr-ZnSe-ZnSe-GaAs-GaAs-GaAs,6.14
CuBr-ZnSe-ZnSe-ZnSe-GaAs-GaAs,5.93
CuBr-ZnSe-ZnSe-ZnSe-GaP-GaP,13.68
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,13.01
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,15.18
CuCl-CuCl-CuCl-CuCl-CuCl-CuCl,52.56
CuCl-ZnS-ZnS-ZnS-ZnS-ZnS,17.93
CuI-CdS-CdS-CdS-CdS-CdS,29.85
CuI-CdS-CdS-CdS-CdS-InP,15.65
CuI-CdS-CdS-CdS-InP-InP,28.82
CuI-CdSe-CdSe-CdSe-CdSe-CdSe,23.59
CuI-CdSe-CdSe-CdSe-CdSe-InP,19.75
CuI-CdSe-CdSe-CdSe-InP-InP,30.71
CuI-CdS-InP-InP-InP-InP,15.89
CuI-CuI-CdS-CdS-CdS-CdS,2.19
CuI-CuI-CdS-CdS-InP-InP,23.36
CuI-CuI-CdSe-CdSe-CdSe-CdSe,5.03
CuI-CuI-CdSe-CdSe-InP-InP,25.5
CuI-CuI-CuI-CdSe-CdSe-InP,7.34
CuI-CuI-CuI-CuI-CdS-CdS,11.69
CuI-CuI-CuI-CuI-CdSe-InP,2.14
CuI-CuI-CuI-CuI-CdS-InP,12.35
CuI-CuI-CuI-CuI-CuI-CuI,25.31
CuI-CuI-ZnTe-CdSe-CdSe-CdSe,9.99
CuI-CuI-ZnTe-CdSe-CdSe-InP,15.98
CuI-CuI-ZnTe-CdSe-InP-InP,17.08
CuI-CuI-ZnTe-ZnTe-InP-InP,13.74
CuI-ZnTe-CdSe-CdSe-CdSe-CdSe,11.07
CuI-ZnTe-CdSe-CdSe-CdSe-InP,15.53
CuI-ZnTe-CdSe-CdSe-InP-InP,23.44
CuI-ZnTe-ZnTe-CdSe-CdSe-CdSe,13.39
CuI-ZnTe-ZnTe-CdSe-InP-InP,30.08
CuI-ZnTe-ZnTe-InP-InP-InP,12.29
CuI-ZnTe-ZnTe-ZnTe-CdSe-CdSe,11.97
CuI-ZnTe-ZnTe-ZnTe-CdSe-InP,7.51
CuI-ZnTe-ZnTe-ZnTe-ZnTe-InP,14.38
CuI-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,3.88
GaAs-CdS-CdS-CdS-CdS-CdS,34.26
GaAs-GaAs-GaAs-GaAs-CdS-CdS,27.85
GaAs-GaAs-GaAs-GaAs-GaAs-CdS,24.27
GaN-GaN-GaN-GaN-GaN-GaN,90.9
GaP-GaP-GaP-GaP-GaP-GaP,27.33
GaSb-CdSe-CdSe-CdSe-CdSe-CdSe,26.63
GaSb-CdSe-CdSe-CdSe-InAs-InAs,29.37
GaSb-CdSe-CdSe-InAs-InAs-InAs,29.12
GaSb-CdSe-InAs-InAs-InAs-InAs,27.12
GaSb-GaSb-CdSe-CdSe-CdSe-CdSe,25.92
