System_Name,A1_atom,B1_atom,A2_atom,B2_atom,gllbsc_ind_gap
BaHfLaScO6,Ba,Hf,La,Sc,7.259237807000001
BaHfLiNbO6,Ba,Hf,Li,Nb,4.346862988
BaHfLiTaO6,Ba,Hf,Li,Ta,5.156989314
BaHfLiVO6,Ba,Hf,Li,V,1.950932284
BaHfMgZrO6,Ba,Hf,Mg,Zr,7.180769915
BaHfNaSbO6,Ba,Hf,Na,Sb,5.605111851
BaHfNaVO6,Ba,Hf,Na,V,1.943310423
BaHfPbHfO6,Ba,Hf,Pb,Hf,5.861282859
BaHfPbTiO6,Ba,Hf,Pb,Ti,4.716210837
BaHfRbNbO6,Ba,Hf,Rb,Nb,4.19891716
BaHfSnTiO6,Ba,Hf,Sn,Ti,4.117831884
BaHfSrGeO6,Ba,Hf,Sr,Ge,6.108099686
BaHfSrSiO6,Ba,Hf,Sr,Si,7.1006223870000005
BaHfSrSnO6,Ba,Hf,Sr,Sn,6.260326191
BaHfSrTiO6,Ba,Hf,Sr,Ti,4.711382223
BaHfSrZrO6,Ba,Hf,Sr,Zr,6.459329422000001
BaHfTlNbO6,Ba,Hf,Tl,Nb,2.787349496
BaHfYAlO6,Ba,Hf,Y,Al,7.467627553
BaSnBaTiO6,Ba,Sn,Ba,Ti,4.610173391
BaSnCaSiO6,Ba,Sn,Ca,Si,3.328665599
BaSnCaSnO6,Ba,Sn,Ca,Sn,3.237558695
BaSnLaAlO6,Ba,Sn,La,Al,5.229700982
BaSnLaGaO6,Ba,Sn,La,Ga,3.753770355
BaSnLaInO6,Ba,Sn,La,In,3.824912325
BaSnLiNbO6,Ba,Sn,Li,Nb,4.9853449119999995
BaSnLiVO6,Ba,Sn,Li,V,2.187158914
BaSnMgTiO6,Ba,Sn,Mg,Ti,4.682433617
BaSnNaNbO6,Ba,Sn,Na,Nb,4.950429901000001
BaSnNaSbO6,Ba,Sn,Na,Sb,1.584677745
BaSnNaVO6,Ba,Sn,Na,V,2.182041303
BaSnSrGeO6,Ba,Sn,Sr,Ge,1.902720005
BaSnSrSnO6,Ba,Sn,Sr,Sn,2.664761815
BaSnSrTiO6,Ba,Sn,Sr,Ti,4.845106688
BaTiAgNbO6,Ba,Ti,Ag,Nb,3.238934908
BaTiCaGeO6,Ba,Ti,Ca,Ge,4.544465348999999
BaTiCaSiO6,Ba,Ti,Ca,Si,4.314413855
BaTiCaSnO6,Ba,Ti,Ca,Sn,4.63511974
BaTiCaTiO6,Ba,Ti,Ca,Ti,3.834829908
BaTiCsVO6,Ba,Ti,Cs,V,2.387688728
BaTiLaAlO6,Ba,Ti,La,Al,4.924750863
BaTiLaGaO6,Ba,Ti,La,Ga,5.227039321
BaTiLaInO6,Ba,Ti,La,In,5.084089538
BaTiLiNbO6,Ba,Ti,Li,Nb,3.463015828
BaTiLiVO6,Ba,Ti,Li,V,2.517040515
BaTiMgZrO6,Ba,Ti,Mg,Zr,5.285884852
BaTiNaNbO6,Ba,Ti,Na,Nb,3.438581234
BaTiNaSbO6,Ba,Ti,Na,Sb,3.997105561
BaTiNaVO6,Ba,Ti,Na,V,2.180167758
BaTiSnTiO6,Ba,Ti,Sn,Ti,2.851249888
BaTiSrTiO6,Ba,Ti,Sr,Ti,3.773082118
BaTiTlTaO6,Ba,Ti,Tl,Ta,2.184473305
BaTiYAlO6,Ba,Ti,Y,Al,4.942037308
BaZrAgTaO6,Ba,Zr,Ag,Ta,4.1589860010000015
BaZrBaSnO6,Ba,Zr,Ba,Sn,6.142792824
BaZrBaTiO6,Ba,Zr,Ba,Ti,4.5863499160000005
BaZrCaGeO6,Ba,Zr,Ca,Ge,5.912270768
BaZrCaSiO6,Ba,Zr,Ca,Si,6.6405902370000005
BaZrCaSnO6,Ba,Zr,Ca,Sn,6.572670735
BaZrCsNbO6,Ba,Zr,Cs,Nb,4.1333263339999995
BaZrCsTaO6,Ba,Zr,Cs,Ta,4.861702868
BaZrGaNbO6,Ba,Zr,Ga,Nb,2.741399812
BaZrGaTaO6,Ba,Zr,Ga,Ta,3.420362849
BaZrInNbO6,Ba,Zr,In,Nb,1.504016995
BaZrInTaO6,Ba,Zr,In,Ta,2.115610367
BaZrKNbO6,Ba,Zr,K,Nb,4.192233183
BaZrKSbO6,Ba,Zr,K,Sb,5.244987496
BaZrKTaO6,Ba,Zr,K,Ta,4.946851271
BaZrLaAlO6,Ba,Zr,La,Al,6.675560233
BaZrLaGaO6,Ba,Zr,La,Ga,6.8013439920000005
BaZrLaInO6,Ba,Zr,La,In,6.468202647999999
BaZrLaScO6,Ba,Zr,La,Sc,6.949118842000001
BaZrLiNbO6,Ba,Zr,Li,Nb,4.294253113
BaZrLiTaO6,Ba,Zr,Li,Ta,5.060782046
BaZrMgTiO6,Ba,Zr,Mg,Ti,5.3890812210000005
BaZrNaSbO6,Ba,Zr,Na,Sb,5.526897152999999
BaZrNaTaO6,Ba,Zr,Na,Ta,5.030675991
BaZrNaVO6,Ba,Zr,Na,V,1.958775816
BaZrPbTiO6,Ba,Zr,Pb,Ti,4.688503642
BaZrPbZrO6,Ba,Zr,Pb,Zr,5.739209581
BaZrSnHfO6,Ba,Zr,Sn,Hf,5.129425153
BaZrSnTiO6,Ba,Zr,Sn,Ti,4.11156648
BaZrSrHfO6,Ba,Zr,Sr,Hf,6.459207069
BaZrSrSiO6,Ba,Zr,Sr,Si,6.576553007999999
BaZrSrSnO6,Ba,Zr,Sr,Sn,6.428286699
BaZrTlTaO6,Ba,Zr,Tl,Ta,3.4804674280000003
CaGeAgNbO6,Ca,Ge,Ag,Nb,4.220841195
CaGeCaSiO6,Ca,Ge,Ca,Si,4.1712783589999995
CaGeCaSnO6,Ca,Ge,Ca,Sn,3.5038532210000004
CaGeCaTiO6,Ca,Ge,Ca,Ti,4.802428919
CaGeLaAlO6,Ca,Ge,La,Al,5.708900913
CaGeLaGaO6,Ca,Ge,La,Ga,4.068071283
CaGeLaInO6,Ca,Ge,La,In,4.288775178
CaGeYAlO6,Ca,Ge,Y,Al,6.231533057
CaHfAgNbO6,Ca,Hf,Ag,Nb,4.219675653
CaHfAgTaO6,Ca,Hf,Ag,Ta,5.065212369
CaHfBaSnO6,Ca,Hf,Ba,Sn,6.318267248
CaHfBaTiO6,Ca,Hf,Ba,Ti,4.891229032
CaHfBaZrO6,Ca,Hf,Ba,Zr,6.78352084
CaHfCaGeO6,Ca,Hf,Ca,Ge,6.975336372
CaHfCaSiO6,Ca,Hf,Ca,Si,7.339484884
CaHfCaSnO6,Ca,Hf,Ca,Sn,6.545899417
CaHfCaZrO6,Ca,Hf,Ca,Zr,7.0196559160000005
CaHfCsNbO6,Ca,Hf,Cs,Nb,4.18714751
CaHfCsVO6,Ca,Hf,Cs,V,2.234427829
CaHfGaNbO6,Ca,Hf,Ga,Nb,2.259002479
CaHfGaTaO6,Ca,Hf,Ga,Ta,3.12564489
CaHfInNbO6,Ca,Hf,In,Nb,1.4548589369999998
CaHfInTaO6,Ca,Hf,In,Ta,2.03089957
CaHfKSbO6,Ca,Hf,K,Sb,5.501346172000001
CaHfLaGaO6,Ca,Hf,La,Ga,7.195321372
CaHfLaInO6,Ca,Hf,La,In,6.615394048
CaHfLaScO6,Ca,Hf,La,Sc,7.2861318110000015
CaHfLiNbO6,Ca,Hf,Li,Nb,4.85855487
CaHfLiVO6,Ca,Hf,Li,V,2.9394157539999997
CaHfMgTiO6,Ca,Hf,Mg,Ti,5.7570747010000005
CaHfMgZrO6,Ca,Hf,Mg,Zr,7.657304806
CaHfNaNbO6,Ca,Hf,Na,Nb,5.09102671
CaHfNaTaO6,Ca,Hf,Na,Ta,5.899206132000001
CaHfNaVO6,Ca,Hf,Na,V,2.576282825
CaHfPbTiO6,Ca,Hf,Pb,Ti,4.343194061
CaHfRbNbO6,Ca,Hf,Rb,Nb,4.347730015
CaHfSnHfO6,Ca,Hf,Sn,Hf,5.099139427
CaHfSnTiO6,Ca,Hf,Sn,Ti,3.395877585
CaHfSrGeO6,Ca,Hf,Sr,Ge,6.296526494
CaHfSrSnO6,Ca,Hf,Sr,Sn,6.441396629
CaHfSrTiO6,Ca,Hf,Sr,Ti,5.063213848
CaHfTlNbO6,Ca,Hf,Tl,Nb,2.785946526
CaHfTlTaO6,Ca,Hf,Tl,Ta,3.488495574
CaHfYAlO6,Ca,Hf,Y,Al,8.019541754
CaSiAgNbO6,Ca,Si,Ag,Nb,3.8353089469999997
CaSiCaSnO6,Ca,Si,Ca,Sn,4.523794734
CaSiCaTiO6,Ca,Si,Ca,Ti,4.563855278999999
CaSiLaAlO6,Ca,Si,La,Al,7.763296446
CaSiLaGaO6,Ca,Si,La,Ga,5.420695949
CaSiLaInO6,Ca,Si,La,In,5.447420817999999
CaSnCaTiO6,Ca,Sn,Ca,Ti,5.021395043
CaSnLaAlO6,Ca,Sn,La,Al,5.731598265
CaSnLaGaO6,Ca,Sn,La,Ga,4.421397112
CaSnMgTiO6,Ca,Sn,Mg,Ti,5.246768531
CaSnSnTiO6,Ca,Sn,Sn,Ti,2.72801287
CaTiAgNbO6,Ca,Ti,Ag,Nb,3.399832758
CaTiLaAlO6,Ca,Ti,La,Al,5.239331703
CaTiLaGaO6,Ca,Ti,La,Ga,5.340395495
CaTiLaInO6,Ca,Ti,La,In,5.218969424
CaTiMgTiO6,Ca,Ti,Mg,Ti,4.786930752
CaTiYAlO6,Ca,Ti,Y,Al,5.421790832
CaZrAgNbO6,Ca,Zr,Ag,Nb,4.352637765
CaZrAgTaO6,Ca,Zr,Ag,Ta,5.00355801
CaZrBaSnO6,Ca,Zr,Ba,Sn,6.571947432999999
CaZrBaTiO6,Ca,Zr,Ba,Ti,4.941329535
CaZrCaGeO6,Ca,Zr,Ca,Ge,6.336280867
CaZrCaSiO6,Ca,Zr,Ca,Si,6.8915647610000015
CaZrCaSnO6,Ca,Zr,Ca,Sn,6.6880831610000016
CaZrCaTiO6,Ca,Zr,Ca,Ti,5.26054136
CaZrCsNbO6,Ca,Zr,Cs,Nb,4.287619027
CaZrCsVO6,Ca,Zr,Cs,V,2.604377392
CaZrGaNbO6,Ca,Zr,Ga,Nb,2.228163324
CaZrGaTaO6,Ca,Zr,Ga,Ta,3.014914456
CaZrInNbO6,Ca,Zr,In,Nb,1.4569442380000002
CaZrInTaO6,Ca,Zr,In,Ta,2.057918429
CaZrLaAlO6,Ca,Zr,La,Al,6.792712674
CaZrLaGaO6,Ca,Zr,La,Ga,6.915401065
CaZrLaInO6,Ca,Zr,La,In,6.732697601
CaZrLaScO6,Ca,Zr,La,Sc,7.1067118639999975
CaZrLiNbO6,Ca,Zr,Li,Nb,5.120245746
CaZrLiTaO6,Ca,Zr,Li,Ta,5.605585615
CaZrLiVO6,Ca,Zr,Li,V,3.1207995210000004
CaZrMgTiO6,Ca,Zr,Mg,Ti,5.924793527
CaZrMgZrO6,Ca,Zr,Mg,Zr,7.080509925
CaZrNaNbO6,Ca,Zr,Na,Nb,5.162790192
CaZrNaSbO6,Ca,Zr,Na,Sb,5.537664127
CaZrNaTaO6,Ca,Zr,Na,Ta,5.939519026
CaZrNaVO6,Ca,Zr,Na,V,2.457278723
CaZrPbHfO6,Ca,Zr,Pb,Hf,5.966256092999999
CaZrPbTiO6,Ca,Zr,Pb,Ti,4.496582603999999
CaZrPbZrO6,Ca,Zr,Pb,Zr,5.9217313129999996
CaZrRbNbO6,Ca,Zr,Rb,Nb,4.296312174
CaZrSnHfO6,Ca,Zr,Sn,Hf,4.966758775
CaZrSrGeO6,Ca,Zr,Sr,Ge,6.114467667
CaZrSrSiO6,Ca,Zr,Sr,Si,6.832765222999999
CaZrSrSnO6,Ca,Zr,Sr,Sn,6.724869435
CaZrSrZrO6,Ca,Zr,Sr,Zr,6.802271822000001
CaZrTlTaO6,Ca,Zr,Tl,Ta,3.399255554
CaZrYAlO6,Ca,Zr,Y,Al,7.690766218999999
CsNbAgNbO6,Cs,Nb,Ag,Nb,3.33017012
CsNbBaSnO6,Cs,Nb,Ba,Sn,4.2225063469999995
CsNbCaGeO6,Cs,Nb,Ca,Ge,3.77620684
CsNbCaSiO6,Cs,Nb,Ca,Si,3.2449872460000004
CsNbCaSnO6,Cs,Nb,Ca,Sn,4.0016578
CsNbCaTiO6,Cs,Nb,Ca,Ti,3.781984576
CsNbCsTaO6,Cs,Nb,Cs,Ta,3.431655002
CsNbGaNbO6,Cs,Nb,Ga,Nb,1.5686715219999998
CsNbGaTaO6,Cs,Nb,Ga,Ta,1.689092986
CsNbInNbO6,Cs,Nb,In,Nb,0.772474049
CsNbKNbO6,Cs,Nb,K,Nb,3.3713819989999996
CsNbKSbO6,Cs,Nb,K,Sb,3.2529532660000005
CsNbLaAlO6,Cs,Nb,La,Al,3.9705509130000003
CsNbLaGaO6,Cs,Nb,La,Ga,4.445701186
CsNbLaInO6,Cs,Nb,La,In,4.659075089
CsNbLiNbO6,Cs,Nb,Li,Nb,3.358618162
CsNbMgZrO6,Cs,Nb,Mg,Zr,5.068744498
CsNbNaNbO6,Cs,Nb,Na,Nb,3.456134098
CsNbPbHfO6,Cs,Nb,Pb,Hf,4.125761782
CsNbPbTiO6,Cs,Nb,Pb,Ti,3.806622078
CsNbPbZrO6,Cs,Nb,Pb,Zr,4.100090389
CsNbRbNbO6,Cs,Nb,Rb,Nb,3.3896819239999996
CsNbSnTiO6,Cs,Nb,Sn,Ti,2.9058316389999996
CsNbSnZrO6,Cs,Nb,Sn,Zr,3.396033234
CsNbSrGeO6,Cs,Nb,Sr,Ge,3.6176362930000003
CsNbSrSnO6,Cs,Nb,Sr,Sn,4.520872076
CsNbSrTiO6,Cs,Nb,Sr,Ti,3.8729046310000004
CsNbTlNbO6,Cs,Nb,Tl,Nb,2.10377581
CsNbYAlO6,Cs,Nb,Y,Al,3.7243498219999998
CsTaAgNbO6,Cs,Ta,Ag,Nb,3.258149897
CsTaAgTaO6,Cs,Ta,Ag,Ta,3.808143901
CsTaBaSnO6,Cs,Ta,Ba,Sn,4.584905096
CsTaBaTiO6,Cs,Ta,Ba,Ti,3.902959037
CsTaCaHfO6,Cs,Ta,Ca,Hf,4.97375148
CsTaCaSiO6,Cs,Ta,Ca,Si,4.136175518
CsTaCaSnO6,Cs,Ta,Ca,Sn,4.5236954780000005
CsTaCaTiO6,Cs,Ta,Ca,Ti,3.849509114
CsTaCaZrO6,Cs,Ta,Ca,Zr,4.972347834
CsTaCsVO6,Cs,Ta,Cs,V,2.139696775
CsTaGaNbO6,Cs,Ta,Ga,Nb,1.689655245
CsTaGaTaO6,Cs,Ta,Ga,Ta,2.1622892190000003
CsTaKNbO6,Cs,Ta,K,Nb,3.29564536
CsTaKTaO6,Cs,Ta,K,Ta,3.829263824
CsTaLaInO6,Cs,Ta,La,In,5.0390088010000005
CsTaLaScO6,Cs,Ta,La,Sc,5.224512176
CsTaLiNbO6,Cs,Ta,Li,Nb,3.3951785000000005
CsTaLiVO6,Cs,Ta,Li,V,2.351802857
CsTaMgZrO6,Cs,Ta,Mg,Zr,5.85854129
CsTaNaNbO6,Cs,Ta,Na,Nb,3.3753151760000004
CsTaNaSbO6,Cs,Ta,Na,Sb,3.85601142
CsTaNaTaO6,Cs,Ta,Na,Ta,3.8933474230000003
CsTaNaVO6,Cs,Ta,Na,V,2.0949465
CsTaPbZrO6,Cs,Ta,Pb,Zr,4.867170086000001
CsTaRbNbO6,Cs,Ta,Rb,Nb,3.239810056
CsTaRbTaO6,Cs,Ta,Rb,Ta,3.759439299
CsTaSnHfO6,Cs,Ta,Sn,Hf,3.975569031
CsTaSnTiO6,Cs,Ta,Sn,Ti,3.0666374760000004
CsTaSnZrO6,Cs,Ta,Sn,Zr,4.550292742
CsTaSrGeO6,Cs,Ta,Sr,Ge,3.981506845
CsTaSrHfO6,Cs,Ta,Sr,Hf,5.048941056
CsTaSrSiO6,Cs,Ta,Sr,Si,4.170938456
CsTaSrTiO6,Cs,Ta,Sr,Ti,3.5060112269999997
CsTaSrZrO6,Cs,Ta,Sr,Zr,4.95376077
CsTaTlTaO6,Cs,Ta,Tl,Ta,2.209663313
CsVCaGeO6,Cs,V,Ca,Ge,1.5405812159999999
CsVCaSiO6,Cs,V,Ca,Si,1.083685684
CsVCaSnO6,Cs,V,Ca,Sn,1.7975164380000002
CsVCaTiO6,Cs,V,Ca,Ti,2.424146688
CsVGaNbO6,Cs,V,Ga,Nb,0.725860475
CsVKSbO6,Cs,V,K,Sb,1.53383603
CsVLaAlO6,Cs,V,La,Al,1.6171533280000001
CsVLaGaO6,Cs,V,La,Ga,1.9296529669999998
CsVLaInO6,Cs,V,La,In,2.385279742
CsVLiVO6,Cs,V,Li,V,1.6760478719999998
CsVMgZrO6,Cs,V,Mg,Zr,2.234714469
CsVNaSbO6,Cs,V,Na,Sb,1.663055524
CsVNaVO6,Cs,V,Na,V,1.695828684
CsVSnTiO6,Cs,V,Sn,Ti,1.5316494090000001
CsVSrGeO6,Cs,V,Sr,Ge,1.535642736
CsVSrSiO6,Cs,V,Sr,Si,1.081372328
CsVSrTiO6,Cs,V,Sr,Ti,2.4028262209999998
CsVTlTaO6,Cs,V,Tl,Ta,1.04242215
CsVYAlO6,Cs,V,Y,Al,1.373149472
GaNbAgNbO6,Ga,Nb,Ag,Nb,1.455146082
GaNbBaSnO6,Ga,Nb,Ba,Sn,3.13985473
GaNbCaGeO6,Ga,Nb,Ca,Ge,2.128865476
GaNbCaSiO6,Ga,Nb,Ca,Si,1.379197283
GaNbCaSnO6,Ga,Nb,Ca,Sn,1.843996924
GaNbCaTiO6,Ga,Nb,Ca,Ti,1.4645545119999999
GaNbLaAlO6,Ga,Nb,La,Al,2.126529305
GaNbLaGaO6,Ga,Nb,La,Ga,2.674483127
GaNbLiNbO6,Ga,Nb,Li,Nb,1.4012368119999998
GaNbMgTiO6,Ga,Nb,Mg,Ti,1.202758352
GaNbMgZrO6,Ga,Nb,Mg,Zr,2.970601472
GaNbNaNbO6,Ga,Nb,Na,Nb,1.403098217
GaNbNaSbO6,Ga,Nb,Na,Sb,2.154979683
GaNbPbTiO6,Ga,Nb,Pb,Ti,1.5117214959999998
GaNbSnTiO6,Ga,Nb,Sn,Ti,1.460795557
GaNbSrGeO6,Ga,Nb,Sr,Ge,2.167031343
GaNbSrSiO6,Ga,Nb,Sr,Si,1.440511905
GaNbSrSnO6,Ga,Nb,Sr,Sn,3.271136372
GaNbSrTiO6,Ga,Nb,Sr,Ti,1.487434643
GaNbYAlO6,Ga,Nb,Y,Al,1.671893478
GaTaAgNbO6,Ga,Ta,Ag,Nb,1.784907466
GaTaBaSnO6,Ga,Ta,Ba,Sn,3.486954934
GaTaCaGeO6,Ga,Ta,Ca,Ge,2.9212067210000003
GaTaCaSiO6,Ga,Ta,Ca,Si,2.2578824109999998
GaTaCaSnO6,Ga,Ta,Ca,Sn,2.563279251
GaTaGaNbO6,Ga,Ta,Ga,Nb,1.4532596580000001
GaTaKNbO6,Ga,Ta,K,Nb,1.723389689
GaTaKSbO6,Ga,Ta,K,Sb,2.3250159669999997
GaTaLaInO6,Ga,Ta,La,In,3.4252659989999996
GaTaLaScO6,Ga,Ta,La,Sc,3.262926712
GaTaNaNbO6,Ga,Ta,Na,Nb,1.73072672
GaTaNaSbO6,Ga,Ta,Na,Sb,2.542490811
GaTaPbTiO6,Ga,Ta,Pb,Ti,1.883185973
GaTaRbNbO6,Ga,Ta,Rb,Nb,1.714869864
GaTaSnTiO6,Ga,Ta,Sn,Ti,1.835986128
GaTaSrSiO6,Ga,Ta,Sr,Si,2.327024022
GaTaSrSnO6,Ga,Ta,Sr,Sn,3.714192995
GaTaTlNbO6,Ga,Ta,Tl,Nb,1.474651584
GaTaTlTaO6,Ga,Ta,Tl,Ta,1.9669144790000002
GaTaYAlO6,Ga,Ta,Y,Al,2.555522585
GeTiAgNbO6,Ge,Ti,Ag,Nb,2.840460427
GeTiBaHfO6,Ge,Ti,Ba,Hf,4.160952852
GeTiBaSnO6,Ge,Ti,Ba,Sn,3.5525759519999998
GeTiBaZrO6,Ge,Ti,Ba,Zr,4.148723815
GeTiCaGeO6,Ge,Ti,Ca,Ge,3.248836082
GeTiCaHfO6,Ge,Ti,Ca,Hf,3.8852938530000003
GeTiCaSiO6,Ge,Ti,Ca,Si,3.563046045
GeTiCaSnO6,Ge,Ti,Ca,Sn,3.331224808
GeTiCaTiO6,Ge,Ti,Ca,Ti,3.0079969419999997
GeTiCsNbO6,Ge,Ti,Cs,Nb,3.02429532
GeTiCsTaO6,Ge,Ti,Cs,Ta,3.2540194689999997
GeTiCsVO6,Ge,Ti,Cs,V,1.834517323
GeTiGaNbO6,Ge,Ti,Ga,Nb,1.797455269
GeTiInNbO6,Ge,Ti,In,Nb,0.9890265890000001
GeTiInTaO6,Ge,Ti,In,Ta,1.143574754
GeTiKSbO6,Ge,Ti,K,Sb,3.049450929
GeTiKTaO6,Ge,Ti,K,Ta,3.408221117
GeTiLaAlO6,Ge,Ti,La,Al,4.01895421
GeTiLaGaO6,Ge,Ti,La,Ga,3.822508306
GeTiLaInO6,Ge,Ti,La,In,3.725860364
GeTiLaScO6,Ge,Ti,La,Sc,4.188933802
GeTiLiNbO6,Ge,Ti,Li,Nb,2.90126163
GeTiLiVO6,Ge,Ti,Li,V,1.4303277209999998
GeTiMgTiO6,Ge,Ti,Mg,Ti,3.1883251219999997
GeTiMgZrO6,Ge,Ti,Mg,Zr,3.893705018
GeTiNaSbO6,Ge,Ti,Na,Sb,3.04215647
GeTiNaTaO6,Ge,Ti,Na,Ta,3.398923557
GeTiNaVO6,Ge,Ti,Na,V,1.463812125
GeTiPbTiO6,Ge,Ti,Pb,Ti,3.584303518
GeTiRbNbO6,Ge,Ti,Rb,Nb,2.910860625
GeTiRbTaO6,Ge,Ti,Rb,Ta,3.33362419
GeTiSnTiO6,Ge,Ti,Sn,Ti,2.7419818639999995
GeTiSnZrO6,Ge,Ti,Sn,Zr,3.5763586010000004
GeTiSrHfO6,Ge,Ti,Sr,Hf,4.184483885
GeTiSrSiO6,Ge,Ti,Sr,Si,3.520429543
GeTiSrSnO6,Ge,Ti,Sr,Sn,3.597625931
GeTiSrTiO6,Ge,Ti,Sr,Ti,3.093917255
GeTiSrZrO6,Ge,Ti,Sr,Zr,4.1256366810000005
GeTiTlNbO6,Ge,Ti,Tl,Nb,2.289670031
GeTiTlTaO6,Ge,Ti,Tl,Ta,2.508634061
GeTiYAlO6,Ge,Ti,Y,Al,3.7010891960000003
InNbCaGeO6,In,Nb,Ca,Ge,0.796683747
InNbLaAlO6,In,Nb,La,Al,0.82273265
InNbLaGaO6,In,Nb,La,Ga,1.15967416
InNbLaInO6,In,Nb,La,In,1.7453502490000001
InNbMgTiO6,In,Nb,Mg,Ti,1.1519895470000001
InNbNaNbO6,In,Nb,Na,Nb,0.10662043
InNbNaSbO6,In,Nb,Na,Sb,0.574152511
InNbSrGeO6,In,Nb,Sr,Ge,0.7814104820000001
InNbSrSnO6,In,Nb,Sr,Sn,1.8232413230000002
InTaCaGeO6,In,Ta,Ca,Ge,1.1276207329999999
InTaCaSnO6,In,Ta,Ca,Sn,1.237723535
InTaLaAlO6,In,Ta,La,Al,1.498605746
InTaLaInO6,In,Ta,La,In,2.261798705
InTaLaScO6,In,Ta,La,Sc,2.234428288
InTaNaSbO6,In,Ta,Na,Sb,0.8181050990000001
InTaPbHfO6,In,Ta,Pb,Hf,2.199561857
InTaSnHfO6,In,Ta,Sn,Hf,2.150852251
InTaSrSiO6,In,Ta,Sr,Si,0.8238577659999999
InTaSrSnO6,In,Ta,Sr,Sn,2.094100616
InTaYAlO6,In,Ta,Y,Al,1.302498436
KNbBaSnO6,K,Nb,Ba,Sn,4.749720638
KNbBaTiO6,K,Nb,Ba,Ti,3.8177769969999997
KNbCaGeO6,K,Nb,Ca,Ge,4.509665846
KNbCaSiO6,K,Nb,Ca,Si,4.0911240960000015
KNbCaSnO6,K,Nb,Ca,Sn,4.597100149
KNbCaTiO6,K,Nb,Ca,Ti,3.518675705
KNbGaNbO6,K,Nb,Ga,Nb,1.461851147
KNbKSbO6,K,Nb,K,Sb,3.900486075
KNbLaAlO6,K,Nb,La,Al,4.47746793
