6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"GGA
Band gap (eV)"
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,0.01
AlP-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,0.0
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,0.95
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,0.0
AlSb-AlSb-AlSb-AlSb-AlSb-GaSb,0.48
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,0.01
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,0.01
AlSb-AlSb-AlSb-AlSb-CdSe-CdSe,0.0
AlSb-AlSb-AlSb-AlSb-CdSe-InAs,0.0
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,0.0
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,0.4
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,0.0
AlSb-AlSb-AlSb-AlSb-InAs-InAs,0.0
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,0.0
AlSb-AlSb-AlSb-AlSb-ZnTe-GaSb,0.01
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,0.0
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,0.02
AlSb-AlSb-AlSb-CdSe-CdSe-InAs,0.03
AlSb-AlSb-AlSb-CdSe-InAs-InAs,0.0
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,0.01
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,0.18
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,0.0
AlSb-AlSb-AlSb-GaSb-InAs-InAs,0.0
AlSb-AlSb-AlSb-InAs-InAs-InAs,0.0
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,0.01
AlSb-AlSb-AlSb-ZnTe-CdSe-InAs,0.0
AlSb-AlSb-AlSb-ZnTe-GaSb-CdSe,0.0
AlSb-AlSb-AlSb-ZnTe-GaSb-GaSb,0.0
AlSb-AlSb-AlSb-ZnTe-GaSb-InAs,0.0
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,0.01
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,0.0
AlSb-AlSb-AlSb-ZnTe-ZnTe-InAs,0.0
AlSb-AlSb-AlSb-ZnTe-ZnTe-ZnTe,0.03
AlSb-AlSb-CdSe-CdSe-CdSe-CdSe,0.0
AlSb-AlSb-CdSe-CdSe-InAs-InAs,0.0
AlSb-AlSb-CdSe-InAs-InAs-InAs,0.01
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,0.0
AlSb-AlSb-GaSb-CdSe-CdSe-InAs,0.0
AlSb-AlSb-GaSb-CdSe-InAs-InAs,0.0
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,0.01
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,0.0
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,0.07
AlSb-AlSb-GaSb-GaSb-GaSb-InAs,0.0
AlSb-AlSb-GaSb-GaSb-InAs-InAs,0.0
AlSb-AlSb-GaSb-InAs-InAs-InAs,0.0
AlSb-AlSb-InAs-InAs-InAs-InAs,0.01
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,0.02
AlSb-AlSb-ZnTe-GaSb-GaSb-CdSe,0.0
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,0.0
AlSb-AlSb-ZnTe-GaSb-InAs-InAs,0.01
AlSb-AlSb-ZnTe-InAs-InAs-InAs,0.0
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,0.0
AlSb-AlSb-ZnTe-ZnTe-CdSe-InAs,0.0
AlSb-AlSb-ZnTe-ZnTe-GaSb-CdSe,0.01
AlSb-AlSb-ZnTe-ZnTe-GaSb-GaSb,0.0
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,0.0
AlSb-AlSb-ZnTe-ZnTe-ZnTe-CdSe,0.01
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,0.01
AlSb-AlSb-ZnTe-ZnTe-ZnTe-ZnTe,0.0
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,0.03
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,0.01
AlSb-CdSe-CdSe-CdSe-InAs-InAs,0.01
AlSb-CdSe-InAs-InAs-InAs-InAs,0.0
AlSb-GaSb-CdSe-CdSe-CdSe-CdSe,0.0
AlSb-GaSb-CdSe-CdSe-CdSe-InAs,0.0
AlSb-GaSb-CdSe-CdSe-InAs-InAs,0.02
AlSb-GaSb-CdSe-InAs-InAs-InAs,0.0
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,0.0
AlSb-GaSb-GaSb-GaSb-CdSe-CdSe,0.01
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,0.01
AlSb-GaSb-GaSb-GaSb-GaSb-GaSb,0.03
AlSb-GaSb-GaSb-GaSb-GaSb-InAs,0.0
AlSb-GaSb-GaSb-GaSb-InAs-InAs,0.01
AlSb-GaSb-GaSb-InAs-InAs-InAs,0.0
AlSb-GaSb-InAs-InAs-InAs-InAs,0.0
AlSb-InAs-InAs-InAs-InAs-InAs,0.0
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,0.05
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,0.01
AlSb-ZnTe-CdSe-CdSe-InAs-InAs,0.0
AlSb-ZnTe-CdSe-InAs-InAs-InAs,0.0
AlSb-ZnTe-GaSb-CdSe-CdSe-CdSe,0.0
AlSb-ZnTe-GaSb-CdSe-CdSe-InAs,0.0
AlSb-ZnTe-GaSb-GaSb-CdSe-CdSe,0.01
AlSb-ZnTe-GaSb-GaSb-GaSb-CdSe,0.0
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,0.0
AlSb-ZnTe-GaSb-GaSb-GaSb-InAs,0.0
AlSb-ZnTe-ZnTe-CdSe-CdSe-CdSe,0.02
AlSb-ZnTe-ZnTe-CdSe-InAs-InAs,0.0
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,0.0
AlSb-ZnTe-ZnTe-GaSb-CdSe-InAs,0.0
AlSb-ZnTe-ZnTe-GaSb-GaSb-GaSb,0.01
AlSb-ZnTe-ZnTe-GaSb-GaSb-InAs,0.0
AlSb-ZnTe-ZnTe-GaSb-InAs-InAs,0.0
AlSb-ZnTe-ZnTe-InAs-InAs-InAs,0.0
AlSb-ZnTe-ZnTe-ZnTe-CdSe-CdSe,0.0
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,0.0
AlSb-ZnTe-ZnTe-ZnTe-InAs-InAs,0.01
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,0.0
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,0.0
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,0.01
BAs-BAs-BAs-BAs-BAs-BAs,1.16
BeS-BAs-BAs-BAs-BAs-BAs,0.01
BeS-BeS-BAs-BAs-BAs-BAs,0.01
BeS-BeS-BeS-BAs-BAs-BAs,0.01
BeS-BeS-BeS-BeS-BAs-BAs,0.01
BeS-BeS-BeS-BeS-BeS-BAs,0.03
BeS-BeS-BeS-BeS-BeS-BeS,3.7
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,3.31
BeSe-BeSe-BeSe-BeSe-BeSe-CuCl,0.01
BeSe-BeSe-BeSe-BeSe-BeSe-InN,0.7
BeSe-BeSe-BeSe-CuCl-CuCl-CuCl,0.02
BeSe-BeSe-BeSe-InN-InN-InN,0.0
BeSe-BeSe-CuCl-CuCl-CuCl-CuCl,0.01
BeSe-BeSe-InN-InN-InN-InN,0.01
BeSe-CuCl-CuCl-CuCl-CuCl-CuCl,0.0
BeSe-InN-InN-InN-InN-InN,0.0
BeTe-AlAs-AlAs-AlAs-AlAs-CuBr,0.0
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,0.08
BeTe-AlAs-AlAs-AlAs-AlAs-ZnSe,0.0
BeTe-AlAs-AlAs-AlAs-CuBr-CuBr,0.0
BeTe-AlAs-AlAs-AlAs-CuBr-GaAs,0.01
BeTe-AlAs-AlAs-AlAs-CuBr-ZnSe,0.0
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,0.09
BeTe-AlAs-AlAs-AlAs-ZnSe-GaAs,0.0
BeTe-AlAs-AlAs-AlAs-ZnSe-ZnSe,0.0
BeTe-AlAs-AlAs-CuBr-CuBr-CuBr,0.0
BeTe-AlAs-AlAs-CuBr-GaAs-GaAs,0.0
BeTe-AlAs-AlAs-CuBr-ZnSe-GaAs,0.01
BeTe-AlAs-AlAs-GaAs-GaAs-GaAs,0.09
BeTe-AlAs-AlAs-ZnSe-ZnSe-GaAs,0.0
BeTe-AlAs-CuBr-CuBr-CuBr-GaAs,0.01
BeTe-AlAs-CuBr-CuBr-GaAs-GaAs,0.0
BeTe-AlAs-CuBr-CuBr-ZnSe-GaAs,0.0
BeTe-AlAs-CuBr-CuBr-ZnSe-ZnSe,0.0
BeTe-AlAs-CuBr-ZnSe-GaAs-GaAs,0.0
BeTe-AlAs-CuBr-ZnSe-ZnSe-ZnSe,0.0
BeTe-AlAs-GaAs-GaAs-GaAs-GaAs,0.0
BeTe-AlAs-ZnSe-GaAs-GaAs-GaAs,0.0
BeTe-AlAs-ZnSe-ZnSe-ZnSe-GaAs,0.0
BeTe-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,0.01
BeTe-AlP-AlP-AlP-AlP-AlP,0.43
BeTe-AlP-AlP-AlP-AlP-CuBr,0.0
BeTe-AlP-AlP-AlP-AlP-ZnSe,0.0
BeTe-AlP-AlP-AlP-CuBr-CuBr,0.0
BeTe-AlP-AlP-AlP-CuBr-ZnSe,0.0
BeTe-AlP-AlP-AlP-GaP-GaP,0.25
BeTe-AlP-AlP-AlP-ZnSe-ZnSe,0.0
BeTe-AlP-AlP-CuBr-CuBr-CuBr,0.01
BeTe-AlP-AlP-CuBr-CuBr-GaP,0.01
BeTe-AlP-AlP-CuBr-CuBr-ZnSe,0.01
BeTe-AlP-AlP-CuBr-GaP-GaP,0.0
BeTe-AlP-AlP-CuBr-ZnSe-GaP,0.01
BeTe-AlP-AlP-CuBr-ZnSe-ZnSe,0.0
BeTe-AlP-AlP-GaP-GaP-GaP,0.3
BeTe-AlP-AlP-ZnSe-ZnSe-GaP,0.0
BeTe-AlP-AlP-ZnSe-ZnSe-ZnSe,0.01
BeTe-AlP-CuBr-CuBr-CuBr-ZnSe,0.0
BeTe-AlP-CuBr-CuBr-GaP-GaP,0.01
BeTe-AlP-CuBr-CuBr-ZnSe-GaP,0.01
BeTe-AlP-CuBr-GaP-GaP-GaP,0.0
BeTe-AlP-CuBr-ZnSe-GaP-GaP,0.01
BeTe-AlP-GaP-GaP-GaP-GaP,0.08
BeTe-AlP-ZnSe-ZnSe-GaP-GaP,0.01
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,0.0
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,0.39
BeTe-BeTe-AlAs-AlAs-AlAs-AlAs,0.0
BeTe-BeTe-AlAs-AlAs-AlAs-GaAs,0.0
BeTe-BeTe-AlAs-AlAs-AlAs-ZnSe,0.01
BeTe-BeTe-AlAs-AlAs-CuBr-CuBr,0.0
BeTe-BeTe-AlAs-AlAs-CuBr-GaAs,0.01
BeTe-BeTe-AlAs-AlAs-CuBr-ZnSe,0.0
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,0.0
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,0.0
BeTe-BeTe-AlAs-CuBr-CuBr-CuBr,0.0
BeTe-BeTe-AlAs-CuBr-CuBr-ZnSe,0.0
BeTe-BeTe-AlAs-CuBr-GaAs-GaAs,0.0
BeTe-BeTe-AlAs-CuBr-ZnSe-GaAs,0.0
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-AlAs-GaAs-GaAs-GaAs,0.0
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,0.0
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,0.01
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,0.07
BeTe-BeTe-AlP-AlP-AlP-AlP,0.0
BeTe-BeTe-AlP-AlP-AlP-CuBr,0.0
BeTe-BeTe-AlP-AlP-AlP-GaP,0.0
BeTe-BeTe-AlP-AlP-AlP-ZnSe,0.0
BeTe-BeTe-AlP-AlP-CuBr-CuBr,0.01
BeTe-BeTe-AlP-AlP-CuBr-ZnSe,0.0
BeTe-BeTe-AlP-AlP-GaP-GaP,0.01
BeTe-BeTe-AlP-AlP-ZnSe-GaP,0.01
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,0.01
BeTe-BeTe-AlP-CuBr-CuBr-CuBr,0.01
BeTe-BeTe-AlP-CuBr-CuBr-GaP,0.01
BeTe-BeTe-AlP-CuBr-CuBr-ZnSe,0.01
BeTe-BeTe-AlP-CuBr-GaP-GaP,0.0
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,0.0
BeTe-BeTe-AlP-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-AlP-ZnSe-GaP-GaP,0.02
BeTe-BeTe-AlP-ZnSe-ZnSe-GaP,0.01
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,0.48
BeTe-BeTe-BeTe-AlAs-AlAs-AlAs,0.0
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,0.0
BeTe-BeTe-BeTe-AlAs-CuBr-GaAs,0.01
BeTe-BeTe-BeTe-AlAs-CuBr-ZnSe,0.0
BeTe-BeTe-BeTe-AlAs-GaAs-GaAs,0.0
BeTe-BeTe-BeTe-AlAs-ZnSe-GaAs,0.05
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,0.05
BeTe-BeTe-BeTe-AlP-AlP-AlP,0.0
BeTe-BeTe-BeTe-AlP-AlP-GaP,0.01
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,0.02
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,0.01
BeTe-BeTe-BeTe-AlP-CuBr-GaP,0.01
BeTe-BeTe-BeTe-AlP-CuBr-ZnSe,0.01
BeTe-BeTe-BeTe-AlP-GaP-GaP,0.01
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,0.02
BeTe-BeTe-BeTe-BeTe-AlAs-GaAs,0.0
BeTe-BeTe-BeTe-BeTe-AlP-CuBr,0.01
BeTe-BeTe-BeTe-BeTe-AlP-GaP,0.01
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,0.46
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,0.61
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,2.25
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,0.0
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,0.47
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,0.65
BeTe-BeTe-BeTe-BeTe-BeTe-ZnSe,1.48
BeTe-BeTe-BeTe-BeTe-CuBr-CuBr,0.01
BeTe-BeTe-BeTe-BeTe-CuBr-GaAs,0.0
BeTe-BeTe-BeTe-BeTe-CuBr-GaP,0.01
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,0.01
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,0.01
BeTe-BeTe-BeTe-BeTe-GaP-GaP,0.0
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,0.08
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,0.23
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,1.21
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,0.0
BeTe-BeTe-BeTe-CuBr-CuBr-GaP,0.01
BeTe-BeTe-BeTe-CuBr-CuBr-ZnSe,0.01
BeTe-BeTe-BeTe-CuBr-GaAs-GaAs,0.0
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,0.0
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,0.0
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-BeTe-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-BeTe-GaP-GaP-GaP,0.0
BeTe-BeTe-BeTe-ZnSe-GaAs-GaAs,0.01
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,0.01
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,0.07
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,0.95
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,0.0
BeTe-BeTe-CuBr-CuBr-CuBr-GaAs,0.0
BeTe-BeTe-CuBr-CuBr-CuBr-GaP,0.01
BeTe-BeTe-CuBr-CuBr-CuBr-ZnSe,0.0
BeTe-BeTe-CuBr-CuBr-GaAs-GaAs,0.01
BeTe-BeTe-CuBr-CuBr-GaP-GaP,0.0
BeTe-BeTe-CuBr-CuBr-ZnSe-GaAs,0.0
BeTe-BeTe-CuBr-CuBr-ZnSe-GaP,0.0
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,0.0
BeTe-BeTe-CuBr-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-CuBr-ZnSe-GaAs-GaAs,0.01
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,0.0
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,0.0
BeTe-BeTe-GaAs-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-ZnSe-GaAs-GaAs-GaAs,0.01
BeTe-BeTe-ZnSe-GaP-GaP-GaP,0.01
BeTe-BeTe-ZnSe-ZnSe-GaAs-GaAs,0.01
BeTe-BeTe-ZnSe-ZnSe-GaP-GaP,0.01
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,0.01
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaP,0.01
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,0.0
BeTe-CuBr-CuBr-CuBr-CuBr-GaP,0.0
BeTe-CuBr-CuBr-CuBr-GaAs-GaAs,0.0
BeTe-CuBr-CuBr-CuBr-GaP-GaP,0.0
BeTe-CuBr-CuBr-CuBr-ZnSe-GaAs,0.0
BeTe-CuBr-CuBr-CuBr-ZnSe-GaP,0.01
BeTe-CuBr-CuBr-CuBr-ZnSe-ZnSe,0.0
BeTe-CuBr-CuBr-GaAs-GaAs-GaAs,0.0
BeTe-CuBr-CuBr-GaP-GaP-GaP,0.0
BeTe-CuBr-CuBr-ZnSe-GaAs-GaAs,0.0
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaAs,0.01
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaP,0.0
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,0.0
BeTe-CuBr-GaAs-GaAs-GaAs-GaAs,0.0
BeTe-CuBr-GaP-GaP-GaP-GaP,0.01
BeTe-CuBr-ZnSe-GaAs-GaAs-GaAs,0.0
BeTe-CuBr-ZnSe-ZnSe-GaAs-GaAs,0.01
BeTe-CuBr-ZnSe-ZnSe-GaP-GaP,0.0
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaAs,0.01
