mpid,formula,shear modulus
mp-753708,TiOF,56.57855981843254
mp-7017,NaNbN2,90.8522314938846
mp-37657,Ca3SiO5,45.03656812076184
mp-13155,Hf2Ag,53.28577432270721
mp-395,ZrAl3,82.65644842427182
mp-2542,BeO,156.14759902144118
mp-754352,Na3CuO2,26.513439482431213
mp-20452,Ba(MgPb)2,18.711475898854264
mp-866079,MgSc2Ru,17.135518230782303
mp-20369,CeIn3,34.18745418421376
mp-2287,SiRh,90.3270467024463
mp-867109,ScZn2Ag,35.473595691991264
mp-8969,Mg2Ni3P,68.85320522196184
mp-7942,NaTiS2,36.57550189370126
mp-644280,GaCuPt2,71.83756259020647
mp-866022,CdPt3,49.49572814129304
mp-555370,V(MoS2)2,70.1918629555617
mp-7926,TaSe2,14.0
mp-977218,Li2Mg,10.0
mp-2078,TiCu,61.64770863321346
mp-1029592,Li3YN2,44.26885006693672
mp-864937,Mg3Sc,21.71763892452493
mp-715262,FeO,42.67164559622465
mp-5436,FeCo2Si,90.35037204778791
mp-3103,Nb4AlC3,145.27919035806892
mp-568333,K2SnBr6,4.838819693841673
mp-1232,Mo3Pt,84.55841753538786
mp-24942,FeBiO3,20.4530786453645
mp-21440,NbCrGe,95.2485026937397
mp-864775,HoAgHg2,14.0
mp-20225,CePb3,17.778205955998377
mp-3576,HfGaCo2,77.0914961893133
mp-570287,Ta5Si3,113.57883719710031
mp-608,TiCo3,82.89608081551455
mp-11517,NbRu3,128.47826665499042
mp-684591,Al2O3,79.0
mp-10598,CuSn,34.12901434930386
mp-1029378,Mg2SbN3,58.74718510822305
mp-567981,CrGaCo2,79.47628469932488
mp-14587,ZnP4,35.22328954646297
mp-770583,MnZnO3,49.91916552698208
mp-18721,Mn2P2O7,49.30181655178356
mp-862318,LiAl2Ni,59.11175591656861
mp-4697,Zn(CrSe2)2,31.12106990199979
mp-6930,SiO2,43.78895001115738
mp-7863,Rb2Sn2O3,18.257486853053265
mp-24989,SmFeO3,80.6254651004657
mp-765851,LiVF3,8.441708255007836
mvc-5897,Zn(CuO2)2,34.214984495768014
mp-1009813,SiSn,38.03936601455442
mp-578614,NaCrO2,80.43495647266842
mp-8281,Ba(CdAs)2,26.655657195615817
mp-1590,Be12Cr,144.74548810852042
mp-2444,GaRh,63.38212897360054
mvc-6389,WO2,29.31257726612352
mp-1029469,ZnSnN2,64.95872507351817
mp-570099,RbVBr3,1.6811920803265767
mp-765184,W3O7F,99.28248665400541
mp-3553,KTeAu,16.0
mp-865523,TiMnRh2,71.94494966580086
mp-568592,ZrNCl,12.620862972059404
mp-29403,GaCuI4,4.497595479231099
mp-19009,NiO,97.57716774897423
mp-1378,LiC,28.657222498808732
mp-1009823,BeB2,63.447419777509964
mp-568806,C,88.63802710324053
mp-2151,Mg17Al12,24.0
mp-865869,Be2CuPt,57.215761104676936
mp-10885,AlCrNi2,35.363378922166184
mp-971,K2O,12.0
mp-22156,Hf2InC,91.96336337520823
mp-766906,LiVF4,31.511305253138083
mp-22212,NaSbO3,93.63896296031568
mp-22636,TaNiGe,75.0
mp-975896,PrNdTl2,17.0
mp-27255,Ga2TeS2,18.22857893060018
mp-902,BaZn,14.721481766752966
mp-2105,Hf3Si2,94.57840565981212
mp-571263,KIn9Co2,29.653268430387268
mp-5126,ZnSO4,32.028337052120136
mp-20255,TiCuSi,76.7932167826933
mp-20724,Mg2Pb,20.403063408674946
mp-18773,WO3,86.25505925312756
mp-777463,Li2FeF6,18.689059520844733
mp-547622,Pm2O3,42.0
mp-11397,Ga3Ni2,63.12057784312997
mp-865792,BeSiNi2,61.25808662468553
mp-5475,NaTaN2,96.0
mp-865433,Y2MgRu,21.20585973352113
mp-22862,NaCl,14.274682916291153
mp-971662,Si,45.479355314999076
mp-776217,MnV3O8,54.71118152935013
mp-11531,VNi2,85.64823529220186
mp-21235,Mn2VGa,82.55029345944283
mp-29152,Zr2CoP,78.08190157519869
mp-1008487,BW,185.977659257442
mp-27367,SeOF2,4.871854169858456
mp-3839,GaCuTe2,24.41096989408875
mp-1648,Al12Re,78.82177788858314
mp-1266,Na2Se,14.559740716496876
mp-12359,AgSbTe2,18.951132721384198
mp-21371,VCoSi,112.0057945917536
mp-867287,LiInAu2,29.0
mp-16755,Mg(AlS2)2,11.406730951298355
mp-13447,Zn13Rh,39.62601737205361
mp-7947,PtO,38.69823042157873
mp-19835,Nb2InC,97.0
mp-4264,K2S2O5,9.548798360765252
mp-762391,Li2(NiO2)3,48.50603719275575
mp-570081,CuI,5.586399296436273
mp-2379,CoSi2,64.0
mp-20541,V2P,102.11115793878916
mp-646507,Hf2Ni2Sn,66.17792781533585
mp-2062,LaSi2,36.0663491766436
mp-1124,MgZn2,27.49108852500713
mp-8039,AlF3,77.0
mp-1164,ThC,73.40232030151398
mp-557686,ZrVF6,32.03775865274794
mp-1702,LaRh2,44.38759864229437
mp-81,Au,19.43468113295483
mp-505780,Ge7Ir3,83.7419811782227
mp-823,TiCo,61.415967765131256
mp-1431,MnSi,141.319348431284
mp-11175,LiZnPS4,15.50135326587155
mp-27164,FeP4,112.0
mp-2254,Al2O3,102.57647542557615
mp-764372,KCoO2,29.943861792722807
mp-11252,MnAu2,29.99241119690442
mp-4180,Ca2SiO4,47.54919212128307
mp-549706,MgO,46.77260547559641
mp-13303,ErSnAu,42.0
mp-567982,TaSn2,50.63024614648521
mp-603694,Si3N4,132.63098380236556
mp-866160,Y2AgIr,31.75480963638755
mp-2663,Nb3Pt,80.2714409093751
mp-11284,CaGa2,41.059355180635755
mp-19906,Zr2InNi2,57.210482633185464
mp-20563,Ba(CoAs)2,35.541906090932564
mp-22167,Zr6Ga2Co,50.0
mp-771919,LiFeO2,94.24218372902071
mp-1670,MnPt,71.52634691117825
mp-34903,MgGeP2,31.43562361316073
mp-22204,Co2P,78.86608469534883
mp-640266,Ca3Al2O6,41.569043941165646
mp-25145,VO2,64.83418016488739
mp-567510,BaSn2,17.547684721671445
mp-16272,Ce(FeP3)4,132.02455731324494
mp-28376,CuAuF5,12.344792443210533
mp-583266,MgZn,11.896904586927151
mp-27638,NiI2,6.0
mp-757,Li3As,30.289658360243802
mp-567276,TaV2,39.49870585156121
mp-864893,NdAgHg2,16.0
mp-12137,Ca(ZnSi)2,36.05551693207136
mp-775910,ZrO2,97.0
mp-3385,Sr(PPd)2,49.58437927830178
mp-3792,YAlO3,111.44319859568917
mp-20832,Zn(InTe2)2,14.526088049978515
mp-4236,BaZnO2,32.956262198443554
mp-38394,Ba(AlTe2)2,12.760913119857054
mp-865712,Ti2MnNi,66.3742825794043
mp-7433,NaCuSe,20.20699878912032
mp-23710,MgH2,34.963698789181684
mp-9935,GeSb,24.0
mp-776083,HfSnO3,16.533341898782112
mp-863677,PmCu3,22.0
mp-2715,CoAs2,88.99848806745716
mp-27276,Si12Ni31,67.55866411662059
mp-32497,VBrO,15.944174724852786
mp-14763,Ca3MnN3,50.837357850758934
mp-647,NbS,97.2221097370853
mp-559798,NiF2,45.27254625421934
mp-6179,KLiSO4,18.52425452486521
mp-22917,CuBr,5.5402823679682145
mp-670,NbCo2,111.0
mp-15803,Y2MgSe4,19.579546033576747
mp-540924,NbTeI3,1.147074134590564
mp-972751,Si3Ge,245.2505970767704
mp-603,Be2Ag,84.0
mp-1014227,Ti2ZnN,102.576535180371
mp-864645,YbSiPt2,46.0
mp-11445,Y(TiGa2)2,59.45146539671619
mp-684602,W2C,169.44571524721903
mp-404,MnTe,22.83724619839199
mp-1597,UO2,89.31453530251171
mp-21296,PtPb4,14.0
mp-7430,Ca(CdSb)2,19.99583988313377
mp-11236,MgZnAg2,18.499800309169984
mp-2809,Sb2S3,8.947791366602749
mp-1008500,BaO,28.30340273781491
mp-24668,CsHF2,7.524965947812384
mp-1932,Nb3Os,91.0
mp-12697,Sc(MnSn)6,70.17766015947025
mp-19435,CoMoO4,51.88522429677713
mp-766,As2Ru,104.84256070689
mp-569803,B2W,223.73269547184663
mp-1021669,Ba2CuC(NO)2,12.449842767234983
mp-23275,TiCl3,2.771644928435647
mp-568002,HfI3,1.9321422377094728
mp-28786,Zn(BIr)2,110.10418317043086
mp-35539,Zn2GeSe4,21.0
mp-1104,LaMg,21.2081131139082
mp-1014013,P,1.6328709824518082
mp-997182,C,90.50057263749964
mp-769899,MgFe2O5,54.04859912135919
mp-866094,HfZnCu2,43.18902840256481
mp-571160,Tl2Pt,20.389629779201556
mp-27677,KCu4S3,18.752254288379604
mp-32994,Hf4N3,102.21246126242487
mp-2726,SrCu5,29.82161857140645
mp-2619,FeSb,54.174130472601384
mp-28150,BaNb2O6,34.57294909726943
mp-2826,Lu2S3,31.366943224625867
mp-25,N2,0.6636584768622411
mp-8280,Ba(MgAs)2,32.89076727459657
mp-7851,TaCo3,125.0
mp-4604,Li7VN4,72.21324101966006
mp-752401,Rb2ZrO3,7.73705612856679
mp-4989,CrNiAs,60.653229960982024
mp-864966,MnSiRu2,123.0
mp-4962,CoSbS,74.80295257570701
mp-9812,ZnCO3,49.28643035364478
mp-867222,LiCa2Ir,25.35260238744916
mp-5407,TiAlCo2,90.02306968676784
mp-2614,HfAl3,83.47668376009375
mp-1472,ZrB2,226.302121702607
mp-12752,Zr4Al3,76.98643330534884
mp-669918,VSnRh2,75.88543391226621
mp-984050,BiH3,14.0
mp-775808,MgO,49.0
mp-568746,Bi2Pd,18.966258215698193
mp-17639,Y2Zn17,50.835520674026405
mp-631503,ZrAlW,27.85009491073764
mp-12070,CuAs,26.256301803130498
mp-15120,RbFe2Se3,6.9118694237139175
mp-7908,Al2ZnTe4,19.0
mp-29157,Si3P2Pt,80.0
mp-2058,Ni3B,81.57548698381639
mp-16521,Al3Os2,113.41601940251915
mp-30836,TaPd3,89.27423906422204
mp-18468,Mn5SiC,114.35862023757272
mp-865026,Mn2VSi,128.0
mp-1008682,TiS2,31.36441280238457
mp-974061,KSiO3,116.0
mp-16336,Zr2Fe3Si,93.06492038676471
mp-636212,GaFe2Co,5.0
mp-16053,CuSiO3,21.031871034076588
mp-17701,Sr2NbN3,37.50321577655086
mp-458,Ti2O3,87.16059475639025
mp-728,Li2Pd,21.4148529944843
mp-1008610,AuN,31.00593831542653
mp-27456,BaBr2,7.786077430647607
mp-1029756,K3BN2,11.614343392068855
mp-556076,Sr2Co2O5,45.12580359815684
mp-862261,Sc2ZnRu,33.93303960602421
mp-13334,ZnSnO3,72.38238854873845
mp-768060,VOF,66.50731427155041
mp-4300,Yb2Si2O7,30.61737607218775
mp-13542,ZrGeTe4,11.0
mp-22426,ScSiNi,71.91415561903085
mp-19845,TiPbO3,91.05344094630341
mp-2780,Fe3Se4,51.47677244626827
mp-763469,MnCdO2,52.0
mp-865866,LiZrPt2,17.0
mp-7804,HfCo3B2,159.10880609922458
mp-1526,TiHg,48.76431779034934
mp-12532,KAg2PS4,13.361153903837938
mp-677335,GaPO4,20.24461503250029
mp-7424,BPd2,48.0
mp-675734,Li7B18O,90.25018611886722
mp-28630,Na3BN2,23.51625896252436
mp-2319,P2Os,156.5711907370109
mp-27,Si,7.055561138984655
mp-672371,Ni3Sb,49.41082258332521
mp-20791,MnVAs,55.43310120010317
mp-676011,Si,29.84447205287062
mp-2659,LiN3,13.1826384075844
mp-572283,SiO2,42.18582816200468
mp-20481,MnSnPd2,28.0
mp-999047,Ti2MnSi,9.0
mp-556075,SrDy2O4,64.0
mp-20474,MnCu2GeS4,27.0
mp-866146,LiSm2Ir,28.0
mp-999485,ZnN,22.080512940639363
mp-20059,ZrMnGe,70.0
mp-1269,SmS,40.273980117384006
mp-23184,BCl3,0.4605544159955685
mp-889,Cr3B4,210.54221415319145
mp-14568,BaMgF4,29.35561046913937
mp-1005693,Sm2InHg,17.0
mp-558432,Na3P(SO)2,14.219817038820267
mp-7857,TiB,189.76340769134555
mp-766486,LiCuS2,20.117204878063603
mp-28614,NaBPt3,35.908765294122865
mp-673245,CuI,15.0
mp-1022724,CaC4,80.00462690177689
mp-23295,RbCl,8.0
mp-15819,Mn3Al9Si,78.89560447839352
mp-48,C,95.5258952509333
mp-20531,NdCoGe,38.0
mp-540809,Zr2Fe12P7,126.68007096919321
mp-765315,FeO2F,56.14962831141837
mp-864940,Mg2PtRh,59.09670045597379
mp-20305,InAs,25.13041211082593
mp-974387,Nd2AgHg,14.0
mp-22144,Ta2InC,101.844036621407
mp-866081,MgSc2Os,25.388926665731372
mp-8307,CaNi4B,61.23773066388682
mp-571419,Zr2Al4C5,127.27792343652544
mp-867226,Li3In,12.284997269939046
mp-19147,NiCO3,68.3371531086127
mp-569875,ScBRh3,95.62551931677031
mp-3779,CrSiTe3,9.239865454484649
mp-861979,Ir2S3,86.37312428107965
mp-11328,P2W,132.4863029616192
mp-8001,LiAlO2,104.0459490841466
mp-288,PtS,34.36112459157431
mp-303,BaZn5,27.031510248829218
mp-18965,BaCoO3,28.847744849455232
mp-568961,Ba(FeAs)2,41.715351850566115
mp-568718,HfAl3,80.0
mp-21850,Fe3SnC,58.58598607955754
mp-122,Ba,5.7190133455278716
mp-864624,HoZnRh2,47.0
mp-567337,Li,7.0
mp-762915,Li2(NiO2)3,49.67240639562665
mp-11607,Si3N4,148.57474201825272
mp-16524,ScAlPd2,41.06396180346577
mp-5318,MnCoSb,56.10653625658789
mp-27839,K2TiCl6,5.315463919644863
mp-27335,NaAlSi,22.78979794029315
mp-1825,Cu2Sb,34.541360423784674
mp-13090,YMgAl,43.923593907731636
mp-7377,Ba3(AlSn)2,19.730998204503127
mp-21469,VCo2Sn,69.857723540533
mp-13149,BaAlSi,37.46235791653943
mp-1342,BaO,37.74623104194421
mp-24860,Co2P2O7,48.8605220718911
mp-5492,SrAl2O4,41.802453406042794
mp-23164,Bi2Se3,27.98724810937325
mp-12571,HfBeSi,117.76343684147496
mp-9325,Sr3MnN3,31.667198803438602
mp-567629,CsPbBr3,6.603022916434419
mp-715923,WO3,101.0802546726966
mp-867821,TaTiMn2,89.18941404407747
mp-2760,Nb6C5,161.04543050651162
mp-21462,Eu,9.9266143987854
mp-865656,TiMn2W,119.98957606761499
mp-12696,YMgPd,20.36050301292989
mp-977230,Li3Tc,12.373271979183027
mp-757100,LiCoS2,18.326169108353255
mp-559044,CuCSN,17.283009333630332
mp-24934,InFeO3,66.92281058862865
mp-9124,LiZnAs,40.055683463574155
mp-566755,NiF2,45.43070377197986
mp-29803,SiH,10.40121876969926
mp-3534,Ge2Sb2Te5,13.0
mp-556911,FeF2,33.33449186110313
mp-5489,LuTaO4,57.0
mp-1016874,SiHgO3,67.52192446819933
mp-510536,MoO2,88.7112730338202
mp-27827,Rb2TiCl6,5.3611141092985966
mp-2363,HfMo2,67.98717738148663
mp-27668,Mg2Ga5,33.0
mp-14088,Rb2PdF6,8.193622466847144
mp-571216,Sr3(AlGe2)2,31.38985369827568
mp-27512,Cr2NiS4,59.699043428315534
mp-755875,Ti3O4,88.99905525056667
mp-253,ScCo2,47.89461391651638
mp-867842,ScInRh2,72.89389029207393
mp-505000,MoCl4O,0.6029655497667902
mp-2507,GaS,10.4873688340455
mp-30151,CuAuSe4,19.01142233553489
mp-3032,RbBF4,6.7625571844817065
mp-768063,V2P2O7,62.01272410926138
mp-1491,VB2,241.2240951901656
mp-7849,AlAsO4,19.06934504360089
mp-4247,NaZnSb,12.61978299973566
mp-505215,Ba(Cu3As)2,24.04269389078255
mp-867771,TaCuRh2,51.165500366255856
mp-570276,ZrZn,47.1266700103496
mp-8372,CaSi2,34.572838107112844
mp-23339,NaBrO3,16.0
mp-24148,LiLa2HO3,73.44871420176831
mp-568509,Er(CoB)2,112.0
mp-15781,KLaS2,22.228100179704214
mp-765892,MnCoO4,22.508607621730377
mp-644229,Sr(AlH)2,36.296570010189534
mp-4626,CaCO3,32.57175025821981
mp-864906,MgSnIr2,5.568146623987573
mp-11277,ScBe5,103.69609622601072
mp-99,Er,30.0
mp-581786,Cu3Sn,39.50757643450122
mp-866088,Hf2CoTc,81.62133180073876
mp-862588,LiDy2Tc,31.0
mp-8462,Hf3Al2,64.0
mp-714976,CoO2,35.738481963585365
mp-31454,TaSbRu,70.26008037806507
mp-2420,PW,117.5741557290909
mp-29862,SnBr2,11.0
mp-865010,HfGaRu2,75.60203682939013
mp-569624,HfCr2,66.18689107290965
mp-867260,CdAgPd2,20.8379290129948
mp-9813,WS2,19.562997794269187
mp-542102,SrCoO3,70.80315398698073
mp-25693,AlFeO3,80.89179452226267
mp-866114,HfTc2W,118.98432135352414
mp-20144,NbCrP,113.85596526590194
mp-570286,BiSe,2.771762330577684
mp-764312,VOF2,22.0
mp-20001,SrSnPt,28.152866642811237
mvc-3245,Sr2FeSO3,152.34664077835762
mp-19128,CoO,33.331658859799425
mp-764277,VO2F,31.92153302590878
mp-15651,NiSe,45.130601088805854
mp-4391,MgSiO3,109.42556010656976
mp-925,VN,165.03707487011698
mp-36,Sc,21.600377965639023
mp-974558,Na,11.072712968251288
mp-761716,MnFe2O3,61.138523217879495
mp-23195,Bi2O3,23.87876769801941
mp-1023923,O2,0.9327820212458922
mp-13070,Sc2AlC,55.218164595160026
mp-861,Hf2Ni,20.270091289985288
mp-644278,Y2H2C,66.0
mp-11693,TePt,20.981889597689047
mp-570454,TaN,26.408220912151965
mp-12109,ZrRe2,66.01420108283814
mp-15252,Cu2GeS3,33.271607563899124
mp-778717,MgFeO3,59.86834002850574
mp-4076,VCoSb,55.68893667481776
mp-6986,Ta,125.4065642197735
mp-865594,Y2CuIr,38.40206119300503
mp-569157,BiI3,1.3228611882843622
mp-25385,Li(CuO2)2,43.892142496173314
mp-989695,Cu,48.473398061515844
mp-22849,BiI3,2.0
mp-2194,TiSe2,11.849753051454348
mp-2311,NbO,139.9213447673709
mp-16052,Ba(Cu2As)2,13.15801324869849
mp-776184,V3NiO8,59.701787764665696
mp-25036,YbMnO3,100.248241737285
mp-766792,MnCoO4,38.5842079295401
mp-1219,BaGa2,24.134441193983175
mp-849318,Na2FeO2,12.55513430964225
mp-20111,EuAl2,43.0
mp-20489,SrPbO3,49.80188680300189
mp-21273,FeTe,12.256894975919314
mp-22546,CoAsRh,62.77312290247366
mp-29362,GaCuCl4,5.343468127842487
mp-23054,NaBiO3,26.0
mp-1029403,RbGe2N3,83.39575341365824
mp-23178,WCl6,0.0
mp-777130,Li2FeF4,10.222466454723877
mp-675009,Y4CuTe8,24.348006473171118
mp-1604,Pt3O4,58.18149812893253
mp-11697,TaSb2,72.61498369247578
mp-753098,LiCuF2,25.113707748520586
mp-30819,LiAl2Pt,53.823127869207156
mp-7592,AgF,0.24347112194591525
mp-20033,SnIr,54.849543359206116
mp-865048,TiZnIr2,102.87101567748384
mp-865494,V2CrRu,106.03788989817828
mp-927,CuP2,50.03100818596834
mp-13119,CdO,19.0
mp-1915,Fe2B,144.90871739251742
mp-1009077,FeH,90.94029504449385
mp-979,ZrSb2,49.94670320718832
mp-24990,NdFeO3,78.86209104507192
mp-1877,HoAl3,60.0
mp-13160,YZnGe,54.320503369537604
mp-5794,Zn(GaO2)2,77.57615692371633
mp-30019,ZrCu2Te3,21.029175952174693
mp-20930,InCuO2,36.572737330255855
mp-20279,NbInSe2,20.0
mp-1725,CaZn2,24.144585364887284
mp-11176,Ca3(SiIr)4,51.45786403161046
mp-11193,VAuS2,51.65699544010511
mp-1018732,HoTe2,24.75128233708866
mp-31147,BaZnSi,31.30915029275989
mp-7090,NaMgSb,15.48822154809834
mp-20618,Y2Co3Si5,55.76847013877134
mp-10895,Mn2AlV,97.82915243956984
mp-11501,MnNi3,93.38252363158621
mp-10614,SrLiP,29.59380019028636
mp-8640,Hf,44.83651615916809
mp-17577,Ca6MnN5,38.015678638439134
mp-862543,Sc2AlTc,41.5044985638989
mp-861640,Ti2AlRe,71.71947000532839
mp-570553,FeP4,113.80659668815836
mp-11481,MoIr,174.12392608690325
mp-685146,CdTe,13.131218961917135
mp-764742,Fe2O3F,61.12932231693469
mp-980014,TmTh3,36.0
mp-19921,PbO,4.923272497412472
mp-30586,HoInCu2,32.0
mp-3104,BaZrN2,39.94102790466569
mp-9985,NbNiB,140.18259707683995
mp-540832,EuFeO3,70.1052856241877
mp-3595,ZnSiAs2,42.18925692803532
mp-19340,LiVO2,62.184921275389726
mp-1222,CrSi2,156.30897031862253
mp-1960,Li2O,69.69619084724823
mp-764562,Na2FeO3,41.8390631022395
mp-9889,GaS,9.871032675855153
mp-864597,LiMgTl2,11.255751912531354
mp-997041,NaCuO2,22.0
mp-974625,Re3Ru,188.0
mp-867840,BeFeRh2,89.47872607604782
mp-19035,BaFeO3,74.53877813445919
mp-12104,NbSi2,140.0
mp-9075,CdCuF4,30.666766676585503
mp-766917,LiVF6,15.744125942448795
mp-505540,TiAsRh,75.80780202011174
mp-12546,TiCu3,51.34093289096098
mp-11918,Ca(BeN)2,62.69313978184339
mp-12118,InCu2,13.49790012146886
mp-3635,LiBO2,29.44943403859924
mp-540988,Cs2FeO4,9.590879124763577
mp-1476,ScS,51.0
mp-864985,MnZnIr2,79.87157094892451
mp-2534,GaAs,40.84833759779973
mp-753508,LiCuS,14.852755583564115
mp-36111,LiMgP,42.93056018857472
mp-557291,BaCoF4,22.503110855833537
mp-864961,Be2PdPt,19.916466590545152
mp-754779,Li2NbS3,28.0
mp-31468,LiCaN,40.4117129955728
mp-766756,Mn2CrO4,50.02911983349181
mp-1132,CdO,45.0
mvc-6093,Zn(FeO2)2,71.94179374192917
mp-11022,ScAgO2,38.80893846769408
mvc-11561,MnO2,25.764292501567393
mp-567996,Nb5Si3,105.07306602892166
mp-1029269,Zn2MoN3,73.0
mp-1008632,V2C,90.0
mp-569535,Ca2Bi,23.0
mp-8799,RbNaS,12.0
mp-569788,LiZnGe,32.636850042497144
mp-5152,La2SiO5,43.42775624065622
mp-557873,SiO2,19.05275012246439
mp-865110,NaMgTl2,12.546393768645027
mp-504711,CoCuO2,27.0
mp-3098,AlCuO2,79.95842482840564
mp-644311,CuPt,73.75137431191298
mp-23141,Sr5P3BrO12,34.6385562206916
mp-1523,ZrP2,80.46513171887989
mp-25111,Sr3V2O7,76.49034991473704
mp-600124,MnNiSb,45.823619149402255
mp-13095,YAlNi,26.090363311333398
mp-9173,TiO2,53.87583368838862
mp-11807,LiPt,51.3497250455785
mp-971706,ZnBiO3,59.58205109553321
mp-643370,Ba2MgH6,30.0
mp-556742,GaS,10.726364415161463
mp-29754,SrLiN,28.202240242767395
mp-30661,ScGaPd2,25.308638899804226
mp-11360,ScGaCu2,30.13583941229922
mp-21467,TiCo2Sn,73.62579946493166
mp-11300,TiCdHg2,28.44757794821593
mp-30354,ScAg4,36.99441480756345
mp-23041,SbSI,3.0
mp-2343,Mg2Sn,25.848896028061407
mp-1008669,U,32.80061025121069
mp-22498,CrSb2,31.99124116256278
mp-30177,Y(Al2Cr)4,78.0
mp-8389,Na6ZnS4,14.852182404628932
mp-2451,YAl3,50.016416899974395
mp-570155,PtN2,166.30679190584763
mp-1969,NbSb2,69.28474475264976
mp-987,ZnCu,31.95540707791339
mp-2653,BN,383.2849339505248
mp-22881,CdCl2,4.160154300371527
mp-23702,LiH2N,16.638553997804074
mp-570430,TaCo2,94.0
mp-12564,LiSbAu,6.900743812572548
mp-1011375,CeSe2,48.0
mp-2250,ZrNi2,72.85715134161394
mp-12403,LiBF4,7.1310062467455415
mp-4200,ScPO4,77.63470918536548
mp-8098,InGaO3,74.1551575677903
mp-12957,O2,1.8345890581025608
mp-1477,BaSi2,18.46212107324188
mp-10228,NbSe2,15.77216412429675
mp-11580,TiCrP,123.0
mp-865231,LiScTl2,21.67769283550075
mp-19167,Rb2NiO2,11.615095836856437
mp-1009820,SnC,84.71229254567723
mp-3163,BaSnO3,89.73174989603477
mp-975794,Li3Be,8.0
mp-755877,BaNdO3,45.0
mp-568992,ZrIr,64.79463448322527
mp-568867,Si3N4,71.43744565841244
mp-22749,Mn5C2,111.57459342028795
mp-3698,SrAlSi,38.815216582168176
mp-18695,Fe15Co,76.61135652617587
mp-540789,PbI2,2.1774308657241344
mp-560236,MgF2,12.350492466259489
mp-767013,FePO4,28.0
mp-558747,TiTlPS5,4.417084052358142
mp-22609,Eu(CdP)2,34.87828797994263
mp-867253,LiZn2Ir,39.867450834273455
