"6-block periodic repeat unit
for wurtzite superlattices along the [0001] direction",c12 (GPa)
AlAs-GaAs-CdS-CdS-CdS-CdS,50.71
AlAs-GaAs-GaAs-CdS-CdS-CdS,46.47
AlAs-GaAs-GaAs-GaAs-GaAs-CdS,44.47
AlAs-GaAs-GaAs-GaAs-GaAs-GaAs,42.9
AlAs-ZnSe-GaAs-GaAs-GaAs-GaAs,41.95
AlAs-ZnSe-ZnSe-GaAs-GaAs-GaAs,56.3
AlAs-ZnSe-ZnSe-ZnSe-GaAs-GaAs,55.35
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,55.83
AlAs-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,47.26
AlN-AlN-AlN-AlN-AlN-AlN,131.85
AlN-AlN-AlN-AlN-AlN-SiC,133.6
AlN-AlN-AlN-AlN-SiC-SiC,136.67
AlN-AlN-AlN-SiC-SiC-SiC,158.24
AlN-AlN-SiC-SiC-SiC-SiC,139.07
AlN-SiC-SiC-SiC-SiC-SiC,121.32
AlP-AlP-AlP-AlP-AlP-AlP,59.03
AlP-AlP-AlP-AlP-AlP-GaP,57.65
AlP-AlP-AlP-AlP-AlP-ZnS,61.14
AlP-AlP-AlP-AlP-AlP-ZnSe,67.32
AlP-AlP-AlP-AlP-CuBr-GaP,53.31
AlP-AlP-AlP-AlP-CuBr-ZnSe,41.79
AlP-AlP-AlP-AlP-GaP-GaP,56.69
AlP-AlP-AlP-AlP-ZnSe-GaP,61.25
AlP-AlP-AlP-AlP-ZnSe-ZnSe,55.33
AlP-AlP-AlP-AlP-ZnS-GaP,62.08
AlP-AlP-AlP-AlP-ZnS-ZnS,54.66
AlP-AlP-AlP-CuBr-CuBr-ZnSe,23.63
AlP-AlP-AlP-CuBr-GaP-GaP,45.94
AlP-AlP-AlP-CuBr-ZnSe-ZnSe,49.35
AlP-AlP-AlP-GaP-GaP-GaP,56.29
AlP-AlP-AlP-ZnSe-GaP-GaP,64.77
AlP-AlP-AlP-ZnSe-ZnSe-GaP,58.82
AlP-AlP-AlP-ZnSe-ZnSe-ZnSe,52.88
AlP-AlP-AlP-ZnS-GaP-GaP,62.65
AlP-AlP-AlP-ZnS-ZnS-GaP,72.71
AlP-AlP-AlP-ZnS-ZnS-ZnS,64.85
AlP-AlP-CuBr-CuBr-CuBr-ZnSe,15.75
AlP-AlP-CuBr-GaP-GaP-GaP,49.7
AlP-AlP-CuBr-ZnSe-ZnSe-GaP,37.24
AlP-AlP-CuBr-ZnSe-ZnSe-ZnSe,27.08
AlP-AlP-GaP-GaP-GaP-GaP,55.16
AlP-AlP-ZnSe-GaP-GaP-GaP,62.69
AlP-AlP-ZnSe-ZnSe-GaP-GaP,57.16
AlP-AlP-ZnSe-ZnSe-ZnSe-GaP,58.12
AlP-AlP-ZnSe-ZnSe-ZnSe-ZnSe,49.96
AlP-AlP-ZnS-GaP-GaP-GaP,62.47
AlP-AlP-ZnS-ZnS-GaP-GaP,70.97
AlP-AlP-ZnS-ZnS-ZnS-GaP,72.44
AlP-AlP-ZnS-ZnS-ZnS-ZnS,62.62
AlP-CuBr-CuBr-ZnSe-GaP-GaP,32.2
AlP-CuBr-CuBr-ZnSe-ZnSe-GaP,25.23
AlP-CuBr-ZnSe-ZnSe-GaP-GaP,27.7
AlP-CuBr-ZnSe-ZnSe-ZnSe-GaP,44.3
AlP-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,36.47
AlP-GaP-GaP-GaP-GaP-GaP,55.78
AlP-ZnSe-ZnSe-GaP-GaP-GaP,55.64
AlP-ZnSe-ZnSe-ZnSe-GaP-GaP,55.7
AlP-ZnSe-ZnSe-ZnSe-ZnSe-GaP,53.91
AlP-ZnS-ZnS-GaP-GaP-GaP,70.5
AlP-ZnS-ZnS-ZnS-GaP-GaP,70.04
AlP-ZnS-ZnS-ZnS-ZnS-ZnS,61.71
AlSb-AlSb-AlSb-AlSb-AlSb-AlSb,33.36
AlSb-AlSb-AlSb-AlSb-AlSb-CdSe,39.71
AlSb-AlSb-AlSb-AlSb-AlSb-InAs,34.44
AlSb-AlSb-AlSb-AlSb-AlSb-ZnTe,32.39
AlSb-AlSb-AlSb-AlSb-GaSb-CdSe,37.92
AlSb-AlSb-AlSb-AlSb-GaSb-GaSb,31.44
AlSb-AlSb-AlSb-AlSb-GaSb-InAs,33.52
AlSb-AlSb-AlSb-AlSb-ZnTe-CdSe,40.53
AlSb-AlSb-AlSb-AlSb-ZnTe-InAs,28.48
AlSb-AlSb-AlSb-AlSb-ZnTe-ZnTe,39.62
AlSb-AlSb-AlSb-CdSe-CdSe-CdSe,41.15
AlSb-AlSb-AlSb-CdSe-CdSe-InAs,40.78
AlSb-AlSb-AlSb-CdSe-InAs-InAs,37.3
AlSb-AlSb-AlSb-GaSb-CdSe-CdSe,39.04
AlSb-AlSb-AlSb-GaSb-CdSe-InAs,35.34
AlSb-AlSb-AlSb-GaSb-GaSb-CdSe,36.65
AlSb-AlSb-AlSb-GaSb-GaSb-GaSb,31.25
AlSb-AlSb-AlSb-GaSb-GaSb-InAs,33.29
AlSb-AlSb-AlSb-GaSb-InAs-InAs,34.0
AlSb-AlSb-AlSb-InAs-InAs-InAs,35.01
AlSb-AlSb-AlSb-ZnTe-CdSe-CdSe,41.7
AlSb-AlSb-AlSb-ZnTe-GaSb-CdSe,39.92
AlSb-AlSb-AlSb-ZnTe-GaSb-GaSb,32.43
AlSb-AlSb-AlSb-ZnTe-ZnTe-CdSe,39.65
AlSb-AlSb-AlSb-ZnTe-ZnTe-GaSb,38.82
AlSb-AlSb-CdSe-CdSe-CdSe-InAs,36.91
AlSb-AlSb-CdSe-CdSe-InAs-InAs,39.21
AlSb-AlSb-CdSe-InAs-InAs-InAs,37.8
AlSb-AlSb-GaSb-CdSe-CdSe-CdSe,39.74
AlSb-AlSb-GaSb-GaSb-CdSe-CdSe,36.3
AlSb-AlSb-GaSb-GaSb-CdSe-InAs,32.46
AlSb-AlSb-GaSb-GaSb-GaSb-CdSe,35.07
AlSb-AlSb-GaSb-GaSb-GaSb-GaSb,28.7
AlSb-AlSb-GaSb-GaSb-InAs-InAs,32.56
AlSb-AlSb-GaSb-InAs-InAs-InAs,33.92
AlSb-AlSb-InAs-InAs-InAs-InAs,35.64
AlSb-AlSb-ZnTe-CdSe-CdSe-CdSe,43.21
AlSb-AlSb-ZnTe-CdSe-CdSe-InAs,26.39
AlSb-AlSb-ZnTe-CdSe-InAs-InAs,35.55
AlSb-AlSb-ZnTe-GaSb-CdSe-CdSe,41.85
AlSb-AlSb-ZnTe-GaSb-CdSe-InAs,36.61
AlSb-AlSb-ZnTe-GaSb-GaSb-InAs,35.03
AlSb-AlSb-ZnTe-GaSb-InAs-InAs,35.7
AlSb-AlSb-ZnTe-InAs-InAs-InAs,32.59
AlSb-AlSb-ZnTe-ZnTe-CdSe-CdSe,42.04
AlSb-AlSb-ZnTe-ZnTe-CdSe-InAs,40.95
AlSb-AlSb-ZnTe-ZnTe-GaSb-CdSe,39.84
AlSb-AlSb-ZnTe-ZnTe-GaSb-GaSb,38.44
AlSb-AlSb-ZnTe-ZnTe-GaSb-InAs,37.09
AlSb-AlSb-ZnTe-ZnTe-ZnTe-CdSe,40.02
AlSb-AlSb-ZnTe-ZnTe-ZnTe-GaSb,37.31
AlSb-CdSe-CdSe-CdSe-CdSe-CdSe,41.73
AlSb-CdSe-CdSe-CdSe-CdSe-InAs,45.34
AlSb-CdSe-InAs-InAs-InAs-InAs,35.88
AlSb-GaSb-CdSe-CdSe-CdSe-CdSe,39.4
AlSb-GaSb-CdSe-CdSe-CdSe-InAs,38.23
AlSb-GaSb-CdSe-InAs-InAs-InAs,38.12
AlSb-GaSb-GaSb-CdSe-CdSe-CdSe,36.13
AlSb-GaSb-GaSb-CdSe-CdSe-InAs,36.42
AlSb-GaSb-GaSb-GaSb-CdSe-InAs,33.05
AlSb-GaSb-GaSb-GaSb-GaSb-CdSe,32.92
AlSb-GaSb-GaSb-GaSb-GaSb-InAs,29.89
AlSb-GaSb-GaSb-GaSb-InAs-InAs,32.52
AlSb-GaSb-GaSb-InAs-InAs-InAs,28.18
AlSb-GaSb-InAs-InAs-InAs-InAs,35.92
AlSb-ZnTe-CdSe-CdSe-CdSe-CdSe,38.92
AlSb-ZnTe-CdSe-CdSe-CdSe-InAs,43.56
AlSb-ZnTe-CdSe-CdSe-InAs-InAs,41.3
AlSb-ZnTe-CdSe-InAs-InAs-InAs,40.69
AlSb-ZnTe-GaSb-CdSe-CdSe-InAs,40.5
AlSb-ZnTe-GaSb-CdSe-InAs-InAs,21.37
AlSb-ZnTe-GaSb-GaSb-CdSe-CdSe,37.92
AlSb-ZnTe-GaSb-GaSb-CdSe-InAs,39.94
AlSb-ZnTe-GaSb-GaSb-GaSb-CdSe,37.55
AlSb-ZnTe-GaSb-GaSb-GaSb-GaSb,36.07
AlSb-ZnTe-GaSb-GaSb-GaSb-InAs,34.48
AlSb-ZnTe-GaSb-GaSb-InAs-InAs,35.11
AlSb-ZnTe-GaSb-InAs-InAs-InAs,31.21
AlSb-ZnTe-ZnTe-CdSe-CdSe-CdSe,36.7
AlSb-ZnTe-ZnTe-CdSe-CdSe-InAs,30.89
AlSb-ZnTe-ZnTe-GaSb-CdSe-CdSe,40.5
AlSb-ZnTe-ZnTe-GaSb-CdSe-InAs,35.33
AlSb-ZnTe-ZnTe-GaSb-GaSb-CdSe,38.57
AlSb-ZnTe-ZnTe-GaSb-GaSb-GaSb,36.68
AlSb-ZnTe-ZnTe-ZnTe-CdSe-CdSe,34.59
AlSb-ZnTe-ZnTe-ZnTe-CdSe-InAs,39.42
AlSb-ZnTe-ZnTe-ZnTe-GaSb-GaSb,37.17
AlSb-ZnTe-ZnTe-ZnTe-GaSb-InAs,34.81
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-GaSb,37.33
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-InAs,36.06
AlSb-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,36.42
BAs-BAs-BAs-BAs-BAs-BAs,52.92
BeO-BeO-BeO-BeO-BeO-BeO,123.52
BeS-BAs-BAs-BAs-BAs-BAs,92.9
BeS-BeS-BAs-BAs-BAs-BAs,85.67
BeS-BeS-BeS-BAs-BAs-BAs,83.94
BeS-BeS-BeS-BeS-BAs-BAs,100.68
BeS-BeS-BeS-BeS-BeS-BAs,94.62
BeS-BeS-BeS-BeS-BeS-BeS,55.37
BeSe-BeSe-BeSe-BeSe-BeSe-BeSe,45.01
BeSe-BeSe-BeSe-BeSe-CuCl-CuCl,54.51
BeSe-BeSe-BeSe-BeSe-InN-InN,46.23
BeSe-BeSe-BeSe-InN-InN-InN,48.67
BeSe-BeSe-InN-InN-InN-InN,50.76
BeSe-CuCl-CuCl-CuCl-CuCl-CuCl,35.71
BeSe-InN-InN-InN-InN-InN,61.9
BeTe-AlAs-AlAs-AlAs-AlAs-GaAs,39.56
BeTe-AlAs-AlAs-AlAs-GaAs-GaAs,37.7
BeTe-AlAs-AlAs-AlAs-ZnSe-GaAs,42.23
BeTe-AlAs-AlAs-CuBr-CuBr-CuBr,34.72
BeTe-AlAs-AlAs-CuBr-CuBr-GaAs,22.31
BeTe-AlAs-AlAs-CuBr-CuBr-ZnSe,20.49
BeTe-AlAs-AlAs-ZnSe-GaAs-GaAs,43.85
BeTe-AlAs-AlAs-ZnSe-ZnSe-GaAs,43.51
BeTe-AlAs-AlAs-ZnSe-ZnSe-ZnSe,48.75
BeTe-AlAs-CuBr-CuBr-GaAs-GaAs,20.66
BeTe-AlAs-CuBr-GaAs-GaAs-GaAs,36.48
BeTe-AlAs-GaAs-GaAs-GaAs-GaAs,32.63
BeTe-AlAs-ZnSe-GaAs-GaAs-GaAs,44.03
BeTe-AlAs-ZnSe-ZnSe-GaAs-GaAs,46.44
BeTe-AlAs-ZnSe-ZnSe-ZnSe-GaAs,44.69
BeTe-AlAs-ZnSe-ZnSe-ZnSe-ZnSe,45.37
BeTe-AlP-AlP-AlP-AlP-AlP,44.9
BeTe-AlP-AlP-AlP-AlP-GaP,43.37
BeTe-AlP-AlP-AlP-CuBr-ZnSe,43.59
BeTe-AlP-AlP-AlP-GaP-GaP,43.33
BeTe-AlP-AlP-AlP-ZnSe-ZnSe,51.71
BeTe-AlP-AlP-GaP-GaP-GaP,41.47
BeTe-AlP-AlP-ZnSe-GaP-GaP,49.84
BeTe-AlP-CuBr-CuBr-CuBr-GaP,32.14
BeTe-AlP-CuBr-CuBr-CuBr-ZnSe,39.63
BeTe-AlP-CuBr-CuBr-ZnSe-GaP,16.54
BeTe-AlP-CuBr-ZnSe-ZnSe-ZnSe,40.13
BeTe-AlP-GaP-GaP-GaP-GaP,42.8
BeTe-AlP-ZnSe-GaP-GaP-GaP,48.26
BeTe-AlP-ZnSe-ZnSe-GaP-GaP,52.42
BeTe-AlP-ZnSe-ZnSe-ZnSe-GaP,45.63
BeTe-AlP-ZnSe-ZnSe-ZnSe-ZnSe,45.29
BeTe-BeTe-AlAs-AlAs-AlAs-CuBr,38.11
BeTe-BeTe-AlAs-AlAs-AlAs-GaAs,44.62
BeTe-BeTe-AlAs-AlAs-AlAs-ZnSe,50.8
BeTe-BeTe-AlAs-AlAs-GaAs-GaAs,45.77
BeTe-BeTe-AlAs-AlAs-ZnSe-GaAs,47.59
BeTe-BeTe-AlAs-AlAs-ZnSe-ZnSe,47.89
BeTe-BeTe-AlAs-CuBr-ZnSe-ZnSe,26.48
BeTe-BeTe-AlAs-ZnSe-GaAs-GaAs,43.16
BeTe-BeTe-AlAs-ZnSe-ZnSe-GaAs,42.47
BeTe-BeTe-AlAs-ZnSe-ZnSe-ZnSe,45.02
BeTe-BeTe-AlP-AlP-AlP-GaP,45.49
BeTe-BeTe-AlP-AlP-AlP-ZnSe,50.65
BeTe-BeTe-AlP-AlP-GaP-GaP,45.19
BeTe-BeTe-AlP-AlP-ZnSe-GaP,53.19
BeTe-BeTe-AlP-AlP-ZnSe-ZnSe,50.1
BeTe-BeTe-AlP-CuBr-ZnSe-GaP,33.4
BeTe-BeTe-AlP-GaP-GaP-GaP,41.78
BeTe-BeTe-AlP-ZnSe-GaP-GaP,43.58
BeTe-BeTe-AlP-ZnSe-ZnSe-GaP,44.19
BeTe-BeTe-AlP-ZnSe-ZnSe-ZnSe,43.27
BeTe-BeTe-BeTe-AlAs-AlAs-GaAs,42.16
BeTe-BeTe-BeTe-AlAs-AlAs-ZnSe,45.04
BeTe-BeTe-BeTe-AlAs-CuBr-CuBr,45.65
BeTe-BeTe-BeTe-AlAs-GaAs-GaAs,40.5
BeTe-BeTe-BeTe-AlAs-ZnSe-ZnSe,43.49
BeTe-BeTe-BeTe-AlP-AlP-AlP,45.99
BeTe-BeTe-BeTe-AlP-AlP-GaP,44.91
BeTe-BeTe-BeTe-AlP-AlP-ZnSe,43.93
BeTe-BeTe-BeTe-AlP-CuBr-CuBr,38.33
BeTe-BeTe-BeTe-AlP-CuBr-GaP,41.43
BeTe-BeTe-BeTe-AlP-GaP-GaP,41.99
BeTe-BeTe-BeTe-AlP-ZnSe-GaP,41.41
BeTe-BeTe-BeTe-AlP-ZnSe-ZnSe,41.81
BeTe-BeTe-BeTe-BeTe-AlAs-AlAs,44.36
BeTe-BeTe-BeTe-BeTe-AlAs-CuBr,42.07
BeTe-BeTe-BeTe-BeTe-AlAs-GaAs,43.35
BeTe-BeTe-BeTe-BeTe-AlAs-ZnSe,41.01
BeTe-BeTe-BeTe-BeTe-AlP-AlP,45.13
BeTe-BeTe-BeTe-BeTe-AlP-CuBr,41.49
BeTe-BeTe-BeTe-BeTe-AlP-GaP,41.87
BeTe-BeTe-BeTe-BeTe-AlP-ZnSe,37.53
BeTe-BeTe-BeTe-BeTe-BeTe-AlAs,33.76
BeTe-BeTe-BeTe-BeTe-BeTe-AlP,31.46
BeTe-BeTe-BeTe-BeTe-BeTe-BeTe,33.76
BeTe-BeTe-BeTe-BeTe-BeTe-CuBr,41.41
BeTe-BeTe-BeTe-BeTe-BeTe-GaAs,31.56
BeTe-BeTe-BeTe-BeTe-BeTe-GaP,30.59
BeTe-BeTe-BeTe-BeTe-CuBr-GaP,31.71
BeTe-BeTe-BeTe-BeTe-CuBr-ZnSe,28.13
BeTe-BeTe-BeTe-BeTe-GaAs-GaAs,38.05
BeTe-BeTe-BeTe-BeTe-GaP-GaP,39.57
BeTe-BeTe-BeTe-BeTe-ZnSe-GaAs,35.05
BeTe-BeTe-BeTe-BeTe-ZnSe-GaP,35.42
BeTe-BeTe-BeTe-BeTe-ZnSe-ZnSe,35.26
BeTe-BeTe-BeTe-CuBr-CuBr-CuBr,15.3
BeTe-BeTe-BeTe-CuBr-CuBr-GaAs,20.3
BeTe-BeTe-BeTe-CuBr-GaAs-GaAs,29.99
BeTe-BeTe-BeTe-CuBr-GaP-GaP,29.5
BeTe-BeTe-BeTe-CuBr-ZnSe-GaAs,25.62
BeTe-BeTe-BeTe-CuBr-ZnSe-GaP,25.94
BeTe-BeTe-BeTe-CuBr-ZnSe-ZnSe,30.04
BeTe-BeTe-BeTe-GaP-GaP-GaP,40.22
BeTe-BeTe-BeTe-ZnSe-GaAs-GaAs,38.64
BeTe-BeTe-BeTe-ZnSe-GaP-GaP,42.17
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaAs,35.89
BeTe-BeTe-BeTe-ZnSe-ZnSe-GaP,37.51
BeTe-BeTe-BeTe-ZnSe-ZnSe-ZnSe,37.06
BeTe-BeTe-CuBr-CuBr-CuBr-CuBr,13.65
BeTe-BeTe-CuBr-CuBr-CuBr-GaAs,24.73
BeTe-BeTe-CuBr-CuBr-GaP-GaP,34.39
BeTe-BeTe-CuBr-CuBr-ZnSe-ZnSe,16.22
BeTe-BeTe-CuBr-GaAs-GaAs-GaAs,33.02
BeTe-BeTe-CuBr-GaP-GaP-GaP,29.68
BeTe-BeTe-CuBr-ZnSe-GaAs-GaAs,4.85
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaAs,27.6
BeTe-BeTe-CuBr-ZnSe-ZnSe-GaP,26.47
BeTe-BeTe-CuBr-ZnSe-ZnSe-ZnSe,26.32
BeTe-BeTe-GaP-GaP-GaP-GaP,44.0
BeTe-BeTe-ZnSe-GaP-GaP-GaP,41.46
BeTe-BeTe-ZnSe-ZnSe-GaAs-GaAs,42.19
BeTe-BeTe-ZnSe-ZnSe-GaP-GaP,46.21
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaAs,38.93
BeTe-BeTe-ZnSe-ZnSe-ZnSe-GaP,41.14
BeTe-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,39.55
BeTe-CuBr-CuBr-CuBr-CuBr-CuBr,19.83
BeTe-CuBr-CuBr-CuBr-CuBr-GaAs,27.23
BeTe-CuBr-CuBr-CuBr-CuBr-GaP,23.81
BeTe-CuBr-CuBr-CuBr-CuBr-ZnSe,31.46
BeTe-CuBr-CuBr-CuBr-GaAs-GaAs,32.86
BeTe-CuBr-CuBr-CuBr-GaP-GaP,30.49
BeTe-CuBr-CuBr-CuBr-ZnSe-GaAs,24.65
BeTe-CuBr-CuBr-CuBr-ZnSe-ZnSe,40.05
BeTe-CuBr-CuBr-ZnSe-GaAs-GaAs,13.03
BeTe-CuBr-CuBr-ZnSe-GaP-GaP,31.74
BeTe-CuBr-CuBr-ZnSe-ZnSe-GaP,2.87
BeTe-CuBr-CuBr-ZnSe-ZnSe-ZnSe,27.84
BeTe-CuBr-GaAs-GaAs-GaAs-GaAs,44.28
BeTe-CuBr-GaP-GaP-GaP-GaP,42.23
BeTe-CuBr-ZnSe-ZnSe-GaAs-GaAs,32.57
BeTe-CuBr-ZnSe-ZnSe-GaP-GaP,25.2
BeTe-CuBr-ZnSe-ZnSe-ZnSe-GaAs,18.43
BeTe-GaAs-GaAs-GaAs-GaAs-GaAs,35.62
BeTe-GaP-GaP-GaP-GaP-GaP,42.42
BeTe-ZnSe-GaAs-GaAs-GaAs-GaAs,47.39
BeTe-ZnSe-ZnSe-GaAs-GaAs-GaAs,49.71
BeTe-ZnSe-ZnSe-ZnSe-GaAs-GaAs,41.71
BeTe-ZnSe-ZnSe-ZnSe-GaP-GaP,41.02
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,42.72
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-GaP,42.73
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,40.45
BN-BN-BN-BN-BN-BN,134.63
BP-BP-BP-BP-BP-BP,58.18
BP-BP-BP-BP-BP-GaN,84.07
BP-BP-BP-BP-ZnO-ZnO,97.13
BP-BP-BP-ZnO-ZnO-ZnO,111.73
BP-BP-ZnO-ZnO-ZnO-ZnO,117.76
BP-GaN-GaN-GaN-GaN-GaN,144.2
CdS-CdS-CdS-CdS-CdS-CdS,49.21
CdS-CdS-CdS-CdS-CdS-InP,49.76
CdS-CdS-CdS-CdS-InP-InP,50.61
CdSe-CdSe-CdSe-CdSe-CdSe-CdSe,40.32
CdSe-CdSe-CdSe-CdSe-CdSe-InAs,31.01
CdSe-CdSe-CdSe-CdSe-InAs-InAs,42.23
CdSe-CdSe-CdSe-CdSe-InP-InP,41.0
CdSe-CdSe-CdSe-InAs-InAs-InAs,23.2
CdSe-CdSe-CdSe-InP-InP-InP,45.15
CdSe-CdSe-InAs-InAs-InAs-InAs,43.22
CdSe-CdSe-InP-InP-InP-InP,44.61
CdSe-InAs-InAs-InAs-InAs-InAs,37.48
CdSe-InP-InP-InP-InP-InP,42.81
CdS-InP-InP-InP-InP-InP,45.97
CdTe-CdTe-CdTe-CdTe-CdTe-CdTe,29.37
CdTe-CdTe-CdTe-InSb-InSb-InSb,34.4
CdTe-CdTe-InSb-InSb-InSb-InSb,9.21
CdTe-InSb-InSb-InSb-InSb-InSb,29.64
CuBr-CuBr-CuBr-CuBr-CuBr-CuBr,34.85
CuBr-CuBr-CuBr-CuBr-CuBr-ZnSe,15.0
CuBr-CuBr-CuBr-CuBr-ZnSe-GaP,30.32
CuBr-CuBr-CuBr-ZnSe-GaAs-GaAs,41.84
CuBr-CuBr-CuBr-ZnSe-GaP-GaP,27.79
CuBr-CuBr-CuBr-ZnSe-ZnSe-ZnSe,23.85
CuBr-CuBr-GaAs-GaAs-GaAs-GaAs,35.03
CuBr-CuBr-ZnSe-ZnSe-ZnSe-ZnSe,40.41
CuBr-GaAs-GaAs-GaAs-GaAs-GaAs,31.27
CuBr-GaP-GaP-GaP-GaP-GaP,44.03
CuBr-ZnSe-ZnSe-GaAs-GaAs-GaAs,38.31
CuBr-ZnSe-ZnSe-ZnSe-GaAs-GaAs,37.59
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaAs,34.37
CuBr-ZnSe-ZnSe-ZnSe-ZnSe-GaP,34.78
CuCl-CuCl-CuCl-CuCl-CuCl-CuCl,30.91
CuCl-CuCl-CuCl-CuCl-ZnS-ZnS,19.79
CuCl-CuCl-CuCl-ZnS-ZnS-ZnS,40.16
CuCl-CuCl-ZnS-ZnS-ZnS-ZnS,50.77
CuCl-ZnS-ZnS-ZnS-ZnS-ZnS,52.97
CuI-CdS-CdS-CdS-CdS-CdS,37.01
CuI-CdS-CdS-CdS-CdS-InP,32.21
CuI-CdSe-CdSe-CdSe-CdSe-CdSe,31.89
CuI-CdSe-CdSe-CdSe-CdSe-InP,29.36
CuI-CdSe-CdSe-CdSe-InP-InP,26.71
CuI-CdSe-CdSe-InP-InP-InP,34.29
CuI-CdS-InP-InP-InP-InP,31.8
CuI-CuI-CdS-CdS-CdS-CdS,20.68
CuI-CuI-CdS-CdS-InP-InP,33.99
CuI-CuI-CdSe-CdSe-CdSe-InP,17.94
CuI-CuI-CdSe-CdSe-InP-InP,27.66
CuI-CuI-CdSe-InP-InP-InP,22.23
CuI-CuI-CdS-InP-InP-InP,27.5
CuI-CuI-CuI-CdSe-CdSe-InP,23.01
CuI-CuI-CuI-CuI-CdS-CdS,15.5
CuI-CuI-CuI-CuI-CdSe-InP,1.51
CuI-CuI-CuI-CuI-CuI-CuI,32.56
CuI-CuI-CuI-CuI-CuI-InP,35.85
CuI-CuI-ZnTe-CdSe-CdSe-CdSe,29.13
CuI-CuI-ZnTe-CdSe-CdSe-InP,27.36
CuI-CuI-ZnTe-CdSe-InP-InP,23.76
CuI-CuI-ZnTe-ZnTe-CdSe-CdSe,23.14
CuI-CuI-ZnTe-ZnTe-ZnTe-CdSe,27.21
CuI-ZnTe-CdSe-CdSe-CdSe-InP,25.84
CuI-ZnTe-CdSe-CdSe-InP-InP,23.42
CuI-ZnTe-CdSe-InP-InP-InP,20.64
CuI-ZnTe-ZnTe-CdSe-CdSe-InP,27.0
CuI-ZnTe-ZnTe-InP-InP-InP,29.13
