MP-ID,System,G_Reuss
mp-20790,InPS4,10
mp-672645,TiSiRh,87
mp-1251,VRh,88
mp-16524,ScAlPd2,40
mp-10086,YSF,53
mp-5962,NaMgAs,19
mp-865490,V2CrFe,100
mp-2480,OsSe2,103
mp-989579,Rb2LiTlCl6,10
mp-7739,Ba2ZnF6,23
mp-865888,TiSnRu2,108
mp-862431,Sc2AgOs,45
mp-558781,ScTaO4,69
mp-865868,LiZrRh2,46
mp-7918,HfGeS,81
mp-867137,ScVRu2,85
mp-4152,Ga2CoS4,26
mp-865866,LiZrPt2,11
mp-2831,FePd,70
mp-20935,ZrSnIr,64
mp-867156,ScGaRu2,66
mp-7632,NiMoP,94
mp-8150,Ba(CdSb)2,17
mp-865928,Ti2TcPt,75
mp-861629,LiMnPd2,26
mp-20983,V2InC,103
mp-1682,ZrAs,60
mp-22232,TlInSe2,10
mp-862600,Be2RhPt,110
mp-864883,MgSnPd2,14
mp-779948,ZrMnO3,67
mp-4475,Tl(CoSe)2,19
mp-4756,ZnSnSb2,22
mp-10894,MnAlRh2,91
mp-20905,OsS2,134
mp-650,Be5Pd,131
mp-862546,Sc2AlRu,33
mp-7066,ScNiGe,61
mp-862710,Sc2CdTc,28
mp-21471,LiFeAs,39
mp-550908,SrHfO3,97
mp-772245,CrPtO2,74
mp-12623,BaPdF4,14
mp-3700,LiYF4,29
mp-760439,TaTiO4,84
mp-15649,As2Ir,92
mp-865131,Hf2OsRh,37
mp-4474,V4GaS8,46
mp-10469,NbSiPt,79
mp-19420,Sr2MgWO6,71
mp-1474,Re3P4,133
mp-2260,FePt,86
mp-15322,ScSiCu,75
mp-2682,Sb2Rh,54
mp-11808,ScNi4Sn,53
mp-30726,YHg3,18
mp-22151,BaGePt,22
mp-4343,Sr(MnAs)2,29
mp-11957,CaSn2Ir,35
mp-17518,Sr2TaN3,36
mp-22731,MnInNi2,11
mp-1009083,MgSnP2,25
mp-1001019,Mg(ScSe2)2,18
mp-9743,SrAsPd,26
mp-28614,NaBPt3,19
mp-4175,ZnSnP2,37
mp-32407,TaVO5,43
mp-22811,InCuSe2,20
mp-862723,ScTc2Mo,73
mp-15777,Zn(GaTe2)2,18
mp-769889,TaFeO4,81
mp-862257,Sc2ZnAu,40
mp-865803,Ti2MoPt,88
mp-30722,ScHg3,20
mp-862297,LiAlRh2,64
mp-23736,LiMgH3,32
mp-1014252,Hf3ZnN,88
mp-3721,SrHfO3,93
mp-8630,SbIrS,84
mp-22565,MnSiRh,67
mp-570074,Sc3IrC4,121
mp-865966,BeAlIr2,124
mp-4992,ScCrC2,131
mp-22027,MnSnAu,17
mp-9225,ScSiPt,57
mp-10911,Sc2Al3Ru,66
mp-6613,Ba2YTaO6,79
mp-30151,CuAuSe4,15
mp-7090,NaMgSb,15
mp-12961,YAlPd,11
mp-12595,MoRh,132
mp-16349,LiNi2Ge,13
mp-557233,AlTlF4,16
mp-23183,NdCl3,17
mp-23179,NiBi3,10
mp-11273,Be3Nb,125
mp-10125,SbIr,56
mp-554107,K2Na4Ge2O7,23
mp-541487,TlPt2Se3,10
mp-8608,K(Cu2As)2,14
mp-867769,ScZnRh2,59
mp-4573,TlSbTe2,15
mp-8401,CsMgF3,34
mp-30438,Be2Cr,157
mp-15987,Hf3(SiCu2)2,76
mp-24151,DyH2,45
mp-9166,MgCN2,23
mp-15724,KNa2Sb,12
mp-643718,BaMgH4,25
mp-867270,Be2CoPt,110
mp-865809,TiTc2Sb,91
mp-865912,LiZn2Rh,19
mp-16266,CaZnSi,40
mp-4593,Mn3AlC,125
mp-866094,HfZnCu2,35
mp-862655,Ru3W,162
mp-8732,Ta2Se,10
mp-862261,Sc2ZnRu,31
mp-570677,Ba5Al5Sn,18
mp-30774,MgNi2Sn,36
mp-769933,NiHgO2,14
mp-4091,Ni2Mo3N,139
mp-16719,Al12Tc,74
mp-777413,CeScO3,74
mp-22227,ZrMnSi,75
mp-10969,CdCN2,21
mp-8578,Sc3InC,82
mp-862338,Sc2CuRu,45
mp-867927,LiVIr2,110
mp-867110,Sc2CoOs,63
mp-867748,ScSnRu2,78
mp-2894,ScSnAu,41
mp-19722,MnCu2SnS4,22
mp-10873,ScAlAu2,21
mp-12137,Ca(ZnSi)2,35
mp-30312,Ca2SiIr2,38
mp-772246,TaVO4,87
mp-27768,Co(BW)3,201
mp-772231,RbCrO2,63
mp-865234,TaZnRu2,79
mp-15776,Zn(GaSe2)2,22
mp-12533,La2Hf2O7,89
mp-19405,Ni(AgO)2,26
mp-864672,NbSiTc2,86
mp-697030,Mg2H6Ru,53
mp-14983,Si4P4Ru,82
mp-19734,MgPbF6,18
mp-7482,RbHgF3,13
mp-637614,Zn3(InS3)2,19
mp-10457,HfSiPd,91
mp-553243,YBi2BrO4,30
mp-5529,MnFe2Si,77
mp-3587,Sc(SiNi)2,61
mp-764061,Na6CoO4,25
mp-2252,ScB2,193
mp-15780,MgPPt5,71
mp-865497,V2ReOs,144
mp-20180,Mn3GeC,115
mp-865678,TiMn2V,76
mp-867779,Ta2CrFe,92
mp-4124,CaCN2,17
mp-2354,Ti3Hg,67
mp-11275,Be2Re,173
mp-3657,TiCo2Si,81
mp-861672,Ti2FeIr,72
mp-7849,AlAsO4,18
mp-601285,MnGaNi2,53
mp-864932,Mg2AgPt,24
mp-862370,Sc2RuPd,54
mp-31011,Y2Si2Rh,62
mp-866160,Y2AgIr,32
mp-30661,ScGaPd2,18
mp-865793,LiSc2Rh,29
mp-4563,Ti3TlC,82
mp-865506,VSiOs2,126
mp-865869,Be2CuPt,47
mp-552934,Ba2CuBrO2,14
mp-610972,MnGePd,29
mp-8418,ZrCoP,114
mp-582360,TaPd3,74
mp-20557,YSiNi,60
mp-7823,V2NiSe4,42
mp-12561,TaAs2,94
mp-989512,LiTl2InCl6,10
mp-553946,CoAsS,92
mp-754134,HfZrO4,82
mp-4182,CrAgS2,24
mp-976334,Li3Tc,14
mp-582736,Eu(MgSb)2,26
mp-22444,Ta4FeP,101
mp-23797,LiH6ClO7,10
mp-34467,Zn(GaS2)2,26
mp-672254,CaPdPb,24
mp-12952,HfGaAu,61
mp-864650,Ta2OsW,131
mp-6606,SrYSi4N7,101
mp-571499,TaIr,92
mp-20354,MgMnGe,48
mp-865876,Ti2TcOs,99
mp-11806,LiMgSnPt,32
mp-864640,Ta2NbIr,105
mp-569628,CaCdAu,18
mp-20337,ZrPbO3,43
mp-8973,NaSi2N3,113
mp-11560,TiSiRu,102
mp-755478,CdBiO3,31
mp-5549,MgSnAu,22
mp-16905,Ba2MnTe3,15
mp-4678,Zr2AlN,93
mp-505540,TiAsRh,75
mp-776205,Hf2N2O,68
mp-979435,YMg2Sc,22
mp-866173,Y2RuRh,46
mp-7429,Ca(ZnSb)2,17
mp-20618,Y2Co3Si5,46
mp-9942,Ti2FeS4,55
mp-2695,Sb2Os,83
mp-8842,CaSiPd,31
mp-1252,ZrBe2,92
mp-8487,CaSbPt,34
mp-540719,PbWO4,19
mp-10266,ZnFe3C,102
mp-3390,Y(SiCu)2,74
mp-11388,GaIr,67
mp-10405,Yb(AlSi)2,41
mp-865898,TiZnCo2,87
mp-865665,TiReTc2,123
mp-4238,MnFeAs,69
mp-31171,Zn2AgAu,17
mp-30981,Te(HO)6,17
mp-15722,Fe2B4Mo,172
mp-753798,Rb2SnO3,10
mp-557680,NbAgO3,26
mp-3216,Li2ZrN2,110
mp-265,TaIr3,208
mp-1890,BMo,199
mp-19210,CoPtO2,51
mp-9956,AlCr2C,133
mp-865717,Ti2ReIr,116
mp-676828,ZnCuAs,21
mp-31160,CaZnSn,35
mp-864919,MgTiRh2,77
mp-571039,CaAlPd,25
mp-867761,Sc2CoRu,58
mp-13314,ScTlTe2,18
mp-10284,YSi3Ni,85
mp-568402,Sr(SiPd)2,41
mp-29175,Ca2AuN,31
mp-865681,TiSiRu2,129
mp-6353,Y2Si4CN6,99
mp-864645,YbSiPt2,44
mp-30028,YSi2Rh3,98
mp-29374,KGaSb4,13
mp-7908,Al2ZnTe4,18
mp-7601,NbGaO4,58
mp-865444,LiSc2Pt,36
mp-864940,Mg2RhPt,56
mp-862365,Sc2OsPd,61
mp-31625,Cr2ReO6,94
mp-1135,NbPd3,79
mp-568992,ZrIr,62
mp-973966,LiIn(IO3)4,19
mp-753192,Yb4Sb2O,35
mp-20586,VCo2Si,48
mp-12678,TaMn2,88
mp-2348,Zr2Au,41
mp-30737,YMgAg,13
mp-10322,BaHfN2,39
mp-4056,CaSc2O4,81
mp-5387,YNbO4,47
mp-862712,Sc2CoIr,66
mp-613327,Fe(BW)2,168
mp-14796,KPt2Se3,10
mp-7080,Li5(NiN)3,33
mp-582011,CeCl3,15
mp-16297,Sc3SnC,81
mp-11283,ZrBe5,106
mp-11917,Mg(BeN)2,163
mp-7443,Nb2CrSe4,45
mp-30460,YNiBi,47
mp-867821,TaTiMn2,84
mp-867846,TaTiRe2,117
mp-867243,Sc2ZnOs,43
mp-731,Mg3Hg,12
mp-4492,MnCo2Si,101
mp-7559,YNi4B,75
mp-2920,LaAlO3,101
mp-570835,NiHg4,27
mp-9177,Y2Al3Si2,63
mp-839,V3Au,67
mp-7377,Ba3(AlSn)2,19
mp-22418,Sr3(SnIr)4,32
mp-8409,KYO2,47
mp-16497,ScAlCu2,40
mp-4081,TaCu3Se4,21
mp-862609,ScReTc2,107
mp-10161,KZnSb,13
mp-861912,TaTiTc2,99
mp-29623,SrZnBi2,16
mp-35397,Bi2WO8,34
mp-754165,ScGaO3,82
mp-10259,Zr(NiP)2,53
mp-555307,Ba2CoF6,25
mp-542435,Li3ScN2,58
mp-10676,Sc2AlSi2,72
mp-644264,Ca4Mg4Fe3H22,44
mp-676058,V3NiS6,33
mp-8458,BaAsPt,22
mp-18919,CoPdO2,22
mp-10670,Ca3(AlGe)2,33
mp-558838,NiPtF6,22
mp-19928,Hf2CuSb3,44
mp-34169,Zn(InSe2)2,16
mp-8439,Ca5(AlSb3)2,23
mp-19929,MgInNi2,29
mp-20320,InTe,11
mp-7929,Rb2PtS2,15
mp-866162,YMgAg2,13
mp-1006146,Eu(MgBi)2,21
mp-16363,CoAsS,102
mp-644278,Y2H2C,66
mp-4628,ZrSiSe,48
mp-3201,Li2GaPd,16
mp-2395,Sb3Rh,51
mp-865840,Ti2TcIr,113
mp-2449,NbRh3,142
mp-28024,YSiPd2,49
mp-866143,TiBeRh2,93
mp-14763,Ca3MnN3,50
mp-7400,NaAlGe,20
mp-11366,ZrZnCu2,39
mp-11350,CaAl9Co2,55
mp-6812,KBaPO4,26
mp-31153,CaGePt,35
mp-864684,Hf2MoIr,80
mp-2677,ScPd3,50
mp-31456,HfSbRu,47
mp-8188,KScO2,59
mp-2752,Nb3Au,55
mp-12951,ZrGaAu,61
mp-8818,Ca2ZnN2,42
mp-556424,RbVF3,34
mp-19167,Rb2NiO2,11
mp-567769,Ca(SiPd)2,39
mp-864639,Ta2NbOs,103
mp-9570,Ca(CdP)2,34
mp-867897,ScTaRu2,98
mp-23121,Sr5P3ClO12,36
mp-3701,Sc(Al2Fe)4,84
mp-5590,YMgGa,46
mp-5407,TiAlCo2,86
mp-22313,Na2PtO2,20
mp-865231,LiScTl2,21
mp-1545,Nb3Rh,83
mp-568137,Cs3Mg2Cl7,10
mp-19963,TiFe2Sn,106
mp-1120,Mo3Ir,102
mp-5478,TlPd3O4,37
mp-4276,NaSi2Pd3,44
mp-865495,V2CrTc,97
mp-569989,Nb2C,114
mp-28770,Ca2FeN2,39
mp-10180,Li2SbPd,18
mp-11537,NbAlRu2,117
mp-7573,Co(BW)2,204
mp-8994,Rb2NbF6,11
mp-864920,MgZrAu2,28
mp-31168,Li2AlAg,12
mp-625094,Cd(HO)2,19
mp-9744,BaAsPd,24
mp-27660,Ba(FeS2)2,15
mp-30365,BeAu,41
mp-7486,BaNiS2,25
mp-23034,SrZnCl4,12
mp-38194,YOF,60
mp-542903,ZrPbO3,61
mp-11169,Ba(PIr)2,42
mp-571343,Cs(CoSe)2,25
mp-867794,Sc2CuIr,41
mp-570689,CaInPt,25
mp-443,CaAu2,12
mp-30410,Mn2Au5,27
mp-867842,ScInRh2,73
mp-5176,Y(SiNi)2,68
mp-22759,CoBW,189
mp-19247,ScVO4,18
mp-20395,VAsRh,75
mp-21236,BaPPt,30
mp-10057,VCoB3,203
mp-866161,VRh3,125
mp-865533,Ti2ReOs,108
mp-865010,HfGaRu2,75
mp-5920,LiAlGe,51
mp-581733,Zr4CuP,47
mp-22980,Li2CoCl4,14
mp-675464,CdIn2O4,39
mp-862657,LiCuPd2,36
mp-30461,BiPd2Pb,23
mp-29641,GeSb4Te7,12
mp-862778,AlSiRu2,111
mp-977230,Li3Tc,12
mp-4076,VCoSb,55
mp-24990,NdFeO3,78
mp-862664,Rb2Zr2O5,35
mp-13572,ScSiPt2,67
mp-10010,Al(CoSi)2,94
mp-4370,Sr(AsPd)2,32
mp-865664,TiRe2W,145
mp-21907,NbSiAs,103
mp-19917,ZrSiTe,18
mp-22463,TiInNi2,36
mp-19765,In2HgTe4,11
mp-865485,V2CrOs,122
mp-10244,Zr3(SiCu)4,81
mp-213,CaPd,21
mp-865587,Y2CuRh,36
mp-567462,Sc3RhC4,117
mp-3274,NiGePd,45
mp-23056,Sr2BrN,26
mp-865523,TiMnRh2,68
mp-8456,SrAsPt,29
mp-570670,YOs2,49
mp-7798,MgGeN2,83
mp-29088,Sr3(GeN)2,29
mp-864598,LiMg2Ag,24
mp-31438,YZrSb,38
mp-861616,LiSc2Ir,37
mp-864927,Hf2ReOs,100
mp-7917,HfGeSe,73
mp-558518,K(NiS)2,20
mp-567982,TaSn2,50
mp-7433,NaCuSe,19
mp-862316,LiBePt2,81
mp-865026,Mn2VSi,127
mp-862704,ScZn2Pt,20
mp-2728,MnIr,175
mp-643945,TiFeH2,73
mp-9919,LiZnSb,25
mp-864985,MnZnIr2,58
mp-12716,LiTlPd2,33
mp-569249,Ta3Au,55
mp-10076,Hf3(NiGe)4,87
mp-29011,BiTePd,25
mp-13911,Ca(ZnGe)2,19
mp-16271,Li2CdSb,10
mp-865032,Mn2RhPt,75
mp-867347,Al3Tc,127
mp-864950,MnAlIr2,95
mp-12558,LiMgAs,37
mp-9987,Nb2PC,136
mp-22503,ZrCo2Sn,70
mp-9566,Sr(MgSb)2,25
mp-864631,LiNbRh2,64
mp-11621,ZnNiSb,35
mp-865805,TaZnCo2,67
mp-20533,SrIn2Pt,26
mp-10155,P2Ir,123
mp-774003,VRhO4,68
mp-7575,LiZnN,82
mp-3887,Li3GaN2,87
mp-30441,Be17Nb2,151
mp-19845,TiPbO3,91
mp-19789,Mn(BW)2,184
mp-861961,TiZnRh2,82
mp-7936,LiNbS2,56
mp-16565,CdCu2SnSe4,19
mp-977463,MgMnRh2,51
mp-9999,Ni(BMo)2,176
mp-605034,K2NiF6,10
mp-10300,ZrMoP,113
mp-20098,Ba2PbO4,43
mp-862702,Sc2AgHg,28
mp-25730,Bi2WO6,47
mp-20175,Sc2InC,52
mp-568747,K(NiSe)2,17
mp-28895,Ba(P2Pd)2,34
mp-3637,YOF,57
mp-2323,BeCu,55
mp-4472,BMo2C,180
mp-3078,CdSiAs2,29
mp-867187,ScInIr2,75
mp-755378,NaPdO2,42
mp-12565,MnAu4,28
mp-13944,Li3AlN2,100
mp-999198,BMo,189
mp-756630,DyAlO3,110
mp-20128,Eu(MnAs)2,31
mp-753197,HfTiO4,69
mp-11287,CaHg2,15
mp-22258,HfSiMo,99
mp-866033,AlZnRh2,81
mp-29026,MnWN2,107
mp-5489,LuTaO4,48
mp-999068,Ti2AlV,30
mp-864978,Mg2AgAu,26
mp-12571,HfBeSi,116
mp-4150,Ca(MnSb)2,14
mp-3534,Ge2Sb2Te5,10
mp-571216,Sr3(AlGe2)2,30
mp-16246,CdSbAu,13
mp-12666,Be12Pd,63
mp-12532,KAg2PS4,12
mp-11256,ScAu,35
mp-11252,MnAu2,16
mp-16613,AlAuO2,60
mp-9951,MnNbGe,76
mp-19728,YSiRh,58
mp-996995,MnAgO2,25
mp-715,ZrIr2,122
mp-10616,BaLiAs,22
mp-8126,YSiCu,56
mp-867699,Li4TiS4,14
mp-20492,ScSiRh,72
mp-864798,HfZnIr2,83
mp-30842,ZrPd3,79
mp-2553,HfBe2,99
mp-7910,Al2HgTe4,15
mp-10848,AsPdS,36
mp-27606,ZrAs2,70
mp-20401,HfSi2Cu,83
mp-11573,TiTc,69
mp-561475,V2MoO8,22
mp-30866,Rh3W,131
mp-11572,TaTc,126
mp-1008527,B2CN,242
mp-21248,NbSiIr,119
mp-862366,Sc2TlAg,28
mp-6326,LiAlSiO4,43
mp-7921,MgPdF6,22
mp-3522,MgCuSb,36
mp-571622,Be12Pt,62
mp-31147,BaZnSi,31
mp-10055,Co2B4Mo,178
mp-23237,BiF3,26
mp-571443,SrMgIn3,22
mp-867802,Sc2CuOs,50
mp-12725,NbAgO3,71
mp-7885,AlAgS2,24
mp-22079,AsRh,59
mp-865525,YCdHg2,15
mp-22315,HfCoSn,70
mp-12520,SrNi2Ge,26
mp-1014257,Ti3ZnN,91
mp-19983,TiCuSn,50
mp-12083,CrIr3,208
mp-10435,Y(AlSi)2,37
mp-5048,LiGaTe2,11
mp-4385,CdCO3,30
mp-801,Mo3Os,116
mp-4656,Y(Al2Fe)4,84
mp-557938,HfVF6,21
mp-7928,K2PtS2,16
mp-4590,Mg(GaO2)2,68
mp-570377,Sn3As4,20
mp-21023,Ti3SnC2,111
mp-865020,HfMgIr2,98
mp-31326,Mg2In,11
mp-505215,Ba(Cu3As)2,17
mp-6179,KLiSO4,18
mp-31339,ScInPd2,29
mp-13801,Tl2Pt2O7,83
mp-861910,Sc3Hg,35
mp-4586,LiAlTe2,12
mp-13160,YZnGe,53
mp-1475,Be12Mo,149
mp-20202,MgSn4Ru,48
mp-21851,MnSiIr,75
mp-865810,TiTc2W,125
mp-30847,TiSnPt,55
mp-541937,Zn(InS2)2,13
mp-5794,Zn(GaO2)2,72
mp-9023,ScSiAu,62
mp-3081,BeAl2O4,145
mp-865925,LiZrIr2,46
mp-11879,BaNiSn3,31
mp-14091,AlAgSe2,17
mp-9025,YSiAu,40
mp-11826,CaPd5,49
mp-559264,Bi2PdO4,18
mp-5475,NaTaN2,81
mp-4789,PrRhO3,57
mp-865520,YCdPd2,18
mp-22535,HfPbO3,86
mp-3363,Sc2Ni2Sn,31
mp-569875,ScBRh3,91
mp-31328,MnInPd2,13
mp-540988,Cs2FeO4,10
mp-863744,Ca2PdAu,22
mp-1156,GaSb,29
mp-29748,TePdI,11
mp-28364,Rb2CdO2,13
mp-866159,YZrRu2,60
mp-11512,LiAl2Ir,40
mp-16043,Mg(As2Rh3)2,52
mp-754363,Ba2HfO4,58
mp-864990,Mn2AlW,126
mp-865092,MgGaNi2,18
mp-867146,ScNbRu2,89
mp-7829,MnNbSi,99
mp-31496,Li2Sn2Au,19
mp-15778,MgNiSb,42
mp-4828,HfNi2Sn,31
mp-20805,PdPbF4,17
mp-22566,TlInS2,22
mp-22302,ZrVP,103
mp-10271,ZnCo3C,109
mp-1008610,AuN,30
mp-11541,ZrOs,98
mp-676310,Ni2SbTe,42
mp-417,MnRh,78
mp-9961,Ti2CdC,44
mp-20146,Zr2Ni2Sn,59
mp-8281,Ba(CdAs)2,26
mp-862321,LiAsPd2,20
mp-20698,LiCoAs,26
mp-2114,YN,121
mp-7916,HfSiS,91
mp-644229,Sr(AlH)2,34
mp-3862,Ca(AlGe)2,38
mp-864916,Hf2TcRh,86
mp-569344,Zr(CoSi)2,108
mp-12631,SrTcO3,60
mp-31348,Sc2In,37
mp-505368,As2Pb3O8,19
mp-570198,Ba(ZnAs)2,21
mp-9958,Ti2GeC,104
mp-17481,Mg4Ta2O9,74
mp-867909,ScCdRh2,45
mp-862586,Re3Pd,171
mp-17862,Ag3Ge5P6,34
mp-2006,V3Ir,119
mp-22396,Nb4SiNi,99
mp-867896,ScZnCu2,28
mp-5928,Al2CdS4,20
mp-7771,Sr(CdAs)2,28
mp-30780,SrMgSn,26
mp-29816,Ag2HgO2,11
mp-5166,Ca(AsPd)2,25
mp-640024,HfInNi2,51
mp-4822,Y(SiPd)2,51
mp-9514,Mg(AlC)2,77
mp-2455,As2Os,114
mp-866152,TiBeCo2,101
mp-21469,VCo2Sn,65
mp-30807,ZrNi4Sn,61
mp-7350,Li(YSi)2,42
mp-862372,Sc2RuRh,58
mp-865807,Ti2MoIr,88
mp-9960,Y3TlC,63
mp-557257,KVF3,30
mp-20708,In2Ni3S2,31
mp-560023,NiSnF6,23
mp-19774,Eu(CdSb)2,19
mp-7770,Sr(ZnAs)2,32
mp-754311,Mg(ReO4)2,10
mp-10059,ZrCo3B2,122
mp-865500,Na2Hf2O5,37
mp-644225,Sr2MgH6,35
mp-22546,CoAsRh,62
mp-4551,SrHfO3,98
mp-11300,TiCdHg2,26
mp-571458,RbGeI3,10
mp-30472,Ca2GaCu2,22
mp-20033,SnIr,47
mp-569250,VIr,112
mp-5149,NbAlCo2,87
mp-8861,Rb2MgF4,20
mp-20151,Eu(AlGe)2,35
mp-864930,LiTiIr2,79
mp-504543,SnPbO3,49
mp-603,Be2Ag,84
mp-21249,YMnSi,50
mp-867689,LiCuS,17
mp-20695,Zr3In,47
mp-11237,ScAg,30
mp-30363,BaAu2,16
mp-11557,ScRe2,73
mp-753722,LiCuS2,10
mp-7089,KMgSb,14
mp-451,ZrB,69
mp-999133,TaPd,60
mp-10445,Sc6FeTe2,29
mp-21029,Li2InPd,11
mp-639910,Y(Sn3Ru2)2,56
mp-31081,Sc(MnAl2)4,74
mp-36800,MgTaN2,172
mp-4962,CoSbS,72
mp-20310,LiInSe2,13
mp-5881,CoSbS,77
mp-12411,Li2ZnGe,35
mp-22260,Y(MnSn)6,70
mp-978290,Mg3Os,14
mp-18778,Zr(WO4)2,29
mp-13903,ZnSnF6,19
mp-861666,LiRu2W,85
mp-25036,YbMnO3,99
mp-1129,ScIr,75
mp-865669,TiSiTc2,85
mp-865486,VZnRu2,76
mp-1606,NbAu2,57
mp-865872,LiZr2Re,36
mp-334,LaF3,36
mp-568880,YInPd2,26
mp-22156,Hf2InC,91
mp-20791,MnVAs,84
mp-557668,MnPtF6,14
mp-862705,AlZnIr2,108
mp-20257,AsPd3Pb2,27
mp-19809,MnCoSi,84
mp-11278,Ta2Be,115
mp-569106,Yb2CdSb2,19
mp-865948,Ti2ReRh,101
mp-10046,V2AsC,110
mp-8017,AlCuTe2,23
mp-756490,Li6MnS4,26
mp-8547,PdPtF6,14
mp-22739,BaFe2S3,25
mp-864654,Zn2NiRh,48
mp-12954,CuBS2,60
mp-557686,ZrVF6,20
mp-21164,SrGePt,17
mp-27865,KMgCl3,16
mp-866288,BeVCo2,36
mp-10374,Cr3PtN,155
mp-7173,ScSbPt,53
mp-861901,LiGaCu2,18
mp-37091,Sr(AlTe2)2,13
mp-28835,LiScI3,11
mp-28339,CaPPt,39
mp-22725,TiInCu2,36
mp-21024,SrIn2Pd,22
mp-999052,Ti2MnAl,49
mp-11038,Zr6Al2Fe,48
mp-867281,Tc3Pt,174
mp-867280,Be2IrPt,121
mp-2540,VTc,121
mp-21894,LiSn4Ir,46
mp-865795,LiSc2Ru,32
mp-11382,NdFe5,58
mp-29152,Zr2CoP,76
mp-15657,TiCoSi,100
mp-862555,LiY2Al,31
mp-867850,ScMnRh2,61
mp-978534,SiGe,55
mp-867924,LiCdPd2,13
mp-996983,AgAuO2,11
mp-966800,InP,30
mp-779517,Sr3Hf2O7,78
mp-1082,VIr3,209
mp-2781,ScPd,38
mp-5632,DyAsO4,46
mp-643009,SrMgH4,24
mp-605028,Te2Pd3Pb2,14
mp-29154,Hf2CoP,83
mp-21027,CaIn2Pt,26
mp-8237,Ba(AsPd)2,27
mp-1361,IrSe2,52
mp-7930,Zr3(SiCu2)2,71
mp-5486,Ca(SiCu)2,53
mp-7863,Rb2Sn2O3,16
mp-754850,NaTiS2,29
mp-568809,Ba5Al5Pb,17
mp-29752,NiGePt2,56
mp-867133,Ba2Sc2O5,40
mp-510347,In5S5Br,15
mp-867786,ScNbOs2,114
mp-30745,Ir3W,192
mp-13272,BaAlGe,34
mp-703260,PbWO4,21
mp-10343,Sc2BC2,51
mp-13570,Mg(ScGa)2,40
mp-569603,BaCa4(CuN2)2,30
mp-30835,TaPd2,60
mp-8208,Mg(PtO2)3,65
mp-862290,LiFeRh2,54
mp-2319,P2Os,150
mp-866121,V3Os,105
mp-22609,Eu(CdP)2,35
mp-864921,MgZrIr2,77
mp-12956,Yb(FeP3)4,108
mp-12550,AlCuPt2,78
mp-19356,YbMnO3,43
mp-13137,Hf2CS,122
mp-977580,MgSc2Al,33
mp-19713,Sc3In,39
mp-29157,Si3P2Pt,74
mp-862604,Re3Ni,173
mp-11959,CaSn2Rh,29
mp-24289,HPd,33
mp-5690,GdScO3,79
mp-505822,TiSiRu,74
mp-5671,Sr(CoP)2,43
mp-625397,Nd(HO)3,21
mp-7604,Mg3NF3,81
mp-4364,NbGaCo2,73
mp-21301,ScInNi2,44
mp-12480,ScPPt,65
mp-14433,NaGe2N3,76
mp-1235,TiIr,79
mp-675163,Mn(CuCl2)2,13
mp-20325,Ti3InC,91
mp-8927,TaCuN2,36
mp-22434,HfFeP,123
mp-952,MoPt2,131
mp-22467,Sn(PbO2)2,11
mp-21199,Na3(GePt)4,26
mp-771123,ScFeO3,70
mp-16548,ZrTiF6,18
mp-27438,TlBiTe2,14
mp-5213,CdSnP2,27
mp-22268,ZrPRu,107
