4-BLOCK POLYMER,Ionic Dielectric Constant
CH2-NH-CH2-O,0.7
NH-C6H4-C6H4-C6H4,0.28800000000000003
C6H4-CS-O-CS,0.816
CO-C4H2S-CS-O,1.252
NH-C6H4-C4H2S-C4H2S,0.317
CH2-CH2-CH2-NH,0.207
CH2-CO-NH-CO,1.202
NH-CS-C6H4-O,0.597
CO-C4H2S-CO-C4H2S,1.984
NH-C6H4-O-CS,0.647
CH2-C4H2S-CO-CS,0.453
CH2-CO-O-C6H4,0.466
C4H2S-C4H2S-C4H2S-C4H2S,0.229
CO-C6H4-O-C6H4,0.624
NH-CO-O-C6H4,1.007
CO-C4H2S-O-CS,0.928
C6H4-C4H2S-C4H2S-O,0.447
CH2-CO-CH2-CS,0.597
NH-C6H4-C4H2S-CS,0.669
NH-C6H4-CS-O,2.608
NH-C6H4-CO-C4H2S,1.393
NH-CS-CO-O,1.506
CH2-CS-NH-CS,1.679
C6H4-C6H4-C4H2S-O,0.343
CH2-CO-C4H2S-CO,0.728
CH2-NH-CO-C4H2S,0.607
CH2-C6H4-C6H4-CS,0.226
CH2-C6H4-NH-C4H2S,0.409
C6H4-C4H2S-C6H4-CS,0.521
CH2-C6H4-CS-C4H2S,0.318
C6H4-C4H2S-CS-C4H2S,0.5770000000000001
C4H2S-O-CS-O,0.628
CH2-CS-NH-O,1.015
CH2-C6H4-CH2-C4H2S,0.091
CO-O-CS-O,1.104
CH2-C6H4-CO-C6H4,0.359
NH-CO-O-CO,1.913
CO-C4H2S-CS-C4H2S,0.966
CH2-CS-O-CS,0.466
C4H2S-CS-C4H2S-O,0.639
CO-C4H2S-O-C4H2S,0.755
C6H4-CS-C6H4-O,0.667
NH-O-C6H4-O,0.649
CH2-CO-CH2-C6H4,0.631
CH2-NH-O-CS,0.392
CH2-NH-C4H2S-O,0.7559999999999999
CH2-CS-C4H2S-CS,0.396
CO-C6H4-CO-CS,0.597
CH2-CH2-CH2-CO,0.69
CH2-CO-C6H4-C6H4,0.329
CH2-CH2-CS-O,0.375
NH-C4H2S-CS-C6H4,1.268
CH2-NH-O-C4H2S,0.337
C6H4-C6H4-C6H4-O,0.232
NH-C6H4-CO-CS,0.96
CH2-CH2-C6H4-C6H4,0.071
CH2-CS-CH2-CS,0.232
NH-C6H4-C6H4-CS,0.404
CH2-NH-O-NH,0.42
