Name,Tg (K)
poly(epsilon-caprolactone),213
poly(dodecyl methacrylate),218
poly(chloroprene),225
poly(propylene sulfide),226
poly(6-methyl-1-heptene),239
"poly(2-bromo-1,4-butadiene)",241
poly(vinyl isobutyl ether),251
poly(alpha-vinyl napthalene),432
poly(beta-vinyl napthalene),424
poly(3-phenoxypropylene oxide),315
"poly(alpha,beta,beta-trifluoro styrene)",475
poly(methyl alpha-cyano acrylate),433
poly(o-hydroxymethyl styrene),433
poly(vinyl methyl sulfide),272
poly(vinyl butyrate),278
poly(vinyl propionate),283
poly(2-ethylbutyl methacrylate),284
poly(o-n-octoxy styrene),286
"poly(2-tert-butyl-1,4-butadiene)",293
poly(vinyl formate),304
poly(neopentyl methacrylate),306
poly(12-aminododecanoic acid),310
poly(4-cyclohexyl-1-butene),313
poly(11-aminoundecanoic acid),315
poly(10-aminodecanoic acid),316
poly(p-n-butoxy styrene),320
poly(8-aminocaprylic acid),324
poly(hexafluoropropylene),425
poly(7-aminoheptanoic acid),330
poly(p-isopentoxy styrene),330
poly(epsilon-caprolactam),335
poly(p-n-propoxy styrene),343
poly(n-vinyl carbazole),423
poly(vinyl cyclopentane),348
poly(2-hydroxypropyl methacrylate),349
poly(p-methoxymethyl styrene),350
poly(cyclohexyl methacrylate),356
poly(p-sec-butyl styrene),359
poly(p-ethoxy styrene),359
poly(2-hydroxyethyl methacrylate),359
poly(p-isopropyl styrene),360
poly(2-methyl-5-tert-butyl styrene),360
poly(p-methoxy styrene),362
poly(4-methoxy-2-methyl styrene),363
poly(m-chloro styrene),363
poly(m-methyl styrene),370
poly(p-methyl styrene),374
"poly(2,5-difluoro styrene)",374
poly(o-ethyl styrene),376
"poly(3,5-dimethyl styrene)",377
poly(o-fluoro styrene),378
"poly(2,3,4,5,6-pentafluoro styrene)",378
poly(p-fluoro styrene),379
"poly(3,4-dimethyl styrene)",384
poly(2-fluoro-5-methyl styrene),384
"poly(2,4-dimethyl styrene)",385
poly(p-methoxycarbonyl styrene),386
poly(3-methyl-4-chloro styrene),387
poly(cyclohexyl alpha-chloroacrylate),387
poly(p-chloro styrene),389
poly(o-chloro styrene),392
"poly(2,5-dichloro styrene)",393
poly(methacrylonitrile),393
poly(alpha-p-dimethyl styrene),394
poly(3-fluoro-4-chloro styrene),395
poly(m-hydroxymethyl styrene),398
"poly(3,4-dichlorostyrene)",401
poly(p-tert-butyl styrene),402
"poly(2,4-dichloro styrene)",406
poly(o-methyl styrene),409
poly(p-phenyl styrene),411
poly(p-hydroxymethyl styrene),413
poly(p-vinyl pyridine),415
"poly(2,5-dimethyl styrene)",416
poly(p-bromo styrene),417
poly(2-methyl-4-chloro styrene),418
poly(n-vinyl pyrrolidone),418
poly(tetramethylene adipate),205
poly(decamethylene adipate),217
poly(ethylene azelate),228
poly(ethylene sebacate),243
perfluoropolymer 2,255
"poly(1,2-butadiene)",269
poly(ethylene succinate),272
poly(hexamethylene sebacamide),313
poly(decamethylene sebacamide),319
poly(vinyl butyral),324
poly(ethyl-p-xylylene),298
poly(methyl-p-xylylene),328
poly(hexamethylene adipamide),330
poly(p-xylylene),333
poly(chloro-p-xylylene),353
poly(cyano-p-xylylene),363
"poly(alpha,alpha,alpha',alhpa'-tetrafluoro-p-xylylene)",363
"poly(2,5-dimethyl-p-xylylene)",373
perfluoropolymer 3,390
polyetherimide 1,401
"poly(1,1-dichloroethylene bis[4-phenyl] carbonate)",430
poly(thio bis[4-phenyl] carbonate),388
"poly(2,2-butane bis[4-phenyl] carbonate)",407
"poly(2,2-pentane bis[4-phenyl] carbonate)",410
poly(methane bis[4-phenyl] carbonate),420
"poly(oxy-1,4-phenylene-oxy-1,4-phenylene-carbonyl-1,4-phenylene)",419
"poly(4,4-heptane bis[4-phenyl] carbonate)",421
"poly(1,1-[2-methyl propane] bis[4-phenyl] carbonate)",422
"poly(1,1-cyclopentane bis[4-phenyl] carbonate)",440
"poly(1,1-cyclohexane bis[4-phenyl] carbonate)",444
"poly(2,2-hexafluoropropane bis[4-phenyl] carbonate)",449
"poly(1,1-[1-phenyl ethane] bis[4-phenyl] carbonate)",449
"poly(2,2-[1,3-dichloro-1,1,3,3-tetrafluoro propane]-bis[4-phenyl carbonate])",457
poly(perfluoro styrene),467
"poly(2,2-propane bis[4-[2,6-dimethylphenyl]]-carbonate)",473
"poly(oxy[2,6-dimethyl-1,4-phenylene])",482
polyetherimide 2,482
"poly(oxy[2,6-diphenyl-1,4-phenylene])",493
polyetherimide 3,500
polycarbonate 2,505
polyetherimide 4,512
polycarbonate 3,520
polyetherimide 5,520
polyquinoline 1,541
polyquinoline 2,546
polyphenolphthalein 2,580
polyphenolphthalein 3,583
polyphenolphthalein 1,593
polyimide 11,606
polyetherimide 12,615
polyquinoline 10,618
polyphenolphthalein 4,658
polytricyclic 3,668
polytricyclic 2,668
polyphenolphthalein 5,673
poly(ethylene isophthalate),324
bisphenol a polycarbonate,423
poly(oxycarbonyl-3-methylpentamethylene),220
"poly(oxycarbonyl-1,5-dimethylpentamethylene)",240
"poly(ethylene-1,5-naphthalenedicarboxylate)",344
poly(ethylene oxybenzoate),355
poly(thio [p-phenylene]),360
"poly(ethylene-2,6-naphthalenedicarboxylate)",397
poly(hexamethylene isophthalamide),403
poly(m-phenylene isophthalate),411
poly(m-phenylene isophthalamide),545
poly(p-hydroxybenzoate),420
phenoxy resin,373
ultem (polyetherimide),493
