Compound,Space group,Eg (exp.; eV),Typea,Eg (PBE; eV),Eg (mBJ; eV),Eg(G0W0; eV)
CdTe,216,1.92,D,0.75,1.79,1.84
Ga2Se3,9,,D,1.04,1.92,2.42
Ga2TeO6,136,,D,0.73,2.51,3.48
GaAs,186,,D,0.48,1.48,1.52
GaAs,216,1.52,D,0.46,1.51,1.56
GaN,186,3.5,D,1.82,3.19,3.37
GaP,186,,D,1.36,2.27,2.38
GaP,216,2.35,I,1.65,2.52,2.48
GaSb,186,,D,0.06,0.72,0.79
GaSb,216,0.73,D,0.05,0.81,0.92
Ge3N4,176,,D,1.88,3.31,4.06
GeC,186,,I,2.36,3.21,3.39
GeC,216,,I,1.63,2.44,2.54
GeO2,136,,D,1.22,3.09,4.12
InN,186,0.69,D,0.0,0.78,0.36
InP,186,,D,0.64,1.55,1.47
K2GeF6,186,,D,5.87,9.14,11.21
K2MgO2,60,,D,2.5,4.89,4.76
K2S,225,,I,2.28,4.72,4.41
K2ZnTe2,72,,D,2.04,3.47,3.59
KAlO2,92,,D,3.75,6.22,6.67
KCdF3,62,,D,3.31,6.72,7.22
KCl,186,,D,4.77,8.57,7.93
KCl,216,,I,4.78,8.85,8.27
KCl,221,,I,5.05,7.67,8.22
KCl,225,8.5,D,5.18,8.13,8.48
KF,186,,D,5.27,10.09,9.33
KF,216,,I,5.07,10.1,9.39
KF,221,,I,6.55,9.55,10.89
KF,225,10.9,D,6.08,9.92,10.39
KI,186,,D,3.73,6.19,6.21
KI,216,,I,3.95,6.51,6.72
KI,221,,I,3.4,5.27,5.72
KI,225,,D,3.98,5.86,6.51
KLi2As,59,,D,0.68,1.84,1.68
KNaSe,62,,D,1.98,3.85,3.76
KZnP,194,,D,0.81,2.04,1.82
Li2CN2,139,,D,3.74,6.4,6.28
Li2S,225,,I,3.4,4.8,5.48
Li2Se,225,,I,2.98,4.11,4.84
Li2Te,225,,I,2.5,3.32,3.95
Li3Sb,194,,I,0.96,1.56,1.77
Li4GeO4,63,,D,4.12,6.36,7.45
LiBF4,152,,I,8.25,14.06,13.61
LiCaN,62,,D,1.38,2.98,2.37
LiCaSb,62,,D,0.62,1.03,1.46
LiCl,186,,D,6.05,8.47,9.23
LiCl,216,,D,6.08,8.49,9.42
LiCl,221,,I,4.56,6.7,7.34
LiCl,225,,D,6.53,8.44,9.69
LiF,186,,D,7.76,11.66,12.88
LiF,216,,D,7.83,11.71,13.11
LiF,221,,I,7.87,10.89,12.81
LiF,225,14.2,D,9.21,12.27,14.55
LiGaTe2,122,,D,1.6,2.29,2.98
LiI,186,,D,4.49,5.95,6.8
LiI,216,,D,4.48,5.83,6.89
LiI,221,,D,2.27,3.39,4.05
LiI,225,,I,4.37,5.25,6.47
LiInSe2,122,,D,1.58,2.51,3.09
LiInTe2,122,,D,1.39,2.03,2.73
LiMgN,216,,D,2.27,3.55,4.17
Mg3NF3,221,,D,3.58,6.12,6.87
MgAl2O4,227,,D,5.11,7.17,8.36
MgF2,136,,D,6.8,10.55,11.89
MgF2,205,,D,6.69,10.22,11.64
MgGeO3,15,,I,2.53,4.65,5.7
MgO,186,,D,3.49,5.7,6.54
MgO,216,,D,3.61,5.81,6.75
MgO,221,,I,2.53,4.55,5.29
MgS,186,,D,3.48,5.08,5.55
MgS,216,,D,3.49,5.08,5.65
MgS,225,5.4,I,2.8,4.03,4.8
MgSe,186,,D,2.66,4.05,4.58
MgSe,216,,D,2.66,4.04,4.66
MgSe,225,,I,1.8,2.79,3.41
MgTe,186,,D,2.5,3.56,4.19
MgTe,216,,D,2.46,3.52,4.16
Na2O,225,,D,1.98,4.43,4.87
Na2S,225,,D,2.43,4.47,4.77
Na2Se,225,,D,2.04,3.77,4.22
Na2Te,225,,D,2.05,3.41,3.97
Na2ZnS2,72,,D,2.36,4.25,4.27
Na3Sb,194,,D,0.39,1.31,1.32
NaAlO2,33,,I,3.79,6.38,7.1
NaCdF3,161,,D,3.44,7.06,7.51
NaCl,186,,D,4.88,8.1,8.2
NaCl,216,,D,4.98,8.22,8.61
NaCl,221,,I,4.19,7.06,7.45
NaCl,225,9,D,5.27,7.95,8.75
NaF,186,,D,5.77,10.39,10.73
NaF,216,,D,5.74,10.23,10.96
NaF,221,,I,6.24,10.37,11.59
NaF,225,,D,6.6,10.94,11.99
NaI,186,,D,3.61,5.61,6.03
NaI,225,5.9,D,3.75,5.43,6.24
NaInO2,166,,I,1.79,3.88,4.06
NaLiS,129,,D,3.05,4.91,5.2
NaMgAs,129,,D,0.93,2.03,2.22
NaMgF3,62,,D,6.72,10.54,11.82
NaSrAs,189,,D,0.79,1.81,1.43
NaSrP,189,,D,1.23,2.11,2.3
NaZnAs,129,,D,0.32,1.49,1.36
NaZnF3,62,,D,3.72,7.05,8.57
NaZnP,129,,D,0.87,1.92,2.09
Rb2MgO2,60,,D,2.25,4.44,4.48
Rb2O,225,,I,1.31,3.73,3.14
Rb2PbCl6,225,,D,1.2,2.06,3.81
Rb2Se,225,,I,1.79,3.91,3.69
Rb2SnCl6,225,,D,2.49,3.7,5.89
Rb2Te,225,,I,1.88,3.66,3.65
Rb3GaO3,12,,D,2.42,4.76,4.67
RbAlO2,227,,I,3.35,5.56,6.17
RbCaAs,129,,I,1.26,2.51,2.31
RbCl,186,,D,4.63,8.49,7.67
RbCl,216,,I,4.54,8.69,7.89
RbCl,221,,I,5.13,7.56,8.24
RbCl,225,8.3,D,5.05,8.0,8.25
RbF,216,,I,4.83,9.57,8.74
RbF,221,,D,6.53,9.16,10.51
RbF,225,,I,5.77,9.31,9.68
RbI,221,,I,3.57,5.37,5.92
RbI,225,5.83,D,3.93,5.87,6.44
RbLiO,62,,D,2.29,4.45,4.36
RbLiSe,129,,I,2.29,4.05,4.13
SiC,186,,I,2.28,3.33,3.47
SiC,216,2.42,I,1.35,2.35,2.63
Sn3N4,227,,D,0.19,1.1,1.43
SnO2,136,,D,0.6,2.15,3.15
Sr2Si,62,,D,0.34,0.68,0.92
Sr2SnO4,64,,I,2.7,4.08,5.25
SrBe3O4,190,,D,4.12,6.45,7.0
SrCaGe,62,,D,0.45,0.76,0.92
SrCN2,166,,I,3.17,5.55,5.4
SrCO3,62,,I,4.44,6.78,8.18
SrF2,225,,I,6.74,10.61,11.2
SrO,186,,D,2.69,5.24,4.47
SrO,216,,I,2.58,5.21,4.48
SrO,221,,I,2.74,4.04,5.04
SrO,225,,I,3.26,4.91,5.57
SrS,186,,I,2.8,4.04,4.4
SrS,216,,I,3.11,5.06,4.95
SrS,221,,I,1.67,2.78,3.41
SrS,225,,I,2.41,4.16,4.33
SrSe,186,,D,2.4,3.5,3.86
SrSe,216,,I,2.78,4.42,4.57
SrSe,221,,D,1.29,2.25,2.74
SrSe,225,,I,2.13,3.07,3.84
SrTe,186,,I,2.05,2.76,3.57
SrTe,216,,I,2.84,4.12,4.46
SrTe,221,,D,0.36,1.15,1.44
SrTe,225,,I,1.64,2.32,3.02
SrZnF4,88,,D,5.04,8.28,9.69
Zn(GaTe2)2,82,,D,1.02,1.72,2.05
ZnCl2,33,,D,4.01,6.32,7.29
ZnF2,136,,D,3.44,6.74,8.09
ZnGa2Se4,82,,D,1.4,2.49,2.8
ZnGa2Te4,82,,D,1.02,1.72,2.05
ZnIn2Se4,82,,D,0.98,1.92,2.19
ZnO,186,3.44,D,0.78,2.63,3.14
ZnO,216,,D,0.68,2.52,2.92
ZnO,225,,I,0.89,2.89,3.22
ZnS,186,,D,2.29,3.88,4.04
ZnS,216,3.66,D,2.22,3.8,3.96
ZnSe,186,,D,1.39,2.88,2.99
ZnSiAs2,122,,D,0.85,1.81,1.74
ZnSnP2,122,,D,0.68,1.53,1.67
ZnTe,186,,D,1.36,2.5,2.85
