"Systems
Composition","Atomization
Eng. (eV)"
CH2 GeCl2 SnCl2 GeCl2,-11.513
CH2 SiF2 CH2 SnF2,-15.479
CH2 SiF2 CH2 SnCl2,-14.667
CH2 SiF2 GeF2 GeF2,-15.022
CH2 SiF2 GeF2 GeCl2,-14.15
CH2 SiF2 GeCl2 GeF2,-14.171
CH2 SiF2 GeCl2 GeCl2,-13.299
CH2 SiF2 GeCl2 SiF2,-14.913
CH2 SiF2 SiF2 GeF2,-15.644
CH2 SiF2 SiF2 GeCl2,-14.776
CH2 SiF2 SiF2 SiF2,-16.378
CH2 SiF2 SiCl2 GeF2,-14.556
CH2 SiF2 SiCl2 SiF2,-15.300999999999998
CH2 SiF2 SnF2 GeF2,-14.775
CH2 SiF2 SnF2 SiF2,-15.225
CH2 SiF2 SnCl2 GeF2,-13.989
CH2 SiF2 SnCl2 GeCl2,-13.124
CH2 SiF2 SnCl2 SiF2,-14.706
CH2 SiCl2 CH2 SiCl2,-14.206
CH2 SiCl2 CH2 SnF2,-14.313
CH2 SiCl2 CH2 SnCl2,-13.467
CH2 SiCl2 GeF2 GeF2,-13.898
CH2 SiCl2 GeF2 GeCl2,-13.007
CH2 SiCl2 GeF2 SiF2,-14.628
CH2 SiCl2 GeF2 SiCl2,-13.454
CH2 SiCl2 GeCl2 GeF2,-13.027
CH2 SiCl2 GeCl2 SiCl2,-12.633
CH2 SiCl2 SiF2 GeF2,-14.475
CH2 SiCl2 SiF2 GeCl2,-13.607
CH2 SiCl2 SiF2 SiCl2,-14.112
CH2 SiCl2 SiCl2 GeF2,-13.434
CH2 SiCl2 SiCl2 GeCl2,-12.547
CH2 SiCl2 SiCl2 SiF2,-14.179
CH2 SiCl2 SiCl2 SiCl2,-13.031
CH2 SiCl2 SnF2 GeF2,-13.66
CH2 SiCl2 SnF2 SiF2,-14.365
CH2 SiCl2 SnF2 SiCl2,-13.235
CH2 SiCl2 SnCl2 SiF2,-13.588
CH2 SiCl2 SnCl2 SiCl2,-12.455
CH2 SnF2 GeF2 GeF2,-13.986
CH2 SnF2 GeF2 GeCl2,-13.130999999999998
CH2 SnF2 GeF2 SiF2,-14.748
CH2 SnF2 GeF2 SiCl2,-13.636
CH2 SnF2 GeF2 SnF2,-13.713
CH2 SnF2 GeCl2 GeF2,-13.136
CH2 SnF2 GeCl2 GeCl2,-12.282
CH2 SnF2 GeCl2 SiF2,-13.905
CH2 SnF2 GeCl2 SnF2,-12.868
CH2 SnF2 SiF2 GeF2,-14.845
CH2 SnF2 SiF2 GeCl2,-13.68
CH2 SnF2 SiF2 SiF2,-15.254
CH2 SnF2 SiF2 SnF2,-14.208
CH2 SnF2 SiCl2 GeF2,-13.449000000000002
CH2 SnF2 SiCl2 GeCl2,-12.62
CH2 SnF2 SiCl2 SiF2,-14.206
CH2 SnF2 SiCl2 SiCl2,-13.124
CH2 SnF2 SiCl2 SnF2,-13.156
CH2 SnF2 SnF2 GeF2,-13.687
CH2 SnF2 SnF2 SiCl2,-13.406
CH2 SnF2 SnF2 SnF2,-13.504
CH2 SnF2 SnCl2 GeF2,-12.986
CH2 SnF2 SnCl2 SiF2,-13.732
CH2 SnF2 SnCl2 SiCl2,-12.629
CH2 SnF2 SnCl2 SnF2,-12.727
CH2 SnCl2 CH2 SnCl2,-12.658
CH2 SnCl2 GeF2 GeF2,-13.202
CH2 SnCl2 GeF2 GeCl2,-12.33
CH2 SnCl2 GeF2 SiF2,-13.955
CH2 SnCl2 GeF2 SiCl2,-12.83
CH2 SnCl2 GeF2 SnF2,-12.933
CH2 SnCl2 GeF2 SnCl2,-12.139
CH2 SnCl2 GeCl2 GeF2,-12.35
CH2 SnCl2 GeCl2 SiF2,-13.111
CH2 SnCl2 GeCl2 SiCl2,-11.985
CH2 SnCl2 GeCl2 SnCl2,-11.292
CH2 SnCl2 SiF2 GeCl2,-12.936
CH2 SnCl2 SiF2 SiF2,-14.561
CH2 SnCl2 SiF2 SiCl2,-13.44
CH2 SnCl2 SiF2 SnF2,-13.514
CH2 SnCl2 SiF2 SnCl2,-12.839
CH2 SnCl2 SiCl2 GeF2,-12.718
CH2 SnCl2 SiCl2 GeCl2,-11.868
CH2 SnCl2 SiCl2 SiF2,-13.484000000000002
CH2 SnCl2 SiCl2 SnF2,-12.436
CH2 SnCl2 SiCl2 SnCl2,-11.637
CH2 SnCl2 SnF2 GeF2,-12.932
CH2 SnCl2 SnF2 GeCl2,-12.093
CH2 SnCl2 SnF2 SiCl2,-12.563
CH2 SnCl2 SnF2 SnF2,-12.669
CH2 SnCl2 SnF2 SnCl2,-11.907
CH2 SnCl2 SnCl2 GeCl2,-11.335
CH2 SnCl2 SnCl2 SiF2,-12.9
CH2 SnCl2 SnCl2 SnF2,-11.914
