6-block periodic repeat unit for wurtzite superlattices along the [0001] direction,"HSE
Band gap (eV)"
BeTe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,1.47
BP-BP-BP-BP-BP-BP,2.02
CdS-CdS-CdS-CdS-CdS-CdS,2.11
CdSe-CdSe-CdSe-CdSe-CdSe-CdSe,1.42
CdTe-CdTe-CdTe-CdTe-CdTe-CdTe,1.41
CuBr-CuBr-CuBr-CuBr-CuBr-CuBr,2.15
CuCl-CuCl-CuCl-CuCl-CuCl-CuCl,2.38
CuI-CuI-CuI-CuI-CuI-CuI,2.61
GaAs-GaAs-GaAs-GaAs-GaAs-GaAs,0.97
GaN-GaN-GaN-GaN-GaN-GaN,3.02
GaP-GaP-GaP-GaP-GaP-GaP,2.14
InP-InP-InP-InP-InP-InP,1.0
MgS-BeTe-AlP-AlP-AlP-AlP,1.14
MgS-BeTe-AlP-AlP-AlP-GaP,0.97
MgS-BeTe-AlP-AlP-GaP-GaP,0.92
MgS-BeTe-AlP-GaP-GaP-GaP,0.81
MgS-BeTe-AlP-ZnSe-ZnSe-ZnSe,0.82
MgS-BeTe-BeTe-AlP-ZnSe-ZnSe,1.06
MgS-BeTe-BeTe-BeTe-AlP-ZnSe,1.03
MgS-BeTe-BeTe-BeTe-BeTe-AlAs,0.66
MgS-BeTe-BeTe-BeTe-BeTe-AlP,1.24
MgS-BeTe-BeTe-BeTe-BeTe-BeTe,1.61
MgS-BeTe-BeTe-BeTe-BeTe-GaP,1.06
MgS-BeTe-BeTe-BeTe-BeTe-ZnSe,1.85
MgS-BeTe-BeTe-BeTe-ZnSe-ZnSe,1.68
MgS-BeTe-BeTe-ZnSe-ZnSe-ZnSe,1.56
MgS-BeTe-ZnSe-ZnSe-ZnSe-ZnSe,1.5
MgS-MgS-AlP-ZnSe-ZnSe-GaP,0.18
MgS-MgS-BeTe-AlP-ZnSe-ZnSe,0.89
MgS-MgS-BeTe-BeTe-AlAs-ZnSe,0.59
MgS-MgS-BeTe-BeTe-AlP-ZnSe,1.07
MgS-MgS-BeTe-BeTe-BeTe-AlAs,0.7
MgS-MgS-BeTe-BeTe-BeTe-AlP,1.27
MgS-MgS-BeTe-BeTe-BeTe-BeTe,1.78
MgS-MgS-BeTe-BeTe-BeTe-GaP,1.1
MgS-MgS-BeTe-BeTe-BeTe-ZnSe,1.93
MgS-MgS-BeTe-BeTe-ZnSe-ZnSe,1.7
MgS-MgS-BeTe-ZnSe-ZnSe-ZnSe,1.6
MgS-MgS-MgS-BeTe-AlP-ZnSe,0.91
MgS-MgS-MgS-BeTe-BeTe-AlAs,0.78
MgS-MgS-MgS-BeTe-BeTe-AlP,1.33
MgS-MgS-MgS-BeTe-BeTe-BeTe,1.8
MgS-MgS-MgS-BeTe-BeTe-GaAs,0.63
MgS-MgS-MgS-BeTe-BeTe-GaP,1.16
MgS-MgS-MgS-BeTe-BeTe-ZnSe,1.91
MgS-MgS-MgS-BeTe-ZnSe-ZnSe,1.69
MgS-MgS-MgS-MgS-BeTe-AlP,1.18
MgS-MgS-MgS-MgS-BeTe-BeTe,1.78
MgS-MgS-MgS-MgS-BeTe-GaP,1.17
MgS-MgS-MgS-MgS-BeTe-ZnSe,1.91
MgS-MgS-MgS-MgS-MgS-BeTe,1.78
MgS-MgS-MgS-MgS-MgS-MgS,4.42
MgS-MgS-MgS-MgS-MgS-ZnSe,3.25
MgS-MgS-MgS-MgS-ZnSe-ZnSe,2.83
MgS-MgS-MgS-ZnSe-ZnSe-ZnSe,2.59
MgS-MgS-ZnSe-ZnSe-ZnSe-ZnSe,2.44
MgS-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,2.28
SiC-SiC-SiC-SiC-SiC-SiC,3.53
ZnO-ZnO-ZnO-ZnO-ZnO-ZnO,2.41
ZnS-ZnS-ZnS-ZnS-ZnS-ZnS,3.27
ZnSe-ZnSe-ZnSe-ZnSe-ZnSe-ZnSe,2.24
ZnTe-ZnTe-ZnTe-CdSe-CdSe-CdSe,0.91
ZnTe-ZnTe-ZnTe-ZnTe-CdSe-CdSe,1.04
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-CdSe,1.13
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-InP,1.03
ZnTe-ZnTe-ZnTe-ZnTe-ZnTe-ZnTe,2.03
